/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min        	avg       	max        	std        
0  	1.17831e+07	3.5092e+08	6.19786e+09	5.76439e+08
1  	1.17831e+07	3.44956e+08	6.09965e+09	5.14745e+08
2  	1.17831e+07	3.33465e+08	5.0181e+09 	4.62921e+08
3  	1.17831e+07	3.52255e+08	7.63061e+09	5.88381e+08
4  	1.17831e+07	3.5669e+08 	4.73418e+09	5.40112e+08
5  	1.17831e+07	3.49401e+08	4.73418e+09	4.95571e+08
6  	1.17831e+07	3.35837e+08	3.4299e+09 	4.50616e+08
7  	1.17831e+07	3.3381e+08 	3.89307e+09	4.69369e+08
8  	1.17831e+07	3.26143e+08	4.10821e+09	4.4554e+08 
9  	1.17831e+07	3.40631e+08	5.50907e+09	5.13178e+08
10 	9.20114e+06	3.42571e+08	5.50907e+09	5.37157e+08
11 	9.20114e+06	3.59153e+08	5.4795e+09 	6.30783e+08
12 	9.20114e+06	3.68475e+08	5.4795e+09 	6.0191e+08 
13 	9.20114e+06	3.71077e+08	5.4795e+09 	6.38407e+08
14 	7.30535e+06	3.57192e+08	6.41926e+09	5.95315e+08
15 	7.30535e+06	3.60518e+08	6.41926e+09	6.02907e+08
16 	7.14883e+06	3.6009e+08 	5.5118e+09 	5.75984e+08
17 	6.78925e+06	3.44981e+08	4.97396e+09	5.29253e+08
18 	6.78925e+06	3.52187e+08	4.97396e+09	5.55457e+08
19 	6.78925e+06	3.53452e+08	6.43922e+09	5.88637e+08
20 	6.78925e+06	3.38603e+08	6.43922e+09	5.82652e+08
21 	6.78925e+06	3.21892e+08	5.59595e+09	5.10496e+08
22 	5.08869e+06	3.06867e+08	4.45995e+09	4.3375e+08 
23 	5.08869e+06	3.15924e+08	3.84643e+09	4.43683e+08
24 	5.08869e+06	3.14217e+08	6.32358e+09	4.7802e+08 
25 	5.08869e+06	3.22666e+08	8.08602e+09	5.52607e+08
26 	5.08869e+06	3.13763e+08	7.97901e+09	5.53479e+08
27 	5.08869e+06	2.96324e+08	4.35977e+09	4.41239e+08
28 	5.08869e+06	3.06684e+08	4.20992e+09	4.71395e+08
29 	5.08869e+06	3.046e+08  	3.99988e+09	4.64298e+08
30 	5.08869e+06	2.9778e+08 	3.81166e+09	4.38711e+08
31 	4.66595e+06	2.87314e+08	3.0661e+09 	3.83117e+08
32 	3.49208e+06	3.12778e+08	4.70308e+09	4.74645e+08
33 	3.49208e+06	3.24531e+08	4.37283e+09	5.11934e+08
34 	3.49208e+06	3.3548e+08 	6.77595e+09	6.24628e+08
35 	3.49208e+06	3.15516e+08	4.98475e+09	4.96216e+08
36 	2.65578e+06	3.03989e+08	4.34778e+09	4.62368e+08
37 	2.65578e+06	3.11132e+08	5.47931e+09	5.07266e+08
38 	2.65578e+06	3.13583e+08	5.02283e+09	4.89702e+08
39 	2.65578e+06	3.22303e+08	6.20913e+09	5.54768e+08
40 	1.85109e+06	3.18284e+08	5.5999e+09 	5.07484e+08
41 	1.85109e+06	3.35247e+08	5.5999e+09 	5.50737e+08
42 	1.85109e+06	3.38667e+08	5.87686e+09	5.81245e+08
43 	1.85109e+06	3.22738e+08	5.93789e+09	5.1669e+08 
44 	1.85109e+06	3.27059e+08	8.53228e+09	6.40497e+08
45 	1.85109e+06	3.24192e+08	4.88742e+09	5.47192e+08
46 	1.85109e+06	3.25094e+08	4.82708e+09	5.28359e+08
47 	1.85109e+06	3.14282e+08	4.59755e+09	4.69244e+08
48 	1.85109e+06	3.23468e+08	4.89838e+09	5.04327e+08
49 	1.85109e+06	3.42239e+08	6.09435e+09	5.75972e+08
