/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min       	avg        	max        	std       
0  	1.1673e+07	3.31673e+08	3.82478e+09	4.4313e+08
1  	1.1673e+07	3.52448e+08	4.26972e+09	5.32122e+08
2  	1.1673e+07	3.49208e+08	4.24264e+09	5.2892e+08 
3  	1.15082e+07	3.21369e+08	3.16939e+09	4.26893e+08
4  	1.15082e+07	3.066e+08  	3.16939e+09	3.91108e+08
5  	1.15082e+07	2.97948e+08	3.08149e+09	3.78585e+08
6  	1.15082e+07	3.24145e+08	3.77945e+09	4.45184e+08
7  	1.15082e+07	3.26554e+08	3.77945e+09	4.55413e+08
8  	1.15082e+07	3.18743e+08	4.24459e+09	4.61225e+08
9  	1.15082e+07	3.31721e+08	4.24459e+09	4.81627e+08
10 	1.15082e+07	3.53037e+08	4.38843e+09	5.40305e+08
11 	1.15082e+07	3.52015e+08	6.54359e+09	5.64077e+08
12 	1.15082e+07	3.47788e+08	4.69974e+09	5.46924e+08
13 	1.15082e+07	3.43557e+08	4.56254e+09	5.20684e+08
14 	1.15082e+07	3.38213e+08	6.78566e+09	5.26755e+08
15 	1.15082e+07	3.23564e+08	3.59528e+09	4.47539e+08
16 	9.90753e+06	3.38063e+08	3.80842e+09	4.89872e+08
17 	9.03344e+06	3.34572e+08	4.79049e+09	4.95059e+08
18 	9.03344e+06	3.46736e+08	4.40088e+09	5.22352e+08
19 	9.03344e+06	3.41565e+08	5.81048e+09	5.61629e+08
20 	8.47742e+06	3.44682e+08	6.84446e+09	5.9615e+08 
21 	8.47742e+06	3.39636e+08	7.14097e+09	5.74794e+08
22 	8.47742e+06	3.368e+08  	5.34299e+09	5.01622e+08
23 	7.6913e+06 	3.26733e+08	4.36221e+09	4.74345e+08
24 	7.6913e+06 	3.36041e+08	4.36221e+09	5.14711e+08
25 	7.6913e+06 	3.24343e+08	4.40024e+09	5.0763e+08 
26 	6.24949e+06	3.12351e+08	4.73422e+09	4.59861e+08
27 	6.24949e+06	3.11415e+08	8.9775e+09 	5.28688e+08
28 	6.24949e+06	3.24313e+08	8.9775e+09 	5.76372e+08
29 	6.24949e+06	3.22914e+08	4.4689e+09 	4.98589e+08
30 	6.24949e+06	3.33697e+08	6.16324e+09	5.41756e+08
31 	6.24949e+06	3.32112e+08	6.16324e+09	5.44329e+08
32 	6.24949e+06	3.20068e+08	4.0258e+09 	4.71289e+08
33 	6.24949e+06	3.21762e+08	4.25479e+09	4.73095e+08
34 	6.24949e+06	3.47221e+08	4.48199e+09	5.49912e+08
35 	6.24949e+06	3.3937e+08 	5.36224e+09	5.52546e+08
36 	6.24949e+06	3.37313e+08	6.34256e+09	5.7119e+08 
37 	5.68781e+06	3.33805e+08	5.37479e+09	5.29886e+08
38 	5.68781e+06	3.35267e+08	4.18528e+09	5.0746e+08 
39 	5.68781e+06	3.41182e+08	4.68428e+09	5.2716e+08 
40 	5.68781e+06	3.34983e+08	4.47117e+09	5.03516e+08
41 	5.68781e+06	3.22354e+08	3.44576e+09	4.34894e+08
42 	5.68781e+06	3.31219e+08	7.60159e+09	5.13565e+08
43 	5.68781e+06	3.3074e+08 	4.04256e+09	4.71618e+08
44 	5.68781e+06	3.23109e+08	4.0036e+09 	4.60077e+08
45 	5.27184e+06	3.48033e+08	4.24451e+09	5.41244e+08
46 	5.27184e+06	3.27101e+08	5.66645e+09	5.09273e+08
47 	5.27184e+06	3.26841e+08	6.02217e+09	5.32692e+08
48 	5.226e+06  	3.19871e+08	5.8232e+09 	4.97012e+08
49 	5.226e+06  	3.24139e+08	4.39625e+09	4.88172e+08
50 	5.226e+06  	3.26116e+08	4.31232e+09	5.0106e+08 
51 	5.226e+06  	3.1874e+08 	4.36105e+09	5.15352e+08
52 	5.226e+06  	3.25928e+08	4.89147e+09	5.33677e+08
53 	2.77569e+06	3.22079e+08	4.3242e+09 	5.09617e+08
54 	2.77569e+06	3.45944e+08	7.84728e+09	6.29491e+08
55 	2.77569e+06	3.44523e+08	7.88392e+09	6.28293e+08
56 	2.77569e+06	3.16253e+08	4.05327e+09	4.71018e+08
57 	2.77569e+06	3.36607e+08	5.99905e+09	5.67867e+08
58 	2.77569e+06	3.33265e+08	9.19718e+09	5.74523e+08
59 	2.77569e+06	3.10129e+08	3.99024e+09	4.61183e+08
60 	2.77569e+06	3.19037e+08	4.87513e+09	5.01492e+08
61 	2.77569e+06	3.17354e+08	8.26379e+09	5.72931e+08
62 	2.77569e+06	3.06415e+08	8.26379e+09	5.28149e+08
63 	2.77569e+06	3.00842e+08	4.39226e+09	4.46991e+08
64 	2.77569e+06	3.0547e+08 	4.78243e+09	4.96794e+08
65 	2.77569e+06	3.34243e+08	1.35649e+10	7.97804e+08
66 	2.77569e+06	3.01457e+08	1.22789e+10	6.07808e+08
67 	2.77569e+06	2.98986e+08	1.22789e+10	5.97612e+08
68 	2.77569e+06	2.96922e+08	5.92025e+09	4.74249e+08
69 	2.77569e+06	3.0901e+08 	8.38953e+09	5.74686e+08
70 	2.77569e+06	3.07801e+08	5.94845e+09	5.04884e+08
71 	2.77569e+06	3.01237e+08	5.20695e+09	4.68489e+08
72 	2.77569e+06	2.87416e+08	3.80047e+09	4.35467e+08
73 	2.77569e+06	2.78999e+08	3.80047e+09	4.00092e+08
74 	2.77569e+06	2.849e+08  	3.68635e+09	3.98843e+08
75 	2.77569e+06	2.90874e+08	4.29318e+09	4.14295e+08
76 	2.77569e+06	2.94018e+08	6.60784e+09	4.65867e+08
77 	2.6769e+06 	2.74418e+08	2.70024e+09	3.59195e+08
78 	2.6769e+06 	2.6178e+08 	2.36809e+09	3.3504e+08 
79 	2.6769e+06 	2.6726e+08 	3.66675e+09	3.55565e+08
80 	2.6769e+06 	2.74504e+08	3.77676e+09	3.96162e+08
81 	2.6769e+06 	2.81306e+08	4.24737e+09	3.96492e+08
82 	2.6769e+06 	2.83441e+08	4.21004e+09	4.22463e+08
83 	2.6769e+06 	2.93291e+08	3.79879e+09	4.40743e+08
84 	2.6769e+06 	2.74381e+08	3.35379e+09	3.92951e+08
85 	2.6769e+06 	2.73795e+08	3.18908e+09	3.80465e+08
86 	2.67555e+06	2.73858e+08	2.78515e+09	3.68035e+08
87 	2.67555e+06	2.92156e+08	3.96253e+09	4.07572e+08
88 	2.67555e+06	2.93268e+08	3.50666e+09	4.18201e+08
