/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min        	avg        	max       	std        
0  	1.90584e+07	3.85907e+08	5.6595e+09	6.60531e+08
1  	1.90584e+07	3.87191e+08	6.06452e+09	6.68386e+08
2  	1.82894e+07	3.68173e+08	7.38332e+09	6.39745e+08
3  	1.82894e+07	3.43793e+08	6.16356e+09	5.37965e+08
4  	1.6547e+07 	3.3987e+08 	4.48537e+09	5.05525e+08
5  	1.65162e+07	3.52915e+08	4.79126e+09	5.43968e+08
6  	1.65162e+07	3.46122e+08	6.0252e+09 	5.38397e+08
7  	1.57465e+07	3.46063e+08	4.55818e+09	5.33344e+08
8  	1.30668e+07	3.46967e+08	6.69818e+09	5.99051e+08
9  	1.12077e+07	3.48028e+08	6.18234e+09	5.96466e+08
10 	9.49835e+06	3.43637e+08	6.18234e+09	5.69776e+08
11 	9.49835e+06	3.56216e+08	6.18234e+09	6.06335e+08
12 	9.49835e+06	3.49318e+08	5.34858e+09	6.10425e+08
13 	9.41589e+06	3.48056e+08	4.8414e+09 	5.98787e+08
14 	9.41589e+06	3.33962e+08	4.8414e+09 	5.48907e+08
15 	9.41589e+06	3.36402e+08	4.8414e+09 	5.45852e+08
16 	9.23175e+06	3.28573e+08	4.7671e+09 	5.06494e+08
17 	9.23175e+06	3.52503e+08	9.56118e+09	6.46174e+08
18 	9.23175e+06	3.33992e+08	5.91589e+09	5.32186e+08
19 	7.04641e+06	3.34619e+08	5.91589e+09	5.66248e+08
20 	7.04641e+06	3.16131e+08	3.88719e+09	4.55782e+08
21 	7.04641e+06	3.09784e+08	3.14811e+09	4.16145e+08
22 	7.04641e+06	3.2569e+08 	4.24024e+09	4.77363e+08
23 	7.04641e+06	3.15016e+08	4.68771e+09	4.3741e+08 
24 	7.04641e+06	3.33094e+08	4.92293e+09	5.27658e+08
25 	7.04641e+06	3.51058e+08	5.41238e+09	5.82894e+08
26 	5.64659e+06	3.20963e+08	4.39977e+09	4.79119e+08
27 	5.64659e+06	3.13502e+08	5.30926e+09	4.70451e+08
28 	5.64659e+06	3.23309e+08	5.01074e+09	4.9668e+08 
29 	5.64659e+06	3.21274e+08	5.41688e+09	4.99065e+08
30 	5.64659e+06	3.20098e+08	4.97472e+09	4.8086e+08 
31 	5.64659e+06	3.26911e+08	4.06386e+09	4.94625e+08
32 	5.64659e+06	3.28556e+08	3.99176e+09	4.89002e+08
33 	5.64659e+06	3.24942e+08	6.34061e+09	5.20251e+08
34 	5.64659e+06	3.22759e+08	4.79361e+09	5.10162e+08
35 	5.64659e+06	3.0882e+08 	4.19937e+09	4.61271e+08
36 	5.64659e+06	3.24817e+08	5.40545e+09	5.22452e+08
37 	5.64659e+06	3.37125e+08	5.2455e+09 	5.47052e+08
38 	5.64659e+06	3.35675e+08	4.67613e+09	5.63592e+08
39 	5.64659e+06	3.37165e+08	5.22415e+09	5.78377e+08
40 	5.64659e+06	3.27919e+08	4.69583e+09	5.38528e+08
41 	5.64659e+06	3.36816e+08	5.45442e+09	5.83954e+08
42 	5.64659e+06	3.21602e+08	5.1779e+09 	5.14883e+08
43 	5.64659e+06	3.05082e+08	4.67613e+09	4.43623e+08
44 	5.64659e+06	3.04615e+08	9.35379e+09	5.31509e+08
45 	5.64659e+06	2.87486e+08	4.81292e+09	4.14292e+08
46 	5.64659e+06	3.01358e+08	4.18762e+09	4.40632e+08
47 	5.64659e+06	3.24298e+08	7.16326e+09	5.73049e+08
48 	5.64659e+06	3.23921e+08	6.34591e+09	5.69143e+08
49 	5.64659e+06	3.07396e+08	6.10617e+09	4.902e+08  
50 	5.64659e+06	3.0763e+08 	6.29568e+09	4.92973e+08
51 	5.64659e+06	2.97367e+08	4.0842e+09 	4.53255e+08
52 	5.64659e+06	2.94557e+08	3.64466e+09	4.30312e+08
53 	5.64659e+06	2.87292e+08	3.0944e+09 	3.90047e+08
54 	5.64659e+06	2.81098e+08	3.0944e+09 	3.70457e+08
55 	5.64659e+06	2.93653e+08	5.7058e+09 	4.62541e+08
56 	3.67249e+06	2.78084e+08	4.39361e+09	3.9202e+08 
57 	3.67249e+06	2.83664e+08	4.77253e+09	4.14261e+08
58 	3.67249e+06	2.93135e+08	4.58294e+09	4.74699e+08
59 	3.67249e+06	2.9924e+08 	4.58294e+09	5.17896e+08
60 	3.19583e+06	2.98257e+08	4.94299e+09	4.73854e+08
61 	3.19583e+06	2.87458e+08	4.46188e+09	4.25073e+08
62 	3.19583e+06	2.8715e+08 	4.36237e+09	4.36097e+08
63 	3.19583e+06	3.02601e+08	3.71686e+09	4.67487e+08
64 	1.64655e+06	3.20924e+08	7.78888e+09	5.69224e+08
65 	1.64655e+06	3.07903e+08	6.78103e+09	5.4441e+08 
66 	1.64655e+06	3.08033e+08	1.08975e+10	6.29794e+08
67 	1.61959e+06	3.08218e+08	5.7956e+09 	5.07568e+08
68 	1.61959e+06	2.9941e+08 	6.08925e+09	5.55089e+08
69 	1.61959e+06	2.98934e+08	6.49077e+09	5.57236e+08
70 	1.61959e+06	2.86152e+08	6.49077e+09	5.3029e+08 
71 	1.61959e+06	2.9095e+08 	6.08925e+09	5.21922e+08
72 	1.06838e+06	2.88307e+08	4.59745e+09	4.86322e+08
73 	1.06838e+06	2.86776e+08	4.59745e+09	4.73494e+08
74 	1.06838e+06	3.18565e+08	9.5672e+09 	6.98048e+08
75 	1.06838e+06	2.88353e+08	9.05625e+09	5.45008e+08
76 	1.06838e+06	2.80634e+08	9.05625e+09	5.23645e+08
77 	1.06838e+06	2.72749e+08	4.0016e+09 	4.34347e+08
78 	1.06838e+06	2.59568e+08	3.33075e+09	3.67075e+08
79 	1.06838e+06	2.64325e+08	2.85654e+09	3.80126e+08
80 	1.06838e+06	2.67719e+08	2.90816e+09	3.81861e+08
81 	1.06838e+06	2.68848e+08	3.37296e+09	3.96031e+08
82 	1.06838e+06	2.76805e+08	5.23419e+09	4.45043e+08
83 	1.06838e+06	2.66439e+08	5.49749e+09	4.28629e+08
84 	1.06838e+06	2.7511e+08 	5.49749e+09	4.75206e+08
85 	1.06838e+06	2.77369e+08	6.25054e+09	4.64028e+08
86 	1.06838e+06	2.79388e+08	6.48264e+09	4.50749e+08
87 	1.06838e+06	2.68532e+08	6.35081e+09	4.25099e+08
88 	916519     	2.69743e+08	3.16969e+09	3.90545e+08
89 	916519     	2.65833e+08	2.90982e+09	3.7453e+08 
90 	916519     	2.61201e+08	2.9703e+09 	3.75519e+08
91 	916519     	2.60508e+08	4.11886e+09	3.93043e+08
92 	916519     	2.59966e+08	5.02334e+09	4.21493e+08
