/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min     	avg    	max    	std   
0  	-47.4991	98.0674	641.096	125.25
1  	-47.4991	95.8478	648.982	120.697
2  	-47.4991	94.8704	631.672	120.032
3  	-47.6703	94.4502	611.887	117.24 
4  	-48.0621	93.7412	582.05 	117.535
5  	-48.0621	93.9688	586.623	118.756
6  	-48.3073	92.5074	579.722	116.867
7  	-48.3073	93.5788	579.722	116.505
8  	-48.3073	93.6312	669.843	118.886
9  	-48.3073	91.9163	669.843	116.361
10 	-48.3073	92.7373	645.961	117.979
11 	-48.3073	91.4817	580.3  	116.741
12 	-48.3073	88.8263	603.63 	114.947
13 	-48.3073	89.0497	633.306	117.357
14 	-48.3073	88.0581	663.548	119.5  
15 	-48.7903	87.5354	560.264	116.089
16 	-48.7903	87.0229	609.199	118.435
17 	-48.7903	85.821 	598.741	116.476
18 	-48.7903	85.2718	583.748	113.115
19 	-48.891 	85.3571	560.022	111.965
20 	-48.891 	85.5689	552.552	111.801
21 	-50.1791	84.4368	552.552	110.851
22 	-50.4922	84.3924	592.525	110.415
23 	-50.4922	83.0292	685.038	110.142
24 	-50.4922	81.6931	492.909	105.312
25 	-50.4922	80.7493	517.931	103.735
26 	-50.4922	83.6737	656.884	108.694
27 	-50.4922	81.0365	656.884	104.301
28 	-50.4922	83.632 	656.884	109.766
29 	-50.5398	82.4492	695.6  	109.645
30 	-50.5398	85.7407	785.043	119.084
31 	-50.5398	83.6359	695.6  	112.085
32 	-50.5398	80.3251	638.221	108.477
33 	-50.5398	80.616 	638.221	107.228
34 	-50.5398	79.0022	557.167	102.323
35 	-50.5398	77.9418	600.378	101.998
36 	-50.5398	77.1941	580.472	101.258
37 	-50.5398	78.8772	544.654	107.362
38 	-50.5398	79.9101	528.47 	108.918
39 	-50.5398	77.9274	528.47 	105.993
40 	-50.5398	79.0353	595.451	109.546
41 	-50.5398	76.7572	542.812	106.929
42 	-50.5398	75.649 	555.97 	105.915
