/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg    	max    	std   
0  	1118.98	1663.12	3193.35	340.35
1  	1118.98	1668.1 	3278.92	345.519
2  	1118.98	1662.64	3260.25	344.218
3  	1118.98	1661.94	3206.25	343.162
4  	1118.98	1660.34	3172.91	344.035
5  	1118.98	1661.99	3452.82	335.094
6  	1118.98	1660.18	2934.63	328.906
7  	1116.2 	1659.81	2880.69	320.35 
8  	1116.2 	1660.32	2980.37	325.333
9  	1116.2 	1660.79	3034.02	333.09 
10 	1111.3 	1659.31	3034.02	337.004
11 	1111.3 	1658.67	2930.94	330.668
12 	1111.3 	1660.92	3614.94	358.762
13 	1111.3 	1654.42	3288.5 	341.292
14 	1111.3 	1659.13	3215.15	344.233
15 	1111.3 	1653.34	3050.61	340.925
16 	1111.3 	1656.87	3022.88	337.994
17 	1111.3 	1655.78	3033.64	339.708
18 	1111.3 	1649.44	3180.57	334.531
19 	1111.3 	1651.44	3393.48	339.209
20 	1111.3 	1653.86	3253.37	349.903
21 	1111.3 	1655.41	3508.9 	356.69 
22 	1111.3 	1652.97	3196.08	355.719
23 	1111.3 	1655.42	3355.56	354.752
24 	1111.3 	1657.88	3352.31	354.331
25 	1111.3 	1654.83	3090.68	348.748
26 	1111.3 	1646.78	3138.61	340.29 
27 	1111.3 	1647.61	3133.2 	341.708
28 	1111.3 	1649.99	3138.4 	346.502
29 	1111.3 	1644.44	3133.48	337.561
30 	1111.3 	1645.75	3416.34	336.166
31 	1111.3 	1647.35	3154.73	340.952
32 	1111.3 	1647.8 	3064.79	338.722
33 	1111.3 	1645.2 	3292.04	333.842
34 	1111.3 	1640.23	3151.75	329.147
35 	1111.3 	1643.77	3255.3 	342.149
36 	1111.3 	1646.83	3246.97	347.788
37 	1104.34	1647.05	3308.88	347.724
38 	1104.34	1652.23	3316.25	347.765
39 	1104.34	1646.19	3220.35	356.077
40 	1104.34	1643.18	3178.75	348.004
41 	1104.34	1647.09	3156.84	349.969
42 	1104.34	1644.16	3156.84	341.916
43 	1104.34	1646.16	3156.84	343.403
44 	1104.34	1646.05	3089.18	339.515
45 	1104.34	1642.55	3351.25	339.373
46 	1104.34	1637.4 	3056.15	321.215
47 	1104.34	1639.17	2932.95	319.917
48 	1104.34	1632.62	2932.95	317.365
49 	1104.34	1628.55	2875.29	312.835
50 	1104.34	1631.52	3165.19	319.315
51 	1104.34	1630.61	2966.27	318.994
52 	1104.34	1627.15	2966.27	316.549
53 	1104.34	1630.78	3337.77	318.873
54 	1104.34	1626.99	3012.85	309.269
55 	1104.34	1633.63	2792.87	310.113
56 	1104.34	1633.67	3662.26	320.272
57 	1104.34	1631.72	3492.98	324.75 
58 	1104.34	1636.2 	3492.98	345.098
59 	1104.34	1635.79	3492.98	352.03 
60 	1104.34	1640.74	4286.08	374.657
61 	1104.34	1641.41	3922.96	375.662
62 	1104.34	1639.05	3712.8 	363.899
63 	1104.34	1634   	3698.48	350.185
64 	1104.34	1635.19	3368.33	354.742
65 	1104.34	1625.85	2966.32	322.741
66 	1104.34	1627.86	3084.37	323.867
67 	1104.34	1625.54	3467.54	325.99 
68 	1104.34	1626.77	3242.15	336.067
69 	1104.34	1626.63	3530.52	331.466
70 	1104.34	1628.19	3456.76	328.121
71 	1104.34	1623.82	3136.99	330.917
72 	1104.34	1623.51	3136.99	325.045
73 	1104.34	1620.82	3219.7 	324.862
74 	1104.34	1617.89	3277.38	328.225
75 	1104.34	1612.71	3236.22	315.796
76 	1104.34	1613.11	3186.78	313.502
77 	1104.34	1620.15	2949.41	311.049
78 	1104.34	1616.16	3211.09	312.602
79 	1104.34	1614.5 	2986.68	316.437
80 	1104.34	1618.84	3065.59	320.703
81 	1104.34	1617.97	3065.59	313.076
82 	1104.34	1619.55	3263.62	321.706
83 	1104.34	1619.71	3090.2 	318.127
84 	1104.34	1622.12	3060.71	321.934
85 	1104.34	1619.07	3194.72	317.876
86 	1104.34	1616.12	3108.88	308.371
87 	1104.34	1620.07	3411.54	330.186
88 	1104.34	1619.7 	3135.86	324.078
89 	1104.34	1617.17	3106.79	315.608
90 	1104.34	1615.81	3277.08	314.603
91 	1104.34	1613.59	3277.08	319.034
92 	1104.34	1608.37	3109.18	323.567
93 	1104.34	1606.65	3109.18	323.309
94 	1104.34	1602.82	3067.65	312.262
95 	1104.34	1602.7 	3067.65	311.958
96 	1104.34	1602.89	3967.58	311.162
97 	1104.34	1601.79	3189.03	303.249
98 	1104.34	1607.47	3189.03	316.442
99 	1104.34	1607.84	3189.03	324.582
100	1104.34	1610.61	3896.79	336.796
101	1104.34	1613.78	3896.79	338.759
102	1104.34	1608.26	3394.54	329.86 
103	1104.34	1607.09	3478.38	326.96 
104	1104.34	1612.24	3295.13	332.115
105	1104.34	1611.49	3273.1 	335.017
106	1104.34	1609.42	3145.88	330.697
107	1104.34	1604.83	3328.64	331.88 
108	1104.34	1612.7 	4111.2 	356.402
109	1104.34	1611.06	3894.61	342.709
110	1104.34	1614   	3859.09	337.647
111	1091.31	1607.67	3102.58	321.575
112	1091.31	1597.55	2950.77	309.924
113	1091.31	1596.5 	3106.27	305.819
114	1091.31	1595.33	2945.04	300.361
115	1091.31	1598.48	2982.71	304.422
116	1091.31	1591.53	2777.37	289.593
117	1091.31	1596.64	3100.13	301.714
118	1091.31	1591.46	3100.13	299.83 
119	1091.31	1591.6 	3077.63	310.929
120	1091.31	1595.27	3160.48	310.34 
121	1085.34	1595.57	3676.65	322.178
122	1085.34	1597.32	4016.44	340.535
123	1085.34	1595.7 	3903.99	333.077
124	1085.34	1597.46	3676.65	336.149
125	1085.34	1589.49	3399.05	316.093
126	1085.34	1587.56	3114.85	317.725
127	1085.34	1598.13	3454.64	339.181
128	1085.34	1597.51	3454.64	331.659
129	1085.34	1596.57	3214.9 	329.555
130	1085.34	1591.72	3214.9 	320.085
131	1085.34	1587.39	2992.13	319.185
132	1085.34	1585.33	4370.65	333.981
133	1085.34	1584.88	4596.68	321.026
134	1085.34	1582.85	3391.61	313.646
135	1085.34	1588.21	3860   	326.754
136	1085.34	1584.47	3637.96	308.193
137	1085.34	1583   	3637.96	311.929
138	1085.34	1585.5 	3698.64	315.607
139	1085.34	1584   	3469.62	307.544
140	1085.34	1584.23	3757.73	312.045
141	1076.5 	1581.19	3441.64	311.212
142	1076.5 	1585.59	3355.08	316.185
143	1076.5 	1584.74	3639.98	319.69 
144	1076.5 	1589.54	4078.13	347.694
145	1076.5 	1589.41	3693.94	338.409
146	1076.5 	1588.74	3509.66	335.267
147	1076.5 	1588   	3403.87	326.575
148	1076.5 	1590.94	4976.14	340.466
149	1076.5 	1592.65	3496.64	330.14 
150	1076.5 	1587.97	3316.38	319.574
151	1076.5 	1586.58	3023.23	320.919
152	1076.5 	1585.73	3127.83	325.273
153	1076.5 	1582.98	3132.39	326.23 
154	1076.5 	1584.36	3025.73	321.067
155	1076.5 	1591.58	3130.76	326.733
156	1076.5 	1587.72	3076.41	316.031
157	1076.5 	1583.86	3845.68	325.465
158	1076.5 	1586.14	3385.65	320.574
159	1076.5 	1583.98	3273.27	314.461
160	1076.5 	1586.03	3273.27	321.927
161	1076.5 	1580.57	2985.77	307.676
162	1076.5 	1582.59	3016.05	304.34 
163	1076.5 	1581.75	3077.73	304.255
164	1076.05	1571.09	3007.96	287.907
165	1076.05	1569.64	3107.56	298.079
166	1076.05	1568.83	3291.71	294.704
167	1076.05	1563.77	2868.31	297.032
168	1076.05	1562.11	2859.02	288.592
169	1076.05	1569.02	2894.37	300.499
170	1076.05	1567.77	3217.38	299.509
171	1076.05	1563.82	3217.38	294.489
172	1076.05	1565.73	2909.94	294.14 
173	1076.05	1566.8 	2909.94	295.685
174	1076.05	1569.19	2789.05	294.036
175	1076.05	1569.02	3166.06	293.359
176	1076.05	1562.25	3454.09	284.846
177	1076.05	1557.29	2980.13	270.928
178	1076.05	1553.96	2790.32	267.288
179	1076.05	1559.71	3230.71	281.679
180	1076.05	1564.27	3230.71	288.162
181	1076.05	1564.56	3180.08	294.411
182	1076.05	1561.17	2866.02	284.113
183	1076.05	1566.54	3023.11	294.94 
184	1076.05	1564.08	2997.93	290.077
185	1076.05	1564.84	2849.5 	279.749
186	1076.05	1562.25	3291.64	285.371
187	1076.05	1557.98	2867.52	272.738
188	1076.05	1560.95	2698   	266.632
189	1076.05	1563.31	2936.85	278.921
190	1074.75	1568.05	2692.31	276.577
191	1074.75	1565.22	3736.94	280.914
192	1074.75	1558.9 	3004.85	266.744
193	1074.75	1557.42	2810.22	266.17 
194	1074.75	1563.69	2798.47	273.289
