/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg  	max    	std    
0  	89.3933	152.9	261.446	30.1678
1  	89.3933	155.363	276.686	31.0918
2  	89.3933	154.73 	269.74 	31.1714
3  	89.3933	154.098	273.704	31.1561
4  	88.8715	155.123	273.704	31.3199
5  	83.5609	154.667	268.828	31.6875
6  	83.5609	154.941	285.155	32.9016
7  	83.5609	152.321	297.777	32.2206
8  	83.5609	155.233	270.546	32.6829
9  	83.5609	155.513	275.977	33.3467
10 	83.5609	156.388	275.977	32.0484
11 	83.5609	155.793	276.687	32.2307
12 	83.5609	153.657	263.563	31.3484
13 	83.5609	155.299	294.987	31.3179
14 	83.5609	153.716	296.871	31.1408
15 	83.5609	155.078	295.53 	34.1997
16 	83.5609	153.998	268.339	33.0095
17 	83.5609	154.557	264.508	31.1007
18 	83.5609	154.208	275.74 	31.358 
19 	83.5609	152.966	247.229	30.7124
20 	83.5609	153.872	256.952	31.4499
21 	82.251 	154.528	260.423	31.5504
22 	82.251 	154.592	266.219	30.8373
23 	82.251 	155.491	266.219	30.6414
24 	82.251 	154.956	300.415	31.6391
25 	82.251 	153.972	268.331	32.2492
26 	78.7642	153.385	258.411	31.4992
27 	78.7642	155.411	281.918	32.5899
28 	78.7642	153.748	255.123	30.776 
29 	78.7642	152.72 	255.442	30.2243
30 	78.7642	153.413	273.483	32.4946
31 	78.7642	154.422	259.868	32.3934
32 	78.7642	156.683	261.667	32.6361
33 	78.7642	156.148	263.533	32.5865
34 	78.7642	155.685	267.164	32.5424
35 	78.7642	154.867	272.593	31.8901
36 	78.7642	154.833	267.483	31.8792
37 	78.7642	157.751	273.67 	32.6647
38 	78.7642	157.422	287.744	33.1139
39 	78.7642	156.184	261.705	33.0049
40 	78.7642	154.989	280.882	32.6088
41 	78.7642	154.842	279.446	32.3178
42 	77.9252	154.643	287.962	32.0532
43 	77.9252	155.492	269.611	30.9788
44 	77.9252	156.283	280.066	31.2133
45 	77.9252	154.549	263.886	31.4926
46 	77.9252	154.579	260.398	31.9684
47 	77.9252	153.809	260.398	31.1472
48 	77.9252	155.578	264.257	31.7878
49 	77.9252	155.225	268.829	30.9682
50 	77.9252	155.773	258.774	31.8728
51 	77.9252	155.776	256.548	31.8616
52 	77.9252	154.008	255.224	31.7931
53 	77.9252	153.46 	277.943	31.6674
54 	77.9252	153.58 	257.968	29.5495
