/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min     	avg    	max    	std    
0  	-1.24944	355.112	2344.48	331.026
1  	-1.24944	349.828	2344.48	331.374
2  	-1.24944	348.633	2116.61	321.886
3  	-1.24944	354.526	2116.61	315.93 
4  	-1.24944	355.291	1965.21	312.431
5  	-1.24944	353.528	1876.88	321.466
6  	-1.24944	350.742	2160.29	318.77 
7  	-1.24944	341.017	2278.05	323.388
8  	-2.6967 	343.639	2463.62	321.544
9  	-2.6967 	343.543	2442.67	324.034
10 	-2.6967 	344.668	2159.06	323.05 
11 	-2.6967 	343.497	2209.95	325.65 
12 	-2.6967 	348.024	2876.26	334.076
13 	-2.98243	346.725	2571.8 	338.235
14 	-2.98243	339.256	2102.39	317.933
15 	-2.98243	341.385	2145.5 	329.813
16 	-2.98243	345.858	2769.66	364.705
17 	-2.98243	345.776	3467.67	362.566
18 	-2.98243	341.329	2477.03	334.816
19 	-2.98243	347.66 	2572.8 	342.351
20 	-2.98243	351.908	3493.93	368.53 
21 	-2.98243	349.752	3325.77	361.347
22 	-2.98243	339.894	3003.1 	350.579
23 	-2.98243	333.37 	3494.5 	347.055
24 	-2.98243	326.546	3173.63	328.286
25 	-2.98243	324.88 	2939.94	333.148
26 	-3.71864	320.052	1957.34	305.043
27 	-3.71864	327.686	2508.79	325.272
28 	-3.71864	322.144	2074.3 	303.068
29 	-3.71864	327.159	2232.15	317.575
30 	-3.71864	327.24 	2753.73	327.695
31 	-3.71864	318.48 	2453.53	318.41 
32 	-3.71864	321.209	2409.32	321.516
33 	-3.71864	323.209	2277.82	313.051
34 	-3.71864	322.349	2312.91	319.665
35 	-3.71864	317.357	2124.37	309.758
36 	-5.77747	313.302	2066.26	309.411
37 	-5.77747	314.784	2066.26	292.747
38 	-5.77747	319.058	2144.48	312.958
39 	-5.77747	316.487	2608.09	302.156
40 	-5.77747	313.165	2608.09	297.272
41 	-5.77747	306.398	2942.13	293.074
42 	-5.77747	305.952	1640.93	278.524
43 	-5.77747	307.649	1640.93	273.542
44 	-5.77747	308.832	1664.2 	276.985
45 	-8.07466	313.544	2260.11	300.595
46 	-8.07466	308.963	2260.11	301.534
47 	-8.07466	311.449	2260.11	306.791
48 	-8.07466	316.476	2051.08	316.327
49 	-8.07466	308.164	2003.84	294.436
50 	-8.07466	306.081	2003.84	288.188
51 	-8.07466	299.688	2089.13	287.728
52 	-8.07466	306.013	2089.13	300.079
53 	-8.07466	306.069	2362.71	292.926
54 	-8.07466	305.45 	2362.71	294.662
55 	-8.07466	306.079	1954.86	305.481
56 	-8.07466	298.694	1954.86	290.294
57 	-8.07466	302.201	1823.03	298.059
58 	-8.07466	309.581	2272.89	327.975
59 	-8.07466	300.697	1820.67	310.482
60 	-8.07466	299.009	2449.86	305.462
61 	-8.07466	292.453	2254.78	294.808
62 	-8.07466	291.835	2242.29	295.408
63 	-8.07466	297.08 	2087.88	308.52 
64 	-8.07466	295.261	2036.65	307.928
65 	-8.07466	292.578	2051.97	303.255
66 	-8.07466	288.379	2016.78	287.473
67 	-8.07466	285.915	2124.35	280.191
68 	-8.07466	280.756	2555.98	281.248
69 	-8.07466	285.393	1898.13	281.599
70 	-8.07466	285.837	2210.77	295.777
71 	-8.07466	288.5  	2210.77	301.083
72 	-8.07466	288.626	2005.51	294.57 
73 	-8.07466	281.16 	1978.29	284.105
74 	-8.43376	281.381	1724.61	271.403
75 	-8.43376	281.675	1724.61	268.735
76 	-8.43376	274.481	1724.61	256.15 
77 	-8.43376	273.844	1623.69	264.014
78 	-8.43376	275.428	1559.93	264.232
79 	-8.43376	277.841	1747.26	268.817
80 	-8.43376	274.475	1798.29	275.576
81 	-8.43376	265.876	1747.26	260.469
82 	-8.43376	268.174	1855.56	271.632
83 	-8.43376	274.731	1747.26	278.748
84 	-8.43376	267.691	1669.65	270.413
85 	-8.43376	270.823	1611.9 	257.692
86 	-8.43376	266.374	1633.85	248.397
87 	-8.43376	268.696	1914.59	264.217
88 	-8.43376	265.098	1728.54	259.959
89 	-8.43376	263.907	2392.67	265.767
90 	-8.43376	262.168	2392.67	266.937
91 	-8.43376	266.401	1924.97	272.391
92 	-8.43376	261.804	1812.82	268.115
93 	-8.43376	260.856	2133.5 	267.554
94 	-8.43376	258.199	1972.07	262.092
95 	-8.43376	263.726	1995.29	273.973
96 	-8.43376	260.422	2096.72	258.637
97 	-8.43376	258.384	2081.93	256.239
98 	-8.43376	258.349	1678.78	263.083
99 	-8.43376	255.143	1678.78	257.452
100	-8.43376	248.664	1678.78	243.782
101	-8.43376	253.869	1715.93	264.842
102	-8.43376	254.076	1639.23	255.237
103	-8.43376	250.633	1649.2 	241.568
104	-8.43376	252.347	1746.59	255.427
105	-8.43376	251.925	2627.71	267.762
106	-8.43376	251.667	2213.32	249.798
107	-8.43376	244.322	1777.22	244.68 
108	-8.43376	244.538	1777.22	243.129
109	-8.43376	243.366	1777.22	239.475
110	-8.43376	243.387	2512.23	246.975
111	-8.43376	246.052	2383.79	257.494
112	-8.43376	238.724	1855.52	236.212
113	-8.43376	238.007	1567.41	230.446
114	-8.43376	242.086	1969.09	237.826
115	-8.43376	239.385	1853.03	242.405
116	-8.43376	244.436	1738.89	243.134
117	-8.43376	245.886	1654.8 	247.942
118	-8.43376	243.836	1631.84	236.15 
119	-8.43376	247.457	2036.86	243.747
120	-8.43376	245.879	1996.77	249.091
121	-8.43376	248.565	1829.72	252.384
122	-8.43376	248.714	1655.68	265.872
123	-8.43376	242.005	1675.86	252.197
124	-8.43376	240.364	2192.02	258.699
125	-8.43376	236.248	1550.16	236.896
126	-8.43376	239.074	1757.82	249.731
127	-8.43376	234.366	1813.1 	243.035
128	-8.43376	234.849	1578.87	248.868
129	-8.50616	237.511	1578.87	238.669
130	-8.50616	242.702	1869.62	249.188
131	-8.50616	235.7  	2015.36	238.08 
132	-8.50616	233.309	2015.36	230.882
133	-8.50616	226.573	1604.1 	225.024
134	-8.50616	232.077	1970.12	237.562
135	-8.50616	229.451	1570.96	217.279
136	-8.50616	233.863	1292.82	224.79 
137	-8.50616	221.182	1292.82	205.715
138	-8.50616	227.942	1760.15	218.315
139	-8.50616	221.892	1508.03	213.335
140	-8.50616	226.469	1670.93	219.024
141	-8.50616	225.913	1427.55	222.79 
142	-8.50616	223.717	1851.86	223.755
143	-8.50616	220.876	1820.59	211.28 
144	-8.50616	221.662	1590.99	216.574
145	-8.50616	225.781	1947.09	232.306
146	-8.50616	223.898	1402.74	217.222
147	-10.6822	225.457	1369.41	223.862
148	-10.6822	215.987	1497.4 	207.308
149	-10.6822	218.642	1382.2 	206.819
150	-10.6822	219.719	1395.09	218.569
151	-10.6822	222.12 	1452.36	216.638
152	-10.6822	224.332	1395.09	220.928
153	-10.6822	223.663	1395.09	224.689
154	-10.6822	224.858	1433.21	223.165
155	-10.6822	220.862	1433.21	215.841
156	-10.6822	216.833	1288.27	202.811
157	-10.6822	218.919	1762.83	218.294
158	-10.6822	217.316	1762.83	220.631
159	-10.6822	219.213	1587.53	226.947
160	-10.6822	213.881	1433.82	218.727
161	-10.6822	212.613	1433.82	218.735
162	-10.6822	210.919	1465.87	212.838
163	-10.6822	216.134	1736.83	226.259
164	-10.6822	219.853	1648.07	226.646
165	-10.6822	217.514	1405.34	224.581
166	-10.6822	212.015	1779.69	219.352
167	-10.6822	214.292	1779.69	220.108
168	-10.6822	214.93 	1779.69	223.629
169	-10.6822	216.608	1779.69	238.446
170	-10.6822	217.962	1779.69	231.172
171	-10.6822	212.296	1773.83	213.16 
172	-10.6822	212.269	1584.41	213.12 
173	-10.6822	213.317	1192.38	212.935
174	-10.6822	214.16 	1400.75	217.426
175	-10.6822	210.13 	1786.52	214.282
176	-10.6822	217.966	1689.01	224.48 
177	-10.6822	213.385	1347.52	216.868
178	-10.6822	205.985	1446.5 	202.488
179	-10.6822	202.127	1253.26	191.312
180	-10.6822	201.162	1226.11	198.692
181	-10.6822	203.503	1596.89	208.661
182	-10.6822	203.446	1460.64	199.88 
183	-10.6822	200.258	1460.64	203.653
184	-10.6822	199.87 	1261.25	198.164
185	-10.6822	190.205	1135.15	174.747
186	-10.6822	190.346	1357.3 	185.441
187	-10.6822	188.851	1209.68	182.189
188	-10.6822	191.696	1251.57	188.84 
189	-10.6822	195.492	1629.59	197.929
190	-10.6822	189.104	1377.82	179.08 
191	-10.6822	187.576	1299.78	181.449
192	-10.6822	196.152	1735.18	200.888
193	-10.6822	194.183	1631.04	191.972
194	-10.6822	192.22 	1384   	191.69 
195	-10.6822	193.091	1231.78	192.485
196	-10.6822	195.574	1443.98	204.017
197	-10.6822	190.76 	1493.13	195.489
198	-10.6822	188.054	1379.31	177.144
199	-10.6822	194.103	1572.01	198.519
200	-10.6822	193.154	1520.2 	191.555
201	-10.6822	196.313	1492.97	203.021
202	-10.6822	186.113	1315.52	178.413
203	-10.6822	186.397	1335.93	183.185
204	-10.6822	189.249	1419.34	190.75 
205	-10.6822	191.104	1419.34	194.562
206	-10.6822	190.366	1476.2 	191.614
207	-10.6822	189.613	1135.3 	185.61 
208	-10.6822	187.465	1675.46	191.828
209	-10.6822	184.139	1425.05	186.336
210	-10.6822	185.623	1338.11	186.481
211	-10.6822	181.853	1220.44	172.05 
212	-10.6822	182.532	1246.06	181.837
213	-10.6822	184.455	1153.08	179.294
214	-10.6822	175.806	1138.42	167.317
215	-10.6822	179.139	1859.02	186.915
216	-10.6822	179.313	1115.73	178.972
217	-10.6822	181.558	1473.04	195.094
218	-10.6822	181.971	1365.5 	185.693
219	-10.6822	179.801	1423.65	183.662
220	-10.6822	175.745	1394.46	170.804
221	-10.6822	174.536	1077.4 	166.539
222	-10.6822	178.502	1914   	190.334
223	-10.6822	177.113	1243.74	176.983
224	-10.6822	178.622	1243.74	174.793
225	-10.6822	176.06 	1216.51	169.158
226	-10.6822	177.226	1392.45	175.708
227	-10.6822	181.87 	1501.12	191.799
228	-10.6822	175.089	1449.01	179.838
229	-10.6822	174.157	1327.54	175.678
230	-10.6822	171.932	1117.16	162.595
231	-10.6822	175.236	1488.85	175.987
232	-11.6078	175.66 	1223.54	168.504
233	-11.6078	179.424	1223.54	180.337
234	-11.6078	176.55 	1085.19	168.872
235	-11.6078	177.102	1091.02	174.387
236	-11.6078	176.701	1087.31	169.68 
237	-11.6078	183.304	1686.56	188.617
238	-11.6078	180.959	1686.56	188.698
239	-11.6078	178.248	1486.52	181.802
240	-11.6078	179.043	1020.51	176.101
241	-11.6078	174.891	1020.51	171.023
242	-11.6078	175.649	1092.67	172.712
243	-11.6078	174.635	1370.78	177.682
244	-11.6078	166.971	1305.38	160.395
245	-11.6078	166.678	1107.87	163.65 
246	-11.6078	167.03 	1171.57	167.933
247	-11.6078	164.557	1192.48	162.508
248	-11.6078	167.907	1157.35	161.26 
249	-11.6078	165.516	944.091	151.937
250	-11.6078	167.415	1180.51	157.567
251	-11.6078	170.117	1270.74	168.413
252	-11.6078	171.583	1204.76	171.233
253	-11.6078	169.042	1291.18	166.655
254	-11.6078	170.213	1291.18	173.182
255	-11.6078	165.862	1032.35	161.418
256	-11.6078	166.906	1026.1 	165.968
257	-11.6078	168.414	1045.31	169.882
258	-11.6078	168.095	1318.71	166.695
259	-11.6078	167.685	1356.39	166.418
260	-11.6078	168.805	1754.48	177.935
261	-11.6078	160.003	1313.17	159.377
262	-11.6078	164.253	1216.04	167.704
263	-11.6078	165.196	1394.02	166.566
264	-11.6078	164.933	1054.88	163.898
265	-11.6078	162.96 	983.511	156.691
266	-11.6078	160.14 	983.511	157.343
267	-11.6078	157.874	1019.12	149.867
268	-11.6078	158.27 	1643.11	159.349
269	-11.6078	152.819	1215.27	145.772
270	-11.6078	155.947	1070.76	147.476
271	-11.6078	154.637	1070.76	151.999
272	-11.6078	154.952	1070.76	148.062
273	-11.6078	154.625	1070.76	150.663
274	-11.6078	155.859	1017.72	150.063
275	-11.6078	156.749	897.36 	146.952
276	-11.6078	159.552	997.628	156.119
277	-11.6078	161.06 	1569.48	166.642
278	-11.6078	160.328	1229.3 	167.472
279	-11.6078	158.787	1334.79	163.933
280	-11.6078	151.477	1131.89	147.916
281	-11.8094	153.013	1214.47	154.993
282	-11.8094	152.192	1033.73	147.004
283	-13.0973	152.844	1033.73	148.243
284	-13.0973	154.911	1095.62	150.756
285	-13.0973	154.323	1033.73	150.615
286	-13.0973	153.593	1138.96	152.587
287	-13.0973	151.687	1053.32	153.757
288	-13.0973	151.443	1093.27	153.556
289	-13.0973	154.739	1081.82	163.114
290	-13.0973	150.014	1063.21	146.833
291	-13.0973	151.689	1063.21	150.101
292	-13.0973	157.337	1722.31	173.294
293	-13.0973	153.626	1137.32	158.911
294	-13.0973	154.651	1137.32	160.588
295	-13.0973	151.258	1279.6 	157.071
296	-13.0973	149.779	1279.6 	150.259
297	-13.0973	152.008	1255.47	158.731
298	-13.0973	149.706	1230.02	149.792
299	-13.0973	152.144	1226.17	158.401
300	-13.0973	145.172	1188.53	146.288
301	-13.0973	143.771	1210.02	141.054
302	-13.0973	144.061	994.411	134.999
303	-13.0973	143.468	973.145	132.325
304	-13.0973	141.474	1061.95	130.698
305	-13.0973	141.983	1061.95	136.81 
306	-13.0973	141.617	1061.95	136.053
