/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min     	avg     	max   	std    
0  	-97.2989	-71.5665	11.495	15.8748
1  	-97.2989	-71.5819	-5.22929	15.7232
2  	-97.2989	-71.8724	-3.27187	15.1457
3  	-97.2989	-72.1696	-1.80973	14.6493
4  	-97.2989	-71.7046	18.9972 	15.4642
5  	-97.2989	-71.6423	-0.446749	15.3954
6  	-97.2989	-72.1096	-0.446749	15.0487
7  	-97.2989	-72.0025	-0.83698 	15.3339
8  	-97.2989	-71.6959	-0.886055	15.2566
9  	-97.2989	-71.3326	4.71209  	15.4279
10 	-97.2989	-71.4615	0.331712 	15.1487
11 	-97.2989	-71.446 	-4.99734 	15.7064
12 	-97.2989	-71.2097	-6.57359 	15.1278
13 	-97.2989	-70.9737	12.7253  	15.2715
14 	-97.2989	-71.2354	-5.78815 	14.7737
15 	-97.2989	-71.4992	37.9781  	15.0099
16 	-97.2989	-71.6307	17.4429  	14.5181
17 	-97.2989	-71.382 	-3.5045  	14.7659
18 	-97.2989	-71.2319	0.0654414	15.346 
19 	-97.2989	-71.0334	0.0654414	16.1263
20 	-97.2989	-71.3508	10.9901  	15.9029
21 	-97.2989	-71.2753	19.3873  	16.014 
22 	-97.2989	-70.7599	39.7945  	17.1358
23 	-97.2989	-71.2072	39.7945  	16.712 
24 	-97.2989	-71.38  	23.8911  	16.1658
25 	-97.2989	-71.343 	41.8214  	16.4727
26 	-97.2989	-71.5433	23.8655  	15.9802
27 	-97.2989	-71.3101	19.437   	16.7777
28 	-97.2989	-71.2459	13.9522  	16.2253
29 	-97.2989	-71.5583	14.3398  	15.8282
30 	-97.2989	-71.9202	-3.36841 	15.0425
31 	-97.2989	-71.4899	-0.226652	15.4576
32 	-97.2989	-71.0828	-0.226652	16.1979
33 	-97.2989	-70.6397	11.7534  	16.7885
34 	-97.2989	-70.9731	22.9371  	16.8933
35 	-97.2989	-71.0388	28.7281  	17.296 
36 	-97.2989	-70.5726	26.6172  	17.4588
37 	-97.2989	-70.8417	24.7791  	16.9003
38 	-97.2989	-71.0334	22.4184  	17.0514
39 	-97.2989	-71.1545	10.3634  	16.4331
40 	-97.2989	-71.0468	-7.65381 	16.9169
41 	-97.2989	-71.0719	-5.04957 	16.2898
42 	-97.2989	-71.4546	6.32211  	16.077 
43 	-97.2989	-71.3416	19.9854  	16.001 
44 	-97.2989	-71.4293	0.0710035	15.9604
45 	-97.2989	-71.5332	15.9115  	15.8093
46 	-97.2989	-71.6872	3.46697  	16.067 
47 	-97.2989	-71.1218	8.01738  	16.8595
48 	-97.2989	-71.3653	13.3348  	16.6979
49 	-97.2989	-71.1273	14.5408  	16.7984
50 	-97.2989	-70.8597	45.8856  	17.7341
51 	-97.2989	-70.9002	33.491   	17.7248
52 	-97.2989	-70.7416	22.2065  	17.152 
53 	-97.2989	-71.0844	21.311   	16.9943
54 	-97.2989	-70.8973	33.2964  	17.9951
55 	-97.2989	-71.1181	54.4922  	18.3213
56 	-97.2989	-71.171 	51.1604  	17.552 
57 	-97.2989	-70.9123	39.1933  	18.2968
58 	-97.2989	-70.9899	54.7153  	17.4428
59 	-97.2989	-70.6169	44.6271  	18.5905
60 	-97.2989	-70.6201	20.8304  	18.0647
61 	-97.2989	-71.2703	19.5116  	17.1635
62 	-97.2989	-71.6408	10.6962  	17.0333
