/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min     	avg     	max    	std    
0  	-97.2581	-70.1979	51.0728	17.9892
1  	-97.2581	-70.7508	29.9791	16.2228
2  	-97.2581	-71.096 	29.9791	16.1738
3  	-97.2581	-70.2632	0.514024	16.6195
4  	-97.2581	-70.3817	12.3623 	16.7839
5  	-97.2581	-70.5449	25.9971 	16.6072
6  	-97.2581	-70.2523	16.417  	16.8877
7  	-97.2581	-70.6505	1.30762 	16.0034
8  	-97.2581	-70.7071	4.0591  	16.221 
9  	-97.2581	-70.2816	4.45016 	16.0054
10 	-97.2581	-70.1714	35.8663 	16.3439
11 	-97.2581	-70.019 	1.23896 	16.6127
12 	-97.2581	-69.9982	16.2368 	16.8825
13 	-97.2581	-70.0859	15.5749 	16.6978
14 	-97.2581	-70.0168	15.5749 	16.6253
15 	-97.2581	-70.2104	14.7538 	17.2251
16 	-97.2581	-69.9971	6.63721 	17.8782
17 	-97.2581	-69.8457	4.36149 	17.5676
18 	-97.2581	-69.6966	18.7624 	17.2735
19 	-97.2581	-69.3776	16.528  	17.4987
20 	-97.2581	-69.5897	16.528  	17.5954
21 	-97.2581	-69.521 	53.842  	17.7796
22 	-97.2581	-69.9708	22.2867 	17.0508
23 	-97.2581	-69.5013	30.1125 	17.8429
24 	-97.2581	-69.6034	33.4693 	17.7917
25 	-97.2581	-69.7535	24.3045 	17.6457
26 	-97.2581	-69.6869	4.7097  	17.7968
27 	-97.2581	-69.5263	34.4491 	18.7801
28 	-97.2581	-69.3891	12.6111 	17.8525
29 	-97.2581	-69.1552	17.8336 	19.1394
30 	-98.3643	-69.5035	32.5597 	18.6481
31 	-98.3643	-69.4307	41.5045 	18.7929
32 	-98.3643	-68.8854	61.05   	20.0664
33 	-98.3643	-69.009 	44.0176 	19.249 
34 	-98.3643	-69.2703	29.7948 	18.3707
35 	-98.3643	-69.2958	22.6401 	18.4079
36 	-98.3643	-69.7837	15.4554 	17.2997
37 	-98.3643	-69.5938	36.1152 	17.9841
38 	-98.3643	-69.7595	32.3211 	18.3168
39 	-98.3643	-69.7147	52.8747 	18.5391
40 	-98.3643	-69.6268	52.8747 	18.1894
41 	-98.3643	-69.1378	49.7682 	18.8674
42 	-98.3643	-69.0085	49.7682 	18.2114
43 	-98.3643	-69.0604	28.223  	18.4739
44 	-98.3643	-69.231 	44.626  	18.4545
45 	-98.3643	-69.8205	44.626  	17.8833
46 	-98.3643	-69.9982	6.829   	16.8605
47 	-98.3643	-70.0008	4.76028 	16.9685
48 	-98.3643	-69.3102	49.6191 	18.8176
49 	-98.3643	-69.0542	44.3511 	18.7852
50 	-98.3643	-69.0492	42.369  	18.4022
51 	-98.3643	-68.9667	15.4002 	18.5535
52 	-98.3643	-68.709 	33.0462 	19.0905
53 	-98.3643	-69.2145	38.2729 	18.7208
54 	-98.3643	-69.1001	40.4985 	19.057 
55 	-98.3643	-69.703 	40.4985 	18.1686
56 	-98.3643	-69.7901	40.4985 	18.0267
57 	-98.3643	-69.2152	22.1237 	18.8348
58 	-98.3643	-69.2131	20.3812 	18.6909
59 	-98.3643	-69.1445	25.9791 	19.3627
60 	-98.3643	-69.0225	48.4601 	20.1073
61 	-98.3643	-68.7906	28.592  	20.052 
62 	-98.3643	-68.7467	55.3251 	20.0403
63 	-98.9515	-68.6435	28.592  	19.83  
64 	-98.9515	-68.5581	19.5233 	19.4922
65 	-98.9515	-68.0761	40.5238 	19.92  
66 	-98.9515	-67.9388	43.9155 	20.031 
67 	-98.9515	-68.2863	43.9155 	19.6067
68 	-98.9515	-68.5676	29.0658 	19.0741
69 	-98.9515	-68.2084	25.5965 	19.3984
70 	-98.9515	-67.9271	47.0258 	20.0654
71 	-98.9515	-68.0952	37.8656 	19.9476
72 	-98.9515	-68.2084	37.8656 	19.8089
73 	-98.9515	-67.8912	27.5724 	20.1689
74 	-98.9515	-67.8888	63.279  	20.4191
75 	-98.9515	-67.9669	63.279  	20.5477
76 	-98.9515	-68.441 	36.9196 	19.4185
77 	-98.9515	-68.3237	31.4329 	19.788 
78 	-98.9515	-68.177 	28.5235 	20.3661
79 	-98.9515	-68.3803	23.321  	19.8134
80 	-98.9515	-68.3418	29.0079 	19.6918
81 	-98.9515	-68.6728	17.2607 	19.5379
82 	-98.9515	-68.6446	34.8316 	20.2362
83 	-98.9515	-68.4502	39.9274 	20.3721
84 	-98.9515	-68.6253	39.9274 	19.9112
85 	-98.9515	-68.6249	41.5436 	20.1931
86 	-98.9515	-68.5809	41.5436 	19.942 
87 	-98.9515	-68.7581	23.4956 	19.9451
88 	-98.9515	-68.0144	47.7437 	21.0954
89 	-98.9515	-67.8804	41.8878 	21.1487
90 	-98.9515	-68.239 	41.8878 	20.0459
91 	-98.9515	-68.2107	35.6955 	20.2257
92 	-98.9515	-68.4058	35.7112 	20.2898
93 	-98.9515	-68.8205	35.2259 	19.8197
94 	-98.9515	-68.8177	35.2259 	19.5227
95 	-98.9515	-68.2944	26.7086 	20.6265
96 	-98.9515	-69.2324	20.5241 	19.6137
97 	-98.9515	-69.6294	54.6765 	19.0662
98 	-98.9515	-69.8292	48.7458 	18.6226
99 	-98.9515	-69.8947	32.0557 	18.9919
100	-98.9515	-69.4908	52.6827 	19.7666
101	-98.9515	-69.4713	53.6868 	19.8724
102	-98.9515	-69.6805	66.5279 	19.9975
103	-98.9515	-69.5766	26.4356 	19.4197
104	-98.9515	-69.6691	23.2273 	19.3475
105	-98.9515	-69.3884	30.0882 	19.522 
106	-99.1377	-69.3038	35.9831 	19.418 
107	-99.1377	-69.3306	79.2941 	19.9745
108	-99.1377	-69.0969	59.3581 	19.9039
109	-99.1377	-68.9598	42.3083 	19.5992
110	-99.1377	-69.0356	24.027  	20.3044
111	-99.1377	-68.8978	33.2446 	19.8909
112	-99.1377	-68.5705	40.4048 	20.1276
113	-99.1377	-68.7029	30.6782 	19.0113
114	-99.1377	-69.042 	33.8867 	19.0125
115	-99.1377	-69.0437	41.0656 	18.6979
116	-99.1377	-69.4267	21.8807 	18.6485
117	-99.1377	-69.6034	20.0452 	18.6292
118	-99.1377	-69.3203	25.5763 	19.3424
119	-99.1377	-69.3565	58.3221 	19.8546
120	-99.1377	-69.9453	34.9013 	18.9622
121	-99.1377	-69.9949	37.8728 	19.3905
122	-99.1377	-70.0766	11.2359 	18.9154
123	-99.1377	-70.1645	8.67132 	18.5132
124	-99.1377	-69.7516	26.1002 	20.3388
125	-99.1377	-69.8143	26.1002 	19.9357
126	-99.1377	-69.8948	31.587  	19.7957
127	-99.1377	-70.1238	37.2085 	19.3089
128	-99.1377	-70.1233	31.4983 	19.3353
129	-99.1377	-70.3492	31.4221 	18.8948
130	-99.1377	-69.8097	45.208  	19.6638
131	-99.1377	-69.9597	45.208  	19.4547
132	-99.1377	-69.5211	29.1011 	19.8473
133	-99.1377	-69.294 	41.1899 	20.683 
134	-99.1377	-69.4862	79.4384 	20.7853
135	-99.1377	-69.4968	66.0515 	20.2227
136	-99.1377	-69.157 	35.6228 	20.287 
137	-99.1377	-69.6368	30.3318 	19.5292
138	-99.1377	-69.6165	33.9399 	20.5071
139	-99.1377	-69.723 	29.4237 	20.2794
140	-99.1377	-69.7627	96.4898 	21.708 
141	-99.1377	-69.5917	43.7262 	20.8196
142	-99.1377	-69.3535	43.962  	21.5006
143	-99.1377	-69.1341	52.347  	21.2151
144	-99.1377	-69.1023	83.1616 	21.2093
145	-99.1377	-69.0921	52.347  	20.9268
146	-99.1377	-69.8185	24.9399 	19.186 
147	-99.1377	-69.6132	19.3893 	20.0694
148	-99.1377	-69.4149	45.8801 	20.8265
149	-99.1377	-70.0216	66.0295 	19.982 
150	-99.1377	-70.0112	41.4127 	19.7071
151	-99.1377	-70.0118	48.9477 	19.6331
152	-99.1377	-70.1373	42.232  	18.7491
153	-99.1377	-70.1696	11.8578 	18.3992
154	-99.1377	-69.8425	50.3661 	19.5109
155	-99.1377	-69.8062	38.3555 	19.1662
156	-99.1377	-70.1263	39.0516 	20.3595
157	-99.1377	-69.793 	39.0516 	20.7225
158	-99.1377	-69.8099	43.8589 	21.1769
159	-99.1377	-69.7159	46.1461 	21.4099
160	-99.1377	-69.7729	43.8589 	21.1503
161	-99.1377	-70.0452	37.9599 	20.7601
162	-99.1377	-70.2449	47.1825 	20.3998
163	-99.1377	-70.1823	47.1825 	20.3524
164	-99.1377	-70.4658	20.907  	19.7889
165	-99.1377	-70.4656	24.2216 	19.3232
166	-99.1377	-70.4516	38.4759 	19.138 
167	-99.1377	-70.2566	60.9545 	20.0755
168	-99.1377	-70.1922	64.589  	20.1346
169	-99.1377	-70.302 	46.2894 	20.7143
170	-99.1377	-70.0756	57.107  	20.9703
171	-99.1377	-70.0008	57.107  	20.8621
172	-99.1377	-70.3622	57.107  	20.0276
173	-99.1377	-70.1346	42.0004 	19.8643
174	-99.1377	-70.5348	22.2502 	18.7632
175	-99.1377	-70.3593	40.5101 	19.5095
176	-99.1377	-70.5229	40.5101 	19.0502
177	-99.1377	-70.3698	40.5101 	19.4989
178	-99.1377	-70.2224	23.4859 	19.8369
179	-99.1377	-70.6822	23.4859 	19.7089
180	-99.1377	-70.6126	16.4046 	19.7538
181	-99.1377	-70.5914	25.1084 	19.8355
182	-99.1377	-70.3906	41.6272 	20.9384
183	-99.1377	-69.9478	47.3502 	21.2905
184	-99.1377	-70.2879	47.3502 	20.5084
185	-99.1377	-70.2067	27.3389 	20.3694
186	-99.1377	-70.0282	47.9844 	20.843 
187	-99.1377	-69.9699	43.0238 	20.5199
188	-99.1377	-70.0712	43.0238 	20.7628
189	-99.1377	-69.4765	91.3326 	22.2215
190	-99.1377	-69.8545	91.3326 	22.456 
191	-99.1377	-69.5554	76.8519 	22.5546
192	-99.1377	-70.1533	38.0723 	20.5748
193	-99.1377	-69.9789	36.798  	20.3284
194	-99.1377	-70.3445	31.742  	19.0487
195	-99.1377	-70.4964	17.7934 	19.0495
196	-99.1377	-70.5823	56.3008 	19.9756
197	-99.1377	-70.3133	60.8872 	20.4503
198	-99.1377	-70.3764	56.3008 	20.4089
199	-99.1377	-70.392 	50.4984 	20.4308
200	-99.1377	-69.6549	96.8876 	22.0463
201	-99.1377	-70.1627	94.2515 	21.0431
202	-99.1377	-70.8443	51.8882 	19.6139
203	-99.1377	-70.5751	65.6064 	20.3479
204	-99.1377	-70.3908	41.8142 	20.9954
205	-99.1377	-69.9679	39.129  	20.8625
206	-99.1377	-70.607 	37.0263 	19.6385
207	-99.1377	-70.629 	37.0263 	19.9058
208	-99.1377	-70.6983	57.2448 	20.1842
209	-99.1377	-70.7911	58.996  	20.2236
210	-99.1377	-70.8027	56.9928 	19.9293
211	-99.1377	-70.8789	52.3393 	19.7805
212	-99.1377	-71.0056	46.929  	19.5233
213	-99.1377	-70.3632	25.7463 	19.9721
214	-99.1377	-70.2139	39.2337 	19.4793
215	-99.1377	-70.1171	39.2337 	20.316 
216	-99.1377	-70.5432	71.4908 	19.9843
217	-99.1377	-71.1749	38.6674 	18.5149
218	-99.1377	-70.8528	27.9386 	19.7765
219	-99.1377	-70.7158	27.9386 	19.5019
