/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg     	max    	std    
0  	-93.901	-71.4708	14.3176	15.8161
1  	-94.4712	-71.5255	9.1571 	15.6256
2  	-95.5495	-71.6779	1.07212	14.8508
3  	-95.5495	-71.7075	2.60805	15.0115
4  	-95.5495	-71.7589	-4.62435	14.5384
5  	-95.5495	-71.6645	4.63729 	14.4036
6  	-95.7306	-71.7145	-4.69852	14.7184
7  	-95.7306	-71.1217	5.81652 	15.2946
8  	-95.7306	-70.7564	-3.13407	15.5276
9  	-95.7306	-71.0228	25.1358 	15.9854
10 	-95.7306	-70.918 	14.185  	15.5689
11 	-95.7306	-71.1209	0.440722	15.0159
12 	-95.8838	-71.132 	0.440722	15.2642
13 	-96.6151	-71.087 	8.67044 	15.8179
14 	-96.6151	-70.8887	0.440722	16.0353
15 	-96.6151	-71.5297	-3.97132	15.2484
16 	-96.6151	-71.1784	20.4584 	16.0019
17 	-96.6151	-71.0835	15.1178 	16.1602
18 	-96.6151	-71.1374	17.9536 	16.1933
19 	-96.6151	-71.1423	9.50875 	16.2381
20 	-96.6151	-70.8635	17.7951 	16.6607
21 	-96.6151	-70.703 	28.6243 	16.3419
22 	-96.6151	-70.5174	20.5716 	16.841 
23 	-96.6151	-70.2767	20.5716 	16.8596
24 	-96.6151	-70.4103	16.6299 	17.2988
25 	-96.6151	-70.214 	16.6299 	17.3925
26 	-96.6151	-70.4156	26.1784 	16.9927
27 	-96.6151	-70.549 	26.1784 	16.7679
28 	-96.6151	-70.0684	60.7286 	17.9068
29 	-96.6151	-70.4979	29.762  	16.8066
30 	-96.6151	-70.0666	26.1784 	17.7817
31 	-96.9085	-69.8552	32.6981 	18.541 
32 	-96.9085	-69.8317	32.6981 	18.4368
33 	-96.9085	-69.8734	45.0559 	18.7527
34 	-96.9085	-69.9368	35.4863 	18.4381
35 	-96.9085	-70.0534	29.6704 	18.2432
36 	-96.9085	-70.1916	18.5924 	17.4847
37 	-96.9085	-69.8062	21.0398 	17.7333
38 	-96.9085	-69.923 	22.1699 	17.5511
39 	-97.5233	-70.12  	21.4223 	17.3669
40 	-97.5233	-70.339 	32.7331 	17.7063
41 	-97.5233	-70.188 	21.4223 	18.0304
42 	-97.5233	-69.9568	13.1162 	18.2063
43 	-97.5233	-70.276 	8.14148 	17.9859
44 	-97.5233	-70.054 	14.9437 	18.2883
45 	-97.5233	-70.2882	53.326  	18.1791
46 	-97.5233	-70.1559	53.2375 	18.6285
47 	-97.5233	-70.3854	23.5713 	17.5276
48 	-97.5233	-70.6883	10.4681 	16.5109
49 	-97.5233	-70.2296	40.9907 	17.825 
50 	-97.5233	-70.3365	24.942  	17.5451
51 	-97.5233	-70.437 	13.9252 	17.1251
52 	-97.5233	-70.4773	10.5709 	17.0911
53 	-97.5233	-70.939 	38.2263 	17.3008
54 	-97.5233	-70.6727	18.7016 	17.531 
55 	-97.5233	-70.1597	18.7016 	17.6566
56 	-97.5233	-70.3231	25.4639 	17.8037
57 	-97.5233	-70.4041	53.5846 	18.6519
58 	-97.5233	-70.4963	12.1988 	17.5322
59 	-97.5233	-70.3718	40.7119 	18.4163
60 	-97.5233	-70.1715	50.0246 	18.8811
61 	-97.5233	-70.4583	13.9309 	17.9206
62 	-97.5233	-70.6227	6.88676 	17.5707
63 	-97.5233	-70.0817	7.54241 	17.667 
64 	-97.5233	-70.2026	5.68339 	17.2314
65 	-97.5233	-70.1155	23.994  	17.868 
66 	-97.5233	-69.9623	53.3945 	18.893 
67 	-97.5233	-70.2044	31.9664 	18.2635
68 	-97.9103	-70.3078	22.3477 	17.9741
69 	-97.9103	-70.0594	22.3477 	18.4218
70 	-97.9103	-70.0083	14.863  	18.227 
71 	-98.0661	-69.5883	58.0863 	19.8035
72 	-98.0661	-69.4444	54.8863 	19.5655
73 	-98.0661	-69.1075	101.031 	21.0682
74 	-98.0661	-69.3683	53.3418 	19.8618
75 	-98.1513	-69.7748	42.1915 	19.0158
76 	-98.1513	-69.6792	22.4838 	18.934 
77 	-98.1513	-70.0158	28.1171 	19.1382
78 	-98.1513	-70.0714	28.1171 	18.3086
79 	-98.1513	-69.9332	44.5609 	18.5206
80 	-98.1513	-69.5349	46.9932 	19.2683
