/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min     	avg     	max    	std   
0  	-95.1647	-69.7868	18.1414	16.978
1  	-95.1647	-70.1229	42.8775	16.6763
2  	-95.1647	-70.4053	24.6693	15.7281
3  	-95.1647	-70.2908	15.5573	15.9152
4  	-95.1647	-69.7654	23.7481	17.0388
5  	-95.1647	-69.908 	23.7481	16.0736
6  	-95.1647	-69.9037	15.5573	15.692 
7  	-95.1647	-69.5331	7.30802	16.1783
8  	-95.1647	-69.5841	16.9094	17.1115
9  	-95.1647	-69.9106	18.2877	16.9138
10 	-95.1647	-69.6928	22.179 	17.1313
11 	-95.1647	-69.92  	18.1966	16.9373
12 	-95.1647	-69.8759	3.23149	16.2144
13 	-95.2724	-69.8887	21.832 	15.8877
14 	-95.2724	-69.5667	37.1203	16.7914
15 	-95.2724	-69.3714	-0.578916	16.2437
16 	-95.2724	-69.5903	-2.14548 	16.3101
17 	-95.2724	-69.0274	27.1851  	17.191 
18 	-97.8645	-69.3696	11.3216  	16.9117
19 	-97.8645	-69.4037	12.6691  	17.0437
20 	-97.8645	-69.4357	13.1791  	17.397 
21 	-97.8645	-69.6165	16.95    	16.9715
22 	-97.8645	-69.9882	12.383   	16.6387
23 	-97.8645	-69.8294	19.5111  	16.9947
24 	-97.8645	-69.7883	11.7857  	16.6813
25 	-97.8645	-70.2494	16.9732  	16.5847
26 	-97.8645	-69.8349	16.9732  	16.9923
27 	-97.8645	-69.9729	18.9407  	16.9138
28 	-97.8645	-69.9184	18.9407  	16.7417
29 	-97.8645	-69.8831	18.9407  	16.5447
30 	-97.8645	-70.0028	17.3101  	16.6417
31 	-97.8645	-69.7491	7.89792  	16.7896
32 	-97.8645	-69.6114	40.1927  	17.2586
33 	-97.8645	-69.931 	7.89792  	16.4258
34 	-97.8645	-69.7229	32.491   	17.8142
35 	-97.8645	-70.2393	34.7429  	17.5531
36 	-97.8645	-70.0077	31.4815  	17.4479
37 	-97.8645	-69.8685	22.815   	17.6219
38 	-97.8645	-69.6796	11.022   	17.7986
39 	-97.8645	-69.8276	43.1305  	18.0437
40 	-97.8645	-69.3245	43.1305  	19.1363
41 	-97.8645	-69.7927	37.819   	18.0729
42 	-97.8645	-69.4291	21.2007  	17.7187
43 	-97.8645	-69.3303	21.2007  	17.9444
44 	-97.8645	-69.3322	13.0222  	17.6   
45 	-97.8645	-69.5438	18.8017  	17.2946
46 	-97.8645	-70.0515	16.5475  	16.7616
47 	-97.8645	-70.0593	18.536   	17.2866
48 	-97.8645	-70.165 	26.1636  	16.9084
49 	-97.8645	-70.4238	34.9295  	16.5106
50 	-97.8645	-69.9709	19.0901  	17.5887
51 	-97.8645	-69.9373	13.0272  	17.5572
52 	-97.8645	-70.2161	8.16368  	17.2596
53 	-97.8645	-70.3705	21.8019  	17.192 
