/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min     	avg    	max   	std  
0  	-542.569	70738.1	254148	51842
1  	-542.569	70116.6	249958	50021
2  	-542.569	69748.1	242974	49517.8
3  	-542.569	69659  	251312	50426.3
4  	-542.569	69160.2	251312	49655.9
5  	-543.49 	69213.4	251312	49707.2
6  	-543.49 	68543.4	273734	49275.8
7  	-543.49 	68647  	230000	48610.4
8  	-543.49 	68705.2	263899	49761.9
9  	-543.49 	68913.2	255369	49797.7
10 	-543.49 	69172.1	269984	50972.7
11 	-543.49 	69230.6	295137	51625.2
12 	-543.49 	68843.5	260308	50987.3
13 	-543.49 	68716.6	269133	51512.5
14 	-543.49 	68880.2	335033	51801.8
15 	-543.49 	68264.6	277780	50737.2
16 	-543.49 	67601.9	269252	49545  
17 	-543.49 	67703.9	248666	49682.4
18 	-543.49 	67681.9	237712	49167  
19 	-543.49 	67531  	250158	50080.9
20 	-543.49 	66796.4	254436	49887.7
21 	-543.49 	66403.6	253770	50266.5
22 	-543.49 	66228.9	271205	50119.5
23 	-543.49 	66233.8	252598	49639.9
24 	-543.49 	65992.2	243102	49980.7
25 	-543.49 	66049.1	238915	49201.5
26 	-543.49 	66015.1	273439	50473.3
27 	-543.49 	65909.1	260080	50266.4
28 	-543.49 	65751.5	259195	49722.8
29 	-543.49 	65459.2	254036	49140.7
30 	-543.49 	65178.7	254036	50108.4
31 	-543.49 	65185.9	272655	50518.4
32 	-543.49 	64932.7	252814	49947.8
33 	-543.49 	64739.4	262087	50074.6
34 	-543.49 	65281.5	262439	50993.4
35 	-543.49 	64929.3	232076	49933.8
36 	-543.49 	64975.7	233317	49707.7
37 	-543.49 	64813.6	254077	49631.3
38 	-543.49 	64170.5	253625	48398.7
39 	-543.491	64386.4	266941	50063.2
40 	-543.491	64145.1	256029	49424.2
41 	-543.491	63708.1	314935	49500.1
42 	-543.491	63386.2	314935	50155.8
43 	-543.491	63200.2	259207	49883.9
44 	-543.491	62913.8	248522	49928.1
45 	-543.491	62928.7	255197	50810.8
46 	-543.491	62979.7	256335	50976.6
47 	-543.491	62699.7	251148	49956.2
48 	-543.491	62474.8	283715	51078.5
49 	-543.491	62458.2	277369	51041.5
50 	-543.491	62200.3	258214	49441.9
51 	-543.491	61848.2	258214	48470.1
52 	-543.491	61396.6	239301	47454.3
53 	-543.491	61528.7	237124	47351.3
54 	-543.491	61548.9	242269	48243.9
55 	-543.491	60940  	242269	47184.6
56 	-543.491	60454.1	245630	46432  
57 	-543.491	60256.6	226650	45206  
58 	-543.491	60047.1	234783	46239.2
59 	-543.491	60095.1	226468	45902.9
60 	-543.491	60235.1	236068	45752.5
61 	-543.491	59962.9	236068	45535.2
62 	-543.491	59813.1	236068	45536.3
63 	-543.491	59855.8	229978	45300.9
64 	-543.491	59848.1	217688	45376.5
65 	-543.491	59813  	231283	46050.6
66 	-543.491	59888.7	217688	46712  
67 	-543.491	59769.3	217670	45858.9
68 	-543.491	59416.7	217669	45811.3
69 	-543.491	59583.2	248042	47194.6
70 	-543.491	59318.5	242096	46957.1
71 	-543.491	59199.3	230029	47331.1
72 	-543.491	58613.7	229196	45544  
73 	-543.491	58679.9	226245	45509.1
