/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min 	avg    	max   	std    
0  	1310	66529.4	273204	48415.3
1  	1310	67024.4	273204	49368.2
2  	147.584	67277.7	259952	49903.8
3  	147.584	66839.7	253351	48734.1
4  	-232.579	66413.1	267919	48066.5
5  	-232.579	65879.5	278742	47722.8
6  	-351.38 	65406.5	278742	46425.5
7  	-388.946	65595.9	262206	46833.7
8  	-388.946	65647.8	267258	47912.6
9  	-388.946	64823.3	246626	47323.4
10 	-388.946	64574.8	233897	46107.6
11 	-388.946	64291.9	214303	45863.4
12 	-388.946	63736.9	235037	46105.2
13 	-388.946	63640.1	230511	45533.9
14 	-388.946	63592.1	251332	46242.5
15 	-388.946	63049.9	263514	46926.7
16 	-541.619	62950.1	224675	46345.3
17 	-541.619	62540.7	239973	46312  
18 	-541.886	62570.1	248921	46259.8
19 	-541.886	62351.1	246142	45840.1
20 	-541.886	61915.1	234269	45498.4
21 	-541.886	61866  	234269	45612.5
22 	-541.886	62180.4	236685	46110.9
23 	-541.886	61732.1	219182	45350.2
24 	-541.886	61759  	224671	45107  
25 	-541.886	61517.4	283877	44948.3
26 	-541.886	61174.8	236584	44400.2
27 	-541.886	60777.5	214560	43638  
28 	-541.886	61029.6	290397	45700.2
29 	-541.886	60533.6	288499	44306.9
30 	-541.886	60136.9	241644	44102  
31 	-541.988	60357.2	230977	44194.6
32 	-542.338	59995  	244785	44691  
33 	-543.026	59963.8	249604	44108.1
34 	-543.026	59252  	234254	42853.1
35 	-543.026	59360.3	245624	43472.2
36 	-543.026	59125.3	247080	43718.6
37 	-543.082	59043  	247080	43139.6
38 	-543.082	58944.7	233566	41877.9
39 	-543.158	59021  	233566	41330  
40 	-543.158	59295.9	233697	41932.3
41 	-543.158	59090.7	230602	41624.6
42 	-543.18 	58919.9	230603	41421.6
43 	-543.18 	58825.5	223638	42134.3
44 	-543.18 	58927.1	251849	43640.9
45 	-543.18 	59036  	245960	44160  
46 	-543.18 	59049  	234238	43986.6
47 	-543.18 	59051.9	242230	43489.9
48 	-543.18 	58979.9	285483	44925.6
49 	-543.18 	58938.3	280417	44249  
50 	-543.18 	58991.6	283769	44921  
51 	-543.18 	58580.3	275655	44732.7
52 	-543.18 	58759.4	234860	44562.9
53 	-543.18 	59140.1	250901	45676.4
54 	-543.18 	58723.2	250901	45722  
55 	-543.18 	58460.1	254480	45417.3
56 	-543.18 	58299.7	236249	43991  
57 	-543.18 	58008.9	216609	43527.9
58 	-543.18 	57827.8	215842	43046.5
59 	-543.353	57277.9	269355	42845.6
60 	-543.353	56591.2	249011	43170.4
61 	-543.353	56274.8	250843	42484.4
62 	-543.353	56226.5	244252	42500.5
63 	-543.353	56134.7	229447	42630.7
64 	-543.763	55819.8	227816	41682.7
65 	-543.763	55685.7	224165	41762.5
66 	-543.763	55678.8	224015	42263.1
67 	-543.763	55710.5	230208	42367.2
68 	-543.763	55624.8	216782	41701.9
69 	-543.763	55481.1	233472	41896.7
70 	-543.763	54916.8	216632	41420.5
71 	-543.763	54451.5	216632	40005.9
72 	-543.763	54374.9	243252	40511.9
73 	-543.763	54044.1	241477	39095.7
74 	-543.763	53879.2	196238	38388.9
75 	-543.763	53669.4	196238	38055.3
76 	-543.763	53304  	196238	37079.6
77 	-543.763	53515.7	196238	37174.9
78 	-543.763	53224.3	180586	36751.1
79 	-543.763	53077.4	219482	37367.7
80 	-543.763	52807.3	211099	36527  
81 	-543.763	52447.7	193157	36968.2
82 	-543.763	52103.6	178212	36465.9
83 	-544.077	52059.3	193308	36494.6
84 	-544.077	52436.2	192964	37254.6
85 	-544.077	52122.1	192964	38108.1
86 	-544.077	52303.6	196534	37749.1
87 	-544.077	52303  	196534	37911.1
88 	-544.077	51612.9	185720	36665.2
89 	-544.077	51143.9	193987	36076.5
