/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min     	avg    	max   	std    
0  	-233.372	71373.6	253013	51938.7
1  	-233.372	71359.2	283553	51184.4
2  	-233.372	70998.6	262254	49906.9
3  	-233.372	71214.8	255918	50934.1
4  	-233.372	70899.8	255918	50454.2
5  	-233.372	70561  	248999	50119.6
6  	-445.428	69877.9	248999	49768.7
7  	-445.428	69677.8	246736	49864  
8  	-445.428	69493.4	244904	50754.3
9  	-445.428	69750.9	256547	51499.2
10 	-482.922	69309.4	256547	50048.7
11 	-482.922	68906.2	250013	49073.7
12 	-482.922	68693  	244837	49695  
13 	-482.922	69154.9	268102	52306.5
14 	-482.922	69428.2	269900	52041  
15 	-482.922	69207.9	263430	51338.7
16 	-534.685	69216.6	261517	50573.4
17 	-534.685	68931.1	269103	50587.7
18 	-534.685	68381.1	285145	50684.8
19 	-534.685	68216.8	269901	50838.6
20 	-534.685	67889.1	261408	49891.4
21 	-534.685	67296  	248300	48372.6
22 	-534.685	67230.2	248300	48793.4
23 	-534.772	66937.5	244734	48854.4
24 	-534.772	66557.6	256072	49701.5
25 	-534.772	66848  	244734	49751.9
26 	-543.344	66727.7	248115	49673.2
27 	-543.344	66232.9	264872	48749.1
28 	-543.344	65988.7	272463	48463.2
29 	-543.344	65886.6	248115	47672.4
30 	-543.344	65983.6	233654	48299  
31 	-543.344	65514.8	227131	47255.8
32 	-543.344	65273.9	229904	46834.9
33 	-543.344	65163  	247520	46780.2
34 	-543.344	64735.5	247520	46633.1
35 	-543.4  	64529.6	247520	45600.6
36 	-543.56 	64141.4	264967	46292.7
37 	-543.56 	63734.4	247370	45989.8
38 	-543.56 	63522.1	247370	45918.2
39 	-543.56 	63377.7	239746	45539.4
40 	-543.56 	63215.2	233150	45513.8
41 	-543.56 	63165.3	253067	46089.7
42 	-543.56 	62913.4	239681	45845  
43 	-543.56 	63223.8	230235	46192.8
44 	-543.56 	62928.2	242726	45946.5
45 	-543.56 	62706.5	242726	44958.8
46 	-543.56 	62394.8	236050	45028.3
47 	-543.56 	62016.1	236050	44149.8
48 	-543.56 	62501.1	236086	45560.7
49 	-543.56 	62393.7	238550	45651.4
50 	-543.56 	61911.1	238550	45478.8
51 	-543.56 	61888.9	258957	46397.3
52 	-543.608	61727.9	244572	46476.9
53 	-543.608	61675.8	239924	46321.6
54 	-543.666	60924.6	230129	45526.2
55 	-543.666	60635.5	221917	45174.9
56 	-543.666	60268.5	222900	44611.3
57 	-543.666	59937.5	223514	44948  
58 	-543.666	59998.8	245141	45646.6
59 	-543.666	59756.7	233303	44669.7
60 	-543.666	59504.3	253555	44498.5
61 	-543.666	59239.1	225182	44886.9
62 	-543.666	59150  	225182	44487.4
63 	-543.666	59382.4	225182	45272.5
64 	-543.666	58879.8	295450	45602.6
65 	-543.666	59006.5	264466	45724.6
66 	-543.666	59297.9	247673	45889.3
67 	-543.666	59129.4	239292	46863.6
68 	-543.666	58694.3	239292	44930.2
69 	-543.666	58360.6	239292	44987.4
70 	-543.666	58419.6	240114	44311.7
71 	-543.666	58357.8	240114	45724.9
72 	-543.666	58011.7	237131	46016.8
73 	-543.666	57958.7	237131	46099.3
74 	-543.666	57122.6	233644	44199.7
75 	-543.666	56786.3	227407	43059.9
76 	-543.666	56495.2	230787	43367  
77 	-543.666	56519  	216659	44122.5
78 	-543.666	56453.3	236624	44295.1
79 	-543.666	56498.6	243260	44549  
80 	-543.666	55838.7	237569	44376  
81 	-543.666	55209.2	237569	43441.7
82 	-543.666	55088.3	254680	44075  
83 	-543.811	54668.5	226459	43141.2
84 	-543.874	54824.5	233214	42902.4
85 	-543.874	54561  	224430	43012.5
86 	-543.874	54269.1	220660	42492.7
87 	-543.874	54278.8	219106	42270.6
88 	-543.874	54380.9	237532	42209.3
89 	-543.874	53895.2	267503	42616.2
90 	-543.874	53839.8	241209	42172.2
91 	-543.874	53824.9	251587	42083.5
92 	-543.874	53431  	229652	42032  
93 	-543.874	53605.5	227154	42257.3
94 	-543.874	53741.4	232059	43624.8
95 	-543.874	52857.3	227154	41762.9
96 	-543.874	53165.8	227154	42471.3
97 	-543.874	52882.2	209656	41943.3
98 	-543.874	53354.6	215304	42670.7
99 	-543.874	53356.3	237046	43346.4
100	-543.874	53714.4	237046	44261.1
101	-543.874	53564.4	236772	43050.6
102	-543.874	53274.3	234123	42488  
103	-543.874	53200.6	216809	42365.1
104	-543.874	53092.3	243630	42464.2
105	-543.874	52547.6	270576	41869.3
106	-543.961	52458.8	262591	42419.8
107	-543.961	51905.4	262532	42125.3
108	-543.961	51418.5	262532	42152.8
109	-543.961	51534.7	251925	42369  
110	-543.961	51290.4	247857	41949.1
111	-543.961	51324.4	237268	42582.1
112	-543.961	50854.1	234419	41841.8
113	-543.961	50473.1	226426	41570.9
114	-543.961	50107.7	243567	40865.3
115	-543.961	50002.2	225000	40032.2
116	-543.961	50105  	225747	39600.6
117	-543.961	50015.7	212222	41300.6
118	-543.961	49576  	210692	40205.9
119	-543.961	49205.5	199751	39428.8
120	-543.961	49248.6	197813	39202.6
121	-543.961	49188.3	211928	38641.5
122	-543.961	48785.4	193589	37622.7
123	-543.961	48580.9	192125	37357.8
124	-543.961	48574  	226555	37236.4
125	-543.961	48492.1	210078	36377.7
126	-543.961	48420.3	212288	36444  
127	-543.961	48510.3	210078	37516.7
128	-543.961	48365.7	224223	37773.2
129	-543.961	48221.2	208788	37631.5
130	-543.961	48311  	200106	37640.6
131	-543.961	48402.2	222514	39242  
132	-543.961	48262.4	224123	38876.3
133	-544.075	47631.6	224123	38382.2
134	-544.075	47840.9	220583	38237.9
135	-544.075	47732  	232980	38507.2
136	-544.075	47670.9	236823	38704.8
137	-544.075	47906.1	244803	39466.4
138	-544.075	48117.2	240568	40035.9
139	-544.075	47488.3	212837	38406  
140	-544.075	47340.6	217035	40270.3
141	-544.075	46674.4	217035	39355.3
142	-544.075	47065  	217868	39799.7
143	-544.075	47108.9	217035	40063.5
144	-544.075	46450.8	212778	39118.1
145	-544.075	46333.4	214235	38250.9
146	-544.075	46168.5	213776	37548.6
147	-544.075	46288.1	213776	37640.2
148	-544.075	46154.1	206908	37116.5
149	-544.075	46120.1	206863	37213.1
150	-544.075	45774.4	206709	36812.3
151	-544.075	45407.5	197016	35537.6
152	-544.075	45402.6	193652	35804.8
153	-544.075	45463.3	189438	35694.1
