/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg  	max   	std    
0  	173.385	70082	282980	49675.7
1  	173.385	70102	294486	49796  
2  	173.385	69931.8	282835	50162.1
3  	-61.6173	69288.4	277311	50135.5
4  	-61.6173	69329.5	260459	50237.2
5  	-61.6173	69182.9	260459	49492.9
6  	-61.6173	68401.7	246287	48798.9
7  	-61.6173	68543.9	245958	49347.7
8  	-61.6173	68383.8	275000	48949.9
9  	-280.164	68232.8	254360	48405.3
10 	-348.508	68152.1	252519	49032  
11 	-354.145	67830.5	259542	50884.8
12 	-354.145	67720.3	239948	50410.1
13 	-354.145	67198.6	239948	49164.9
14 	-354.145	66879.2	233699	48388.3
15 	-354.274	66569.5	251686	47565.9
16 	-513.93 	66850.5	251686	47864.8
17 	-513.93 	66668.9	246861	47954.6
18 	-542.975	66817.5	271791	48758.7
19 	-542.975	66611.4	266778	48908.3
20 	-542.975	66465.7	266778	49227  
21 	-543.145	66128.8	270863	48811.8
22 	-543.145	66308.7	251155	51092.1
23 	-543.333	66044.4	269378	51362.4
24 	-543.333	65705.2	257234	50796.6
25 	-543.333	65428.1	275806	49902.6
26 	-543.333	65351  	247351	50582.5
27 	-543.333	65084.3	256672	50421.2
28 	-543.333	64933.7	247083	49768.9
29 	-543.333	64920.8	247083	49695.3
30 	-543.333	64281.8	245679	49237.7
31 	-543.333	63987.3	245679	49259.8
32 	-543.333	63727.5	257785	48590.3
33 	-543.333	63255  	243302	47811.7
34 	-543.333	63150.9	243302	47148.1
35 	-543.333	63251.9	276204	47570.7
36 	-543.333	62575.2	250567	46827.3
37 	-543.333	62262.2	247404	46430.5
38 	-543.333	62300.9	252193	47210  
39 	-543.333	62308.1	234679	48258.1
40 	-543.333	61661.8	234679	46909.2
41 	-543.333	61519.5	237754	47062.8
42 	-543.734	61239.6	230569	46843.3
43 	-543.734	60927.8	243936	46150.3
44 	-543.734	60773.5	228031	46020.5
45 	-543.734	60548.6	222238	45527.4
46 	-543.734	60513.3	239363	46327.7
47 	-543.734	60296  	236497	44917.2
48 	-543.734	60053.7	217126	44440  
49 	-543.734	59371.4	244260	44969.7
50 	-543.734	59199.3	244274	44417.3
51 	-543.828	59255.1	263388	45514.2
52 	-543.828	59161.8	292536	45577.6
53 	-543.828	59100.4	252398	46166.2
54 	-543.828	59238  	298824	48221.8
55 	-543.828	59061.2	280841	48477.8
56 	-543.828	58414.7	274994	47077.4
57 	-543.828	58656.5	257992	47150.1
58 	-543.828	58154.4	254229	46931.3
59 	-543.828	57710  	254229	45015.2
60 	-543.828	57915.8	261256	45115.6
61 	-543.828	57893.1	251001	44999.5
62 	-543.828	57575.5	238895	44082.8
63 	-543.828	57553.4	236438	44922.1
64 	-543.828	56986.7	236283	43600.1
65 	-543.828	56796.8	243410	43993.3
66 	-543.828	55921.8	226943	42373  
67 	-543.828	55741.2	233440	42693  
68 	-543.828	55619.9	224952	42331  
69 	-543.828	55409.1	229042	42588.9
70 	-543.828	54848.5	222251	41642.2
71 	-543.828	54408.1	222251	41428.5
72 	-543.828	54428.1	222251	41267  
73 	-543.828	54235.7	201456	41050.5
74 	-543.828	53674.1	204841	40057.8
75 	-543.828	53330.3	215791	39150.2
76 	-543.828	53158.9	201339	39090.3
77 	-543.828	53107.5	192385	39795.2
78 	-543.828	52826.8	209384	39877.1
79 	-543.828	52783.9	195100	38582.5
80 	-543.828	52653.5	195192	38997.7
81 	-543.828	52506.8	230778	38908.8
82 	-543.828	52526.9	214845	39701.6
83 	-543.828	52446.1	237840	41015  
84 	-543.828	52458.8	237840	41094  
85 	-543.828	52639.5	249163	40776.4
86 	-543.828	52542.3	249163	40254.2
87 	-543.828	52257.5	222845	40093  
88 	-543.828	52164.3	211366	40586.8
89 	-543.828	51883.9	211366	39930.2
90 	-543.828	52156  	203391	39309  
91 	-543.967	52141.6	189724	39325.3
92 	-543.967	51778.2	178736	39361.5
93 	-543.967	51571  	200087	39142.4
94 	-543.967	51443.4	191027	38548.2
95 	-543.967	51683  	214913	39081.1
96 	-543.967	51438.7	240306	39106.5
97 	-543.967	51571.5	226912	39339.1
98 	-543.967	51651.3	226912	39674.6
99 	-543.967	51717.5	213874	39689.7
100	-543.967	51204.6	216679	40061.9
101	-543.967	50759.9	213981	39287.5
102	-543.967	50988.6	210101	39610.5
103	-543.967	50230.5	192559	37651  
104	-543.967	50045.2	192559	37629.2
105	-543.967	49970.7	205810	37927.9
106	-543.967	49474.3	218308	37541.6
107	-543.967	49570.2	219770	38176.6
108	-543.967	49247.4	218025	38066.2
