/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min     	avg  	max   	std    
0  	-163.911	68996	260222	51525.4
1  	-163.911	68840.5	259762	51068.8
2  	-163.911	68936.3	264657	52053.2
3  	-163.911	68576  	245299	50883.5
4  	-163.911	68378.9	266100	51031.3
5  	-163.911	67954.2	260391	49950.9
6  	-270.968	67622  	252234	48857.9
7  	-270.968	67338.7	245453	48333.8
8  	-270.968	67122.5	262777	48116  
9  	-270.968	66871.2	248397	48573.5
10 	-270.968	66445  	258988	48740.5
11 	-270.968	66526.3	268715	48758.2
12 	-270.968	66422.2	267847	48532.8
13 	-270.968	66453.2	267847	47506.9
14 	-531.732	66162.7	258413	47515.9
15 	-531.732	66019.1	254341	47107.6
16 	-531.732	65798.9	253473	46681.1
17 	-531.732	65394.8	243566	45613.8
18 	-531.732	64789.5	230611	45611  
19 	-531.732	64792.9	230611	45517.6
20 	-531.732	64712.6	234873	46282.3
21 	-541.794	64245.9	240246	46315.8
22 	-541.941	63859.3	279451	46104.4
23 	-541.941	64241.3	243171	46082.2
24 	-541.941	64537.5	254118	47488.7
25 	-541.941	64346.8	251418	47134.2
26 	-541.941	64122.2	233721	46667.5
27 	-541.941	64305.7	236064	46814.5
28 	-541.941	64069.4	227798	46677.1
29 	-542.605	64155.4	227798	46481.3
30 	-542.605	64208.7	261778	46841.7
31 	-542.605	63805.1	237136	47488.2
32 	-542.605	63314.8	244374	47265.7
33 	-542.605	63163.8	247545	47448.8
34 	-542.605	62959.7	248213	47878.6
35 	-542.605	62750.2	246714	47161.3
36 	-542.605	62220.5	244015	46470  
37 	-542.605	62194.8	251672	47056.2
38 	-542.605	62200.6	238038	46826.2
39 	-542.605	62119.8	247526	46399.7
40 	-542.605	62326  	248013	48019.1
41 	-542.605	61868.7	248013	48327.3
42 	-542.605	62048.5	243269	47905.5
43 	-542.687	61877.1	249913	48003.5
44 	-542.687	60746  	249913	45541.6
45 	-542.886	60145.2	235685	43927.3
46 	-542.921	60250.7	233364	45083.9
47 	-542.921	60939.8	236359	46694.5
48 	-542.921	60989.1	233240	47011.8
49 	-542.921	60963.7	223504	46704.3
50 	-542.921	60926.8	221287	46675.2
51 	-542.921	61005.8	238454	46368.6
52 	-542.921	60797  	238454	46523.2
53 	-543.372	61068.1	261638	47242  
54 	-543.372	60315.3	257882	46223.4
55 	-543.372	60095  	237094	45639.6
56 	-543.372	59950.1	225286	46880.2
57 	-543.372	59833.4	225285	46384.4
58 	-543.372	59667.1	234160	46206.7
59 	-543.372	59823.3	243524	47364.3
60 	-543.372	59234.4	234160	46822  
61 	-543.372	59024.6	222892	45858.5
62 	-543.372	59264.4	258044	45979.5
63 	-543.372	59295.2	232071	45354  
64 	-543.963	58979.1	220098	44837  
65 	-543.963	58589.9	266068	45698.5
66 	-543.963	58457.6	282427	46619  
67 	-543.963	58033  	269180	45575.7
68 	-543.963	57927.7	257629	45775  
69 	-544.239	58313.4	310879	48137.9
70 	-544.239	57684.3	354190	47334.2
71 	-544.239	57707  	253113	47082.2
72 	-544.239	57453.8	250191	46846.1
73 	-544.239	57278.2	237599	45125.5
74 	-544.239	57209.8	222192	44665.5
75 	-544.239	57384.9	231292	46494.9
76 	-544.239	57488.2	299261	47656.7
77 	-544.239	57042.5	223985	46538.6
78 	-544.239	56708.8	223032	45716.3
79 	-544.239	56700.8	233330	45677.1
80 	-544.239	56296  	221921	44311.9
81 	-544.239	55849.8	221921	43934.2
82 	-544.239	55320.6	220241	43744.9
83 	-544.239	55419.7	218529	44551.6
84 	-544.239	55376.6	220372	43361.2
85 	-544.239	55318.7	218978	42619.5
86 	-544.239	55367.2	248026	42433.1
87 	-544.239	54960.9	220038	42115.1
88 	-544.239	55210.7	221060	42803.6
89 	-544.239	55185.2	209356	43426  
90 	-544.239	54498.4	219465	42813.6
91 	-544.239	53994.8	207362	42143.1
92 	-544.239	54179.3	213046	43188.1
93 	-544.239	53859.9	222254	43849.1
94 	-544.239	53527.1	222098	43247.9
95 	-544.397	53414.2	218822	42626.5
96 	-544.397	52741.9	208037	40832.5
97 	-544.824	52589.2	208037	41316.3
98 	-544.824	52364.9	205812	42282.5
99 	-544.824	52236.9	221141	41914.4
100	-544.824	52256.5	220840	42861.7
101	-544.824	52178.8	220840	42441.8
102	-544.824	52047.5	220840	41259.3
103	-544.824	51803.1	225598	40232  
104	-544.824	52083.9	208038	40445.7
105	-544.824	52056.8	227414	40243.5
106	-544.824	51795.4	195033	39626.7
107	-544.824	51513.4	193898	39147.7
108	-544.824	51535.4	193506	39210.6
109	-544.824	51328.5	207190	39279.1
110	-544.824	51379.8	194944	39408  
111	-544.824	51681.9	194112	39729.7
112	-544.824	51222.6	188763	39772.2
113	-544.824	51380.1	184444	39658.8
114	-544.824	50911.8	227337	39591.9
115	-544.824	50825.3	199837	39016.9
116	-544.824	50491.5	213061	39224.1
117	-544.824	50670.8	209111	40478.3
118	-544.824	50182.6	204263	39519.6
119	-544.824	50726.5	202332	40086.8
120	-544.824	50433.4	234713	39207.7
121	-544.824	50409.4	234713	39285.8
122	-544.824	49982.7	199911	38935.8
123	-544.824	49889.7	197873	39197.2
124	-544.824	49746.5	189668	39840.8
125	-544.824	49742.6	212007	39506.9
126	-544.824	49409.8	232283	40158.8
127	-544.824	49357.6	232283	39478.7
128	-544.824	49240.6	204521	38913.5
129	-544.824	48871  	204521	37541.9
130	-544.824	48988.7	218883	38095.1
131	-544.824	48738.5	202726	38300.1
132	-544.824	48963.4	205480	37841.4
133	-544.824	48814.3	204949	37580.9
134	-544.824	48350.6	200741	37515.7
135	-544.824	48348.5	247060	38177.8
136	-544.824	48157.7	200741	37306.9
137	-544.824	48145.9	203041	37844.7
138	-544.824	47702.7	247081	37805.6
139	-544.824	47667.5	214818	37282.7
140	-544.825	47672.1	214818	37417.5
141	-544.825	47461.5	210334	37227.8
142	-544.825	47604.9	209062	36982.7
143	-544.825	47485.1	232662	37606.8
144	-544.825	47044.3	234455	37209.3
145	-544.825	46518.4	234455	36763.7
146	-544.825	46425.3	234455	36503.1
147	-544.825	46089.9	190915	35116.6
148	-544.825	45947.2	198286	35330.5
149	-544.825	45623.9	194892	35059.6
150	-544.825	45633.9	217612	36079.6
151	-544.825	45517.7	203121	35673  
152	-544.825	45376.3	201852	35195.9
153	-544.825	45084.7	182182	34269.7
154	-544.825	44723.6	188619	34186.5
155	-544.825	44347.9	182182	34100.2
156	-544.825	44063.9	182182	34199.9
157	-544.825	43996.8	207935	35423.1
158	-544.825	44190.6	189127	35603.9
159	-544.913	43785.5	177114	33920.2
160	-544.913	43844.3	174622	33885.7
161	-544.913	44074.9	174622	34709.4
162	-544.913	43936.2	188095	35001.6
163	-544.913	43661.1	188095	34729.8
164	-544.913	43553.8	184057	34013.7
165	-544.913	43111.2	171391	32869  
166	-544.913	43047.9	187457	33370.5
167	-544.913	43418.4	189485	34418  
168	-544.913	43677.5	213581	34878.5
169	-544.913	43631.1	221701	34739.8
170	-544.913	43379.4	181914	33772.4
171	-544.913	43129.7	174500	34178.9
172	-544.913	42682.5	174500	32838.1
173	-544.913	42847.8	171618	32797.2
174	-544.913	42478.5	159556	32237.4
175	-544.913	42059.9	156877	31617.2
176	-544.913	41999  	185417	32130.2
177	-544.913	41696.9	175505	31583.5
178	-544.913	41865.1	171449	31744.5
179	-544.913	41780  	173892	31645.2
180	-544.913	41528.4	158147	30911.3
181	-544.913	41341.9	162377	30976  
182	-544.913	41138.9	177168	30826.9
183	-544.913	40917.4	177230	31144.8
184	-544.913	40623.4	184109	31204.4
185	-544.913	40875.4	181044	31968.4
186	-544.913	40688.4	180461	31899.6
187	-544.913	40503.3	175331	31871.5
188	-544.913	40138.3	169864	31506.9
189	-544.913	40266.2	166660	31905.7
190	-544.913	40233.4	172547	32012.1
191	-544.913	40317.5	172547	32030  
192	-544.913	40050.3	180578	31848.3
193	-544.913	39657.3	191197	31831.3
194	-544.913	39535.6	178522	31363  
195	-544.913	39419.8	173247	31253.6
196	-544.913	39424.2	159327	31136.8
197	-544.913	39309.4	155331	30111  
198	-544.913	39103.8	158768	29717.3
199	-544.913	38968  	158768	29519.3
200	-544.913	38761.8	143094	29401.4
201	-544.913	38495.7	144872	29166.2
202	-544.913	38659.1	150642	30013.8
203	-544.913	38558.2	154109	29973  
204	-544.913	38972.4	164201	30610.9
205	-544.913	39047.4	153108	30192.9
206	-544.913	38431.6	160091	29018.9
207	-544.913	38570.4	164217	28841.2
208	-544.913	38464.3	145360	28747.8
209	-544.913	38529  	151831	29976.2
210	-544.913	38521.3	191399	29879.1
211	-544.913	38062.4	150418	29453.4
212	-544.913	38168.6	155473	29601.1
213	-544.913	38125.6	153223	29876.8
214	-544.913	38111.2	154826	30515.9
215	-544.913	38091.7	154827	31016.5
216	-544.913	37895.3	147533	30543.2
217	-544.913	37953.2	167984	30890  
218	-544.913	37898.7	167984	31225.6
219	-544.913	37842.3	167301	31148.4
220	-544.913	37664.4	158473	30657.7
221	-544.913	37622.9	163301	31067.7
222	-544.913	37457.4	161042	31140.7
223	-544.913	37271  	164393	31490.7
224	-544.913	36994.9	149210	31309.8
225	-544.913	37273.2	149210	31291.3
226	-544.913	37469.8	162346	32306.8
227	-544.913	36984.8	164708	31976.3
228	-544.913	36679.1	164240	31326  
229	-544.913	36251  	160525	31015.3
230	-544.913	36212.8	159526	30912.4
231	-544.913	36549.2	168658	30916.1
232	-544.913	36301.8	156258	30017.6
233	-544.913	36282.7	175150	30606.5
