/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min     	avg    	max     	std    
0  	-980.847	-918.87	-913.509	6.06239
1  	-980.847	-918.984	-913.554	6.5694 
2  	-980.847	-918.822	-913.554	6.28796
3  	-980.847	-918.944	-913.344	6.14544
4  	-980.847	-919.016	-913.499	6.59497
5  	-980.847	-918.89 	-913.502	6.39497
6  	-980.847	-919.139	-913.502	6.90077
7  	-980.847	-918.966	-913.656	6.44815
8  	-980.847	-919.019	-913.58 	6.47051
9  	-980.847	-918.74 	-913.58 	6.06349
10 	-980.847	-918.815	-913.58 	6.21494
11 	-980.847	-918.752	-913.594	6.45456
12 	-980.847	-918.892	-913.594	6.41145
13 	-980.847	-918.822	-913.326	6.39085
14 	-980.847	-918.873	-913.524	5.77488
15 	-980.847	-918.863	-912.917	6.19463
16 	-980.847	-918.863	-913.542	5.98483
17 	-980.847	-919.093	-913.509	6.21839
18 	-980.847	-919.061	-913.525	6.43465
19 	-980.847	-919.14 	-913.497	6.55884
20 	-980.847	-918.998	-913.542	6.54148
21 	-980.847	-918.91 	-913.61 	6.7407 
22 	-990.219	-919.02 	-913.539	7.43403
23 	-990.219	-918.862	-913.537	6.7958 
24 	-991.982	-918.779	-913.476	6.7545 
25 	-991.982	-919.149	-913.228	7.2823 
26 	-991.982	-918.856	-913.475	6.22744
27 	-991.982	-918.992	-913.533	6.86308
28 	-991.982	-918.976	-913.44 	7.09385
29 	-991.982	-918.7  	-910.84 	6.11056
30 	-991.982	-918.866	-913.35 	6.40177
31 	-991.982	-918.786	-913.473	6.22671
32 	-991.982	-918.911	-913.473	6.58965
33 	-991.982	-919.221	-913.473	7.86515
34 	-991.982	-919.263	-913.511	7.51618
35 	-991.982	-919.365	-913.604	7.97015
36 	-991.982	-919.284	-913.551	7.25217
37 	-991.982	-919.436	-913.566	7.53229
38 	-991.982	-919.324	-913.567	7.21503
39 	-991.982	-919.358	-913.544	7.63353
40 	-991.982	-919.063	-913.492	7.04345
41 	-991.982	-919.007	-912.327	6.94908
