/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min   	avg     	max    	std    
0  	-976.1	-918.605	-913.53	5.53532
1  	-976.1	-918.655	-913.544	5.71206
2  	-977.539	-918.795	-913.539	6.20078
3  	-977.539	-918.685	-913.552	5.97577
4  	-977.539	-918.898	-913.577	6.19029
5  	-977.539	-918.807	-913.506	5.99336
6  	-977.539	-918.757	-913.646	6.43646
7  	-977.539	-918.557	-913.636	5.8847 
8  	-984.83 	-918.88 	-913.558	6.31055
9  	-984.83 	-919.089	-913.563	6.98131
10 	-984.83 	-918.886	-913.537	6.68472
11 	-984.83 	-919.032	-913.546	7.09333
12 	-984.83 	-919.002	-913.451	6.90857
13 	-984.83 	-918.739	-913.546	5.9924 
14 	-984.83 	-918.604	-913.059	6.36526
15 	-984.83 	-918.503	-913.473	6.15934
16 	-984.83 	-918.488	-913.546	5.75631
17 	-986.523	-918.583	-913.529	6.18651
18 	-986.523	-918.625	-913.567	5.88584
19 	-986.523	-918.778	-913.556	6.60315
20 	-986.523	-918.889	-913.56 	6.55435
21 	-986.523	-918.971	-913.571	6.88038
22 	-986.523	-919.058	-913.579	7.11993
23 	-986.523	-918.867	-913.601	6.38432
24 	-986.523	-918.788	-913.526	5.9756 
25 	-986.523	-918.862	-913.526	5.77551
26 	-986.523	-918.908	-913.526	6.26377
27 	-986.523	-918.947	-913.541	6.48016
28 	-986.523	-918.966	-913.583	6.57097
29 	-986.523	-919.004	-913.611	6.83155
30 	-986.523	-918.774	-913.592	6.52046
31 	-986.523	-918.669	-913.592	5.87723
32 	-986.523	-918.646	-913.608	6.42513
33 	-986.523	-918.871	-913.607	6.615  
34 	-986.523	-919.115	-913.148	7.23052
35 	-986.523	-919.133	-913.148	7.3645 
36 	-986.523	-918.921	-913.148	7.0099 
37 	-986.523	-918.926	-913.492	7.04205
38 	-986.523	-918.914	-913.499	7.14919
39 	-988.559	-918.963	-913.498	7.61961
40 	-988.559	-919.136	-913.506	7.84422
41 	-988.559	-919.134	-913.511	7.65714
42 	-988.559	-919.282	-913.452	7.85328
43 	-988.807	-918.905	-913.482	7.40927
44 	-990.597	-919.006	-913.484	7.72944
45 	-990.597	-918.944	-913.484	7.53278
46 	-990.597	-918.666	-912.852	6.71232
47 	-990.597	-918.479	-913.472	5.79781
48 	-992.166	-918.591	-913.187	6.07022
49 	-992.166	-919.041	-913.187	7.42562
50 	-992.166	-919.108	-912.702	7.56061
51 	-992.166	-919.092	-913.419	7.59447
52 	-992.166	-918.793	-913.47 	6.30628
53 	-992.166	-918.597	-913.31 	6.00479
54 	-992.166	-918.924	-913.31 	6.95401
55 	-992.166	-918.888	-913.352	6.57643
56 	-992.166	-918.919	-913.47 	6.92753
57 	-992.166	-919.216	-913.514	7.15434
58 	-992.166	-918.979	-913.41 	6.79424
59 	-993.946	-919.173	-913.466	7.12528
60 	-993.946	-918.979	-913.441	6.75256
61 	-993.946	-919.092	-913.483	7.39876
62 	-993.946	-918.715	-913.459	6.52846
63 	-993.946	-918.669	-913.459	6.61735
64 	-993.946	-918.907	-913.468	6.5078 
65 	-993.946	-918.893	-912.336	6.40133
66 	-993.946	-918.961	-913.227	6.79915
67 	-997.64 	-918.944	-913.446	6.7701 
68 	-997.64 	-918.914	-913.477	6.03745
69 	-997.64 	-919.083	-913.466	6.73134
70 	-997.64 	-919.198	-913.466	6.81816
71 	-997.64 	-919.209	-913.514	7.16829
72 	-997.64 	-919.073	-912.962	6.76298
73 	-997.64 	-919.189	-913.197	7.54756
74 	-997.64 	-919.27 	-913.241	7.91911
75 	-997.64 	-918.998	-913.208	7.102  
76 	-997.64 	-919.139	-913.376	7.53316
77 	-997.64 	-918.955	-913.474	6.37702
78 	-997.64 	-919.218	-913.545	7.59871
79 	-997.64 	-919.154	-913.538	7.46352
80 	-997.64 	-919.321	-913.358	7.70424
81 	-997.64 	-919.386	-913.213	7.95008
82 	-997.64 	-919.362	-913.042	7.58944
83 	-997.64 	-919.407	-913.15 	8.19338
84 	-997.64 	-919.256	-913.15 	8.11294
85 	-997.64 	-919.068	-913.366	7.86374
86 	-997.64 	-918.885	-913.478	7.06796
87 	-997.64 	-918.86 	-913.323	7.0156 
88 	-997.64 	-919.023	-913.461	7.11604
89 	-997.64 	-918.857	-913.379	7.36085
90 	-997.64 	-918.955	-913.519	6.92253
91 	-997.64 	-919.172	-912.8  	7.81086
92 	-997.64 	-919.22 	-913.396	7.86896
93 	-997.64 	-919.227	-913.197	7.97068
94 	-997.64 	-919.121	-913.126	7.22704
95 	-997.64 	-919.065	-913.158	7.45011
96 	-997.64 	-919.097	-913.213	7.83778
97 	-997.64 	-919.273	-911.027	8.08931
98 	-997.64 	-919.27 	-912.724	8.1945 
99 	-997.64 	-919.231	-911.137	8.09119
100	-997.64 	-919.26 	-912.816	7.91051
101	-997.64 	-919.276	-912.815	8.15482
102	-997.64 	-919.37 	-913.26 	7.58009
103	-997.64 	-919.262	-912.79 	7.6624 
104	-997.64 	-919.132	-913.294	7.34981
105	-997.64 	-919.243	-913.294	7.29688
106	-997.64 	-919.221	-913.211	7.60598
107	-997.64 	-918.986	-912.323	7.39571
108	-997.64 	-918.943	-913.374	7.00365
109	-997.64 	-919.004	-913.467	7.15436
110	-997.64 	-919.056	-913.475	6.87458
111	-997.64 	-918.911	-913.217	6.26797
112	-997.64 	-919.117	-913.205	6.65993
113	-997.64 	-918.868	-911.254	6.21889
114	-997.64 	-918.866	-912.488	6.88496
115	-997.64 	-919.275	-913.088	7.96755
116	-997.64 	-919.099	-912.314	6.79054
117	-997.64 	-919.378	-913.046	7.81313
118	-997.674	-919.236	-913.173	7.71555
119	-997.674	-919.502	-913.028	8.16471
120	-997.674	-919.497	-913.028	7.9179 
121	-997.674	-919.31 	-913.481	7.36185
122	-997.674	-919.265	-913.106	7.62672
123	-997.674	-919.349	-912.445	8.01346
124	-997.674	-919.496	-912.445	7.74135
125	-997.674	-919.554	-911.462	7.74012
126	-997.674	-919.353	-912.162	7.0193 
127	-997.674	-919.489	-912.781	7.60664
128	-997.674	-919.487	-912.308	7.83459
129	-997.674	-919.511	-912.781	8.18834
130	-997.674	-919.533	-912.416	8.2106 
131	-997.674	-919.392	-912.993	8.46464
132	-997.674	-919.393	-913.125	8.22707
133	-997.674	-919.162	-913.159	6.64095
134	-997.674	-919.392	-913.233	7.64465
135	-997.674	-919.49 	-913.233	7.75036
136	-997.674	-919.346	-912.912	7.45011
137	-997.674	-919.402	-913.233	7.87045
138	-997.674	-919.241	-913.101	7.08206
139	-997.674	-919.223	-913.031	6.82903
140	-997.674	-919.322	-913.031	7.1445 
141	-997.674	-919.081	-913.031	6.51403
142	-997.674	-919.221	-913.033	7.1058 
143	-997.674	-919.303	-913.033	7.47187
144	-997.674	-919.379	-913.194	8.25437
145	-997.674	-919.291	-912.064	7.6065 
146	-997.674	-919.207	-912.3  	7.63036
147	-997.674	-919.322	-912.915	8.08765
148	-997.674	-919.37 	-912.915	8.1025 
149	-997.674	-919.317	-913.227	8.3203 
150	-997.674	-919.444	-913.206	8.19194
151	-997.674	-919.076	-913.206	6.78079
152	-997.674	-919.069	-913.199	7.02387
153	-997.674	-919.44 	-912.83 	8.02067
154	-997.674	-919.647	-912.872	8.38698
155	-997.674	-919.543	-912.872	8.3467 
156	-997.674	-919.376	-912.844	8.21181
157	-997.674	-919.558	-912.84 	8.51608
158	-997.674	-919.472	-912.84 	7.87044
159	-997.674	-919.22 	-912.844	8.19151
160	-997.674	-919.288	-912.925	7.79841
161	-997.674	-919.642	-912.999	8.94138
162	-997.674	-919.271	-912.43 	8.4629 
163	-997.674	-919.039	-912.479	7.22091
164	-997.674	-918.999	-912.583	7.34986
165	-997.789	-918.899	-912.862	7.12906
166	-997.789	-918.944	-912.712	6.58087
167	-997.789	-919.246	-912.843	7.45688
168	-997.789	-919.092	-912.992	7.15953
169	-997.789	-919.202	-912.967	7.26419
170	-997.789	-919.148	-912.995	7.12061
171	-997.789	-919.056	-912.884	7.16759
172	-997.789	-919.324	-913.085	8.17537
173	-997.81 	-919.241	-912.589	8.00942
174	-997.81 	-919.295	-913.048	8.33994
175	-997.81 	-919.172	-913.086	7.29631
176	-997.81 	-919.096	-913.086	7.49224
177	-997.81 	-919.077	-912.749	7.42055
178	-997.81 	-919.375	-912.418	8.19498
179	-997.81 	-919.441	-912.543	8.13446
180	-997.81 	-919.3  	-912.581	7.57965
181	-997.81 	-919.262	-912.388	7.86161
182	-997.81 	-919.166	-912.174	7.30846
183	-997.81 	-919.291	-912.627	7.49437
184	-997.81 	-919.403	-912.597	8.15213
185	-997.81 	-919.161	-912.271	6.72778
186	-997.81 	-919.14 	-912.522	6.73863
187	-997.81 	-919.038	-912.924	7.04633
188	-997.81 	-919.109	-912.919	6.86953
189	-997.81 	-919.028	-912.973	6.97106
190	-997.81 	-918.979	-912.537	6.90123
191	-997.81 	-919.1  	-912.853	7.08338
192	-997.81 	-919.13 	-912.771	7.32619
193	-997.81 	-919.19 	-912.853	7.44482
194	-997.81 	-919.249	-912.58 	7.976  
195	-997.81 	-919.109	-912.844	7.49673
196	-997.81 	-919.053	-912.868	7.31001
197	-997.81 	-919.018	-912.909	7.28308
198	-997.853	-919.026	-912.204	7.15085
199	-997.853	-919.111	-912.909	6.94137
200	-997.853	-919.21 	-912.238	7.15888
201	-997.853	-919.385	-912.462	7.62928
202	-997.853	-919.381	-910.631	7.64478
203	-997.853	-919.401	-911.909	7.50988
204	-997.853	-919.262	-912.11 	6.67105
205	-997.853	-919.398	-912.124	7.49436
206	-997.853	-919.234	-912.326	7.12227
207	-997.853	-919.228	-912.745	7.16681
208	-997.853	-919.216	-912.686	7.16325
209	-997.853	-919.386	-912.67 	7.79266
210	-997.853	-919.466	-912.686	7.71633
211	-997.853	-919.55 	-912.951	7.92217
212	-997.853	-919.605	-911.234	7.92435
213	-997.853	-919.423	-912.73 	7.78881
214	-997.853	-919.65 	-910.382	8.47994
215	-997.853	-919.406	-912.318	7.8778 
216	-997.853	-919.501	-912.482	7.60569
217	-997.853	-919.488	-912.373	8.22579
218	-997.853	-919.152	-910.467	7.08022
219	-997.853	-919.005	-910.467	6.17362
220	-997.853	-919.176	-911.692	6.65671
221	-997.853	-919.331	-912.242	7.37704
222	-997.853	-919.3  	-912.059	7.63572
223	-997.853	-919.403	-912.463	7.87982
224	-997.853	-919.417	-912.547	7.54499
225	-997.853	-919.497	-912.578	7.66172
226	-997.853	-919.487	-912.578	7.32742
227	-997.853	-919.329	-911.632	7.76877
228	-997.853	-919.574	-912.209	8.52713
229	-997.853	-919.603	-911.166	8.78207
230	-997.917	-919.488	-912.227	8.39954
231	-997.917	-919.526	-912.227	8.24027
232	-997.917	-919.312	-912.227	7.78444
233	-997.917	-919.485	-912.459	8.39841
234	-997.917	-919.34 	-912.459	8.02689
235	-997.917	-919.398	-912.474	7.5758 
236	-997.917	-919.211	-911.775	7.33846
237	-997.917	-919.365	-912.384	7.84827
238	-997.917	-919.357	-911.667	7.86556
239	-997.917	-919.296	-911.911	8.30737
240	-997.917	-919.434	-912.355	8.33382
241	-997.917	-919.404	-912.355	8.15864
242	-997.917	-919.119	-912.278	7.7391 
243	-997.917	-919.467	-912.22 	8.02228
244	-997.917	-919.043	-912.455	6.78048
245	-997.917	-919.036	-912.525	7.31637
246	-997.917	-919.117	-912.272	7.3068 
247	-997.917	-918.952	-911.662	6.36282
248	-997.917	-919.031	-912.042	6.4534 
249	-997.917	-919.196	-911.69 	6.58029
250	-997.917	-919.304	-912.094	6.7971 
251	-997.917	-919.211	-910.626	7.45231
252	-997.917	-919.235	-911.034	7.38931
253	-997.917	-919.251	-910.608	7.80289
254	-997.917	-919.35 	-911.024	8.36941
255	-997.917	-919.368	-911.509	8.1867 
256	-997.917	-919.239	-911.622	7.82335
257	-997.917	-919.009	-911.65 	6.64921
258	-997.917	-919.013	-912.578	6.86607
259	-997.917	-919.134	-912.634	7.53236
260	-997.917	-919.62 	-912.383	8.66555
261	-997.917	-919.553	-912.383	8.46572
262	-997.917	-919.687	-912.446	8.23105
263	-997.917	-919.626	-912.446	7.70911
264	-997.917	-919.562	-912.534	8.05219
265	-997.917	-919.482	-912.67 	7.78324
266	-997.917	-919.648	-912.67 	8.32915
267	-997.917	-919.3  	-911.979	7.68585
268	-997.917	-919.305	-912.156	7.54677
269	-997.917	-919.364	-909.864	7.83267
270	-997.917	-919.415	-912.156	8.57391
271	-997.962	-919.342	-912.368	8.06286
272	-997.962	-919.33 	-912.319	7.87862
273	-997.962	-919.374	-912.247	8.19376
274	-997.962	-919.25 	-912.356	7.91907
275	-997.962	-919.274	-912.697	6.99263
276	-997.962	-919.252	-912.851	7.34266
277	-997.962	-919.135	-912.5  	6.59366
278	-997.962	-919.205	-912.371	6.22782
279	-997.962	-919.265	-912.555	6.94495
280	-997.962	-919.381	-912.555	7.44683
281	-997.962	-919.551	-912.555	8.0224 
282	-997.962	-919.203	-912.555	7.08951
283	-997.962	-919.382	-912.555	7.87331
284	-997.962	-919.483	-912.37 	7.7446 
285	-997.962	-919.475	-912.37 	7.34144
286	-997.962	-919.369	-910.697	7.31442
287	-997.962	-919.65 	-907.645	8.38474
288	-997.962	-919.497	-911.183	8.07946
289	-997.962	-919.585	-911.183	8.02   
290	-997.962	-919.738	-911.901	8.31082
291	-997.962	-919.668	-908.407	7.74143
292	-997.962	-919.766	-912.366	8.33082
