gen	min    	avg        	max        	std        
0  	63853.9	1.29243e+07	5.14647e+07	1.18139e+07
1  	63853.9	1.28738e+07	4.14101e+07	1.17636e+07
2  	63853.9	1.2835e+07 	4.22602e+07	1.17128e+07
3  	55208  	1.27805e+07	4.13817e+07	1.16792e+07
4  	55208  	1.27405e+07	3.99037e+07	1.1609e+07 
5  	55208  	1.27002e+07	4.00183e+07	1.15733e+07
6  	55208  	1.26521e+07	4.01926e+07	1.15475e+07
7  	55208  	1.26135e+07	4.01909e+07	1.14482e+07
8  	55208  	1.25754e+07	3.9864e+07 	1.14267e+07
9  	55169.1	1.25196e+07	3.9864e+07 	1.13772e+07
10 	54827.8	1.24552e+07	3.90647e+07	1.13169e+07
11 	41267.9	1.24205e+07	4.07174e+07	1.13446e+07
12 	41267.9	1.2403e+07 	4.07158e+07	1.13014e+07
13 	41267.9	1.23657e+07	3.94112e+07	1.12818e+07
14 	41238.7	1.2311e+07 	3.95824e+07	1.12821e+07
15 	41238.7	1.22906e+07	3.95827e+07	1.12284e+07
16 	41238.7	1.22404e+07	3.95827e+07	1.11748e+07
17 	41238.7	1.21987e+07	3.95828e+07	1.11844e+07
18 	41238.7	1.21376e+07	3.95828e+07	1.12063e+07
19 	41238.7	1.20911e+07	3.97772e+07	1.11726e+07
20 	41238.7	1.20343e+07	3.89297e+07	1.10877e+07
21 	40718.8	1.20164e+07	3.99627e+07	1.11104e+07
22 	40718.8	1.19997e+07	3.95245e+07	1.10381e+07
23 	40718.8	1.19958e+07	3.95245e+07	1.10075e+07
24 	32794.1	1.195e+07  	3.83738e+07	1.09883e+07
25 	32794.1	1.19178e+07	3.83738e+07	1.09769e+07
26 	32794.1	1.18904e+07	3.93873e+07	1.09849e+07
27 	32794.1	1.18536e+07	3.93873e+07	1.09442e+07
28 	32794.1	1.18136e+07	3.84194e+07	1.09135e+07
29 	32794.1	1.17619e+07	3.81956e+07	1.08609e+07
30 	32794.1	1.17087e+07	3.81963e+07	1.08676e+07
31 	32794.1	1.16484e+07	3.76157e+07	1.08174e+07
32 	32794.1	1.15706e+07	3.75987e+07	1.07276e+07
33 	32794.1	1.15623e+07	3.80342e+07	1.06943e+07
34 	28439.8	1.15213e+07	4.23842e+07	1.07007e+07
35 	28439.8	1.14905e+07	4.23841e+07	1.06932e+07
36 	28439.8	1.14483e+07	4.23841e+07	1.06505e+07
37 	28439.8	1.13907e+07	3.86909e+07	1.05733e+07
38 	28439.8	1.1367e+07 	3.82407e+07	1.05707e+07
39 	23969.8	1.13094e+07	3.91462e+07	1.05237e+07
40 	23969.8	1.126e+07  	3.82394e+07	1.04708e+07
41 	23969.8	1.11959e+07	3.80689e+07	1.04711e+07
42 	23401.9	1.1138e+07 	3.7659e+07 	1.0447e+07 
43 	23401.9	1.1129e+07 	3.76118e+07	1.04729e+07
44 	23401.9	1.11092e+07	3.75941e+07	1.04473e+07
45 	23401.9	1.10509e+07	3.75941e+07	1.03761e+07
46 	23401.9	1.09901e+07	3.75016e+07	1.03595e+07
47 	23401.9	1.09337e+07	3.71545e+07	1.02635e+07
48 	23401.9	1.0895e+07 	3.71545e+07	1.02542e+07
49 	23401.9	1.0839e+07 	3.67971e+07	1.02113e+07
50 	23401.9	1.07854e+07	3.68191e+07	1.01335e+07
51 	23401.9	1.0746e+07 	3.67691e+07	1.00849e+07
52 	23401.9	1.06745e+07	3.67613e+07	1.00802e+07
53 	21887.2	1.06044e+07	3.68104e+07	1.00097e+07
54 	21887.2	1.05525e+07	3.68104e+07	1.00285e+07
55 	21887.2	1.05142e+07	3.77154e+07	1.00084e+07
56 	21812.7	1.04668e+07	3.66568e+07	9.9635e+06 
57 	21812.7	1.0398e+07 	3.58042e+07	9.89261e+06
58 	21812.7	1.03622e+07	3.57794e+07	9.88521e+06
59 	21812.7	1.03076e+07	3.77082e+07	9.82835e+06
60 	21812.7	1.0311e+07 	3.78899e+07	9.85687e+06
61 	20152.5	1.02436e+07	3.57739e+07	9.78543e+06
62 	20152.5	1.02187e+07	3.56089e+07	9.78169e+06
63 	20152.5	1.01616e+07	3.5421e+07 	9.72732e+06
64 	20152.5	1.01057e+07	3.49349e+07	9.67168e+06
65 	20152.5	1.00589e+07	3.45157e+07	9.64235e+06
66 	20152.5	1.00309e+07	3.45157e+07	9.60616e+06
67 	20152.5	9.99564e+06	3.43753e+07	9.51609e+06
68 	20152.5	9.95284e+06	3.43804e+07	9.49895e+06
69 	20152.5	9.91655e+06	3.54144e+07	9.53603e+06
70 	20152.5	9.89452e+06	3.41997e+07	9.49416e+06
71 	20152.5	9.89511e+06	3.41997e+07	9.51239e+06
72 	20152.5	9.85527e+06	3.38954e+07	9.46383e+06
73 	20152.5	9.80809e+06	3.38363e+07	9.39497e+06
74 	20152.5	9.75297e+06	3.38364e+07	9.30937e+06
75 	20152.5	9.71886e+06	3.36272e+07	9.2813e+06 
76 	20152.5	9.67071e+06	3.35614e+07	9.27649e+06
77 	20152.5	9.60626e+06	3.61613e+07	9.27159e+06
78 	20152.5	9.55654e+06	3.35663e+07	9.1731e+06 
79 	20152.5	9.49965e+06	3.35408e+07	9.1309e+06 
80 	19077.4	9.46113e+06	3.47009e+07	9.12616e+06
81 	19077.4	9.42064e+06	3.42279e+07	9.11477e+06
82 	19077.4	9.41813e+06	3.40856e+07	9.12895e+06
83 	19077.4	9.39566e+06	3.39791e+07	9.08982e+06
84 	19077.4	9.34795e+06	3.39791e+07	9.09432e+06
85 	19077.4	9.31814e+06	3.3153e+07 	9.06029e+06
86 	19077.4	9.27587e+06	3.36045e+07	9.06138e+06
87 	19077.4	9.2903e+06 	3.58635e+07	9.07867e+06
88 	19077.4	9.22042e+06	3.48948e+07	9.0215e+06 
89 	19077.4	9.21248e+06	3.94028e+07	9.06734e+06
90 	19077.4	9.2042e+06 	4.12584e+07	9.0866e+06 
91 	19077.4	9.16808e+06	4.12584e+07	9.06987e+06
92 	19077.4	9.14005e+06	4.12584e+07	9.0777e+06 
93 	18162  	9.10418e+06	4.10949e+07	8.95958e+06
94 	18162  	9.06283e+06	4.00475e+07	8.93965e+06
95 	18162  	9.02937e+06	3.55075e+07	8.92192e+06
96 	18162  	8.97938e+06	3.57561e+07	8.94426e+06
97 	18162  	8.95361e+06	3.54824e+07	8.88154e+06
98 	7385.82	8.92529e+06	3.54384e+07	8.8075e+06 
99 	7385.82	8.88627e+06	3.38059e+07	8.7345e+06 
100	7385.82	8.84376e+06	3.32944e+07	8.69034e+06
101	7385.82	8.80265e+06	3.32944e+07	8.66965e+06
102	7385.82	8.77197e+06	3.27304e+07	8.64801e+06
103	7385.82	8.74872e+06	3.23777e+07	8.63911e+06
104	7385.82	8.69573e+06	3.22559e+07	8.63804e+06
105	7385.82	8.65376e+06	3.29208e+07	8.65509e+06
106	7385.29	8.60887e+06	3.22577e+07	8.58477e+06
107	7385.29	8.56742e+06	3.44285e+07	8.61544e+06
108	6138.78	8.52597e+06	3.32682e+07	8.50811e+06
109	6138.78	8.49189e+06	3.75372e+07	8.49365e+06
110	6130.99	8.46322e+06	3.22724e+07	8.41162e+06
111	6110.98	8.44692e+06	3.21268e+07	8.38209e+06
112	6110.98	8.42652e+06	3.14892e+07	8.34179e+06
113	5744.35	8.38042e+06	3.38171e+07	8.34921e+06
114	5277.03	8.34908e+06	3.14917e+07	8.29665e+06
115	5277.03	8.31572e+06	3.1413e+07 	8.24831e+06
116	5277.03	8.28261e+06	3.09159e+07	8.19748e+06
117	5277.03	8.24034e+06	3.09159e+07	8.16562e+06
118	5277.03	8.18823e+06	3.29779e+07	8.16354e+06
119	5277.03	8.14136e+06	3.18471e+07	8.08439e+06
120	5273.21	8.09559e+06	3.06276e+07	8.05732e+06
121	5273.21	8.02903e+06	3.0621e+07 	7.98297e+06
122	5273.21	8.00863e+06	3.06191e+07	7.91774e+06
123	5273.21	7.98108e+06	3.01619e+07	7.86252e+06
124	5273.21	7.94467e+06	3.02954e+07	7.80935e+06
125	5273.21	7.90121e+06	2.95727e+07	7.79222e+06
126	5273.21	7.86103e+06	2.9377e+07 	7.77467e+06
127	5273.21	7.82313e+06	2.92286e+07	7.75767e+06
128	5273.21	7.81549e+06	2.92285e+07	7.72916e+06
129	5273.21	7.79243e+06	2.92182e+07	7.77848e+06
130	5272.71	7.76211e+06	2.91812e+07	7.75832e+06
131	5272.71	7.72246e+06	2.91863e+07	7.72853e+06
132	5272.71	7.71345e+06	2.91267e+07	7.71137e+06
133	5272.71	7.68039e+06	2.89353e+07	7.64022e+06
134	5154.82	7.65101e+06	2.90367e+07	7.69074e+06
135	5154.82	7.63119e+06	3.10337e+07	7.67058e+06
136	5154.82	7.59595e+06	3.02893e+07	7.62781e+06
137	5154.82	7.57622e+06	3.01825e+07	7.66148e+06
138	5154.82	7.52554e+06	2.95736e+07	7.57859e+06
139	5154.82	7.51775e+06	2.95736e+07	7.60542e+06
140	5154.82	7.52727e+06	3.11983e+07	7.58864e+06
141	5154.82	7.50178e+06	3.11983e+07	7.55317e+06
142	5154.82	7.47344e+06	3.11983e+07	7.53246e+06
143	5154.82	7.4562e+06 	3.11983e+07	7.54417e+06
144	5154.82	7.39098e+06	3.10972e+07	7.44883e+06
145	5154.82	7.38556e+06	3.0118e+07 	7.43634e+06
146	5154.82	7.36138e+06	2.9479e+07 	7.3824e+06 
147	5154.82	7.35011e+06	2.87928e+07	7.40247e+06
148	5154.82	7.33006e+06	2.84769e+07	7.36979e+06
149	5154.82	7.30653e+06	2.84526e+07	7.3286e+06 
150	5154.82	7.29251e+06	2.81924e+07	7.32143e+06
151	5154.82	7.26809e+06	2.86921e+07	7.36504e+06
152	5154.82	7.2427e+06 	2.84743e+07	7.30921e+06
153	5154.82	7.215e+06  	2.95043e+07	7.27037e+06
154	5154.82	7.17341e+06	2.93171e+07	7.18606e+06
155	5154.82	7.14839e+06	2.85947e+07	7.10061e+06
156	5154.82	7.0877e+06 	2.86782e+07	7.08774e+06
157	5154.82	7.04908e+06	2.85947e+07	7.04364e+06
158	4734.46	7.01412e+06	2.79332e+07	7.03278e+06
159	4734.46	6.98212e+06	2.77967e+07	6.99085e+06
160	4734.46	6.9557e+06 	2.71936e+07	6.91817e+06
161	4734.46	6.94189e+06	2.68343e+07	6.9011e+06 
162	4734.46	6.90049e+06	2.68343e+07	6.85303e+06
163	4734.46	6.88618e+06	2.82168e+07	6.87232e+06
164	4734.46	6.85053e+06	2.87452e+07	6.8506e+06 
165	4734.46	6.85009e+06	2.87452e+07	6.84271e+06
166	4734.46	6.8174e+06 	2.76839e+07	6.85599e+06
167	4734.46	6.78462e+06	2.7551e+07 	6.80805e+06
168	4682.81	6.79007e+06	2.70924e+07	6.82441e+06
169	4682.81	6.75915e+06	2.69097e+07	6.78496e+06
170	4682.81	6.7372e+06 	2.839e+07  	6.78649e+06
171	4682.81	6.7177e+06 	2.69762e+07	6.75219e+06
172	4682.81	6.69145e+06	2.69006e+07	6.68935e+06
173	4682.81	6.67343e+06	2.65142e+07	6.64857e+06
174	4682.81	6.69771e+06	2.65767e+07	6.65331e+06
175	4660.32	6.68526e+06	2.83308e+07	6.72055e+06
176	4660.32	6.678e+06  	2.83308e+07	6.69793e+06
177	4660.32	6.63871e+06	2.87366e+07	6.72442e+06
178	4660.32	6.61018e+06	2.79397e+07	6.64402e+06
179	4534.02	6.57896e+06	2.7784e+07 	6.64007e+06
180	4527.94	6.52828e+06	2.65735e+07	6.57676e+06
181	4527.94	6.49519e+06	2.63119e+07	6.53995e+06
182	4527.94	6.4798e+06 	2.62817e+07	6.51283e+06
183	4527.94	6.47408e+06	3.27814e+07	6.60265e+06
184	4527.94	6.44316e+06	3.17108e+07	6.5643e+06 
185	4527.94	6.4053e+06 	2.58507e+07	6.50009e+06
186	4527.94	6.36567e+06	2.59028e+07	6.46182e+06
