gen	min    	avg        	max      	std       
0  	84781.1	1.34827e+07	4.354e+07	1.2003e+07
1  	84781.1	1.34176e+07	4.354e+07	1.19328e+07
2  	84781.1	1.33714e+07	4.3408e+07	1.18999e+07
3  	84781.1	1.33239e+07	4.22513e+07	1.18895e+07
4  	84059.4	1.33101e+07	4.22513e+07	1.18954e+07
5  	84059.4	1.32842e+07	4.22513e+07	1.18982e+07
6  	84059.4	1.31972e+07	4.12674e+07	1.18263e+07
7  	84059.4	1.31552e+07	4.12674e+07	1.18059e+07
8  	75543.8	1.31409e+07	4.12431e+07	1.18059e+07
9  	47589.6	1.3105e+07 	4.12464e+07	1.1812e+07 
10 	47589.6	1.30418e+07	4.12464e+07	1.17803e+07
11 	47589.6	1.29823e+07	4.02037e+07	1.17585e+07
12 	47589.6	1.29399e+07	4.01938e+07	1.16766e+07
13 	47589.6	1.29014e+07	4.01938e+07	1.16591e+07
14 	47572.4	1.28714e+07	4.2439e+07 	1.16669e+07
15 	47572.4	1.28571e+07	4.10817e+07	1.16642e+07
16 	47572.4	1.27955e+07	4.10817e+07	1.16271e+07
17 	47572.4	1.27225e+07	4.13891e+07	1.15667e+07
18 	44478.5	1.26968e+07	4.10817e+07	1.14929e+07
19 	44478.5	1.26565e+07	4.16988e+07	1.14579e+07
20 	44478.5	1.26381e+07	4.09626e+07	1.14746e+07
21 	44046.3	1.26471e+07	5.29617e+07	1.15219e+07
22 	44046.3	1.26286e+07	4.14775e+07	1.14673e+07
23 	44046.3	1.25833e+07	4.4813e+07 	1.14173e+07
24 	44046.3	1.2538e+07 	4.14775e+07	1.13435e+07
25 	44046.3	1.25097e+07	4.04881e+07	1.13592e+07
26 	44046.3	1.24688e+07	4.02313e+07	1.12737e+07
27 	21251.9	1.24509e+07	3.98584e+07	1.1233e+07 
28 	21251.9	1.23965e+07	3.97074e+07	1.1227e+07 
29 	21251.9	1.23366e+07	3.97074e+07	1.12489e+07
30 	21251.9	1.22919e+07	3.9674e+07 	1.12668e+07
31 	21251.9	1.22848e+07	3.98607e+07	1.13054e+07
32 	21251.9	1.2226e+07 	4.03564e+07	1.13056e+07
33 	21251.9	1.21647e+07	3.93356e+07	1.12254e+07
34 	21251.9	1.21066e+07	3.93356e+07	1.11774e+07
35 	21251.9	1.20669e+07	3.93356e+07	1.11597e+07
36 	21251.9	1.2026e+07 	4.01191e+07	1.11855e+07
37 	21251.9	1.19937e+07	4.01897e+07	1.11773e+07
38 	21248.7	1.19722e+07	4.01804e+07	1.11878e+07
39 	21248.7	1.19215e+07	4.01804e+07	1.11569e+07
40 	21248.7	1.18703e+07	4.01189e+07	1.11553e+07
41 	21248.7	1.18052e+07	3.98972e+07	1.12228e+07
42 	21248.7	1.17509e+07	3.98976e+07	1.111e+07  
43 	21248.7	1.17029e+07	3.94032e+07	1.10332e+07
44 	21248.7	1.16688e+07	3.87773e+07	1.09991e+07
45 	21248.7	1.16208e+07	3.92813e+07	1.09569e+07
46 	21248.7	1.1589e+07 	3.9044e+07 	1.09577e+07
47 	21248.7	1.15496e+07	3.98771e+07	1.09138e+07
48 	21248.7	1.15147e+07	3.98771e+07	1.08782e+07
49 	21248.7	1.14724e+07	3.92871e+07	1.07891e+07
50 	21248.7	1.14297e+07	3.99284e+07	1.07568e+07
51 	21248.7	1.13729e+07	3.9931e+07 	1.07287e+07
52 	21248.7	1.13206e+07	3.9931e+07 	1.07211e+07
53 	21248.7	1.12644e+07	3.89843e+07	1.06475e+07
