gen	min     	avg    	max    	std   
0  	-345.529	17.0358	627.669	160.58
1  	-345.529	15.8358	610.649	162.765
2  	-345.529	14.7517	538.896	165.098
3  	-345.529	14.8514	690.059	166.789
4  	-345.529	14.3178	490.858	166.565
5  	-345.529	14.8315	516.986	167.421
6  	-349.246	14.3541	517.778	166.087
7  	-352.312	13.3269	490.858	161.911
8  	-356.288	12.8916	553.218	158.95 
9  	-356.288	12.0545	587.094	157.713
10 	-356.288	11.772 	490.858	159.756
11 	-371.188	10.6497	505.91 	162.516
12 	-373.483	11.3082	567.965	166.225
13 	-373.483	9.84948	566.727	166.179
14 	-373.483	9.61274	545.582	163.837
15 	-373.483	8.54137	562.637	164.028
16 	-373.483	8.24675	548.131	164.068
17 	-373.483	8.1973 	502.953	163.982
18 	-373.483	8.35689	612.65 	165.168
19 	-373.483	7.43808	591.945	164.736
20 	-373.483	7.87356	593.614	165.028
21 	-373.483	9.6132 	517.937	167.704
22 	-373.483	8.38764	557.541	166.899
23 	-373.483	7.13273	509.132	163.465
24 	-373.483	6.56553	494.296	164.798
25 	-373.483	5.70024	508.535	165.517
26 	-373.483	5.70974	541.117	167.496
27 	-373.483	4.271  	516.318	167.66 
28 	-373.483	3.63035	516.318	166.564
29 	-373.483	2.54504	516.318	167.768
30 	-373.483	2.44809	617.271	168.707
31 	-373.483	2.4043 	713.18 	165.886
32 	-373.483	2.07589	619.353	165.65 
33 	-399.581	1.39924	645.164	168.903
34 	-399.581	0.318486	621.442	165.926
35 	-399.581	-1.13758	491.443	165.246
36 	-399.581	-2.02452	550.025	164.325
37 	-399.581	-1.63972	550.025	164.397
38 	-406.089	-2.05886	510.537	165.852
39 	-406.089	-2.75718	490.131	166.69 
40 	-406.444	-3.28182	477.712	164.24 
41 	-406.444	-4.07156	481.381	161.532
42 	-406.444	-4.81385	557.712	164.001
43 	-406.444	-5.02466	557.712	166.239
44 	-406.444	-5.86943	570.384	163.098
45 	-406.444	-6.56826	570.469	165.991
46 	-406.444	-7.07367	514.752	161.107
