gen	min     	avg  	max    	std    
0  	-303.812	471.3	4351.08	797.566
1  	-303.812	465.727	4227.75	786.218
2  	-311.753	458.57 	4227.75	787.176
3  	-336.563	462.265	4093.96	790.771
4  	-336.563	452.629	4295.43	773.354
5  	-336.563	447.911	4059.13	761.822
6  	-336.563	443.18 	3994.08	757.383
7  	-336.563	444.273	4024.9 	753.891
8  	-336.563	445.253	3991.75	746.907
9  	-336.563	453.763	4296.46	762.476
10 	-336.563	456.395	3994.53	764.158
11 	-336.563	451.271	3869.77	747.634
12 	-336.563	447.563	3964.03	749.378
13 	-336.563	445.057	3724.79	736.261
14 	-336.563	441.247	3922.26	733.22 
15 	-347.638	435.912	3877.02	724.953
16 	-347.638	429.096	3801.88	713.009
17 	-347.638	427.539	3888.92	708.553
18 	-347.638	423.4  	3895.28	702.931
19 	-347.638	418.819	3895.28	694.157
20 	-347.638	420.239	3797.65	692.723
21 	-347.638	415.864	3723.9 	687.096
22 	-347.638	410.715	3514   	673.862
23 	-347.638	410.27 	3565.95	670.291
24 	-362.868	408.592	3565.95	669.752
25 	-362.868	406.485	3524.9 	661.324
26 	-379.556	404.068	3264.2 	653.026
27 	-379.556	402.947	3207.37	647.299
28 	-379.556	398.592	3049.59	646.028
29 	-379.556	398.547	3049.59	637.516
30 	-379.556	394.505	2822.19	635.942
31 	-379.556	392.584	2881.82	638.619
32 	-379.556	397.846	4233.35	662.343
33 	-379.556	392.819	3300.62	647.5  
34 	-379.556	388.634	3300.62	647.129
35 	-379.556	393.26 	3598.56	649.198
36 	-379.556	393.538	3658.09	651.868
37 	-379.556	395.505	3352.42	657.544
38 	-379.556	393.917	3276.86	646.368
39 	-379.556	395.289	3276.86	648.721
40 	-380.915	391.875	3134.77	639.689
41 	-380.915	392.304	2927   	633.212
42 	-380.915	390.626	2913.43	628.397
43 	-380.915	385.34 	2913.43	617.002
44 	-380.915	391.616	5809.18	647.919
45 	-380.915	390.107	4024.56	632.836
46 	-380.915	391.856	4734.63	656.022
47 	-380.915	388.082	4001.09	645.069
48 	-382.406	386.243	4727.73	653.314
49 	-382.406	382.97 	3935.78	649.456
50 	-388.089	378.347	3450.2 	634.963
51 	-388.089	377.947	3466.64	628.979
52 	-388.089	370.805	3494.21	618.539
53 	-388.089	368.131	3457.84	623.861
54 	-388.089	363.43 	3457.84	619.189
55 	-388.089	361.138	3349.02	611.338
56 	-388.089	367.977	3370.16	626.811
57 	-388.089	365.256	3436.37	628.885
58 	-388.089	362.442	3271.35	622.404
59 	-388.089	361.768	3238.99	618.889
60 	-388.089	358.963	3238.99	618.209
61 	-388.089	365.053	3833.9 	633.313
62 	-388.089	359.934	3238.99	622.613
63 	-388.089	351.789	3250.18	616.91 
64 	-388.089	349.563	3055.58	608.177
65 	-388.089	344.956	2862.3 	596.536
66 	-388.089	344.937	2886.24	591.705
67 	-388.089	338.66 	2886.24	588.683
68 	-388.089	333.549	3282.15	585.889
69 	-388.089	331.224	2962.55	583.655
70 	-388.089	331.043	2947.08	580.052
71 	-388.089	331.88 	3166.37	591.446
72 	-388.089	330.093	2944.72	584.869
73 	-388.089	327.448	2904.29	584.653
74 	-388.089	326.057	2902.44	580.789
75 	-388.089	325.3  	2902.44	571.756
76 	-388.089	328.254	2912.32	572.786
77 	-388.089	324.841	2958.74	567.51 
78 	-388.089	323.889	2816.54	561.99 
79 	-388.089	317.876	2816.54	547.103
80 	-388.089	312.633	2816.54	533.427
81 	-388.089	309.844	2810.92	532.297
82 	-388.089	309.376	2859.82	528.258
83 	-388.089	309.267	2997.94	524.829
84 	-391.909	307.489	2847.09	522.647
