gen	min     	avg    	max   	std    
0  	-315.739	453.043	4186.6	751.292
1  	-315.739	449.689	4060.97	740.048
2  	-315.739	445.697	4001.81	730.043
3  	-315.739	443.674	4069.73	723.19 
4  	-315.739	450.704	4169.26	731.054
5  	-315.739	445.359	4169.26	725.248
6  	-330.419	442.589	4190.9 	725.183
7  	-330.419	438.911	4021.69	717.936
8  	-330.419	439.378	3938.17	706.663
9  	-330.419	437.368	3938.17	705.158
10 	-330.419	429.217	3799.78	689.855
11 	-330.419	425.525	3776   	680.235
12 	-330.419	421.841	3790.72	679.623
13 	-330.419	420.482	3829.4 	685.315
14 	-340.543	413.816	3500.65	676.611
15 	-340.543	414.748	3500.65	674.838
16 	-340.543	414.8  	3503.6 	670.808
17 	-356.577	417.888	3877.49	684.349
18 	-356.577	420.746	3377.07	677.09 
19 	-356.577	418.038	3286.78	664.39 
20 	-356.577	416.491	3651.22	664.228
21 	-356.577	416.161	3528.75	680.564
22 	-356.577	410.912	3526.3 	671.84 
23 	-356.577	407.708	3526.3 	660.766
24 	-356.577	403.823	3529.1 	653.457
25 	-356.577	404.314	3472.37	643.28 
26 	-356.577	400.784	3140.08	635.317
27 	-356.577	405.426	3204.99	651.208
28 	-359.262	404.065	3253.26	656.826
29 	-359.262	404.515	3245.02	659.691
30 	-388.033	405.109	3351.63	652.412
31 	-388.033	400.162	3351.63	644.786
32 	-388.033	398.352	3351.63	645.711
33 	-388.033	395.523	3061.66	635.431
34 	-388.033	389.678	3030.76	624.853
35 	-388.033	390.239	3030.76	629.6  
36 	-388.033	389.012	3229.07	624.869
37 	-388.033	383.517	2910.64	604.863
38 	-388.033	381.939	3037.4 	612.659
39 	-388.033	383.154	3037.4 	615.848
40 	-388.033	379.167	3234.82	611.549
41 	-400.695	376.238	2866.17	609.818
42 	-400.695	369.491	3101.63	612.111
43 	-400.695	365.19 	3101.63	606.863
44 	-400.695	364.737	2848.61	603.638
45 	-400.695	362.214	3095.6 	602.988
46 	-400.695	360.058	3104.44	598.299
47 	-400.695	357.497	2808.15	583.742
48 	-400.695	355.744	2859.96	576.582
49 	-400.695	360.239	4784.07	609.604
50 	-400.695	357.036	3541.83	590.106
51 	-400.695	358.464	3541.83	593.46 
52 	-400.695	353.705	2988.89	582.886
53 	-400.695	349.684	2841.23	566.86 
54 	-400.695	345.89 	2886.82	561.708
55 	-400.695	344.332	2911.7 	564.417
56 	-400.695	343.872	2921.97	571.275
57 	-400.695	343.64 	2868.28	569.18 
58 	-400.695	341.508	2993.3 	568.235
59 	-400.695	339.883	2993.3 	564.793
60 	-400.695	336.247	2820.28	565.343
61 	-400.695	332.858	2875.26	562.569
62 	-400.695	335.342	2712.68	560.933
63 	-400.695	339.374	3980.58	582.181
64 	-400.695	340.128	3808.71	582.561
65 	-400.695	335.959	3562.44	573.789
66 	-400.695	347.243	6429.05	634.937
67 	-400.695	341.115	3941.94	591.267
68 	-400.695	338.536	3787.35	590.652
69 	-400.695	341.091	3787.35	600.617
70 	-400.695	341.509	4015.65	598.437
71 	-400.695	343.104	4015.65	596.156
