gen	min     	avg    	max    	std    
0  	-295.534	472.941	4279.08	797.631
1  	-295.534	478.096	5037.14	824.773
2  	-295.534	473.036	4795.93	816.535
3  	-307.553	479.67 	4328.35	832.501
4  	-307.553	475.657	4264.09	825.489
5  	-307.553	467.67 	4344.4 	817.514
6  	-316.875	460.182	4249.62	798.571
7  	-316.875	454.233	4256.63	796.234
8  	-316.875	457.442	4329.48	792.101
9  	-316.875	454.885	4212.94	782.109
10 	-329.81 	449.903	4128.09	777.147
11 	-329.81 	444.746	4189.55	756.585
12 	-329.81 	444.964	4128.09	750.964
13 	-329.81 	436.8  	4049.71	740.94 
14 	-329.81 	436.31 	4619.34	750.471
15 	-329.81 	433.576	3846.06	738.505
16 	-329.81 	427.717	3666.72	719.861
17 	-329.81 	426.782	3935.29	721.673
18 	-329.81 	423.405	3942.4 	722.735
19 	-329.81 	429.338	4242.9 	731.177
20 	-329.81 	429.374	3967.27	726.784
21 	-329.81 	425.57 	3933.63	718.238
22 	-337.399	416.951	3448.25	705.805
23 	-349.908	412.354	3470.1 	707.849
24 	-352.241	413.399	3615.84	715.967
25 	-352.241	408.04 	4019.45	713.855
26 	-352.241	402.232	3752.73	701.926
27 	-366.467	399.947	3458.8 	696.527
28 	-366.467	400.513	4814.01	700.486
29 	-366.467	395.98 	3649.07	693.646
30 	-366.467	395.948	3622.31	700.211
31 	-366.467	394.602	3541.23	684.46 
32 	-366.467	388.349	3392.02	677.502
33 	-366.467	387.7  	3264.73	680.039
34 	-366.467	387.589	3254.99	663.065
35 	-374.257	386.698	3254.99	661.035
36 	-374.257	391.702	3577.75	679.348
37 	-374.257	390.095	3550.58	681.211
38 	-374.257	388.194	3491.86	674.091
39 	-374.257	386.673	3653.09	662.619
40 	-374.257	389.416	3653.09	672.597
41 	-374.257	386.979	3653.09	670.625
42 	-374.257	381.485	3883.07	656.406
43 	-374.257	382.296	3919.1 	657.944
44 	-374.257	379.027	3552.64	640.39 
45 	-380.027	375.678	3341.07	622.715
46 	-380.027	375.118	2910.83	616.559
47 	-380.027	375.38 	2971.58	621.449
48 	-380.027	382.498	5090.98	645.621
49 	-380.027	378.956	3543.17	621.864
50 	-380.027	378.991	3543.17	622.415
51 	-380.027	380.014	3543.17	629.735
52 	-380.027	379.061	4335.73	639.733
53 	-380.027	373.786	4335.73	624.242
54 	-380.027	368.847	3803.01	610.284
55 	-380.027	367.664	3028.78	609.376
56 	-380.027	363.534	3028.78	604.835
57 	-380.027	361.242	3028.78	602.711
58 	-380.027	359.702	2977.3 	590.09 
