gen	min   	avg    	max    	std   
0  	83.665	195.313	288.403	35.814
1  	83.665	195.038	288.403	35.4729
2  	83.665	194.705	282.049	35.7192
3  	83.3501	194.462	279.848	36.0347
4  	83.3501	194.255	293.854	35.7418
5  	83.3501	194.016	290.591	35.5184
6  	83.3501	193.865	290.381	35.3684
7  	83.3501	193.693	291.054	35.553 
8  	83.3501	193.387	285.729	35.8563
9  	83.3501	193.117	288.488	36.3999
10 	83.3501	192.941	288.488	37.7006
11 	82.1157	192.591	285.646	37.7295
12 	82.1157	192.31 	287.421	37.682 
13 	82.1157	192.104	284.372	36.9929
14 	82.1157	191.935	284.372	36.6347
15 	82.1157	191.7  	285.358	36.9083
16 	82.0776	191.378	284.372	36.1152
17 	82.0776	191.066	284.372	36.6455
18 	82.0776	190.913	278.091	36.3376
19 	82.0776	190.641	277.92 	36.7153
20 	82.0776	190.347	278.884	37.2399
21 	73.9655	190.163	278.884	37.8062
22 	73.9655	189.919	278.94 	37.7066
23 	73.9655	189.616	288.851	37.9443
24 	73.9655	189.303	283.689	37.7949
25 	73.9655	189.083	283.689	37.2381
26 	73.9655	188.861	285.655	37.5535
27 	73.9655	188.471	286.454	38.4333
28 	73.9655	188.194	285.161	39.0115
29 	73.9655	187.9  	285.24 	39.2919
30 	73.9655	187.643	285.465	39.032 
31 	73.9655	187.473	285.161	38.1767
32 	72.9561	187.222	286.881	38.7825
33 	72.4385	187.033	285.551	38.7183
34 	72.4385	186.672	279.713	39.0798
35 	72.4385	186.435	279.018	38.529 
36 	68.0947	186.149	277.602	37.9921
37 	68.0947	185.844	273.209	38.113 
38 	68.0947	185.472	295.927	37.8027
39 	68.0947	185.173	285.762	37.6576
40 	68.0947	184.803	278.374	37.6638
41 	67.6641	184.45 	282.411	37.5746
42 	67.6641	184.091	284.548	37.9679
43 	67.6641	183.899	280.785	37.686 
44 	67.6641	183.637	287.189	38.2945
45 	51.5006	183.467	275.472	38.2272
46 	51.5006	183.166	278.652	37.9258
