gen	min    	avg   	max       	std   
0  	16475.6	533165	1.6618e+06	304707
1  	16180.5	531070	1.66908e+06	303293
2  	15310.7	528893	1.66908e+06	304844
3  	12032.9	524957	1.5517e+06 	292576
4  	12032.9	527709	1.65844e+06	298394
5  	12008.3	522628	1.5517e+06 	289653
6  	108.288	522142	1.60264e+06	293544
7  	108.288	516423	1.53073e+06	285236
8  	108.288	516040	1.50522e+06	285087
9  	108.288	514933	1.70338e+06	280728
10 	108.288	513401	1.58876e+06	282688
11 	108.288	512838	1.49012e+06	289470
12 	108.288	513519	1.28092e+06	288221
13 	108.288	510974	1.42459e+06	291213
14 	108.288	509494	1.42459e+06	291020
15 	106.595	505212	1.41823e+06	287698
16 	103.707	499964	1.39921e+06	286413
17 	103.707	498869	1.48343e+06	290025
18 	103.707	500385	1.55057e+06	287957
19 	103.707	500122	1.55057e+06	279249
20 	103.707	500208	1.28138e+06	284997
21 	103.707	499889	1.33069e+06	286711
22 	103.707	502832	1.30375e+06	286995
23 	95.6392	498418	1.30916e+06	284429
24 	95.6392	495433	1.23999e+06	280101
25 	95.6392	492495	1.30838e+06	279842
26 	95.6392	489435	1.35486e+06	282169
27 	95.6392	486112	1.61219e+06	284964
28 	95.6392	485392	1.46872e+06	285093
29 	95.6392	489908	1.37314e+06	290956
30 	91.5372	487256	1.60347e+06	285737
31 	91.5372	483846	1.60026e+06	283497
32 	91.5372	482686	1.3928e+06 	281729
33 	91.5372	481114	1.37296e+06	280226
34 	91.5372	479776	1.37296e+06	276275
35 	91.5372	477654	1.28967e+06	276100
36 	91.5372	474941	1.31289e+06	278587
37 	91.5372	469876	1.24509e+06	275232
38 	91.5372	468746	1.1757e+06 	275524
39 	76.3065	467003	1.26381e+06	273510
40 	76.3065	465275	1.47594e+06	277633
41 	64.3606	465648	1.32063e+06	281471
42 	64.3606	466216	1.32063e+06	279403
43 	64.3606	460428	1.43038e+06	279026
44 	64.3606	459687	1.67623e+06	275845
45 	64.247 	456196	1.59959e+06	281322
46 	64.247 	455307	1.51219e+06	274861
47 	64.247 	456737	1.51219e+06	272373
48 	64.247 	454816	1.51219e+06	271377
49 	64.247 	453469	1.4239e+06 	269161
50 	64.247 	454557	1.23924e+06	270713
51 	64.247 	453494	1.28021e+06	271452
52 	64.247 	452047	1.31015e+06	274590
53 	64.247 	446808	1.31015e+06	264236
54 	64.247 	442349	1.31015e+06	261114
55 	64.247 	441406	1.23924e+06	260922
56 	64.247 	442130	1.26477e+06	261640
57 	64.247 	441725	1.18852e+06	258488
58 	64.247 	440012	1.29464e+06	263225
59 	64.247 	436606	1.23172e+06	259427
60 	64.247 	437156	1.30269e+06	266480
61 	64.247 	440803	1.27252e+06	271317
62 	64.247 	443122	1.52187e+06	276594
63 	64.247 	440021	1.49667e+06	277334
64 	64.247 	438038	1.27249e+06	271522
65 	64.247 	442782	1.33462e+06	277525
66 	59.9938	440448	1.60164e+06	275318
67 	59.4059	437938	1.50016e+06	266106
68 	59.4059	436252	1.4135e+06 	267464
69 	59.4059	435140	1.56233e+06	272546
70 	59.4059	433568	1.53291e+06	273503
71 	59.4059	436625	1.53291e+06	280168
72 	59.4059	431504	1.49286e+06	276806
73 	59.4059	433694	1.41333e+06	283552
74 	59.4059	430416	1.48224e+06	283406
75 	59.4059	426965	1.48224e+06	280492
76 	59.1255	420831	1.38538e+06	282626
77 	59.1255	419717	1.28773e+06	279088
78 	59.1255	415988	1.27872e+06	274827
79 	55.3109	414003	1.31961e+06	270087
80 	55.3109	415992	1.40234e+06	270046
81 	55.3109	414159	1.29725e+06	264619
82 	55.3109	412383	1.21572e+06	261446
83 	55.3109	411693	1.21572e+06	256029
84 	55.3109	410129	1.17428e+06	252847
85 	55.3109	408731	1.13341e+06	251906
86 	55.3109	407071	1.13496e+06	251100
87 	55.3109	408099	1.22713e+06	251878
88 	55.3109	407982	1.23567e+06	260114
89 	55.3109	406165	1.23567e+06	259995
90 	55.3109	404392	1.13358e+06	250958
91 	55.3109	408206	1.28847e+06	264620
92 	55.3109	407223	1.2164e+06 	260631
93 	55.3109	399922	1.2164e+06 	250910
94 	55.3109	399710	1.15582e+06	254483
95 	55.3109	396089	1.15684e+06	253269
96 	55.3109	394321	1.21468e+06	252691
