gen	min  	avg   	max        	std   
0  	159.3	513155	1.63812e+06	291167
1  	159.3	510701	1.56053e+06	287079
2  	159.3	509616	1.56118e+06	284509
3  	159.3	509974	1.48329e+06	287945
4  	119.014	509248	1.48329e+06	285579
5  	119.014	508272	1.48329e+06	289875
6  	119.014	507592	1.4687e+06 	290154
7  	119.014	503227	1.56864e+06	286084
8  	119.014	501532	1.38737e+06	285636
9  	119.014	503342	1.46955e+06	291534
10 	119.014	501181	1.31186e+06	287128
11 	119.014	494275	1.33197e+06	285648
12 	119.014	495721	1.70506e+06	296996
13 	119.014	495442	1.69e+06   	292419
14 	119.014	494612	1.39745e+06	289996
15 	119.014	492761	1.40315e+06	289259
16 	119.014	492733	1.30516e+06	291349
17 	119.014	487572	1.42757e+06	291059
18 	119.014	487965	1.42757e+06	292429
19 	119.014	486585	1.33065e+06	288009
20 	119.014	485977	1.4967e+06 	288646
21 	119.014	484132	1.2874e+06 	281534
22 	119.014	485753	1.44703e+06	279610
23 	119.014	484348	1.32557e+06	282195
24 	119.014	484040	1.36531e+06	286751
25 	119.014	481977	1.3649e+06 	289994
26 	107.781	480079	1.3586e+06 	288958
27 	107.781	479410	1.3586e+06 	287369
28 	107.781	475305	1.2979e+06 	286665
29 	107.781	473283	1.31503e+06	279295
30 	107.781	471331	1.384e+06  	281695
31 	107.781	470183	1.34651e+06	278986
32 	107.781	471959	1.43479e+06	288849
33 	107.781	467900	1.41457e+06	287051
34 	107.781	469828	1.35109e+06	287282
35 	107.781	468490	1.551e+06  	289493
36 	107.781	465009	1.551e+06  	290897
37 	107.781	462756	1.45223e+06	280813
38 	107.781	462223	1.49855e+06	282039
39 	107.781	460684	1.32196e+06	283965
40 	107.781	457272	1.2946e+06 	279986
41 	107.781	456762	1.22925e+06	278764
42 	107.781	456519	1.19828e+06	278218
43 	107.781	457068	1.44783e+06	281980
44 	105.908	454008	1.3149e+06 	278934
45 	105.908	454820	1.3149e+06 	280157
46 	105.908	451619	1.36958e+06	280670
47 	105.908	454335	1.36958e+06	282413
48 	105.908	449033	1.41674e+06	275061
49 	105.908	449968	1.32485e+06	273686
50 	105.908	447069	1.32485e+06	275538
51 	105.898	446780	1.23947e+06	272186
52 	105.898	448577	1.23947e+06	271282
53 	105.898	447319	1.28537e+06	276987
54 	105.898	443456	1.42556e+06	272943
55 	105.898	443292	1.60488e+06	274372
56 	105.898	442179	1.36574e+06	271477
57 	104    	441513	1.36456e+06	278802
58 	104    	442569	1.20643e+06	277272
59 	104    	443032	1.71901e+06	281287
60 	104    	435707	1.24232e+06	271636
61 	104    	436547	1.22451e+06	272589
62 	104    	436721	1.22454e+06	274483
63 	104    	436217	1.2649e+06 	273326
64 	104    	435933	1.24493e+06	277732
65 	96.0944	434596	1.41533e+06	274579
66 	96.0944	429925	1.19428e+06	267220
67 	96.0944	428299	1.33738e+06	259821
68 	96.0944	424231	1.13182e+06	257845
69 	96.0944	422873	1.25154e+06	258158
70 	96.0944	419942	1.25397e+06	260234
71 	96.0944	418385	1.39554e+06	261505
72 	96.0944	420544	1.3568e+06 	263492
73 	96.0944	419019	1.24633e+06	258392
74 	96.0944	418285	1.54808e+06	260541
75 	96.0944	415158	1.48807e+06	268004
76 	96.0944	418426	1.3413e+06 	269895
77 	96.0944	414246	1.36908e+06	262767
78 	96.0944	412335	1.36908e+06	263520
79 	96.0944	409865	1.43098e+06	266441
80 	96.0944	412409	1.33218e+06	259173
81 	96.0944	407789	1.24794e+06	254189
82 	96.0944	406055	1.14199e+06	253643
83 	96.0944	405843	1.14199e+06	254399
84 	95.3961	405463	1.23837e+06	257916
85 	84.2352	401526	1.14707e+06	260357
86 	84.2352	402996	1.22138e+06	259093
87 	84.2352	400397	1.15554e+06	250987
88 	84.2352	399873	1.18152e+06	251113
89 	84.2352	400641	1.18152e+06	247990
90 	84.2352	402983	1.26313e+06	258134
91 	84.2352	398868	1.23288e+06	256744
92 	84.2352	395259	1.23808e+06	254512
93 	84.2352	391429	1.26636e+06	249473
94 	84.2352	388203	1.26636e+06	248184
95 	84.2352	388534	1.1559e+06 	252234
96 	84.2352	388061	1.1559e+06 	248845
97 	84.2352	390506	1.1933e+06 	254908
98 	84.2352	389403	1.18766e+06	251805
99 	84.2352	390117	1.20319e+06	250634
100	84.2352	390151	1.18882e+06	247833
101	84.2352	391525	1.18121e+06	256558
102	84.2352	394337	1.17336e+06	261747
103	84.2352	390890	1.44895e+06	257434
104	82.2975	389663	1.32272e+06	255158
105	82.2975	388310	1.21691e+06	250346
106	82.2975	387294	1.17185e+06	256001
107	82.2975	384292	1.13611e+06	251450
108	82.2975	384733	1.16129e+06	251545
109	82.2975	382364	1.1226e+06 	252249
110	82.2975	382481	1.14148e+06	254159
111	82.2975	377840	1.11653e+06	252815
112	82.2975	373019	1.2053e+06 	244597
113	82.2975	371844	1.33725e+06	245670
114	82.2975	376451	1.23909e+06	250454
115	82.2975	374431	1.23909e+06	249908
116	82.2975	374585	1.28759e+06	255061
117	82.1284	373835	1.28759e+06	253946
118	82.1284	373041	1.231e+06  	249432
119	82.1284	373925	1.15355e+06	250397
120	82.1284	370902	1.17998e+06	250376
121	82.1284	370856	1.12697e+06	254305
122	82.1284	368699	1.12449e+06	256962
123	78.4023	371251	1.10389e+06	256779
124	78.4023	365288	1.23848e+06	256302
125	76.7107	364224	1.16262e+06	250455
126	76.7107	368457	1.14024e+06	253621
127	76.7107	366316	1.10699e+06	249109
128	76.7107	364551	1.17768e+06	249895
129	76.7107	360359	1.19892e+06	246011
130	76.7107	359061	1.13141e+06	238968
131	76.7107	358065	1.11888e+06	246728
132	76.7107	357540	1.12202e+06	246765
133	76.7107	357391	1.19224e+06	249483
134	76.7107	359079	1.26827e+06	253701
135	76.7107	360554	1.21869e+06	255420
136	76.7107	352630	1.15611e+06	246283
137	76.7107	354011	1.15611e+06	248436
138	72.7891	349438	1.13959e+06	243322
139	72.7891	349366	1.20537e+06	245958
140	72.7891	348236	1.17636e+06	241180
141	69.2687	344099	1.1639e+06 	235024
142	69.2687	346364	1.11051e+06	243659
143	69.2687	344091	1.11051e+06	236061
144	69.2687	344126	1.10093e+06	233618
145	69.2687	340143	1.08255e+06	231431
146	69.2687	338245	1.10505e+06	229679
147	69.2687	339704	1.12564e+06	235607
148	69.2687	341168	1.12883e+06	237799
149	69.2687	340251	1.22651e+06	242387
150	69.2687	341021	1.30997e+06	243794
151	69.2687	338044	1.29383e+06	242862
152	69.2687	336243	1.16331e+06	244808
153	69.2687	335222	1.13091e+06	243470
154	69.2687	331470	1.1122e+06 	236294
155	69.2687	332183	1.1122e+06 	232729
156	69.2687	333025	1.1095e+06 	237731
157	69.2687	333121	1.13827e+06	244244
158	69.2687	326884	1.0859e+06 	233599
159	69.2687	324087	1.09192e+06	229861
160	69.2687	324761	1.11917e+06	231896
161	69.2687	324015	1.11414e+06	230772
162	69.2687	324418	1.13666e+06	226419
163	69.2687	324342	1.11414e+06	224666
164	69.2687	324866	1.43971e+06	227862
165	69.2687	322005	1.14306e+06	221949
166	69.2687	323304	1.24504e+06	223009
167	69.2687	323823	1.14983e+06	222700
168	69.2687	323970	1.0862e+06 	227255
169	69.2687	326207	1.23285e+06	234661
170	69.2687	327091	1.13271e+06	236181
171	69.2687	324663	1.13271e+06	236170
172	69.2687	322997	1.19472e+06	235444
173	69.2687	317488	1.14723e+06	230008
174	69.2687	312633	1.14723e+06	224323
175	69.2687	312368	1.17271e+06	225386
176	69.1652	313864	1.12182e+06	228986
177	62.4606	313020	1.13505e+06	231021
178	62.4606	311754	1.12858e+06	230023
179	62.4606	309794	1.13179e+06	228887
180	62.4606	303787	1.10009e+06	222947
181	62.4606	305163	1.0812e+06 	226890
182	62.4606	303805	1.13576e+06	227368
183	62.4606	302275	1.09436e+06	225278
184	62.4606	301995	1.09436e+06	229370
185	62.4606	300586	1.14165e+06	218949
186	62.4606	302126	1.10653e+06	216751
187	62.4606	298765	1.08408e+06	206927
188	62.4606	295817	1.07805e+06	203979
189	62.4606	292746	1.07302e+06	205109
190	62.4606	291338	1.08098e+06	206690
191	61.7743	295070	1.07501e+06	211411
192	61.7743	299681	1.08454e+06	217368
193	61.7743	300892	1.13236e+06	219731
194	61.7743	296325	1.10861e+06	212014
195	61.7743	295268	1.10861e+06	217001
196	61.7743	289262	1.0878e+06 	211859
197	61.7743	291190	1.15822e+06	214825
198	61.7743	292018	1.0709e+06 	213063
199	61.7743	293697	1.12313e+06	216192
200	61.7743	290325	1.1326e+06 	215542
201	61.7743	290178	1.1039e+06 	219024
202	61.7743	290692	1.10497e+06	220540
203	61.7743	289601	1.10497e+06	217786
204	61.7743	287993	1.104e+06  	217280
205	61.7743	286758	1.08248e+06	214871
206	61.7743	282916	1.10435e+06	211180
207	61.7743	281677	1.08067e+06	211727
208	61.7743	283515	1.0537e+06 	213149
209	61.7743	284271	1.06154e+06	210304
210	61.7743	283258	1.06957e+06	207357
211	61.7743	281465	1.09328e+06	210370
212	61.7743	283259	1.07232e+06	210990
213	61.7743	281286	1.05629e+06	210989
214	61.7743	279005	1.07479e+06	208391
215	61.7743	278986	1.09157e+06	213106
216	61.7743	275875	1.07416e+06	202397
217	61.7743	277957	1.10933e+06	203009
218	61.7743	277402	1.08141e+06	205526
219	61.7743	275312	1.09053e+06	203900
220	61.7743	275612	1.07848e+06	201438
