gen	min    	avg   	max        	std   
0  	5521.43	513471	1.57844e+06	290678
1  	5521.43	514901	1.61369e+06	289803
2  	5521.43	514434	1.73484e+06	293643
3  	5521.43	511356	1.69459e+06	291786
4  	5521.43	513203	1.3093e+06 	291534
5  	5521.43	513254	1.54395e+06	293310
6  	5521.43	510716	1.60618e+06	289692
7  	5521.43	507340	1.36321e+06	285985
8  	2327.3 	510636	1.32455e+06	288969
9  	2034.78	507267	1.43276e+06	288359
10 	174.158	506988	1.28366e+06	286766
11 	174.158	507170	1.47447e+06	294078
12 	172.914	505748	1.33704e+06	289713
13 	172.914	504401	1.52467e+06	290770
14 	172.914	498836	1.44318e+06	287338
15 	156.393	495577	1.44318e+06	288277
16 	156.393	495049	1.35301e+06	288294
17 	156.393	493951	1.5031e+06 	289727
18 	156.393	491622	1.63667e+06	290330
19 	156.393	487701	1.37431e+06	285537
20 	153.491	489513	1.37431e+06	292307
21 	153.491	488397	1.30432e+06	292308
22 	152.759	487692	1.57472e+06	294006
23 	152.759	484223	1.46026e+06	293709
24 	152.759	483192	1.72314e+06	293999
25 	152.759	483916	1.72314e+06	295360
26 	152.759	481606	1.42559e+06	293485
27 	152.759	480044	1.31603e+06	288199
28 	146.47 	478168	1.3234e+06 	292802
29 	146.47 	473633	1.31349e+06	288741
30 	146.47 	473285	1.29365e+06	292776
31 	146.47 	474368	1.50636e+06	287998
32 	138.787	471914	1.64684e+06	284730
33 	138.787	474490	1.70627e+06	291886
34 	138.787	469760	1.61108e+06	288639
35 	109.985	470043	1.25935e+06	286239
36 	109.985	467436	1.35934e+06	280580
37 	109.985	468757	1.35934e+06	284118
38 	109.985	467017	1.60691e+06	287247
39 	109.412	469077	1.39712e+06	286958
40 	109.412	467242	1.20954e+06	282671
41 	109.412	464922	1.3241e+06 	283664
42 	109.412	463752	1.3241e+06 	280537
43 	109.412	463561	1.21558e+06	275873
44 	109.412	463228	1.32062e+06	278397
45 	109.412	460377	1.49916e+06	279109
46 	109.412	460647	1.37764e+06	275405
47 	109.412	459924	1.32104e+06	277545
48 	109.295	454183	1.18931e+06	275404
49 	109.295	459309	1.18931e+06	281503
50 	109.295	452404	1.23475e+06	281491
51 	109.295	452043	1.20126e+06	281476
52 	109.295	450635	1.45226e+06	280543
53 	109.295	445932	1.21223e+06	279445
54 	109.295	444419	1.25203e+06	273403
55 	109.295	442326	1.29847e+06	276026
56 	95.8705	442243	1.30949e+06	269299
57 	95.8705	440430	1.24394e+06	267863
58 	95.8705	436242	1.24394e+06	262299
59 	95.8705	438960	1.24394e+06	263523
60 	95.8705	433991	1.26765e+06	266225
61 	95.8705	428822	1.26765e+06	259615
62 	95.8705	426705	1.24959e+06	260209
63 	88.5935	425895	1.29078e+06	257567
64 	88.5935	423013	1.28924e+06	252956
65 	88.5935	427015	1.16171e+06	261713
66 	88.5935	425737	1.20544e+06	264651
67 	88.5935	422039	1.13829e+06	259881
68 	88.5935	421661	1.18259e+06	258412
69 	88.5935	420774	1.45387e+06	263638
70 	88.5935	422661	1.45387e+06	266827
71 	88.5935	421471	1.31892e+06	270561
72 	88.5935	420312	1.27354e+06	275425
73 	88.5935	419135	1.21036e+06	267654
74 	88.5935	415981	1.21036e+06	270278
75 	88.5935	414213	1.21036e+06	269530
76 	88.5935	410427	1.21661e+06	265286
77 	88.5935	407469	1.26708e+06	261892
78 	88.5935	409842	1.23943e+06	265827
79 	88.5935	407199	1.17738e+06	259703
80 	88.5935	405217	1.17738e+06	256963
81 	88.5935	405230	1.23436e+06	250923
82 	86.5053	404253	1.23844e+06	259664
83 	86.5053	400666	1.21278e+06	256312
84 	86.5053	395484	1.34379e+06	257917
85 	86.5053	400716	1.34379e+06	263363
86 	86.5053	397218	1.21357e+06	262692
87 	86.5053	396692	1.15277e+06	257728
88 	86.5053	397368	1.15277e+06	256160
89 	86.5053	396086	1.13182e+06	258266
90 	86.5053	393939	1.13182e+06	256815
91 	86.5053	393485	1.15405e+06	252617
92 	86.5053	395469	1.16372e+06	255346
93 	86.5053	394505	1.19915e+06	256047
94 	86.5053	394167	1.42959e+06	258922
95 	86.5053	389428	1.20759e+06	253655
96 	86.5053	385303	1.18592e+06	248126
97 	86.5053	389030	1.14313e+06	252668
98 	86.5053	389489	1.13806e+06	251564
99 	86.5053	387971	1.13349e+06	255097
100	86.5053	384359	1.21662e+06	247486
101	86.5053	384329	1.13816e+06	248458
102	86.5053	382135	1.20913e+06	240714
103	86.5053	380744	1.2403e+06 	248485
104	86.5053	383245	1.17633e+06	256281
105	86.5053	381836	1.21585e+06	252975
106	86.5053	380467	1.16377e+06	248348
107	86.5053	381802	1.3587e+06 	246506
108	86.5053	383406	1.17065e+06	245598
109	86.5053	382360	1.18822e+06	251894
110	86.5053	378708	1.18822e+06	246615
111	86.5053	377920	1.24109e+06	248602
112	86.5053	374593	1.21827e+06	248356
113	86.5053	372496	1.267e+06  	246937
114	86.5053	369859	1.267e+06  	248666
115	86.5053	369385	1.23761e+06	247141
116	86.5053	368302	1.16862e+06	243433
117	86.5053	369081	1.18971e+06	246725
118	86.5053	367251	1.17371e+06	245656
119	86.5053	362529	1.13567e+06	237614
120	86.5053	360142	1.13567e+06	233659
121	86.5053	359836	1.13567e+06	235893
122	86.5053	357585	1.09817e+06	231462
123	86.5053	354753	1.10349e+06	234297
124	84.5231	351721	1.12005e+06	234986
125	83.1389	352636	1.11463e+06	236302
126	83.1389	353122	1.19708e+06	242687
127	83.1389	352410	1.19708e+06	241706
128	83.0351	352160	1.12751e+06	241026
129	83.0351	349847	1.14406e+06	238863
130	83.0351	349558	1.22406e+06	239093
131	83.0351	347232	1.18682e+06	234185
132	83.0351	340215	1.14238e+06	233627
133	83.0351	337240	1.0738e+06 	228762
134	83.0351	337504	1.19027e+06	229993
135	83.0351	334619	1.092e+06  	228569
136	83.0351	335679	1.09171e+06	233411
137	83.0351	334422	1.12114e+06	234399
138	83.0351	336557	1.10528e+06	233225
139	83.0351	339857	1.10528e+06	240213
140	83.0351	338254	1.10729e+06	238560
141	83.0351	337757	1.10528e+06	242531
142	83.0351	336078	1.1263e+06 	247725
143	83.0351	335093	1.15166e+06	245152
144	83.0351	335665	1.15166e+06	242672
145	83.0351	332557	1.13758e+06	236563
146	83.0351	330128	1.13758e+06	230541
147	83.0351	329268	1.11899e+06	230463
148	83.0351	325811	1.11122e+06	229089
149	83.0351	324582	1.10835e+06	231953
150	83.0351	325037	1.08677e+06	237553
151	76.8196	324723	1.28654e+06	238092
152	76.8196	326123	1.12258e+06	243614
153	76.8196	323343	1.10642e+06	238039
154	76.8196	321400	1.10538e+06	238806
155	76.8196	321506	1.10081e+06	233742
156	76.8196	319639	1.11377e+06	223561
157	76.8196	318849	1.10796e+06	227119
158	76.8196	319225	1.10796e+06	232608
159	76.8196	316833	1.11097e+06	227714
160	76.8196	317943	1.10828e+06	234027
161	76.8196	318618	1.24382e+06	234211
162	76.8196	318453	1.2264e+06 	231947
163	70.3652	317958	1.39033e+06	235432
164	70.3652	319453	1.39033e+06	240141
165	70.3652	316110	1.30304e+06	234139
166	70.3652	314472	1.23825e+06	231898
167	70.3652	312016	1.23825e+06	232563
168	70.3652	310246	1.2255e+06 	229597
169	70.3652	310147	1.21276e+06	229011
170	67.4589	307970	1.16171e+06	228724
171	67.4589	306709	1.10537e+06	226906
172	67.4589	304852	1.11973e+06	216845
173	67.4589	305914	1.09767e+06	215767
174	67.4589	307597	1.07939e+06	222984
175	67.4589	308816	1.11963e+06	228255
176	67.4589	308308	1.11963e+06	232117
177	67.4589	303182	1.11963e+06	227565
178	67.4589	300667	1.09795e+06	222584
179	67.4589	298281	1.13479e+06	220666
180	67.4589	296949	1.10434e+06	218029
181	67.4589	294257	1.0934e+06 	211182
