/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min   	avg   	max   	std   
0  	3693.8	159179	494096	101565
1  	3693.8	158870	508967	104271
2  	3693.8	157823	504194	104005
3  	3693.8	157919	462506	101913
4  	3693.8	157383	470568	102342
5  	2405.84	157481	484411	101465
6  	2261.96	158547	515424	102187
7  	2261.96	157382	487000	101953
8  	2261.96	157335	461960	101850
9  	2261.96	157004	472053	102602
10 	2261.96	156324	536723	102744
11 	2261.96	156208	501865	102600
12 	2223.11	156271	496869	100829
13 	2223.11	155697	496869	99275.7
14 	2223.11	155027	490176	98565.7
15 	2182.74	154815	458341	99872.1
16 	2182.74	155096	459646	100437 
17 	2182.74	155169	473034	100029 
18 	2182.74	154663	473034	99251.1
19 	2182.74	154357	431183	97899.3
20 	2182.74	154319	461891	95954.4
21 	2182.74	154059	461891	96900.5
22 	2182.74	154342	438301	99827.3
23 	2182.74	153750	468956	98372.7
24 	1239.26	153794	474487	100307 
25 	1239.26	153050	472738	100268 
26 	1193.56	153793	463842	99917.9
27 	1077.29	153176	460844	99055.4
28 	1077.29	152656	546779	100641 
29 	1077.29	151941	484297	98626.8
30 	1077.29	150824	480006	98248.3
31 	1077.29	150572	473117	97334.4
32 	1077.29	150736	460402	97213  
33 	1032.41	150059	450208	96632.7
34 	1032.41	149871	480718	98388.6
35 	1032.41	149251	567061	98563.4
36 	1032.41	148972	512321	96596  
37 	1032.41	149005	540210	97023.5
38 	1032.41	148910	478636	99461.4
39 	1032.41	148499	507199	99990.1
40 	1032.41	148097	516897	99277.7
41 	1032.41	147755	467020	98420.3
42 	996.68 	147299	473744	97775.8
43 	996.68 	146636	473744	97962  
44 	996.68 	147150	501041	98481.2
45 	996.68 	146676	463700	95986.5
46 	996.68 	146568	488373	96001.8
47 	865.695	145765	488373	97171.2
48 	865.695	145484	483019	96249.3
49 	865.695	144298	483845	95271.1
50 	865.695	145101	486422	94747.5
51 	865.695	144690	486422	95537.8
52 	865.695	144598	532193	97957.7
53 	865.695	144603	512666	97659.3
54 	865.695	144646	597912	97095.2
55 	865.695	143660	448060	94641.9
56 	865.695	143744	455953	95365.3
57 	865.695	143839	528942	98086.5
58 	865.695	142884	505432	97328.4
59 	865.695	142330	470157	98081.4
60 	865.695	142086	470502	97850.2
61 	865.695	142830	577845	99472.4
62 	865.695	142683	508624	98835.3
63 	865.695	142116	505389	97457.3
64 	865.695	141503	471761	95634  
65 	865.695	141276	472342	95461.5
66 	865.695	140707	472342	96399.5
67 	865.695	140850	457189	96404.4
68 	865.695	139516	490068	96432.3
69 	865.695	139199	493867	96537.8
70 	865.695	139071	499368	95951.2
71 	865.695	138192	466148	94933.9
72 	865.695	138446	469193	94715.8
73 	865.695	137952	504617	98105.5
74 	865.695	137722	480596	96289.7
75 	865.695	137699	481151	95220.9
76 	865.695	138257	681767	96455.1
77 	865.695	137535	565331	95705.2
78 	865.695	137685	592702	98168.6
79 	865.695	137305	566818	97500.5
80 	865.695	137015	533225	98447.7
81 	865.695	136575	481064	97305.9
82 	865.695	135792	477763	95406  
83 	865.695	135407	488700	96139.4
84 	865.695	135123	524558	95220  
85 	865.695	134163	518759	95822.2
86 	865.695	133850	453265	94529.4
87 	865.695	133840	453265	93801.5
88 	793.301	133551	477423	94815.6
89 	793.301	134216	496312	94535.5
90 	793.301	133762	496312	97411.6
91 	793.301	133410	489125	96294.7
92 	793.301	133312	470044	93774.1
93 	760.436	132881	496231	95161.7
94 	760.436	133215	470195	94559.7
95 	760.436	132428	462955	93129.3
96 	760.436	131953	462955	93358.3
97 	760.436	131526	458520	92648.1
98 	760.436	131612	455679	92291.8
99 	722.302	132214	481144	93141  
100	722.302	132026	489500	93432.9
101	722.302	131862	489500	93723.3
102	722.302	131514	489500	92483.4
103	722.302	131599	505908	94099.6
104	722.302	131201	559141	95194.6
105	722.302	131121	489174	92724  
106	722.302	131299	474559	91671.9
107	722.302	131224	474755	92498.9
108	722.302	131236	474138	93484.3
109	722.302	130557	497020	93512.8
110	722.302	130191	474138	92477.8
111	722.302	129939	442121	88385  
112	722.302	130282	442286	89226.1
113	722.302	131274	498192	91476.5
114	623.647	130787	428571	90321.7
115	623.647	129778	472943	91398.6
116	623.647	128844	473686	91082.5
117	623.647	129131	473686	90054  
118	510.001	128357	491238	89274.6
119	510.001	128241	464959	88939.8
120	510.001	128184	474260	89352.7
121	510.001	128356	463042	87586.3
122	510.001	128805	461188	87532.9
123	510.001	128486	459831	88530.2
124	510.001	128336	498608	89826  
125	510.001	128182	472733	89298.4
126	510.001	127788	487703	91159.3
127	510.001	127202	473599	90402.2
128	510.001	126632	473599	89769.5
129	510.001	126300	465168	90670.2
130	510.001	126524	457115	90745.4
131	498.581	126779	439072	91962.4
132	498.581	126182	484760	91973.4
133	498.581	126039	448983	92234  
134	475.437	125269	476257	91856.8
135	475.437	125606	464956	90271.4
136	475.437	125102	440497	90121.2
137	475.437	125228	422241	87739.5
138	475.437	124720	415318	87667.4
139	475.437	124391	486258	87490.2
140	475.437	124469	415331	88613.9
141	475.437	124158	404811	88845.3
142	475.437	123875	408506	86810.1
143	475.437	123803	432152	87368.4
144	475.437	123762	409643	86706.2
145	475.437	123762	425189	88756  
146	475.437	124206	484455	90722.9
147	475.437	124173	511175	90277.2
148	475.437	123645	436981	89253  
149	447.582	123932	460532	91200.7
150	447.582	123180	472487	91349.7
151	447.582	122945	421400	91193.2
152	447.582	122599	403157	90525  
153	447.582	122695	440845	91075.6
154	447.582	122749	440845	90376.7
155	447.582	122974	410945	90467.6
156	447.582	122847	443441	90068.9
157	385.377	122594	471160	90654.5
158	385.377	122534	423685	90232.2
159	385.377	121921	443089	90602.5
160	385.377	122691	475933	89916.3
161	385.377	122382	456557	90003.6
162	385.377	122958	434409	89835.3
163	385.377	122503	434409	90523.5
164	385.377	122509	416389	91101.1
165	385.377	122337	437420	91052.8
166	385.377	122481	437420	91090  
167	385.377	122261	427026	89451.4
168	385.377	121692	421263	88934.6
169	385.377	121400	416329	87567.1
170	385.377	121062	475655	89009.7
171	385.377	120969	435101	90636.2
172	385.377	120144	514374	90188.9
173	385.377	119944	438379	89346.5
174	385.377	119139	434318	89002.4
175	385.377	119515	434318	90348.3
176	385.377	120175	434318	91388  
177	385.377	120741	637918	92463.6
178	385.377	120799	483090	91876.5
179	385.377	120227	454128	91283.1
180	385.377	119778	454128	90356.4
181	385.377	119517	453100	88314.7
182	385.377	119460	449526	88217.7
183	385.377	120065	461691	88729.4
184	385.377	119594	479413	89741.1
185	385.377	119131	461691	89494.4
186	385.377	119155	461691	89915.3
187	385.377	119940	622644	92147.6
188	385.377	119117	514240	90305.4
189	385.377	119618	458841	89231.5
190	385.377	119697	533999	90057.9
191	385.377	119455	492062	88352.4
192	385.377	118853	491125	88372.4
193	385.377	118604	499836	87998.8
194	385.377	118256	473931	88820.5
195	385.377	117752	472315	88955.3
196	385.377	117713	472315	89026.7
197	385.377	117894	462308	86646.6
198	385.377	117501	440113	85875.8
199	385.377	117805	442166	86853.2
200	385.377	117385	459041	88193.5
201	385.377	116998	469332	89281.3
202	385.377	116050	447490	88512.7
203	385.377	115459	423192	87914.6
204	376.577	115115	445534	88053.5
205	376.577	115065	431835	88592.3
206	376.577	114759	431835	87894.5
207	376.577	115043	424287	88012.3
208	376.577	114868	428623	87971.7
209	376.577	114590	433393	87267.7
210	376.577	114449	533553	88528.4
211	376.577	113859	504667	89133.3
212	376.577	113640	473666	89191.9
213	376.577	113671	454683	88213.3
214	376.577	113283	475436	88248.6
215	376.577	113055	437998	88999.4
216	376.577	112545	442446	88646.3
217	376.577	112463	438258	88126.1
218	376.577	112139	438258	88924.1
219	376.577	112010	529702	87657  
220	376.577	111450	444964	88040.5
221	376.577	111207	435055	86812.1
222	376.577	110775	431414	84348  
223	376.577	110416	439466	85622.8
224	376.577	109662	442159	84764.8
225	376.577	109685	441519	83453  
226	376.577	109623	440940	84330.3
227	376.577	109065	445797	84442.8
228	376.577	108874	445797	83749.2
229	376.577	108036	437626	84055.2
230	376.577	107585	419746	83481.4
231	376.577	107461	422817	82590.7
232	376.577	107543	422817	81938.5
233	376.577	106606	408730	81580.4
234	376.577	106554	456996	81532.2
235	376.577	106466	470829	81685.2
236	376.577	105892	458839	81563.9
237	376.577	105443	433071	80443.6
238	376.577	105280	386516	79908.6
239	376.577	105643	388664	79952.9
240	376.577	105419	380764	79999.4
241	376.577	105186	381400	79999.7
242	376.577	104408	376856	78336.9
243	376.577	104261	376856	79379.7
244	376.577	103884	460699	80102.4
245	376.577	103746	455497	79549.5
246	376.577	103852	424734	78604.9
247	376.577	103058	368813	77026  
248	376.577	102576	379582	76065  
249	376.577	102201	485272	77144.3
250	376.577	102579	392061	77220.4
251	376.577	102037	393720	77181.3
252	376.577	102324	458146	78596.3
253	376.577	101779	459084	77853.7
254	376.577	101692	436792	76878.6
255	376.577	101772	382274	75915.5
256	376.577	102083	388724	76623.8
257	376.577	101884	389590	76305.7
258	376.577	101218	368216	76336.5
259	371.547	101164	406951	75853.8
260	371.547	100648	406951	76710.1
261	371.547	100322	396711	77354  
262	371.547	100638	356165	77227.2
263	371.547	101146	377629	77161.2
264	371.547	100948	417120	77177.3
265	371.547	101439	412319	75756.5
266	371.547	101224	412319	75650.1
267	371.547	100684	408461	76299.1
268	371.547	100327	384600	76297.5
269	371.547	99511.4	386477	75403.5
270	371.547	99131  	448919	76346.8
271	371.547	98931.5	392342	74743.3
272	371.547	98813.1	395108	76956.9
273	371.547	98480.2	379568	76615.3
274	371.547	98568.2	396465	77101.2
275	371.547	98478.9	391129	77257.5
276	322.091	98956.6	432407	77409.2
277	322.091	98359.4	401878	76929.4
278	322.091	98016.9	401878	75752.1
279	322.091	97947.7	466422	75757.9
280	321.336	97437.6	420216	75080.9
281	321.336	96891.8	382994	73592.1
282	321.336	97464.5	370572	74543.1
283	321.336	97030.6	370572	74995.6
284	321.336	96366.6	372386	74071.6
285	321.336	95755.7	371337	73563.6
286	321.336	95260.4	371337	72473.1
287	321.336	95252.6	371337	73180.8
288	321.336	94662.4	361658	72850.3
289	321.336	94015.5	430284	72862.2
290	321.336	93897.9	429580	72350.4
291	321.336	93427.3	377219	71040.5
292	321.336	92650.2	386448	70600.1
293	321.336	92735.7	326861	69520.9
294	317.069	93138.1	430646	70520  
295	317.069	93508.2	378075	68760.3
296	317.069	92902.8	339211	69580.5
297	317.069	92779.8	365105	70660.4
298	317.069	92647.6	395355	72048  
299	317.069	92504.3	360610	72529.5
300	317.069	92099.8	399425	72181.8
301	317.069	91365.9	355425	72424.5
302	317.069	91629.6	355425	72155  
303	317.069	92178.6	352175	72646.5
304	317.069	91936.6	441991	74423.5
305	317.069	91944.3	390995	73517.9
306	317.069	92229.8	398855	72926.2
307	317.069	91861.6	395362	72783.8
308	317.069	91461.7	385192	71897.7
309	317.069	91311.3	370830	70933.2
310	317.069	91179.6	377933	71383  
311	317.069	91016.5	357960	73449.3
312	317.069	90465.4	360357	73268.3
313	317.069	89995.3	353967	74363.9
314	317.069	90313  	344020	74313.4
315	317.069	89921.9	345071	72744.1
316	317.069	90426.7	364317	72953.5
317	317.069	89934.4	347480	71216.1
318	317.069	89588  	347480	70306.1
319	317.069	89588.9	366645	70998.7
320	317.069	89369.4	420424	71683.6
321	317.069	90193.1	383148	70926  
322	317.069	89640.1	380817	69667.5
323	317.069	89634.6	374791	71261  
324	317.069	89615  	363582	71839  
325	317.069	89260.8	377126	71783.3
326	317.069	89305.7	355816	71158.5
327	317.069	89683.8	375232	71703.2
328	317.069	89795.5	405971	73236  
329	317.069	89332.9	405971	72060.4
330	317.069	88857.6	362198	71405.2
331	317.069	88775.1	384620	72964.5
332	317.069	88290.7	382983	73303.7
333	317.069	87456.8	383264	74462.6
334	317.069	87400.3	383284	74138.6
335	317.069	86788.6	360678	72176.4
336	317.069	86724.7	407199	72068.1
337	317.069	86480.5	379239	71868.2
338	317.069	86321.2	352038	70572.2
339	317.069	85991.6	347349	70369.9
340	317.069	85694.8	380407	70982  
341	317.069	85125.4	347246	70265.1
342	317.069	84838.9	375100	69448.5
343	317.069	84750.2	352629	68899.1
344	317.069	84616.9	330694	69325  
345	317.069	84676.6	365524	68104.4
346	317.069	84659.8	363144	69002.4
347	317.069	84511  	371578	68009.9
348	317.069	84096.2	370360	67066.3
349	317.069	84125.6	314207	65285  
350	317.069	83529.9	310983	65811.1
351	317.069	83671  	379784	66609.5
352	317.069	83468.2	344664	66871.7
353	317.069	83333.6	344664	67214  
354	317.069	82845.2	334639	67277.8
355	317.069	82780.9	368367	68041.3
356	317.069	83170.9	368367	67622.5
357	317.069	83288.4	373680	66415.8
358	317.069	83218.2	364978	67936.7
359	317.069	83035.5	362791	66993.4
360	317.069	82610.9	345226	66205.8
361	317.069	82577.6	355390	67336.8
362	317.069	82431.8	355390	66994.7
363	317.069	82349.7	350199	65863.3
364	317.069	82484.6	356488	65004.5
365	317.069	81394.2	352708	65098.6
366	317.069	81011.5	343359	66102  
367	317.046	80802  	333605	65600.2
368	317.046	80678.6	350204	66420.5
369	317.046	80032.1	336867	65568.5
370	317.046	80642.4	324598	65936  
371	317.046	80547.5	328621	66536.6
372	317.046	80253.3	339762	66145.3
373	317.046	80204.5	338103	66185.8
374	317.046	79655.5	338028	65236.5
375	317.046	79381.1	317145	64427.4
376	317.046	79347  	329606	64671.2
377	317.046	79345.2	317581	65148.2
378	316.872	79630.2	318441	63625.6
379	316.872	79984.2	320681	62938.6
380	316.872	80082.1	309339	61761.3
381	316.872	79829  	348073	63473.9
382	316.872	79394  	348073	62990.1
383	316.872	78974.3	328081	63576.2
384	316.872	78758.3	328081	63135  
385	316.872	78743.9	306404	61279.3
386	316.872	78557  	306404	62029.2
387	316.872	78695.7	323896	62722.8
388	316.872	78839  	365101	63740.8
389	316.872	78670.6	365101	62910.1
390	316.872	78514.3	365003	63169.1
391	316.03 	78074.9	321413	62220.6
392	316.03 	77635.6	321413	62753.6
