/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg   	max   	std   
0  	4502.03	155291	507466	105865
1  	4460.71	154923	477268	104555
2  	4193.59	154578	494519	104174
3  	4193.59	155828	471411	105835
4  	3425.5 	155319	496173	106010
5  	3425.5 	156709	683530	108015
6  	3180.65	156610	725460	109011
7  	3180.65	156266	612300	107871
8  	3180.65	155744	509960	106692
9  	3180.65	155446	509960	106114
10 	3180.65	154867	494413	105664
11 	3180.65	154978	513025	104591
12 	3171.92	153879	530981	105775
13 	2794.86	153192	495994	105127
14 	1557.94	152635	573465	105135
15 	1557.94	152204	502551	104773
16 	1557.94	152514	502551	104214
17 	1557.94	152023	488431	104091
18 	1557.94	152763	480626	102594
19 	1557.94	151338	474916	102561
20 	1557.94	150689	468120	101092
21 	1557.94	150938	468120	100697
22 	1557.94	150763	498293	101982
23 	1499.27	150796	603928	102878
24 	1499.27	149912	577562	103072
25 	1499.27	150187	577562	103140
26 	1361.83	149929	543105	100854
27 	1361.83	149486	521587	102357
28 	1070   	149147	516574	103122
29 	1070   	148064	532447	103878
30 	1070   	148141	534172	104700
31 	1070   	147478	530088	104044
32 	1070   	147842	478912	104173
33 	1070   	147512	478912	103092
34 	1070   	147410	477719	102932
35 	1070   	146934	477719	103138
36 	1070   	146455	477719	101611
37 	1070   	146372	475027	101075
38 	1070   	146064	479945	101466
39 	680.838	146362	488398	103545
40 	680.838	146187	527160	101187
41 	680.838	145689	555452	101210
42 	541.984	145437	494406	100628
43 	541.984	145388	451495	98151.3
44 	541.984	144939	494903	98446.7
45 	541.984	144019	470466	98097.2
46 	541.984	144188	578609	98877.4
47 	541.984	144187	482053	98912.1
48 	541.984	144115	473336	99563.2
49 	541.984	144561	478122	100144 
50 	541.984	143566	515244	100352 
51 	541.984	143535	473947	99127.8
52 	541.984	143059	512367	99825.3
53 	541.984	143471	608793	99683.9
54 	541.984	143823	586232	100039 
55 	541.984	143481	554770	101951 
56 	541.984	143785	498513	101150 
57 	541.984	143764	498513	102269 
58 	541.984	143257	495546	102868 
59 	541.984	142990	545140	104424 
60 	541.984	143298	539790	104849 
61 	541.984	143295	533162	106181 
62 	541.984	143107	533162	107187 
63 	541.984	143132	529570	106782 
64 	541.38 	142545	523246	105886 
65 	541.38 	142340	523246	105222 
66 	541.38 	141793	514082	104523 
67 	450.523	142069	514082	102746 
68 	450.523	141501	494908	101486 
69 	450.523	140720	484191	100050 
70 	450.523	139787	469202	98644.7
71 	350.558	139531	503709	99385.8
72 	350.558	138916	477169	99329.3
73 	350.558	139221	573117	100974 
74 	350.558	139617	524706	99161.8
75 	350.558	139160	480749	98426.2
76 	350.558	138738	480749	98099.7
77 	350.558	138937	500529	98949.2
78 	350.558	138735	499913	100767 
79 	350.558	138229	499913	99955.4
80 	350.558	138249	543078	100099 
81 	350.558	138464	497918	99517.2
82 	350.558	137818	482595	98288.2
83 	350.558	137304	482595	98226.5
