/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg    	max   	std    
0  	1456.93	73270.7	319913	51495.8
1  	1347.96	73199.6	299987	52801.1
2  	1347.96	73034.6	296586	51684.2
3  	1347.96	72189.3	318344	51364.8
4  	1347.96	72825  	304234	51583.5
5  	1347.96	72779.9	362021	51401.4
6  	1347.96	72186  	313543	51319.9
7  	1347.96	74031.3	316476	54648.6
8  	1347.96	75163  	316476	56516.2
9  	1347.96	75337  	389636	56435  
10 	1347.96	74011.3	298923	53861.2
11 	1347.96	75764.9	338253	56793.8
12 	1347.96	76064  	497491	58325.6
13 	1347.96	75959.1	354352	56525.3
14 	1347.96	75139  	450641	57502  
15 	1347.96	75201  	450641	56620  
16 	1347.96	75794.6	340653	58346.3
17 	883.333	74395.5	335267	55475.8
18 	883.333	76904.8	399989	59023  
19 	827.204	76305.8	377907	59362.7
20 	827.204	75939  	377907	57594.2
21 	827.204	75913.4	377907	58625.4
22 	791.445	77175.1	395088	58928.5
23 	791.445	76948.7	392871	58563.8
24 	791.445	77551.6	392871	59091.1
25 	791.445	76157.5	409329	57065.9
26 	791.445	75689.5	380429	56217.1
27 	791.445	76057.4	365103	57441.6
28 	557.778	75357.3	338536	56089.4
29 	557.778	75475.7	389101	55605.4
30 	541.114	73979.6	389101	55368.7
31 	541.114	72741.1	374580	54413  
32 	541.114	73799.8	335630	55561.1
33 	541.114	73932.4	325582	57286.9
34 	541.114	74018.8	417929	56853.2
35 	541.114	73856.3	422918	55209.3
36 	541.114	74044.6	333077	54855  
37 	541.114	72359.9	370376	53825.9
38 	541.114	72880.9	413146	55460.7
39 	541.114	73780.8	370376	57601.1
40 	541.114	73547.3	325822	55852.7
41 	541.114	74693.8	325822	56615.3
42 	541.114	73827.6	351506	55221.5
43 	541.114	75011.4	471922	59424.9
44 	541.114	74086.5	390631	57555.8
45 	541.114	72965.8	333393	54132.1
46 	537.233	73851.8	333393	56338.1
47 	537.233	74696.6	395720	57996.6
48 	537.233	75419.5	335622	58624.2
49 	537.233	74441.7	334859	57109.6
50 	537.233	74864.4	334859	56884.6
51 	533.125	75129.6	361655	56945.6
52 	533.125	73915.8	457466	57562.9
53 	533.125	73556.5	434762	58923.9
54 	533.125	73018.8	365269	57970.7
55 	533.125	72732  	364612	56028.9
56 	533.125	72584.4	304672	55076.3
57 	533.125	74224.4	385354	57723.7
58 	533.125	74430.4	375514	56989.9
59 	533.125	73986.8	372942	57446.7
60 	533.125	74303.4	341239	57772.5
61 	533.125	75039.6	381555	59182  
62 	533.125	74094.1	365126	59106.7
63 	533.125	73994.7	335735	59112.4
64 	445.131	74180.5	384218	60291.8
65 	445.131	73668.7	347367	57817.5
66 	445.131	73532.1	347367	58113.9
67 	445.131	73083.8	308171	57319.8
68 	445.131	73419.4	330672	57229  
69 	445.131	72268.9	330655	55110.7
70 	445.131	73190.3	330655	57575  
71 	445.131	73132.4	348929	58160.2
72 	445.131	76109.7	509402	65900.9
73 	445.131	76461.8	525549	66435.3
74 	445.131	74519.7	472096	61963.3
75 	445.131	75379.4	472096	62332.5
76 	429.122	76425.6	409950	63582.5
77 	429.122	77339.4	482582	65291.5
78 	429.122	75211.9	380882	59661.9
79 	429.122	74815.3	366284	60617.7
80 	429.122	76085.2	354634	61419.8
81 	429.122	77615.6	579023	65033.8
82 	429.122	76275.5	404796	62384.6
83 	429.122	74393.2	370870	59039.3
84 	429.122	75418.7	408027	60778.9
85 	429.122	76635.4	403474	64179.1
86 	429.122	75346.4	506888	64154.2
87 	429.122	74346.8	457706	60681.4
88 	429.122	75382  	366663	59846.9
89 	419.009	75309.9	405254	58880  
90 	419.009	75650.7	462354	59084.6
91 	419.009	75548.4	309452	57173.2
92 	419.009	75416.1	343457	59004.5
93 	419.009	75727.7	357770	60097.4
94 	370.661	75228.3	393281	60302.2
95 	370.661	74564.1	356372	59865.5
96 	370.661	74416.6	352975	59269.6
97 	370.661	75831.4	352975	60006.7
98 	370.661	76231.4	355779	60902.7
99 	370.661	74872.7	345592	59663.3
100	370.661	74618.3	387320	59514.8
101	370.661	72013.7	440227	56044.6
102	370.661	72657  	453574	59087.4
103	370.661	74418.7	485337	61150.3
104	370.661	73559.4	395315	58677.3
105	370.661	74932.9	395315	60597.6
106	370.661	75821.9	419613	60445.1
107	370.661	75844.9	346728	58837.5
108	370.661	76454.5	339401	60613.9
109	370.661	77139.7	360047	61795.8
110	370.661	77267.1	340266	62660.3
111	370.661	77435.3	369390	62885.6
112	370.661	77417  	360371	62144.2
113	370.661	78311.4	498165	71960.2
114	370.661	80395.8	525896	75173.6
115	370.661	78823.3	458504	70826.3
116	370.661	78891.7	537782	69803.2
117	370.661	79008.9	444537	70173  
118	370.661	77696.5	448834	67224.8
119	370.661	77567.3	535620	68287.8
120	370.661	75747.1	451867	64521.3
121	370.661	74952.3	451867	64944.5
122	370.661	75553.9	467490	65102  
123	370.661	75712.9	467490	68343.9
124	370.661	75611.2	467490	66828.2
125	370.661	76728.9	402828	68905.3
126	370.661	75010.2	367765	65166.7
127	370.661	74730.8	389622	63648.9
128	370.661	75059.6	380413	64183.2
129	370.661	75688.1	403833	62679.1
130	364.533	75417.7	351467	61379.2
131	364.533	75675.1	516997	66774  
132	364.533	75063.5	423122	65664.2
133	364.533	74796.6	420306	63585.6
134	364.533	74629.4	515925	65683.1
135	364.533	76117.2	509482	67230  
136	364.533	76471.8	465700	65300.2
137	364.533	74842.6	446626	63514.4
138	364.533	75565.4	446626	64442.4
139	364.533	75389.6	413224	62211.3
140	364.533	75562.6	459384	62794.2
141	364.533	76711.5	566920	68970.6
142	364.533	74768.7	566920	65548.1
143	364.533	74657.1	391160	63525  
144	364.533	74254.1	485261	65940.7
145	364.533	73126.8	391646	60303.9
146	355.34 	73043.2	332689	59733.6
147	355.34 	72737.5	383168	62336.7
148	355.34 	72635.8	481726	62638.4
149	355.34 	74214.6	460964	64053.6
150	355.34 	74172.7	460964	63017.8
151	355.34 	72718  	457119	62010.2
152	355.34 	70478.9	342851	58141.2
153	355.34 	70615.3	348041	58022.5
154	355.34 	71372.4	394537	60574.6
155	355.169	71320.5	394537	60764.7
156	355.169	71946.1	379050	59691.6
157	355.169	71809.9	340067	57383  
158	355.169	73022.4	474768	62340.2
159	355.169	71659.7	331444	58128.3
160	355.169	71775  	408833	57572.6
161	355.169	73719.3	342135	59362.4
162	355.169	72787.8	342135	58441.4
163	355.169	74809  	387028	60788.5
164	355.169	73476.9	375943	59451.3
165	314.588	72889.7	339201	59636.2
166	314.588	73480.3	320504	61478.8
167	314.588	72627.1	351924	61268.7
168	314.588	72892.3	351924	61300.5
169	314.588	73764.5	416470	64161.2
170	314.588	73146.8	342504	63921  
171	314.588	71656.3	329777	61739.4
172	314.588	69616.4	363092	59641.6
173	314.588	69861.7	363092	60651.1
174	314.588	68761.5	375997	58422.1
175	314.588	68820  	351428	58140.1
176	314.588	66832.8	333054	55246.8
177	314.588	66294.4	315228	53284.5
178	314.588	66577.3	315228	53696.4
179	314.588	67649.3	357972	56104.1
180	314.588	67239.1	327965	54670.2
181	314.588	68539  	394206	58736.1
182	314.588	68440.8	354687	56532.6
183	314.588	68391.4	326826	58412.5
184	314.588	68540.2	364309	58841.1
185	314.588	68024.2	365271	57007.8
186	314.588	66476.8	360744	55792.9
187	314.588	67195.7	297100	55282.3
188	314.588	67620.6	390914	56891.9
189	314.588	67120.4	390914	55572.1
190	314.588	67828.9	357869	56558.4
191	314.588	68990  	469730	61724  
192	314.588	69070.3	469730	61491.2
193	314.588	68959.6	390412	60396.8
194	314.588	69518.1	468240	61683.2
195	314.588	68220.9	517891	59782.5
196	314.588	68513.6	425569	60650.1
197	314.588	69422.9	425569	62508.4
198	314.588	68294.4	391920	59613.9
199	314.588	67797.9	380191	57586.1
200	314.588	67402.6	358781	57037.7
201	314.588	67440.6	332622	57469.2
202	314.588	67456  	462999	60660.8
203	314.588	67686.3	431364	59396.1
204	314.588	67765  	374062	59322.4
205	314.588	68828.4	468368	62758.8
206	314.588	68360.5	468368	61266.2
207	314.588	68371.5	468368	63523  
208	314.588	68115.2	414145	62770.6
209	314.588	69131  	392263	63999.9
210	314.588	67083.2	365804	60117.4
211	314.588	66706.8	376311	60334.4
212	314.588	67588.1	438874	63128.2
213	314.588	66617.3	438874	58544.2
214	314.588	66098.8	345972	58051.5
215	314.588	67215.2	310104	57506.3
216	314.588	66524.7	310104	55705.6
217	314.588	65638.8	303353	55540  
218	314.588	66674.2	312417	57635.1
219	314.588	66514  	400544	60531.4
220	314.588	66522.3	373224	59719.3
221	314.588	66534.1	402538	60423.1
222	314.588	65747.4	445343	58767.4
223	314.588	66523.7	332141	58396.6
224	314.588	66787.5	304882	57570.1
225	314.588	67100.9	357664	59134.3
226	314.588	65900.2	430629	58480.1
227	314.588	66014.7	430629	59783.4
228	314.588	66950.9	438462	61356  
229	314.588	65896.2	423957	59034.6
230	314.588	65919.5	394544	57000.8
231	314.588	65630  	389393	57037.7
232	314.588	65866.6	342926	56500.9
233	314.588	66462.3	363715	58652.8
234	314.588	65552.9	380578	58567.9
235	314.588	67382  	381779	61791.3
236	314.588	66832.8	457026	61013.4
237	314.588	66001.8	339327	59865  
238	314.588	65060.9	318505	56521.8
239	314.588	65237.8	375043	56788.1
240	314.588	65243.5	488001	58083.9
241	314.588	64247.7	370071	56753.7
242	314.588	64928.8	498017	60872.7
243	314.588	65534  	400670	60026.7
244	314.588	66592.7	427272	61745  
245	314.588	65582.9	427272	61467.5
246	314.588	65963  	427272	62293.4
247	314.588	66275  	415915	62021.4
248	314.588	65885.6	477088	62261.7
249	314.588	64974.5	541979	64048.4
250	314.588	65027.8	555186	64676.9
251	314.588	64289  	471660	60553.4
252	314.588	63690.1	374830	57421.6
253	314.588	63765.4	393544	59582.1
254	314.588	63180  	393544	57808.4
255	314.588	63679.7	373125	57868.6
