/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg    	max   	std  
0  	4248.43	75884.5	408714	54798
1  	2577.99	76093.1	402726	54816.9
2  	2577.99	77296.7	384648	56067.5
3  	1942.36	77568.8	357873	55939.5
4  	1942.36	76947.4	341448	52987.1
5  	1942.36	77312.8	320915	55078.2
6  	1942.36	76821.4	314732	55419.1
7  	1942.36	76709.6	327684	54489.3
8  	1396.37	76222.8	376032	53878  
9  	1396.37	77360.6	376032	58211.6
10 	1396.37	76604.7	386660	57807.2
11 	1396.37	75820.4	368444	55433.8
12 	1316.73	75123.4	349910	52855.1
13 	1076.53	74476  	370044	53407.6
14 	1076.53	75356  	381095	54471.5
15 	1076.53	74427  	561858	58263  
16 	1076.53	76133.1	395779	58350.4
17 	1076.53	75538.3	428853	56820.4
18 	987.336	75350.3	360038	54491.7
19 	987.336	76429.9	446017	57595.5
20 	987.336	77248.1	395812	59656.4
21 	987.336	77272.3	370912	58093.7
22 	987.336	77392.4	415589	58208.7
23 	987.336	77618.6	410341	59532.6
24 	987.336	76503.6	366042	57352.1
25 	987.336	75233.3	366042	55480  
26 	987.336	76775.2	383981	59427.1
27 	987.336	77721.9	377887	58814.6
28 	987.336	76276.6	377887	54936.7
29 	987.336	75850.3	393758	54789.1
30 	987.336	76132.3	416335	55777.7
31 	987.336	76677.2	437730	58182.7
32 	987.336	76873.2	439125	58453.8
33 	987.336	74709.7	406741	55934  
34 	987.336	75189.3	372434	56210.1
35 	987.336	74157.2	348660	55876.9
36 	735.601	74631.8	371620	57096.1
37 	588.064	75135.6	387125	58705.5
38 	588.064	75141.8	351893	57282.1
39 	588.064	74576.3	380789	56976.9
40 	588.064	76732.8	380789	59606.5
41 	588.064	77049  	378522	59982.8
42 	588.064	77543.8	377965	60839  
43 	588.064	75719.3	366419	58834.7
44 	588.064	76391.3	371136	58855.7
45 	587.563	74517.9	365760	56489.4
46 	382.084	73866.7	323281	55092.8
47 	382.084	73710  	407738	55766.4
48 	382.084	74021.4	407738	56580.5
49 	382.084	75373.9	348480	60270.5
50 	382.084	74601.4	363269	59168.1
51 	382.084	73554.2	327631	57790.4
52 	382.084	73912.4	358129	58852.8
53 	355.885	72888.2	364104	57867.7
