/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg  	max   	std  
0  	2096.04	75290	312932	54791
1  	2096.04	76676.9	312932	57183.5
2  	2096.04	76046.9	318939	56439.5
3  	2096.04	77297.9	384211	58733.4
4  	2096.04	78544.7	404355	61004.7
5  	1985.39	77009.9	366879	58694.7
6  	1985.39	76065.7	384169	58169.8
7  	732.223	76451.1	384169	60267.8
8  	732.223	74532.8	317975	56807.7
9  	732.223	74725.5	317975	56801.3
10 	732.223	75066.5	404339	57575.5
11 	732.223	74572.2	375332	56359.3
12 	732.223	74932  	364606	57360.2
13 	732.223	76058.1	364606	55962.2
14 	732.223	75105.4	311863	53963.3
15 	732.223	76685.3	338935	54743.2
16 	732.223	76777.2	338935	56069.8
17 	732.223	77019.2	387016	58572.7
18 	732.223	77422.2	387016	59870.5
19 	726.202	75420.1	363831	57014.1
20 	726.202	76880.3	340323	56197.1
21 	726.202	77334.9	370410	58167.3
22 	726.202	78321.8	530889	61820.1
23 	726.202	78890.3	404156	59390.6
24 	726.202	77160  	384020	57712.6
25 	590.484	76673.7	414559	58386.2
26 	590.484	75613.3	384815	56309.2
27 	590.484	74833.4	333009	54225.3
28 	590.484	75218.2	328887	54628.4
29 	590.484	75625.7	342745	55481.5
30 	590.484	76674.2	368496	58420.3
31 	590.484	78743.7	381743	60405.4
32 	590.484	77139.7	296391	55778.8
33 	503.059	77470.5	407608	58569.6
34 	503.059	76470.7	508948	59317  
35 	503.059	76550  	472301	59987.9
36 	503.059	76473.4	361674	58664  
37 	503.059	75896.9	328781	55779  
38 	503.059	75222.6	293438	54643.6
39 	503.059	73974.8	335693	54744.3
40 	503.059	74079.5	303906	56321.8
41 	503.059	74344  	363025	57773.6
42 	503.059	76778.7	386196	60858.8
43 	503.059	77864.2	403843	63058.9
44 	503.059	76686.6	386196	61068.1
45 	503.059	77130.8	356230	61756.9
46 	503.059	75727.9	371210	61189.9
47 	503.059	75220  	352739	58570.7
48 	503.059	73549.7	374442	55481  
49 	503.059	73889.1	373784	56647.8
50 	406.914	74364.6	441257	57162.2
51 	406.914	75094.3	384771	58147.6
52 	236.836	74780.2	370846	59572.9
53 	236.836	73769.5	397729	59049.9
54 	236.836	74464  	370846	59218  
55 	236.836	73195.2	374254	59036.3
56 	236.836	74115.6	359896	60396.9
57 	236.836	75065  	359142	62330.1
58 	236.836	74118.2	407864	59837.7
59 	236.836	75112.5	402759	59405.6
60 	236.836	75462.3	411830	60415.9
61 	232.686	75895.7	369554	60997.4
62 	232.686	74788.6	334081	59903.6
63 	232.686	74266  	411164	58556.8
64 	232.686	74934.8	367736	58457.5
65 	232.686	74023.3	502409	59573.4
66 	232.686	75211  	420513	60681.1
67 	232.686	74262.2	362417	60043.4
68 	232.686	74873.2	416381	62593.6
69 	232.686	75540.3	453924	66508  
70 	232.686	75133.3	453924	62898.6
71 	232.686	74687.6	364070	59741.7
72 	232.686	74546.6	403612	59910.8
73 	232.686	75979.3	410237	63964.8
74 	232.686	77502.2	393701	66515.1
75 	232.686	78637.5	391280	67223.3
76 	232.686	79715.6	425139	68210.4
77 	232.686	78723.3	440322	69571  
78 	232.686	78055.4	467086	68422.8
79 	232.686	75319.5	356321	61929.8
80 	232.686	76057  	374657	64143.9
81 	232.686	76445.4	412496	65920.2
82 	232.686	76870.2	374867	64949.8
83 	232.686	76479.2	449564	67982.6
84 	232.686	78055.1	437266	68562.1
85 	232.686	77287.9	450527	68046.6
86 	232.686	76181.2	417258	65358  
87 	232.686	75696.4	397869	64377.5
88 	232.686	75573  	408750	64090.9
89 	232.686	76632  	471973	67711.5
90 	232.686	76198.2	458530	64727.3
91 	232.686	75676.2	416571	64296.3
92 	232.686	75962.6	404483	63827.9
93 	232.686	76068.6	364845	62857.5
94 	232.686	74755.6	326383	60788.7
95 	232.686	74418.5	473917	63930.6
96 	232.686	73270.2	464004	62056.5
97 	232.686	73306.4	361427	60733.1
98 	232.686	72576.5	341161	59927.4
99 	232.686	73596.7	350169	61851.1
100	232.686	73001.7	418693	60593.5
101	232.686	72561.3	306715	58632.3
102	232.686	72590.6	385653	62776.6
103	217.177	72871  	394195	61824  
104	217.177	73068.7	377301	61392.4
105	217.177	73500.1	541450	64199.7
106	217.177	73867.8	447693	64780  
107	217.177	74114.7	479550	64753.4
108	194.785	74342.3	490154	64989.7
109	194.785	73894.5	475137	65684.5
110	194.785	73438.3	531087	66016.8
111	194.785	72627.5	453241	63470.1
112	194.785	72491.8	433351	63770.8
113	194.785	72793.6	506229	66166.3
114	194.785	73970  	492226	68569.9
115	194.785	73505.7	443583	65585.5
116	182.534	71834.1	449568	63574.5
117	182.534	70088.4	424996	59533.8
118	182.534	71645.2	424996	60886.2
119	182.534	72190.7	424996	60393.5
120	182.534	73167.5	458603	60865.1
121	180.237	73426.9	567340	64457.5
122	180.237	72853  	433514	66001.4
123	180.237	72056.7	423793	63025.5
124	180.237	72627.8	424299	63792.1
125	180.237	71118.8	424299	60956.4
126	180.237	71524.6	407507	61753.7
127	180.237	71130.9	408353	61986.5
128	180.237	71824.6	408353	64267.6
129	180.237	71186.4	403423	63806.6
130	180.237	70149.3	496324	64100.7
131	180.237	69735.4	409577	61250  
132	180.237	70412.7	374430	62093.8
133	180.237	70133.3	371092	63218.6
134	180.237	69514.3	387757	60953.2
135	180.237	69548.2	398256	61709  
136	180.237	68432.1	398256	58735  
137	180.237	67858.8	391751	56707.3
138	180.121	67931.8	367732	57786.5
139	180.121	66816.9	379696	57943.8
140	180.121	67872.6	463310	61805.2
141	180.121	67871.2	454139	58847.6
142	180.121	67350.7	454139	58457.9
143	180.121	67393.5	454139	59551.7
144	180.121	68259.1	416804	61983.6
145	180.121	67915.7	349613	59688.4
146	180.121	67292.5	336338	57787.4
147	180.121	66373.3	459870	56066.6
148	180.121	66399.9	441423	58257.5
149	180.121	67165.8	399011	59698  
150	180.121	66573.5	376497	58662.7
151	180.121	67208.8	347516	59738.3
152	180.121	66967.1	384291	59900.3
153	180.121	67676.4	350577	59948.3
154	180.121	67649.3	348456	60275.1
155	180.121	68498  	595321	65774.6
156	180.121	68757.9	639256	66394.3
157	180.121	68116.5	454658	61937.9
158	180.121	67480.6	424097	59539.7
159	180.121	67524.3	468036	61556.3
160	180.121	67641.7	465247	61712.4
161	180.121	67156.6	398922	60288.3
162	180.121	65358.3	390156	57804.9
163	180.121	65967.4	355646	59868  
164	180.121	67279.2	494111	63869.8
165	180.121	66696.7	494111	63600.4
166	180.121	66833.7	469034	62341.4
167	180.121	67935  	469034	63106.7
168	180.121	67770.1	471224	63848.6
169	180.121	67948.5	498367	66372.1
170	180.121	66703.8	498367	63437.4
171	176.229	66094  	425621	60759.9
172	176.229	66522.1	470992	62884  
173	176.229	64213.8	357046	57296.2
174	176.229	65720.3	392941	58912.1
175	176.229	64876.7	422534	59094.2
176	176.229	63762.4	354746	56526.2
177	176.157	64344.8	343741	58577.7
178	176.157	65312.3	491215	63009  
179	175.868	65010.2	349082	59944.5
180	175.868	64648.5	359488	59025.6
181	175.868	65257  	346485	58597.1
182	175.868	65437.6	358887	60041.3
183	175.868	65296.5	382953	61202.5
184	175.868	67192.3	404603	63349.1
185	175.868	66488.6	404603	62981  
186	175.868	65558.7	497765	61562.8
187	175.868	64067.1	387429	59372.8
188	175.868	63090  	387429	58850  
189	175.868	63639.5	387429	59100.7
190	175.868	63847.7	344029	59296.2
191	175.868	63829.5	337677	58459.3
192	175.868	63907.8	312979	57248.1
193	175.868	63753.1	344332	58451.1
194	175.868	64036.5	335060	59211.6
195	175.868	63767.1	355589	60080.3
196	175.868	62949.6	374810	58814.5
197	175.868	64623.9	489233	61336.8
198	175.868	64525.7	464703	60903.7
199	175.868	64216.5	464703	60182  
200	175.868	64406.7	464703	61573.7
201	175.868	63877.3	464703	61451.3
202	175.868	62112.3	393012	58185.5
203	175.867	60829.1	387895	55691.7
204	175.867	61442.7	401714	57476.9
205	175.867	61836.8	443539	59441.9
206	175.867	61827.6	443539	59508.1
207	175.867	62824.1	462412	63678.8
208	175.867	60409.6	400116	57698.6
209	175.867	60064.2	475958	56772  
210	175.867	61429.3	388224	58416.6
211	175.867	61861.6	409262	60495.5
212	175.867	60951.4	438371	57961.5
213	175.867	61173.3	356486	58022.8
214	175.867	61611.3	437160	59215  
215	175.867	62115.7	373925	60120.5
216	175.867	61284.1	373925	58719.1
217	175.867	62158.8	453084	60660.9
218	175.867	61392.5	373925	57423  
219	175.867	61262.4	367821	58176.7
220	175.867	60308  	367821	56034.4
221	175.867	59994.4	340532	55453.9
222	175.867	59278.6	338392	55661.5
223	175.867	59058.6	329070	56756.6
224	172.214	60692.9	417967	62328.4
225	172.214	60767.4	437749	63320.5
226	172.214	60038.6	369364	58421.6
227	172.214	60008  	456698	59050.5
228	172.214	59684.3	450730	56104.3
229	172.214	59149.6	345264	55028.9
230	172.214	60297.7	377550	58366.9
231	172.214	61780.7	404141	59548.3
232	172.214	61191.2	339295	58118.9
233	172.214	60202.2	368935	57035.7
234	172.214	60879.3	418553	58740.4
235	172.214	60401  	368935	57935.8
236	172.214	59778.2	361741	54659.2
237	172.214	58753  	398777	56714  
238	172.214	59661.5	346811	57540.1
239	172.214	59109.5	428442	56515.5
240	172.214	58115.8	347549	53934.8
241	172.214	59267.1	338008	54710.9
242	172.214	59825.5	332747	56691.1
243	172.214	60442  	327007	58449.2
244	172.214	60678.7	349171	58759.2
