/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min        	avg       	max       	std        
0  	1.00722e+06	1.4741e+07	6.6495e+07	1.02468e+07
1  	1.00722e+06	1.46035e+07	6.38604e+07	1.02048e+07
2  	869419     	1.45028e+07	6.95303e+07	1.02234e+07
3  	869419     	1.44973e+07	7.09437e+07	1.06235e+07
4  	773216     	1.44844e+07	6.45895e+07	1.04051e+07
5  	773216     	1.42713e+07	6.03016e+07	1.03524e+07
6  	773216     	1.43541e+07	7.27468e+07	1.01834e+07
7  	773216     	1.41748e+07	7.20113e+07	1.00051e+07
8  	475570     	1.41264e+07	6.50741e+07	9.91374e+06
9  	475570     	1.41164e+07	6.23022e+07	9.73895e+06
10 	475570     	1.40274e+07	6.45062e+07	9.79382e+06
11 	475570     	1.39379e+07	6.45062e+07	9.49458e+06
12 	475570     	1.41324e+07	6.27227e+07	9.60427e+06
13 	475570     	1.41095e+07	6.27227e+07	9.54126e+06
14 	475570     	1.41267e+07	5.87443e+07	9.29649e+06
15 	475570     	1.40878e+07	4.82417e+07	8.97484e+06
16 	475570     	1.4155e+07 	5.73053e+07	9.38265e+06
17 	475570     	1.43256e+07	5.65196e+07	9.37456e+06
18 	475570     	1.44972e+07	5.3407e+07 	9.46967e+06
19 	475570     	1.45051e+07	6.47274e+07	9.71977e+06
20 	475570     	1.43462e+07	6.47274e+07	9.71571e+06
21 	475570     	1.41484e+07	5.57419e+07	9.45678e+06
22 	475570     	1.40643e+07	6.4815e+07 	9.45355e+06
23 	475570     	1.40765e+07	5.68581e+07	9.29217e+06
24 	475570     	1.41702e+07	5.99678e+07	9.47038e+06
25 	475570     	1.43746e+07	6.59742e+07	9.96093e+06
26 	475570     	1.41022e+07	6.23785e+07	9.6037e+06 
27 	475570     	1.40582e+07	5.86185e+07	9.50541e+06
28 	475570     	1.40394e+07	6.33142e+07	9.66293e+06
29 	475570     	1.42646e+07	6.86384e+07	1.01081e+07
30 	475570     	1.42461e+07	6.25678e+07	1.00136e+07
31 	475570     	1.42407e+07	6.37809e+07	1.02144e+07
32 	475570     	1.41776e+07	6.37809e+07	9.97495e+06
33 	475570     	1.38907e+07	5.68424e+07	9.57459e+06
34 	475570     	1.39871e+07	5.53894e+07	9.30881e+06
35 	475570     	1.39369e+07	6.06576e+07	9.10758e+06
36 	475570     	1.39696e+07	5.95874e+07	9.49886e+06
37 	475570     	1.40658e+07	5.99678e+07	9.48155e+06
38 	475570     	1.39331e+07	6.32006e+07	9.40703e+06
39 	475570     	1.39889e+07	6.32006e+07	9.881e+06  
40 	472847     	1.38453e+07	6.32006e+07	9.46739e+06
41 	472847     	1.39042e+07	6.21187e+07	9.55529e+06
42 	472847     	1.372e+07  	6.35954e+07	9.74984e+06
43 	472847     	1.36618e+07	5.68452e+07	9.44249e+06
44 	472847     	1.38833e+07	6.17024e+07	9.64686e+06
45 	472847     	1.38218e+07	6.8408e+07 	1.01796e+07
46 	472847     	1.38454e+07	5.7063e+07 	9.95372e+06
47 	472847     	1.3884e+07 	6.77152e+07	9.69677e+06
48 	472847     	1.40064e+07	5.83481e+07	9.61313e+06
49 	472847     	1.39218e+07	6.72903e+07	9.69695e+06
50 	472847     	1.37315e+07	6.86824e+07	9.67436e+06
51 	472847     	1.38443e+07	6.26329e+07	9.69125e+06
52 	472847     	1.37559e+07	5.62345e+07	9.24194e+06
53 	472847     	1.38498e+07	5.58577e+07	9.36315e+06
54 	472847     	1.37941e+07	7.33362e+07	9.73001e+06
55 	472847     	1.38705e+07	6.53156e+07	9.71537e+06
56 	472847     	1.40463e+07	5.42229e+07	9.61404e+06
57 	472847     	1.38509e+07	5.48832e+07	9.31629e+06
58 	472847     	1.38665e+07	6.13914e+07	9.55779e+06
59 	472847     	1.38041e+07	6.13072e+07	9.76402e+06
60 	472847     	1.37476e+07	6.76931e+07	9.53888e+06
61 	472847     	1.37122e+07	6.76931e+07	9.31646e+06
62 	472847     	1.37735e+07	6.3042e+07 	9.61697e+06
63 	472847     	1.37269e+07	7.06712e+07	9.61227e+06
64 	274889     	1.35982e+07	6.37222e+07	9.12323e+06
65 	274889     	1.35854e+07	5.68747e+07	8.96145e+06
66 	274889     	1.34075e+07	5.68747e+07	8.88392e+06
67 	274889     	1.37554e+07	7.3867e+07 	9.42795e+06
68 	274889     	1.38362e+07	6.88397e+07	9.43704e+06
69 	274889     	1.4038e+07 	6.84014e+07	9.67316e+06
70 	274889     	1.38927e+07	7.61303e+07	9.89418e+06
71 	274889     	1.36838e+07	5.72009e+07	9.25765e+06
72 	274889     	1.34903e+07	4.88561e+07	9.13646e+06
73 	274889     	1.3564e+07 	5.54865e+07	9.21972e+06
74 	274889     	1.34063e+07	6.88296e+07	9.48461e+06
75 	274889     	1.34326e+07	6.23862e+07	9.51676e+06
76 	250475     	1.35036e+07	5.26361e+07	9.44082e+06
77 	250475     	1.35825e+07	6.73443e+07	9.77584e+06
78 	250475     	1.35134e+07	7.96994e+07	9.60733e+06
79 	250475     	1.37973e+07	5.32389e+07	9.64553e+06
80 	250475     	1.36729e+07	6.77804e+07	9.59936e+06
81 	250475     	1.35969e+07	5.99458e+07	9.13151e+06
82 	250475     	1.38645e+07	5.9833e+07 	9.55875e+06
83 	250475     	1.36482e+07	5.01488e+07	9.08414e+06
84 	250475     	1.35826e+07	5.85976e+07	9.49386e+06
85 	250475     	1.36216e+07	5.1559e+07 	9.50921e+06
86 	250475     	1.35528e+07	6.16219e+07	9.86765e+06
87 	250475     	1.32513e+07	5.40536e+07	9.14702e+06
88 	250475     	1.31847e+07	6.26793e+07	9.03385e+06
89 	250475     	1.33359e+07	5.78883e+07	9.18678e+06
90 	250475     	1.32927e+07	6.33712e+07	9.32734e+06
91 	250475     	1.33094e+07	6.55215e+07	9.41428e+06
92 	250475     	1.33821e+07	5.62514e+07	9.40217e+06
93 	250475     	1.34875e+07	5.98087e+07	9.62175e+06
94 	250475     	1.35366e+07	5.64112e+07	9.73261e+06
95 	250475     	1.36073e+07	5.64112e+07	9.819e+06  
96 	250475     	1.34868e+07	5.59307e+07	9.28784e+06
97 	250475     	1.33511e+07	6.25805e+07	9.22973e+06
98 	250475     	1.35383e+07	5.99877e+07	9.22523e+06
99 	250475     	1.35248e+07	5.80955e+07	9.25962e+06
