/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min        	avg       	max        	std      
0  	1.14612e+08	3.8296e+09	5.94919e+10	6.619e+09
1  	1.03975e+08	3.619e+09 	5.24502e+10	5.85882e+09
2  	9.37612e+07	3.65385e+09	5.02547e+10	5.86225e+09
3  	9.2269e+07 	3.58179e+09	5.0455e+10 	5.87623e+09
4  	8.11083e+07	3.60174e+09	6.82651e+10	6.21726e+09
5  	7.21144e+07	3.60467e+09	9.87126e+10	6.79605e+09
6  	7.21144e+07	3.45989e+09	6.90874e+10	6.03181e+09
7  	6.82548e+07	3.40585e+09	7.76983e+10	6.21053e+09
8  	6.82548e+07	3.38719e+09	5.7469e+10 	5.59914e+09
9  	6.82548e+07	3.4594e+09 	7.06015e+10	6.06277e+09
10 	6.44632e+07	3.46725e+09	7.33128e+10	5.95839e+09
11 	6.44632e+07	3.38489e+09	5.98891e+10	5.40027e+09
12 	6.44632e+07	3.29904e+09	5.49968e+10	4.93007e+09
13 	6.44632e+07	3.41248e+09	5.64588e+10	5.593e+09  
14 	6.44632e+07	3.38036e+09	5.4066e+10 	5.86334e+09
15 	6.41959e+07	3.33454e+09	6.45672e+10	6.07812e+09
16 	6.41959e+07	3.45289e+09	6.554e+10  	6.83534e+09
17 	6.41959e+07	3.38019e+09	6.88624e+10	6.34055e+09
18 	5.56512e+07	3.53615e+09	6.75567e+10	6.624e+09  
19 	5.56512e+07	3.51536e+09	7.6433e+10 	6.69147e+09
20 	5.29886e+07	3.37246e+09	7.6433e+10 	6.20118e+09
21 	5.29886e+07	3.29293e+09	6.07584e+10	5.84914e+09
22 	5.29886e+07	3.3809e+09 	5.60515e+10	5.94708e+09
23 	4.8709e+07 	3.25694e+09	5.49203e+10	5.49077e+09
24 	4.8709e+07 	3.29973e+09	5.36888e+10	5.81646e+09
25 	4.8709e+07 	3.09223e+09	4.6351e+10 	5.09674e+09
26 	4.83276e+07	3.1276e+09 	5.98019e+10	5.37309e+09
