/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min       	avg        	max        	std        
0  	8.1421e+07	3.71474e+09	1.26081e+11	7.97135e+09
1  	8.1421e+07	3.59815e+09	7.50933e+10	6.55558e+09
2  	7.00318e+07	3.58054e+09	4.76263e+10	5.86144e+09
3  	7.00318e+07	3.39272e+09	6.29149e+10	5.75806e+09
4  	7.00318e+07	3.4083e+09 	6.0854e+10 	5.77796e+09
5  	6.94947e+07	3.3897e+09 	4.43791e+10	5.49435e+09
6  	6.37706e+07	3.30621e+09	4.09701e+10	4.98327e+09
7  	5.88249e+07	3.27816e+09	4.84652e+10	5.3856e+09 
8  	5.88249e+07	3.17814e+09	5.908e+10  	5.27297e+09
9  	5.88249e+07	3.26279e+09	5.15953e+10	5.55798e+09
10 	5.88249e+07	3.39453e+09	5.07113e+10	6.0439e+09 
11 	5.88249e+07	3.03028e+09	3.71638e+10	4.36609e+09
12 	5.88249e+07	3.13247e+09	3.89168e+10	4.60121e+09
13 	5.36059e+07	3.13074e+09	4.2466e+10 	4.66877e+09
14 	5.36059e+07	3.06914e+09	3.90833e+10	4.52629e+09
15 	4.02723e+07	3.28439e+09	3.87065e+10	5.18537e+09
16 	4.02723e+07	3.38945e+09	5.7576e+10 	5.95713e+09
17 	4.02723e+07	3.32754e+09	6.10854e+10	5.86847e+09
18 	4.02723e+07	3.11101e+09	3.49203e+10	4.59703e+09
19 	4.02723e+07	3.32093e+09	7.06092e+10	5.75617e+09
20 	4.02723e+07	3.50937e+09	5.71527e+10	6.12606e+09
21 	4.02723e+07	3.31987e+09	5.87009e+10	5.69096e+09
22 	4.02723e+07	3.39278e+09	6.34038e+10	6.02291e+09
23 	4.02723e+07	3.39662e+09	6.50323e+10	6.45238e+09
24 	4.02723e+07	3.31031e+09	7.08967e+10	6.25211e+09
25 	4.02723e+07	3.21672e+09	9.68259e+10	6.03374e+09
26 	4.02723e+07	3.05737e+09	5.23985e+10	5.14833e+09
27 	4.02723e+07	2.91115e+09	5.41399e+10	4.80448e+09
28 	4.02723e+07	2.91124e+09	4.24227e+10	4.6588e+09 
29 	4.02723e+07	3.08324e+09	6.58175e+10	5.49703e+09
30 	4.02723e+07	2.85285e+09	4.13098e+10	4.3478e+09 
31 	4.02723e+07	2.83393e+09	3.67774e+10	4.37506e+09
32 	4.02723e+07	2.89531e+09	3.7523e+10 	4.60532e+09
33 	3.01082e+07	2.95441e+09	4.53555e+10	4.88108e+09
34 	3.01082e+07	2.98429e+09	4.06746e+10	4.8778e+09 
35 	3.01082e+07	3.15006e+09	7.10777e+10	6.02557e+09
36 	3.01082e+07	3.07175e+09	8.11323e+10	5.98792e+09
37 	2.85851e+07	3.03019e+09	7.10777e+10	5.52897e+09
38 	2.85851e+07	2.71205e+09	4.75717e+10	3.95334e+09
39 	2.85851e+07	2.60833e+09	2.92733e+10	3.50744e+09
40 	2.85851e+07	2.58441e+09	3.05164e+10	3.68995e+09
41 	2.85851e+07	2.65644e+09	4.59381e+10	4.54218e+09
42 	2.85851e+07	2.64555e+09	4.99611e+10	4.47133e+09
43 	2.35123e+07	2.53835e+09	4.4077e+10 	4.07677e+09
44 	2.35123e+07	2.62949e+09	8.32586e+10	4.72256e+09
45 	2.3417e+07 	2.52978e+09	3.73527e+10	3.85152e+09
46 	2.3417e+07 	2.45863e+09	3.00068e+10	3.43562e+09
47 	2.3417e+07 	2.53277e+09	4.50043e+10	4.09918e+09
48 	2.3417e+07 	2.38958e+09	4.15745e+10	3.72075e+09
49 	1.95699e+07	2.55917e+09	7.01005e+10	5.18618e+09
50 	1.95699e+07	2.5573e+09 	5.97215e+10	4.50612e+09
51 	1.95699e+07	2.48204e+09	6.91958e+10	4.61869e+09
52 	1.95699e+07	2.41112e+09	5.89889e+10	3.96743e+09
53 	1.95699e+07	2.48709e+09	3.991e+10  	3.96478e+09
54 	1.95699e+07	2.40842e+09	5.13355e+10	3.58577e+09
55 	1.95699e+07	2.46684e+09	6.2467e+10 	4.12011e+09
56 	1.95699e+07	2.48051e+09	6.30797e+10	4.07498e+09
57 	1.74852e+07	2.55546e+09	5.41899e+10	4.13815e+09
58 	1.74852e+07	2.52805e+09	4.40623e+10	4.14807e+09
59 	1.74852e+07	2.56034e+09	6.10312e+10	4.47093e+09
60 	1.74852e+07	2.34554e+09	3.47765e+10	3.29982e+09
61 	1.74852e+07	2.41273e+09	6.10495e+10	4.10711e+09
62 	1.74852e+07	2.40337e+09	4.42981e+10	3.74355e+09
63 	1.74852e+07	2.48732e+09	4.76366e+10	4.30233e+09
64 	1.74852e+07	2.46001e+09	4.69856e+10	4.08614e+09
65 	1.74852e+07	2.45675e+09	3.45851e+10	3.81893e+09
66 	1.74852e+07	2.35681e+09	4.05103e+10	3.49381e+09
67 	1.64115e+07	2.42456e+09	4.67642e+10	3.92065e+09
68 	1.64115e+07	2.46779e+09	4.04635e+10	4.10823e+09
69 	1.64115e+07	2.5425e+09 	5.98688e+10	4.52388e+09
70 	1.64115e+07	2.49437e+09	3.92005e+10	3.91494e+09
71 	1.64115e+07	2.44697e+09	4.4376e+10 	3.97807e+09
72 	1.64115e+07	2.44616e+09	3.59893e+10	4.06469e+09
73 	1.64115e+07	2.41715e+09	3.59893e+10	3.96615e+09
74 	1.64115e+07	2.29363e+09	3.33701e+10	3.56046e+09
75 	1.20883e+07	2.33752e+09	6.47798e+10	4.49909e+09
76 	1.20883e+07	2.34668e+09	4.73839e+10	3.91132e+09
77 	1.20883e+07	2.41696e+09	3.52292e+10	3.94699e+09
78 	1.20883e+07	2.42138e+09	3.4981e+10 	3.95462e+09
79 	1.20883e+07	2.40498e+09	3.53425e+10	3.85915e+09
80 	1.20883e+07	2.38621e+09	3.12382e+10	3.79884e+09
81 	1.20883e+07	2.39986e+09	3.89431e+10	4.05755e+09
82 	1.20883e+07	2.46539e+09	3.84294e+10	4.21371e+09
83 	1.20883e+07	2.5057e+09 	3.99088e+10	4.12261e+09
84 	1.20883e+07	2.55521e+09	3.54044e+10	4.07974e+09
85 	1.20883e+07	2.53859e+09	4.466e+10  	4.36318e+09
86 	1.20883e+07	2.54648e+09	4.75767e+10	4.47122e+09
87 	1.20883e+07	2.60915e+09	6.12872e+10	4.93878e+09
88 	1.20883e+07	2.55868e+09	8.4353e+10 	5.15013e+09
89 	1.20883e+07	2.37165e+09	4.0068e+10 	3.95689e+09
90 	1.20883e+07	2.26726e+09	3.77262e+10	3.82878e+09
91 	1.16766e+07	2.32589e+09	4.36962e+10	3.95283e+09
92 	1.16766e+07	2.49577e+09	5.59541e+10	4.80775e+09
93 	1.16766e+07	2.37788e+09	4.99107e+10	4.28227e+09
94 	1.16766e+07	2.42936e+09	6.02339e+10	4.48311e+09
95 	1.16766e+07	2.41348e+09	5.4035e+10 	4.48987e+09
96 	1.16766e+07	2.27978e+09	3.7931e+10 	3.95064e+09
97 	1.11164e+07	2.17962e+09	3.19865e+10	3.57857e+09
98 	1.11164e+07	2.12916e+09	3.06059e+10	3.28299e+09
99 	1.11164e+07	2.02954e+09	2.61454e+10	2.87967e+09
100	1.11164e+07	2.03576e+09	3.06481e+10	2.9883e+09 
101	6.72781e+06	2.14188e+09	3.2914e+10 	3.52337e+09
102	6.72781e+06	2.09212e+09	2.75436e+10	3.37436e+09
103	6.72781e+06	2.08627e+09	8.49122e+10	4.23062e+09
104	6.72781e+06	2.00267e+09	5.32548e+10	3.39167e+09
105	6.72781e+06	2.02803e+09	3.76365e+10	3.25156e+09
106	6.72781e+06	2.05604e+09	3.8781e+10 	3.67252e+09
107	6.72781e+06	2.05379e+09	3.88694e+10	3.56379e+09
108	6.72781e+06	2.10211e+09	3.76893e+10	3.74047e+09
109	6.72781e+06	2.05959e+09	2.97075e+10	3.34252e+09
