/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min        	avg        	max        	std       
0  	9.05462e+07	3.45875e+09	5.28598e+10	5.6224e+09
1  	7.89773e+07	3.41745e+09	4.29492e+10	5.43504e+09
2  	7.89773e+07	3.38982e+09	4.51368e+10	5.7146e+09 
3  	6.53893e+07	3.26179e+09	7.67118e+10	5.67457e+09
4  	6.53893e+07	3.54985e+09	7.67118e+10	6.841e+09  
5  	5.45256e+07	3.34824e+09	5.64133e+10	5.52675e+09
6  	5.45256e+07	3.47648e+09	5.29143e+10	5.87943e+09
7  	5.45256e+07	3.37629e+09	4.78886e+10	5.55521e+09
8  	5.45256e+07	3.36106e+09	4.56246e+10	5.45273e+09
9  	5.2095e+07 	3.47257e+09	6.29399e+10	6.30154e+09
10 	5.2095e+07 	3.35952e+09	5.00215e+10	5.77526e+09
11 	4.77677e+07	3.47752e+09	6.56856e+10	6.29112e+09
12 	4.04228e+07	3.47914e+09	5.46177e+10	6.29658e+09
13 	4.04228e+07	3.34214e+09	5.31157e+10	5.69608e+09
14 	4.04228e+07	3.43591e+09	4.53911e+10	5.8499e+09 
15 	4.04228e+07	3.36019e+09	4.43213e+10	5.57517e+09
16 	4.04228e+07	3.26993e+09	5.68264e+10	5.52965e+09
17 	3.93036e+07	3.24829e+09	4.46721e+10	5.26234e+09
18 	3.93036e+07	3.10386e+09	3.96991e+10	4.7139e+09 
19 	3.93036e+07	2.94496e+09	4.07056e+10	4.46603e+09
20 	3.93036e+07	2.89681e+09	4.07056e+10	4.37364e+09
21 	3.7826e+07 	2.8551e+09 	3.76229e+10	3.89284e+09
22 	3.7826e+07 	2.96573e+09	5.83925e+10	4.84683e+09
23 	3.7826e+07 	2.99822e+09	4.5185e+10 	4.53381e+09
24 	3.3478e+07 	2.98985e+09	3.81304e+10	4.56106e+09
25 	3.3478e+07 	3.0683e+09 	6.24899e+10	5.28337e+09
26 	3.3478e+07 	3.23963e+09	9.99913e+10	7.02624e+09
27 	3.3478e+07 	3.10606e+09	6.29672e+10	5.66162e+09
28 	3.3478e+07 	3.1033e+09 	5.34602e+10	5.50246e+09
29 	3.33385e+07	2.93918e+09	3.83835e+10	4.7634e+09 
30 	2.03017e+07	2.88416e+09	3.73554e+10	4.40964e+09
31 	2.03017e+07	2.86733e+09	3.54191e+10	4.35619e+09
32 	1.98929e+07	2.97553e+09	5.42338e+10	4.89531e+09
33 	1.98929e+07	3.00243e+09	5.02318e+10	4.99887e+09
34 	1.98929e+07	3.05086e+09	6.61656e+10	5.75169e+09
35 	1.98929e+07	3.11176e+09	7.25249e+10	5.9443e+09 
36 	1.95258e+07	3.24625e+09	1.11377e+11	7.55319e+09
37 	1.71966e+07	2.96539e+09	6.84699e+10	5.29627e+09
38 	1.71966e+07	2.95684e+09	4.43629e+10	5.17152e+09
39 	1.60164e+07	2.93234e+09	5.12631e+10	5.27301e+09
40 	1.60164e+07	2.73408e+09	4.30089e+10	4.45123e+09
41 	1.60164e+07	2.65871e+09	4.16559e+10	4.27301e+09
42 	1.60164e+07	2.58444e+09	4.74474e+10	4.01852e+09
43 	1.60164e+07	2.59168e+09	4.74474e+10	4.04526e+09
44 	1.60164e+07	2.67042e+09	4.22585e+10	4.39617e+09
45 	1.60164e+07	2.71074e+09	5.95754e+10	4.80128e+09
46 	1.60164e+07	2.64832e+09	4.84706e+10	4.38524e+09
47 	1.60164e+07	2.62795e+09	4.97379e+10	4.12471e+09
48 	1.58977e+07	2.76388e+09	4.97379e+10	4.52206e+09
49 	1.58977e+07	2.76902e+09	5.58768e+10	4.79267e+09
50 	1.48192e+07	2.6439e+09 	4.97379e+10	4.01281e+09
51 	1.48192e+07	2.7351e+09 	4.82302e+10	4.42048e+09
52 	1.48192e+07	2.67842e+09	3.9573e+10 	4.1884e+09 
53 	1.48192e+07	2.7491e+09 	4.00075e+10	4.33719e+09
54 	1.48192e+07	2.75188e+09	2.79521e+10	4.24276e+09
55 	1.48192e+07	2.66135e+09	4.6821e+10 	4.42856e+09
56 	1.48192e+07	2.74401e+09	4.48036e+10	4.45551e+09
57 	1.48192e+07	2.70761e+09	4.48036e+10	4.56974e+09
58 	1.34049e+07	2.69858e+09	4.99683e+10	4.75802e+09
59 	1.34049e+07	2.79166e+09	4.22231e+10	4.89737e+09
60 	1.307e+07  	2.66313e+09	7.03934e+10	4.96922e+09
61 	1.307e+07  	2.49458e+09	3.58091e+10	3.9484e+09 
62 	1.307e+07  	2.47861e+09	2.88455e+10	3.88365e+09
63 	1.307e+07  	2.51125e+09	3.17818e+10	3.99918e+09
64 	1.307e+07  	2.69503e+09	6.37876e+10	4.63356e+09
65 	1.24187e+07	2.67591e+09	6.37876e+10	4.77266e+09
66 	1.24187e+07	2.6772e+09 	4.00095e+10	4.33972e+09
67 	1.24187e+07	2.60277e+09	3.75092e+10	4.1782e+09 
68 	1.24187e+07	2.67686e+09	6.45217e+10	4.95097e+09
69 	1.24187e+07	2.59288e+09	7.1561e+10 	4.75029e+09
70 	1.24187e+07	2.65244e+09	4.9782e+10 	4.61011e+09
71 	1.13336e+07	2.64422e+09	5.35329e+10	4.5194e+09 
72 	1.13336e+07	2.65441e+09	4.47536e+10	4.55918e+09
73 	1.13336e+07	2.51379e+09	4.26977e+10	4.34286e+09
74 	9.10336e+06	2.61074e+09	5.87376e+10	4.62359e+09
75 	9.10336e+06	2.70759e+09	5.30132e+10	4.9734e+09 
76 	9.10336e+06	2.58044e+09	7.75566e+10	5.23056e+09
77 	9.10336e+06	2.6748e+09 	6.52244e+10	5.57547e+09
78 	9.10336e+06	2.66632e+09	5.35725e+10	5.33529e+09
79 	9.10336e+06	2.51579e+09	4.29434e+10	4.50202e+09
80 	9.10336e+06	2.53253e+09	6.2966e+10 	5.07999e+09
81 	9.10336e+06	2.3766e+09 	4.78809e+10	4.34984e+09
82 	9.10336e+06	2.3057e+09 	3.3882e+10 	3.93804e+09
83 	9.10336e+06	2.46332e+09	8.20935e+10	5.62031e+09
84 	9.10336e+06	2.2648e+09 	4.84531e+10	3.76811e+09
85 	9.10336e+06	2.2469e+09 	4.84531e+10	3.89548e+09
86 	9.10336e+06	2.21642e+09	4.3872e+10 	3.5915e+09 
87 	9.10336e+06	2.22978e+09	2.90697e+10	3.39885e+09
88 	9.10336e+06	2.26857e+09	3.14934e+10	3.55395e+09
89 	9.10336e+06	2.15083e+09	2.9098e+10 	3.22705e+09
90 	9.10336e+06	2.16774e+09	2.95351e+10	3.34723e+09
91 	9.10336e+06	2.32029e+09	3.85036e+10	4.04796e+09
92 	9.10336e+06	2.21363e+09	4.09395e+10	3.93156e+09
93 	9.10336e+06	2.2989e+09 	4.30641e+10	4.1382e+09 
94 	9.07928e+06	2.24371e+09	5.17191e+10	4.08627e+09
95 	9.07928e+06	2.27141e+09	5.17191e+10	3.90315e+09
96 	9.07928e+06	2.22558e+09	4.54055e+10	3.90192e+09
97 	9.07928e+06	2.07307e+09	2.72417e+10	3.062e+09  
98 	9.07928e+06	2.13072e+09	2.71535e+10	3.23946e+09
99 	9.07928e+06	2.14753e+09	2.9658e+10 	3.12887e+09
100	9.07928e+06	2.07871e+09	2.22634e+10	2.92278e+09
101	8.17056e+06	2.11943e+09	3.21166e+10	3.39951e+09
102	8.17056e+06	2.1518e+09 	2.87543e+10	3.26716e+09
103	8.17056e+06	2.25566e+09	4.41016e+10	3.90263e+09
104	8.17056e+06	2.33833e+09	4.46474e+10	4.07164e+09
105	8.17056e+06	2.22404e+09	3.43643e+10	3.80302e+09
106	8.17056e+06	2.16612e+09	4.21417e+10	3.61163e+09
107	8.17056e+06	2.09137e+09	4.02935e+10	3.26209e+09
108	8.17056e+06	2.09392e+09	4.02843e+10	3.20498e+09
109	8.17056e+06	2.05797e+09	2.69652e+10	2.94896e+09
110	8.17056e+06	2.02021e+09	2.97631e+10	2.85862e+09
111	8.17056e+06	2.10341e+09	2.76794e+10	3.12563e+09
112	8.17056e+06	2.0492e+09 	2.44838e+10	2.84015e+09
113	8.17056e+06	2.0555e+09 	3.08334e+10	3.08351e+09
114	8.17056e+06	2.10349e+09	4.15606e+10	3.74478e+09
115	8.17056e+06	2.03149e+09	2.88606e+10	3.26924e+09
116	8.17056e+06	1.99628e+09	3.06925e+10	3.1718e+09 
117	8.17056e+06	2.10385e+09	3.86431e+10	3.49381e+09
118	8.17056e+06	2.09505e+09	4.44322e+10	3.73232e+09
119	8.17056e+06	2.18023e+09	4.23773e+10	3.97017e+09
120	8.17056e+06	2.09168e+09	2.93731e+10	3.28143e+09
121	8.17056e+06	2.18066e+09	5.58369e+10	4.13028e+09
122	8.17056e+06	2.13484e+09	5.20832e+10	3.82779e+09
123	8.17056e+06	2.17824e+09	4.95805e+10	4.08061e+09
124	8.17056e+06	2.06354e+09	3.52939e+10	3.40115e+09
125	8.15305e+06	2.12888e+09	5.70161e+10	4.13697e+09
126	8.15305e+06	2.1177e+09 	4.79369e+10	4.0504e+09 
127	8.03202e+06	2.04194e+09	4.694e+10  	3.66201e+09
128	8.03202e+06	1.98568e+09	3.1193e+10 	3.0693e+09 
129	8.03202e+06	1.96417e+09	5.22115e+10	3.42762e+09
130	8.03202e+06	1.85486e+09	2.76289e+10	2.87402e+09
131	8.03202e+06	2.02036e+09	4.69384e+10	3.63987e+09
132	8.03202e+06	2.10243e+09	4.18601e+10	3.88092e+09
133	8.03202e+06	2.02387e+09	3.24734e+10	3.57174e+09
134	8.03202e+06	2.02823e+09	4.08811e+10	3.73191e+09
135	8.03202e+06	2.00248e+09	3.87005e+10	3.63728e+09
136	8.03202e+06	1.96434e+09	3.43186e+10	3.42355e+09
137	7.99401e+06	1.93956e+09	2.32752e+10	3.06767e+09
138	7.99401e+06	2.013e+09  	5.90629e+10	4.07457e+09
139	7.99401e+06	1.91615e+09	5.15643e+10	3.40811e+09
140	7.99401e+06	1.92027e+09	5.09641e+10	3.44758e+09
141	7.99401e+06	1.97279e+09	4.71239e+10	3.3057e+09 
142	7.99401e+06	2.08142e+09	2.80308e+10	3.44948e+09
143	7.99401e+06	1.97749e+09	3.40066e+10	3.22391e+09
144	7.99401e+06	1.84358e+09	3.6083e+10 	3.01478e+09
145	7.75598e+06	1.87053e+09	2.92521e+10	3.01476e+09
146	7.75598e+06	1.94857e+09	3.6512e+10 	3.48633e+09
147	7.75598e+06	1.90211e+09	2.51747e+10	3.08329e+09
148	7.75598e+06	1.87677e+09	3.29087e+10	2.97374e+09
149	7.75598e+06	1.89369e+09	3.01505e+10	3.14672e+09
150	7.75598e+06	1.91123e+09	3.37664e+10	3.20991e+09
151	7.12235e+06	1.91213e+09	2.80627e+10	3.08226e+09
152	7.12235e+06	1.84923e+09	2.05013e+10	2.83369e+09
153	7.12235e+06	1.85564e+09	2.58343e+10	2.88711e+09
154	7.12235e+06	1.76347e+09	2.15892e+10	2.62004e+09
155	7.12235e+06	1.75959e+09	3.75771e+10	2.85564e+09
156	7.12235e+06	1.88457e+09	3.66317e+10	3.15694e+09
157	7.12235e+06	1.90638e+09	3.66317e+10	3.23165e+09
158	7.12235e+06	1.82657e+09	2.55648e+10	2.77532e+09
159	7.12235e+06	1.81668e+09	2.4308e+10 	2.83891e+09
160	7.12235e+06	1.77232e+09	2.64531e+10	2.70398e+09
161	7.12235e+06	1.87605e+09	3.14965e+10	3.37403e+09
162	4.61092e+06	1.89558e+09	4.14977e+10	3.48994e+09
163	4.61092e+06	1.94129e+09	3.7275e+10 	3.50929e+09
164	4.61092e+06	1.89924e+09	3.91499e+10	3.50048e+09
165	4.61092e+06	1.74428e+09	2.75183e+10	2.73535e+09
166	4.61092e+06	1.73137e+09	3.3452e+10 	2.90472e+09
167	4.61092e+06	1.72956e+09	2.7421e+10 	2.87375e+09
168	4.61092e+06	1.72279e+09	2.8504e+10 	2.90908e+09
169	4.61092e+06	1.69161e+09	3.06893e+10	2.83356e+09
170	4.61092e+06	1.70208e+09	4.23994e+10	3.05586e+09
171	4.61092e+06	1.72943e+09	3.61526e+10	2.97892e+09
172	4.48666e+06	1.73682e+09	2.49645e+10	2.91385e+09
173	4.48666e+06	1.70375e+09	3.40845e+10	3.10885e+09
174	4.48666e+06	1.5982e+09 	3.09841e+10	2.50758e+09
175	4.48666e+06	1.62391e+09	5.71542e+10	3.13534e+09
176	4.48666e+06	1.64832e+09	2.60346e+10	2.74364e+09
