/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min     	avg   	max   	std    
0  	-28.1503	94.251	694.51	100.845
1  	-28.1503	94.2303	694.51	96.6842
2  	-29.1037	95.8176	874.268	99.8349
3  	-29.1037	91.422 	600.802	84.755 
4  	-29.1037	94.0965	656.964	90.6784
5  	-30.2084	91.5185	542.59 	89.6709
6  	-30.2084	92.4339	545.336	88.7863
7  	-32.977 	91.6871	700.119	88.2986
8  	-32.977 	88.7972	532.793	84.0186
9  	-32.977 	88.0727	527.549	86.2164
10 	-32.977 	89.6172	630.649	90.3922
11 	-34.1861	87.8971	601.432	88.5851
12 	-34.1861	90.4012	502.004	85.7176
13 	-34.1861	89.3196	572.355	89.532 
14 	-34.7683	88.7935	798.171	90.9448
15 	-34.7683	89.571 	636.707	94.5938
16 	-35.5398	87.949 	506.034	86.6107
17 	-35.5398	85.296 	618.872	87.1021
18 	-35.5398	84.2134	572.459	78.7334
19 	-35.5398	84.09  	506.822	80.0544
20 	-35.5398	83.7541	557.9  	80.8697
21 	-35.5398	82.0345	533.313	80.4319
22 	-37.0843	81.9321	536.913	80.2257
23 	-37.0843	82.8179	572.007	82.9425
24 	-37.0843	81.5251	565.202	80.1294
25 	-37.0843	85.3622	564.641	84.2235
26 	-37.0843	84.8535	534.847	85.7237
27 	-39.1655	86.7288	516.95 	86.1683
28 	-39.1655	84.745 	555.133	84.7928
29 	-39.6282	84.5476	476.431	82.2783
30 	-44.1608	82.213 	496.418	80.4738
31 	-44.1608	82.6914	440.772	79.637 
32 	-44.1608	82.6328	472.154	82.5272
33 	-44.1608	84.2444	759.995	87.8778
34 	-44.1608	83.0597	612.227	87.9735
35 	-44.1608	83.2352	567.87 	84.0927
36 	-44.1608	84.0165	534.678	82.5561
37 	-44.3501	82.2351	628.354	86.8869
38 	-44.3501	82.9033	554.182	84.7938
39 	-44.3501	83.9673	557.154	85.3818
40 	-44.3501	83.6357	607.275	86.1543
41 	-44.3501	83.7156	607.275	87.7246
42 	-44.3501	83.3303	665.493	88.451 
43 	-44.3501	83.2975	645.652	88.8113
44 	-44.3501	85.4329	636.615	91.5183
45 	-44.3501	83.6579	538.014	84.7555
46 	-44.3501	85.4967	503.664	88.0339
47 	-44.3501	83.1815	503.664	84.2972
48 	-44.3501	83.9766	516.153	86.6363
49 	-44.3501	86.7246	516.153	89.483 
50 	-44.671 	88.0855	599.088	94.4307
51 	-44.671 	86.8921	725.425	92.6391
52 	-44.671 	85.1252	546.22 	87.8878
53 	-44.671 	85.368 	533.69 	87.6755
54 	-44.671 	83.649 	590.175	85.8517
55 	-44.671 	84.9951	697.586	88.8853
56 	-44.736 	82.9458	514.112	85.0054
57 	-44.736 	82.3712	715.335	86.2195
58 	-44.736 	80.4189	570.918	81.432 
59 	-44.736 	81.3485	589.327	84.1337
60 	-44.736 	81.5137	554.131	87.2532
61 	-44.736 	81.8926	554.131	88.2339
62 	-44.736 	82.8067	631.606	90.6334
63 	-44.736 	80.8981	551.936	87.6982
64 	-44.8609	81.4311	555.322	87.6176
65 	-44.8609	79.2833	495.044	85.5869
66 	-44.8609	80.8119	523.887	85.0936
67 	-44.8609	81.6633	523.643	85.1058
