/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg    	max    	std    
0  	1509.58	2299.54	4310.92	425.593
1  	1509.58	2303.14	4219.64	424.117
2  	1509.58	2303.13	4206.46	428.623
3  	1509.58	2302.93	4187.18	434.451
4  	1496.08	2296.81	4337.27	427.961
5  	1443.48	2291.42	4186.58	421.34 
6  	1428.67	2284.91	3949.03	404.543
7  	1360.45	2285.13	3912.27	424.563
8  	1360.45	2288.72	4150.46	433.373
9  	1360.45	2277.29	4384.69	416.68 
10 	1360.45	2277.44	3844.55	417.155
11 	1360.45	2274.53	4412.19	423.241
12 	1360.45	2278.73	4268.98	432.178
13 	1360.45	2278.59	4602.39	441.337
14 	1360.45	2275.95	4741.69	449.58 
15 	1360.45	2270.34	4331.77	427.846
16 	1360.45	2277.86	4478.17	446.145
17 	1360.45	2281.31	4402.8 	448.71 
18 	1360.45	2279   	4461.05	434.496
19 	1360.45	2274.26	4094.62	419.905
20 	1360.45	2278.61	4269.58	435.386
21 	1360.45	2273.27	4074.74	425.356
22 	1360.45	2270.95	4743.38	434.459
23 	1360.45	2265.53	4615.59	417.415
24 	1360.45	2263.73	4543.38	420.921
25 	1360.45	2256.81	4831.32	421.907
26 	1360.45	2254.71	4371.48	403.331
27 	1360.45	2245.59	4222.35	398.327
28 	1360.45	2251.84	4222.35	412.24 
29 	1360.45	2260.23	4584.09	431.168
30 	1350.07	2258.45	4500.21	423.106
31 	1350.07	2255.5 	4269.56	409.165
32 	1350.07	2256.69	4230.35	423.461
33 	1325.94	2254.47	4142.52	413.038
34 	1325.94	2252.24	4043.24	414.135
35 	1325.94	2260.71	4852.17	442.14 
36 	1325.94	2270.98	4608.29	454.275
37 	1325.94	2267.7 	4273.13	441.508
38 	1325.94	2269.29	4320.7 	434.891
39 	1325.94	2267.84	4229.34	429.758
40 	1325.94	2260.63	4187.79	423.412
41 	1325.94	2263.52	4493.68	439.428
42 	1325.94	2269.71	4911.85	456.155
43 	1325.94	2267.94	4524.4 	454.622
44 	1325.94	2271.71	4521.9 	465.49 
45 	1325.94	2273.84	4796.05	468.04 
46 	1325.94	2271.34	4407.32	455.221
47 	1325.94	2271.14	5233.75	479.558
48 	1325.94	2261.36	5089.43	447.947
49 	1325.94	2262.43	5013.27	458.953
50 	1325.94	2264.44	4734.17	457.716
51 	1325.94	2256.61	4143.09	434.788
52 	1325.94	2259.75	4103.57	439.92 
53 	1325.94	2257.7 	4248.8 	445.694
54 	1325.94	2258.22	4604.36	443.933
55 	1325.94	2252.71	4439.68	439.157
56 	1325.94	2247.45	4355.98	415.832
57 	1325.94	2240.33	4344.73	418.157
58 	1325.94	2244.44	4344.73	422.156
59 	1325.94	2244.76	4312.63	420.427
60 	1325.94	2248.46	4460.78	425.796
61 	1325.94	2247   	4099   	420.626
62 	1325.94	2245.54	4099   	420.585
63 	1325.94	2240.25	4209.63	413.546
64 	1325.94	2237.72	4174.97	410.285
65 	1323.9 	2241.09	4277.86	424.273
66 	1323.9 	2243.07	4390.67	429.63 
67 	1323.9 	2241.92	4264.09	421.222
68 	1323.9 	2239.58	4235.68	416.564
69 	1323.9 	2234.26	4559.62	410.284
70 	1323.9 	2232.99	4188.41	406.156
71 	1323.9 	2225.35	3848.49	391.399
72 	1323.9 	2225.58	3946.53	398.072
73 	1323.9 	2231.8 	4484.24	407.472
74 	1323.9 	2226.38	3926.99	405.805
75 	1323.9 	2221.81	4033.25	388.474
76 	1323.9 	2225.27	3949.75	395.004
77 	1323.9 	2220.3 	4182.44	395.171
78 	1323.9 	2225.4 	3962.02	395.397
79 	1323.9 	2235.69	3999.38	419.996
80 	1323.9 	2229.86	4216.06	415.171
81 	1323.9 	2238.92	4216.06	427.758
82 	1323.9 	2235.18	4459.47	412.169
83 	1323.9 	2225.88	4459.47	406.441
84 	1323.9 	2215.18	4459.47	399.715
85 	1323.9 	2207.29	4301.94	392.856
86 	1323.9 	2216.91	4473.99	423.022
87 	1323.9 	2210.69	3916.65	401.612
88 	1323.9 	2221.55	3877.33	401.535
89 	1323.9 	2230.25	4327.01	407.796
90 	1323.9 	2234.42	4327.01	398.806
91 	1323.9 	2235.01	3869.89	405.217
92 	1323.9 	2233.9 	4297.15	416.885
93 	1323.9 	2232.57	4377.15	423.725
94 	1323.9 	2219.72	3950.26	391.302
95 	1323.9 	2220.31	3950.26	391.943
96 	1323.9 	2217.08	4008.86	393.451
97 	1323.9 	2214.88	3884.46	390.367
98 	1323.9 	2213.58	4129.72	398.557
99 	1323.9 	2225.83	4440.83	417.999
100	1323.9 	2223.16	4405.11	419.572
101	1323.9 	2218.59	4030.74	394.451
102	1323.9 	2226.34	4378.93	425.209
103	1323.9 	2228.2 	4349.29	418.991
104	1323.9 	2227.85	4155.12	409.367
105	1323.9 	2234.84	4056.3 	427.438
106	1323.9 	2224.23	4091.93	424.016
107	1323.9 	2217.65	3996.45	419.809
108	1323.9 	2218.31	4522.94	420.662
