/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min     	avg   	max    	std    
0  	-8.05562	84.891	1335.91	126.464
1  	-8.05562	83.602	1247.86	115.247
2  	-8.05562	81.1329	836.207	102.963
3  	-8.05562	81.828 	845.376	108.883
4  	-8.05562	81.3073	892.736	109.452
5  	-8.05562	83.1664	939.733	116.671
6  	-8.05562	84.1699	1044.33	118.53 
7  	-8.14774	79.2943	796.817	102.308
8  	-8.14774	78.9131	685.184	97.6416
9  	-8.14774	77.5199	796.539	99.7361
10 	-8.14774	76.7107	684.876	95.0684
11 	-8.14774	79.5268	766.455	103.984
12 	-8.47813	80.4621	1078.62	110.067
13 	-8.47813	78.2156	746.707	100.859
14 	-8.47813	78.9326	808.096	105.266
15 	-8.47813	76.3956	721.511	92.65  
16 	-9.38467	73.803 	692.88 	89.8062
17 	-9.38467	72.8942	785.052	87.476 
18 	-9.38467	72.53  	685.893	87.82  
19 	-9.38467	71.7988	819.936	90.8786
20 	-9.38467	71.6216	746.587	89.6104
21 	-9.38467	72.0249	746.945	88.4806
22 	-9.38467	70.4032	746.945	84.2575
23 	-9.38467	71.9297	746.945	89.7705
24 	-9.38467	71.7399	547.288	88.3169
25 	-9.38467	71.1235	773.495	89.8424
26 	-9.38467	71.9802	805.154	94.9431
27 	-9.38467	73.6496	811.2  	93.8886
28 	-9.38467	71.6711	762.777	87.0619
29 	-9.38467	72.7543	762.777	90.3993
30 	-9.38467	73.7497	575.712	90.7876
31 	-9.38467	73.2869	878.698	96.5319
32 	-9.38467	72.4099	868.57 	96.2881
33 	-9.38467	70.7647	868.57 	91.7007
34 	-9.38467	68.3057	589.145	81.3917
35 	-9.38467	68.6797	690.128	84.4639
36 	-9.38467	70.1046	566.121	87.9578
37 	-9.38467	70.9043	1068.78	96.7892
38 	-9.38467	71.452 	837.959	95.229 
39 	-9.38467	68.7522	721.962	90.1585
40 	-9.38467	70.0133	730.123	94.6568
41 	-9.38467	68.6202	730.123	90.5067
42 	-9.38467	67.6931	846.647	89.9609
43 	-9.38467	67.5114	714.778	84.9952
44 	-9.38467	66.9592	544.475	80.7917
45 	-10.3793	65.7544	784.799	82.0666
46 	-10.3793	66.1859	924.617	84.128 
47 	-10.7333	66.0304	627.905	84.0938
48 	-10.7333	65.7957	632.608	81.6953
49 	-10.7333	64.4582	632.608	78.0218
50 	-10.7333	64.6749	616.491	77.9421
51 	-10.7333	64.0977	661.784	81.4993
52 	-10.7333	63.5652	918.21 	87.109 
53 	-11.1286	62.6598	718.847	81.4208
54 	-11.1286	63.8515	706.782	86.5035
55 	-11.8298	61.6074	680.131	79.8966
56 	-11.8298	59.7595	473.205	72.035 
57 	-11.8298	60.4277	471.004	72.972 
58 	-11.8298	59.0538	569.983	74.9151
59 	-11.8298	60.2602	778.312	80.4561
60 	-11.8298	58.486 	493.666	70.5806
61 	-11.8298	57.5088	493.666	68.8904
62 	-11.9052	57.9   	571.006	69.4741
63 	-11.9052	57.4007	532.065	70.4819
