/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg    	max   	std   
0  	26.1716	358.129	5050.8	422.17
1  	26.1716	348.477	2633.9	351.277
2  	13.9497	350.215	2696.65	359.843
3  	13.9497	343.533	2637.35	342.95 
4  	13.9497	340.166	2577.3 	329.181
5  	13.0372	336.335	2416.62	329.32 
6  	8.21277	336.584	2582.43	328.349
7  	8.21277	335.753	2942.44	343.792
8  	8.21277	341.403	2975.14	363.825
9  	8.21277	346.877	3497.84	387.627
10 	7.08109	350.64 	3067.26	388.934
11 	6.88344	348.171	3298.44	381.545
12 	6.88344	340.858	3298.44	377.096
13 	6.88344	346.861	3622.02	383.017
14 	6.88344	340.965	3076.04	381.831
15 	6.88344	329.219	3387.31	363.523
16 	6.88344	330.326	2734.32	353.737
17 	5.49806	324.436	2613.01	324.108
18 	5.49806	321.862	2852.82	326.428
19 	5.49806	316.425	2804.27	322.864
20 	5.49806	317.902	2614.65	337.935
21 	5.49806	313.168	2422.26	312.894
22 	5.49806	323.735	2764.01	335.713
23 	5.49806	318.325	3218.34	311.611
24 	5.49806	314.673	2771.78	314.261
25 	5.49806	313.653	2771.78	330.281
26 	5.49806	311.052	2782.11	315.763
27 	5.49806	305.026	2525.92	291.001
28 	5.49806	303.088	2525.92	291.671
29 	5.49806	308.257	2440.78	309.825
30 	5.49806	306.134	2044.32	305.668
31 	5.49806	314.419	2723.55	347.213
32 	5.49806	315.206	2718.17	334.77 
33 	5.49806	318.897	2480.4 	331.124
34 	5.49806	313.922	1993.1 	310.859
35 	5.49806	311.029	2100.21	308.79 
36 	5.49806	310.222	2185.48	321.699
37 	5.49806	310.553	2608.43	317.883
38 	5.49806	306.321	2932.26	327.471
39 	5.49806	304.204	2749.42	323.059
40 	5.49806	312.4  	3899.46	362.904
41 	5.49806	309.772	3256.93	380.845
42 	5.49806	302.89 	4448.02	372.975
43 	5.49806	292.282	4448.02	323.351
44 	5.49806	288.441	2553.22	284.689
45 	5.49806	292.658	3145.18	306.442
46 	5.49806	289.25 	2829.37	304.054
47 	5.49806	293.078	2381.41	310.465
48 	5.49806	284.979	2304.28	291.612
49 	5.49806	294.53 	2706.29	321.542
50 	5.49806	293.675	2546.88	316.698
51 	5.49806	286.706	2651.34	306.669
52 	5.49806	278.3  	2462.52	291.879
53 	5.49806	279.719	3013.02	313.508
54 	5.49806	277.501	2303.55	305.017
55 	5.49806	273.99 	2285.71	289.567
56 	5.49806	272.298	2285.71	288.415
57 	5.49806	278.179	2556.32	323.437
58 	5.49806	270.333	2297.62	296.703
59 	5.49806	271.592	1967.27	278.562
60 	5.49806	269.914	1967.27	275.936
61 	5.49806	273.869	2012.48	282.024
62 	5.49806	270.244	2368.06	283.205
63 	5.49806	263.427	2309.99	264.853
64 	5.49806	269.201	3679.38	301.938
65 	5.49806	261.046	2366.33	267.697
66 	5.49806	257.185	1936.13	245.293
67 	5.49806	258.701	2207.56	263.511
68 	5.49806	263.221	2291.47	278.112
69 	5.49806	254.33 	2138.3 	254.285
70 	5.49806	252.023	2985.03	266.893
71 	5.49806	240.761	1792.09	230.469
72 	5.49806	245.605	2219.47	241.558
73 	5.49806	246.638	1763.43	237.938
74 	5.49806	249.638	1779.86	236.472
75 	5.49806	250.144	2027.35	251.644
76 	5.49806	247.661	2036.13	242.214
77 	5.49806	246.933	1913.3 	241.896
78 	5.49806	241.91 	1988.64	232.36 
79 	5.49806	239.54 	1459.2 	220.805
80 	5.49806	237.914	1801.64	224.458
81 	5.49806	235.353	1704.93	217.302
82 	5.49806	237.257	1704.93	232.367
83 	5.49806	240.37 	2238.12	248.669
84 	5.49806	241.999	1975.41	251.669
85 	5.49806	239.603	2237.91	252.431
86 	5.49806	237.439	1915.81	242.314
87 	5.49806	248.357	2088.32	274.261
88 	5.49806	253.973	2791.13	311.805
89 	5.49806	248.782	2795.4 	305.925
90 	5.49806	240.06 	3174.85	283.433
91 	5.49806	244.719	2349.64	264.803
92 	5.49806	236.824	1976.14	248.816
93 	5.49806	230.381	1719.88	238.342
94 	5.49806	236.801	2014.2 	257.011
95 	5.49806	241.896	1876.86	264.413
96 	5.49806	237.021	2242.28	264.438
97 	5.49806	236.342	3094.03	266.761
98 	5.49806	235.311	1776.86	262.764
99 	5.49806	232.402	1828.68	252.118
100	5.26472	231.991	2631.94	251.905
101	5.26472	226.024	2431.02	238.891
102	5.26472	222.588	2431.02	241.461
103	5.26472	221.709	2165.01	235.642
104	5.26472	224.585	2265.02	227.302
105	5.26472	224.317	2142.3 	236.111
106	5.26472	228.431	2134.47	241.91 
107	4.63751	226.728	2443.39	239.981
108	4.63751	219.744	1823.61	219.969
109	4.63751	215.499	1601.83	204.597
110	4.63751	215.418	1986.47	223.38 
111	4.63751	209.061	1575.59	195.973
112	3.50521	213.691	2163.43	209.909
113	3.50521	205.541	1857.85	189.706
114	3.50521	204.632	1361.47	187.616
115	3.50521	207.242	1839.48	204.953
116	3.50521	202.28 	2024.31	196.356
117	3.50521	206.554	1863.5 	208.071
118	3.50521	206.627	1507.47	208.397
119	3.50521	210.673	1756.87	220.423
120	3.50521	209.85 	1858   	221.144
121	3.50521	203.935	1575.88	205.585
122	3.50521	201.899	1575.88	199.499
123	3.50521	200.125	1722.2 	196.255
124	3.50521	201.082	1607.06	194.311
125	3.50521	197.257	2727.76	193.43 
126	3.50521	200.162	1453.94	184.376
127	3.50521	202.441	1568.86	193.727
128	3.50521	210.418	2130.27	223.119
129	3.50521	206.294	1759.64	205.435
130	3.50521	201.737	1222.82	188.95 
131	3.50521	201.399	1237.66	182.532
132	3.50521	198.74 	1955.91	191.619
133	3.50521	200.047	1734.29	193.79 
134	1.35994	197.328	1442.87	180.979
135	1.35994	196.556	1566.46	189.918
136	1.35994	196.087	1694.06	183.066
137	1.35994	192.247	1394.96	172.523
138	1.35994	193.761	1394.96	179.766
139	1.3558 	193.43 	1595.43	183.436
140	1.3558 	193.24 	1435.15	176.666
141	1.3558 	191.696	1362.16	174.714
142	1.3558 	193.529	1462.83	188.57 
143	1.3558 	188.962	1796.49	180.109
144	1.3558 	185.184	1181.87	164.795
145	1.3558 	190.583	1226.44	172.409
146	1.3558 	190.862	1257.65	175.793
147	1.3558 	192.131	1558.76	182.73 
148	1.3558 	186.576	1470   	175.46 
149	1.3558 	187.089	1354.96	175.878
150	1.3558 	184.554	1340.25	170.229
151	1.3558 	187.587	1340.25	175.085
152	1.3558 	184.461	1156.01	164.571
153	1.3558 	187.562	2214.34	183.016
154	1.3558 	182.687	1010.89	156.702
155	1.3558 	181.736	1512.6 	165.418
156	1.3558 	181.841	1442.18	162.924
157	1.3558 	177.616	1060.43	148.325
158	1.3558 	179.81 	1060.43	151.505
159	1.3558 	183.368	1651.29	181.124
160	1.3558 	180.802	1466.5 	172.992
161	1.3558 	182.402	2076.03	187.87 
162	1.3558 	179.126	1511.38	170.64 
163	1.3558 	182.181	1511.38	170.65 
164	1.3558 	181.134	1445.35	164.479
165	1.3558 	178.771	1284.95	160.823
166	1.3558 	176.49 	1091.82	151.692
167	1.3558 	178.179	1192.71	154.395
168	1.3558 	178.669	1388.94	153.384
169	1.3558 	174.018	1061.77	147.093
170	1.3558 	175.895	1226.11	151.519
171	1.3558 	172.316	1387.05	150.427
172	1.3558 	166.714	1211.8 	142.212
173	1.3558 	165.735	1115.99	139.347
174	1.3558 	171.486	1432.78	152.198
175	1.3558 	170.963	1162.6 	147.607
176	1.3558 	169.796	1122.18	146.936
177	1.3558 	169.685	1128.87	147.209
178	1.3558 	169    	1252.91	146.569
179	1.3558 	168.14 	1058.79	143.479
180	1.3558 	175.074	1774.29	172.011
181	1.3558 	165.924	1415.54	134.732
182	1.3558 	162.118	1172.18	127.471
183	1.3558 	163.422	1206.62	129.421
184	1.3558 	165.844	891.956	130.57 
185	1.3558 	165.105	959.24 	129.879
186	1.3558 	165.699	897.847	134.285
187	1.3558 	166.379	1322.26	138.931
188	1.08911	165.965	1234.94	137.677
189	1.08911	166.929	899.822	129.43 
190	1.08911	169.546	903.144	135.075
191	1.08911	169.398	1085.95	137.319
192	1.08911	163.417	850.272	120.541
193	1.08911	166.223	1112.66	130.619
194	1.08911	165.546	1199   	127.331
195	1.08911	169.575	889.297	131.355
196	1.08911	169.046	1290.86	135.805
197	1.08911	168.52 	1460.98	143.855
198	1.08911	168.066	1430.16	143.448
199	1.08911	168.466	1100.4 	140.982
200	1.08911	165.369	1150.78	135.672
201	1.08911	166.839	1203.14	148.513
202	1.08911	167.998	1509.4 	152.495
203	1.08911	162.781	1460.4 	142.573
204	1.08911	156.213	1815.64	136.262
205	1.08911	155.391	984.947	121.45 
206	1.08911	158.177	984.947	131.797
207	1.08911	159.507	1286.28	128.154
208	1.08911	158.041	1181.68	132.195
209	1.08911	159.176	1395.74	136.837
210	1.08911	158.247	901.782	127.184
211	1.08911	157.69 	1057.45	137.705
212	1.08911	159.45 	1422.54	142.883
213	1.08911	156.866	833.524	123.375
214	1.08911	155.713	1506.78	127.478
215	1.08911	158.209	975.403	129.062
216	1.08911	155.596	931.224	127.185
217	1.08911	154.51 	975.212	122.277
218	1.08911	160.876	1214.78	137.898
219	1.08911	159.469	1076.04	129.323
220	1.08911	155.039	954.616	121.649
221	1.08911	156.33 	1005.88	125.435
222	1.08911	157.08 	1590.23	141.861
223	1.08911	155.965	1421.93	136.812
224	1.08911	154.754	1136.25	125.434
225	1.08911	158.242	1118.98	134.562
226	1.08911	154.905	989.956	127.943
227	1.08911	158.424	993.333	131.345
228	1.08911	158.701	936.03 	129.012
229	1.08911	155.948	845.953	118.937
230	1.08911	152.918	876.247	116.708
