/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg	max    	std    
0  	28.7153	361	3358.99	418.162
1  	28.7153	351.865	3358.99	392.305
2  	28.7153	347.798	2774.71	378.66 
3  	28.7153	339.441	2148.91	349.283
4  	26.4463	334.255	3064.97	335.535
5  	26.4463	338.007	3993.77	359.158
6  	17.7198	330.625	3626.89	328.341
7  	13.025 	322.662	2314.65	311.529
8  	13.025 	325.668	2934.65	328.894
9  	13.025 	338.461	3533.49	385.402
10 	13.025 	338.937	2869.24	377.379
11 	13.025 	324.31 	2748.45	345.977
12 	13.025 	326.748	2459.13	334.304
13 	13.025 	332.013	2707.16	347.452
14 	13.025 	333.204	2707.16	351.527
15 	13.025 	327.408	2448.23	332.473
16 	13.025 	322.266	2217.29	327.519
17 	13.025 	322.698	2357.29	325.828
18 	13.025 	329.117	3170.89	357.889
19 	13.025 	324.733	2597.63	328.686
20 	13.025 	318.306	2005.09	321.929
21 	13.025 	320.002	2905.21	330.38 
22 	12.1864	315.854	2849.37	327.846
23 	12.1864	311.635	2356.46	313.572
24 	12.1864	311.497	2360.14	315.451
25 	12.1864	305.717	2148.64	303.138
26 	12.1864	302.982	2003.41	297.291
27 	12.1864	301.32 	2710.19	304.802
28 	12.1864	295.97 	1855.92	291.415
29 	12.1864	295.018	2369.79	288.557
30 	12.1864	288.786	2111.08	283.404
31 	12.1864	288.796	2336.12	282.097
32 	12.1864	288.374	2167.25	273.6  
33 	12.1864	276.428	1573.83	244.298
34 	12.1864	284.821	2341.81	276.408
35 	12.1864	283.158	1890.54	264.695
36 	12.1864	281.123	1890.54	266.413
37 	12.1864	271.569	2148.55	244.732
38 	12.1864	271.733	1801.38	240.631
39 	12.1864	277.371	1798.85	264.679
40 	8.46569	277.736	1855.84	268.134
41 	8.46569	282.002	2045.64	275.979
42 	8.46569	277.039	2097.57	266.535
43 	8.46569	278.362	1982.88	276.232
44 	8.46569	276.721	2728.98	291.288
45 	8.46569	277.894	2373.4 	289.372
46 	8.46569	272.064	2392.66	273.006
47 	8.46569	276.666	2343.42	279.038
48 	6.42206	278.934	1878.19	277.659
49 	6.10164	273.305	1620.89	267.405
50 	6.10164	279.517	1948.83	290.619
51 	6.10164	274.04 	1810.66	279.042
52 	6.10164	277.596	2175.19	291.085
53 	6.10164	276.652	2251.98	292.347
54 	6.10164	273.574	2699.39	295.349
55 	6.10164	278.274	3306.27	316.587
56 	6.10164	283.266	3298.46	323.72 
57 	6.10164	276.217	2763.31	294.501
58 	6.10164	273.605	3479.78	286.438
59 	6.10164	270.324	2046.58	276.025
60 	6.10164	272.579	2229.21	287.23 
61 	6.10164	274.48 	2691.12	302.549
62 	4.06474	266.046	2631.73	273.29 
63 	3.74021	262.276	4799.98	307.48 
64 	3.74021	266.018	2475.99	267.463
65 	3.74021	264.188	2065.81	273.038
66 	3.74021	268.407	2149.75	276.181
67 	-0.730842	264.695	2143.92	278.817
68 	-0.730842	260.845	2064.56	268.396
69 	-0.730842	256.878	2072.89	252.211
70 	-0.730842	259.42 	2257.05	271.262
71 	-0.730842	256.089	2844.31	276.106
72 	-0.730842	259.901	2935.91	299.709
73 	-0.730842	261.008	3203.36	295.447
74 	-0.730842	261.271	2935.91	292.504
75 	-0.730842	259.014	2065.67	268.885
76 	-0.730842	256.161	1713.31	252.313
77 	-0.730842	257.249	2751.36	286.142
78 	-0.730842	254.938	2388.55	269.448
79 	-0.730842	263.485	2704.79	295.948
80 	-0.730842	264.481	2192.5 	297.68 
