gen	min     	avg     	max     	std   
0  	-89.9792	-71.0464	-18.0745	10.468
1  	-90.5092	-70.7553	-28.3871	10.8185
2  	-90.5092	-70.8531	-19.4839	11.4356
3  	-91.0949	-70.583 	-17.8466	11.8128
4  	-91.0949	-70.6524	-15.6669	11.3998
5  	-91.0949	-70.6681	-4.67003	11.2093
6  	-91.0949	-70.625 	-20.3725	11.1274
7  	-91.0949	-70.5562	-23.0063	11.3824
8  	-91.0949	-70.5095	-18.336 	11.4502
9  	-91.0949	-70.4008	-20.0193	11.3471
10 	-91.0949	-70.5081	-10.9847	11.2866
11 	-92.9001	-70.4179	-24.6715	11.1481
12 	-92.9001	-70.6609	-15.8695	11.1269
13 	-94.1579	-70.5132	-18.8904	11.3595
14 	-94.1579	-70.0999	-9.60697	11.8413
15 	-94.1579	-70.1213	-4.14901	12.0519
16 	-94.1579	-70.0015	-13.291 	11.861 
17 	-94.1579	-69.7337	8.5172  	12.5104
18 	-94.1579	-69.8869	-14.0335	12.4183
19 	-94.1579	-69.8806	-7.91486	12.3649
20 	-94.1579	-70.1054	-17.9742	11.9628
21 	-94.1579	-70.7199	-8.92104	11.7759
22 	-94.1579	-70.3462	-16.8771	11.8772
23 	-94.1579	-70.4941	-19.8606	11.7964
24 	-94.1579	-70.492 	-20.6471	11.761 
25 	-94.1579	-70.1288	-19.9306	12.2651
26 	-94.1579	-69.9912	-18.3696	12.2677
27 	-94.1579	-70.0324	-13.4969	11.9642
28 	-94.1579	-69.9888	-3.24649	12.361 
29 	-94.1579	-70.0907	-11.6378	12.3898
30 	-94.1579	-70.1278	-20.6772	12.0691
31 	-94.1579	-70.0655	-18.4487	12.3351
32 	-94.1579	-70.0132	-20.7411	12.3969
33 	-94.1579	-69.7476	2.932   	12.7482
34 	-94.1579	-69.8057	12.4507 	12.4671
35 	-94.1579	-69.9573	-12.6437	12.5918
36 	-94.1579	-70.104 	-19.9219	12.2125
37 	-94.1579	-69.8183	-14.7946	12.4062
38 	-94.1579	-70.032 	-8.56164	12.3523
39 	-94.1579	-70.1942	-21.7846	12.1378
40 	-94.1579	-70.2717	-22.4403	12.0725
41 	-94.1579	-70.2491	-22.7033	11.5682
42 	-94.1579	-69.5782	-13.4837	12.6938
43 	-94.1579	-69.0313	-10.8408	12.9466
44 	-94.1579	-69.2401	-18.0425	12.7762
45 	-94.1579	-69.4145	-18.9045	12.6645
46 	-94.1579	-69.3347	-21.14  	12.3853
47 	-94.1579	-69.1651	-16.8787	12.7868
48 	-94.1579	-69.275 	-10.05  	12.8496
49 	-94.1579	-69.2949	-9.2185 	12.9458
50 	-94.1579	-69.2384	-4.04289	13.0729
51 	-95.1224	-69.2092	-2.09565	12.9991
52 	-95.1224	-69.473 	-0.174455	12.9285
53 	-95.1224	-69.3503	-6.81713 	13.0039
54 	-95.1224	-69.4593	-9.24425 	12.5552
55 	-95.1224	-69.282 	-11.5577 	12.7816
56 	-95.1224	-69.3385	-10.4225 	12.3988
57 	-95.1224	-69.8418	-10.4225 	11.9061
58 	-95.1224	-69.4139	-0.978437	13.1042
59 	-95.1224	-69.4056	2.00652  	13.2642
60 	-95.1224	-69.388 	4.19774  	12.6175
61 	-95.1224	-69.1572	-6.91619 	12.5783
62 	-95.1224	-68.9194	4.92014  	13.6563
63 	-95.1224	-68.7933	6.99851  	13.5319
64 	-95.1224	-69.0313	-5.93215 	13.3291
65 	-95.1224	-68.6417	-5.93215 	13.5492
66 	-95.1224	-68.567 	-5.43802 	13.6429
67 	-95.1224	-68.8953	-4.35492 	13.0443
68 	-95.1224	-69.0599	-8.18498 	12.8832
69 	-95.1224	-68.9816	8.82608  	13.0385
70 	-95.1224	-68.8319	-14.9216 	12.7256
71 	-95.1224	-68.656 	5.29238  	13.7858
72 	-95.1224	-68.1736	-5.98656 	13.989 
73 	-95.1224	-67.9269	-10.8868 	14.2772
74 	-95.1224	-67.8015	-0.974608	14.5124
75 	-95.1224	-67.885 	-1.50714 	14.2692
76 	-95.1224	-67.9521	-6.63554 	14.4971
77 	-95.1224	-67.9867	40.226   	14.6385
78 	-95.1224	-67.8586	8.16374  	14.8096
