gen	min     	avg    	max      	std    
0  	-90.4393	-70.778	-0.427331	11.4849
1  	-90.574 	-70.5329	-6.51749 	11.814 
2  	-91.7735	-70.5611	5.25046  	11.7309
3  	-91.7735	-70.364 	5.25046  	12.0718
4  	-93.7036	-70.3316	-16.0179 	11.388 
5  	-93.7036	-70.3799	-24.8138 	11.4145
6  	-93.7036	-70.212 	-22.1348 	11.3716
7  	-93.7036	-70.5051	-23.3408 	11.0903
8  	-93.7036	-70.5239	-16.3373 	11.0235
9  	-93.7036	-70.2783	-23.9555 	11.6974
10 	-93.7036	-69.9071	-4.96042 	12.3271
11 	-93.7036	-70.0004	-10.715  	12.3736
12 	-93.7036	-69.8954	-2.55351 	12.3604
13 	-93.7036	-69.6324	-10.5847 	12.0947
14 	-93.7036	-69.9096	-11.2546 	11.7268
15 	-93.7036	-70.1927	-18.9945 	11.8232
16 	-93.7036	-70.1487	-18.9945 	11.7051
17 	-93.7036	-70.0107	-23.4904 	11.2929
18 	-93.7036	-70.0422	-27.667  	11.3676
19 	-93.7036	-69.7807	-19.2327 	11.2954
20 	-93.7036	-69.8634	-22.3142 	11.3569
21 	-93.7036	-69.8806	-27.7914 	11.3624
22 	-93.7036	-69.6225	-27.7914 	11.4434
23 	-93.7036	-69.7286	-24.0042 	11.5161
24 	-93.8332	-69.8935	-18.761  	11.9485
25 	-93.8332	-69.5308	-6.55166 	12.3537
26 	-93.8332	-69.3026	-20.4567 	12.3217
27 	-93.8332	-68.9878	-16.2016 	13.0087
28 	-93.8332	-69.149 	-14.3602 	12.4268
29 	-93.8332	-69.0831	-17.7299 	12.5499
30 	-93.8332	-68.8373	-10.1048 	12.8279
31 	-93.8332	-68.9117	-5.53518 	13.0323
32 	-93.8332	-69.0978	-7.78677 	12.9283
33 	-93.8332	-68.7812	-12.2825 	13.3403
34 	-93.8332	-68.7242	-15.2148 	13.6062
35 	-93.8332	-68.8424	-3.05092 	13.7896
36 	-93.8332	-68.6521	18.5517  	14.1523
37 	-93.8332	-68.3841	18.5517  	14.6217
38 	-93.8332	-68.8462	-5.96243 	13.9243
39 	-93.8332	-68.7931	2.10662  	14.2986
40 	-93.8332	-68.8955	4.48259  	14.371 
41 	-93.8332	-68.8293	-0.00164222	13.8645
42 	-93.8332	-68.5093	18.7642    	13.9305
43 	-93.8332	-68.574 	-1.52796   	13.8355
44 	-93.8332	-68.7343	2.66847    	13.5797
45 	-93.8332	-68.4079	20.555     	14.0651
46 	-93.8332	-68.5822	-14.6084   	13.4771
