gen	min     	avg     	max    	std    
0  	-93.0318	-70.4567	7.93984	11.6981
1  	-94.2242	-70.6502	-20.8906	11.3593
2  	-94.2242	-70.5887	-25.8282	11.4497
3  	-94.2242	-70.6532	-17.7901	11.614 
4  	-94.2242	-70.9351	-21.5171	11.8352
5  	-94.2242	-70.8533	-11.1293	11.851 
6  	-94.2242	-70.8161	-22.6288	11.2533
7  	-94.2242	-70.7132	-26.1968	11.3227
8  	-94.2242	-70.9699	-15.7609	11.3661
9  	-94.2242	-70.7751	-16.4631	11.1129
10 	-94.2242	-70.5095	-20.0789	11.3834
11 	-94.2242	-70.4474	-20.9378	11.1914
12 	-94.2242	-70.9818	-25.7428	11.0393
13 	-96.031 	-71.1198	-20.1241	11.2648
14 	-96.031 	-70.8628	-20.1644	11.8396
15 	-96.031 	-70.6115	-15.2323	12.0212
16 	-96.031 	-70.8268	-8.86153	11.7811
17 	-96.031 	-70.5453	-8.86153	11.8881
18 	-96.031 	-70.4703	-15.6266	12.0448
19 	-96.031 	-70.5194	-20.599 	12.2912
20 	-96.031 	-70.5171	-18.7936	11.8775
21 	-96.031 	-70.6475	-12.407 	12.0519
22 	-96.031 	-70.5445	-18.7936	11.855 
23 	-96.031 	-70.0249	-18.596 	12.5239
24 	-96.031 	-69.8547	-7.21144	13.3295
25 	-96.031 	-69.7253	-15.3102	12.8296
26 	-96.031 	-69.6575	-17.8629	12.564 
27 	-96.031 	-70.2068	-13.4849	12.9754
28 	-96.031 	-70.1935	-9.13326	12.9114
29 	-96.031 	-70.0047	-3.97281	13.0825
30 	-96.031 	-70.0642	-14.171 	12.4583
31 	-96.031 	-70.0762	-12.6792	12.8714
32 	-96.031 	-70.0741	3.70298 	12.3946
33 	-96.031 	-69.9551	10.2149 	13.4192
34 	-96.031 	-69.8618	0.653482	13.8681
35 	-96.031 	-69.6576	10.2762 	13.6443
36 	-96.031 	-69.9282	-12.2796	12.8318
37 	-96.031 	-70.0132	-12.2796	12.3709
38 	-96.031 	-70.589 	-24.9429	11.7198
39 	-96.031 	-70.3119	-22.3801	11.876 
40 	-96.031 	-70.1298	-26.4862	11.866 
41 	-96.031 	-70.1104	-23.3165	11.6951
42 	-96.031 	-70.1998	-28.7302	11.6891
43 	-96.031 	-69.84  	-5.66496	12.4198
44 	-96.031 	-69.8109	-9.65264	12.9081
45 	-96.031 	-69.729 	-7.00436	13.0557
46 	-96.031 	-69.8755	-2.001  	12.813 
47 	-96.031 	-69.8309	-7.31592	12.9707
48 	-96.031 	-70.1692	-10.8301	12.718 
49 	-96.031 	-70.17  	-3.88855	12.8851
50 	-96.031 	-70.1076	-8.21533	12.8438
51 	-96.031 	-69.9192	-19.1758	13.1241
52 	-96.031 	-69.7902	-4.8984 	13.1356
53 	-96.031 	-70.2955	-9.91858	12.314 
54 	-96.031 	-70.3834	-4.65548	12.5131
55 	-96.031 	-70.3771	-5.95259	12.1238
56 	-96.031 	-70.0824	13.5948 	12.7551
57 	-96.031 	-69.8191	-16.01  	12.7078
58 	-96.031 	-69.7856	-8.54455	12.6842
59 	-96.031 	-69.847 	-3.2614 	12.6787
60 	-96.031 	-69.8585	-12.608 	12.7539
61 	-96.031 	-69.7981	-12.608 	12.8844
62 	-96.031 	-69.9197	-10.0706	12.822 
63 	-96.031 	-69.9163	-3.75405	12.6422
64 	-96.031 	-69.7764	0.941207	13.0102
65 	-96.031 	-69.902 	10.8956 	13.1715
66 	-96.031 	-69.5377	3.74341 	13.3776
67 	-96.031 	-69.3782	4.42113 	13.4811
68 	-96.031 	-69.2758	5.09433 	13.7364
69 	-96.031 	-69.5947	-6.88013	13.0205
70 	-96.031 	-69.2398	-15.2237	13.2153
71 	-96.031 	-69.343 	7.75441 	13.7255
72 	-96.031 	-69.5054	-4.6584 	13.542 
73 	-96.031 	-69.3269	-12.5012	13.358 
74 	-96.031 	-69.4559	-15.4755	13.249 
75 	-96.031 	-69.1618	18.971  	14.4029
76 	-96.031 	-69.0601	-1.3066 	14.1824
77 	-96.031 	-68.9692	-1.52391	14.4104
78 	-96.031 	-69.4365	-7.7572 	13.5763
79 	-96.031 	-69.8712	-12.149 	13.1768
80 	-96.031 	-69.9   	-8.97256	13.2523
81 	-96.031 	-69.351 	-8.49798	13.6468
82 	-96.031 	-69.0943	5.12089 	14.0629
83 	-96.031 	-69.2235	-7.16977	13.8889
84 	-96.031 	-69.0636	-6.02436	14.0749
85 	-96.031 	-69.3617	-7.07443	14.2246
86 	-96.031 	-69.1562	9.49073 	14.2481
87 	-96.031 	-69.1693	30.5695 	14.6306
88 	-96.031 	-68.9027	30.5695 	15.2236
89 	-96.031 	-69.0069	16.7523 	14.9331
90 	-96.031 	-69.6238	11.1088 	14.0665
91 	-96.031 	-69.6315	0.328911	14.007 
92 	-96.031 	-69.618 	-2.03457	13.5923
93 	-96.031 	-69.6861	-17.2427	13.156 
