gen	min    	avg    	max     	std    
0  	-90.613	-70.821	-14.6536	10.8911
1  	-91.9045	-70.4002	3.45528 	11.5483
2  	-91.9045	-70.669 	-18.5657	11.2952
3  	-92.5256	-70.4615	-21.9023	11.0208
4  	-92.5256	-70.3923	-12.2249	11.4806
5  	-92.5256	-70.1027	-27.669 	11.31  
6  	-92.5256	-70.0025	1.51412 	11.7821
7  	-92.5256	-69.9505	-18.5305	11.9873
8  	-92.5256	-69.7949	-23.0588	12.0487
9  	-92.8933	-69.4192	-11.4678	12.2347
10 	-92.8933	-69.2728	-23.2793	12.3913
11 	-92.8933	-69.4555	6.90367 	12.553 
12 	-92.8933	-69.7592	-18.4049	11.8853
13 	-92.8933	-69.5046	-18.389 	12.3569
14 	-93.3088	-69.6974	-23.5911	11.8188
15 	-93.4701	-69.7075	-22.69  	11.9954
16 	-93.4701	-69.8939	-20.865 	11.7685
17 	-93.4701	-69.7706	-11.1253	12.0097
18 	-93.4701	-69.5494	-19.8135	11.8815
19 	-93.4701	-69.6956	-25.9472	11.7458
20 	-93.4701	-69.7842	-25.2267	11.4125
21 	-93.4701	-69.8379	-4.52756	12.2395
22 	-93.4701	-69.3532	-4.52756	13.1968
23 	-93.4701	-69.2395	8.61528 	13.0599
24 	-93.4701	-69.3701	1.94065 	12.8019
25 	-93.4701	-69.2782	1.04651 	13.4169
26 	-93.4701	-69.1393	-5.19261	13.6081
27 	-93.4701	-69.03  	-6.93094	13.6011
28 	-93.4701	-68.8315	-6.72237	14.0179
29 	-93.4701	-68.7365	-9.11735	13.5678
30 	-93.4701	-68.8233	0.391702	13.2671
31 	-93.4701	-68.8621	0.414725	13.454 
32 	-93.4701	-68.8225	0.104738	13.2024
33 	-93.4701	-68.9688	-10.9294	13.2195
34 	-93.4701	-69.234 	-3.5489 	12.9042
35 	-93.4701	-69.0755	2.52866 	12.7934
36 	-93.4701	-69.0941	-6.57684	12.5901
37 	-93.4701	-69.3016	3.31118 	13.5554
38 	-93.4701	-68.9891	3.31118 	13.4448
39 	-93.4701	-69.1918	-0.267252	13.545 
40 	-93.4701	-69.0291	-0.267252	13.5381
41 	-93.4701	-69.2476	-3.4781  	13.4706
42 	-93.4701	-68.9011	-2.37696 	13.7502
43 	-93.4701	-68.8649	1.05053  	13.5405
44 	-93.4701	-68.946 	-4.27708 	13.4068
45 	-93.4701	-68.7222	-17.362  	13.3429
46 	-93.4701	-69.0644	-12.5104 	13.2042
47 	-93.4701	-69.2301	-16.3285 	12.7351
