gen	min  	avg    	max    	std    
0  	146.1	277.225	430.253	48.7138
1  	146.1	277.195	432.696	48.1445
2  	130.65	277.14 	421.749	48.7835
3  	130.65	276.857	419.405	49.4203
4  	130.65	276.799	414.475	49.3547
5  	130.65	276.575	413.721	49.0981
6  	130.65	276.427	413.675	48.5422
7  	130.65	276    	431.014	49.0668
8  	130.65	275.856	435.012	48.8199
9  	130.65	275.71 	451.306	50.741 
10 	130.65	275.461	433.297	49.7781
11 	130.65	275.397	424.978	49.5919
12 	130.65	275.212	418.533	48.8134
13 	130.65	275.127	414.376	49.5717
14 	128.857	275.053	405.322	49.5637
15 	128.857	274.87 	407.303	48.7975
16 	128.484	274.552	402.524	48.5237
17 	128.484	274.373	419.838	48.8452
18 	128.484	274.209	411.496	50.0362
19 	128.484	274.167	421.848	50.686 
20 	128.484	274.026	418.69 	50.7994
21 	128.484	273.732	415.614	51.2523
22 	128.484	273.62 	415.447	50.2882
23 	128.3  	273.467	402.661	49.6897
24 	127.379	273.282	408.487	49.8922
25 	125.044	273.071	408.487	49.5106
26 	123.061	273.03 	418.095	49.9069
27 	123.061	272.904	416.419	49.5548
28 	122.95 	272.667	401.39 	49.7249
29 	122.151	272.643	407.175	48.9529
30 	117.477	272.277	411.801	49.064 
31 	117.323	271.984	402.918	48.4304
32 	116.885	271.919	400.012	49.0895
33 	111.383	271.792	420.913	48.8242
34 	111.383	271.605	413.563	49.4297
35 	111.383	271.421	413.169	49.9022
36 	111.383	271.296	418.289	49.2909
37 	111.383	271.065	430.031	49.1943
38 	111.383	271.031	430.031	49.8538
39 	111.383	271.058	416.464	49.6639
40 	110.66 	270.882	410.682	50.2652
41 	104.238	270.631	397.904	49.5308
42 	104.238	270.281	411.868	49.0818
43 	104.238	270.087	408.166	49.6005
44 	104.238	269.898	401.599	49.0234
45 	104.238	269.799	401.599	49.519 
46 	104.238	269.709	415.546	49.5354
47 	103.794	269.465	418.776	50.2197
48 	101.529	269.326	421.13 	50.6987
49 	101.529	269.054	426.05 	49.3651
50 	101.529	268.896	411.004	50.0065
51 	101.529	268.684	407.658	49.2347
52 	101.529	268.587	411.927	48.9685
53 	101.473	268.201	409.312	49.2319
54 	101.473	267.99 	403.866	50.3453
55 	101.473	267.728	394.585	50.7155
56 	101.473	267.471	428.866	51.6342
57 	101.473	267.171	439.872	52.1514
58 	101.473	266.971	426.441	52.8109
59 	101.473	266.724	417.663	52.8567
60 	101.473	266.597	415.79 	52.2444
61 	101.473	266.539	409.169	52.2343
62 	101.473	266.38 	416.453	51.695 
63 	101.473	266.15 	438.172	51.0351
64 	101.473	266.014	414.258	50.6227
65 	101.473	265.857	404.664	49.2899
66 	101.473	265.724	400.714	49.0711
67 	101.473	265.396	416.386	49.5458
68 	101.473	265.11 	421.673	49.7616
69 	101.473	264.887	412.693	50.2576
70 	101.473	264.66 	427.33 	51.049 
71 	101.473	264.488	442.283	52.2535
72 	101.473	264.334	414.223	51.7823
73 	101.473	264.157	416.78 	51.0245
74 	101.473	264.008	413.063	50.7819
75 	101.473	263.666	406.422	49.988 
76 	101.473	263.444	401.524	49.0672
77 	101.473	263.232	397.111	49.7567
78 	101.473	263.089	427.959	50.0584
79 	101.473	262.951	407.722	50.4771
80 	101.473	262.93 	410.239	50.8763
81 	101.473	262.785	409.325	51.4438
82 	101.418	262.622	409.162	51.1658
83 	101.418	262.454	434.346	52.1494
84 	101.418	262.315	413.658	51.898 
85 	101.418	262.141	405.16 	51.5398
86 	101.418	261.856	402.762	51.0715
87 	101.418	261.741	420.087	51.5059
88 	101.418	261.487	422.305	50.588 
89 	101.418	261.352	435.304	50.0341
90 	101.418	261.062	409.622	49.7786
91 	101.418	260.895	413.135	49.5536
92 	99.0249	260.62 	413.644	50.8606
93 	99.0249	260.425	410.451	50.7911
94 	99.0249	260.326	411.456	51.2206
95 	97.9095	260.055	414.249	50.6886
96 	97.9095	259.834	398.959	50.5955
97 	97.9095	259.77 	409.108	51.4365
98 	97.9095	259.598	443.908	52.6921
99 	97.9095	259.484	430.044	53.4193
100	97.9095	259.424	420.426	53.3505
101	97.9095	259.262	415.449	53.5518
102	97.9095	258.966	415.421	53.0492
103	97.5976	258.623	417.536	54.7362
104	97.5976	258.32 	420.32 	55.1674
105	97.5976	258.062	408.356	55.186 
106	97.5976	257.632	416.403	55.1041
107	97.5976	257.427	407.334	54.0573
108	97.5976	257.117	409.465	52.7084
109	97.5976	256.83 	421.194	52.8877
