gen	min    	avg    	max   	std   
0  	138.159	275.456	435.36	49.548
1  	138.159	275.095	426.618	50.0109
2  	135.334	274.89 	419.188	48.904 
3  	135.334	274.852	419.774	48.9069
4  	135.334	274.757	461.948	49.0391
5  	135.334	274.278	434.902	48.0853
6  	130.619	274.102	423.184	48.339 
7  	128.599	273.986	423.184	49.2443
8  	128.599	273.685	444.899	50.4198
9  	124.817	273.597	437.283	51.2327
10 	124.817	273.336	412.985	50.1005
11 	124.817	273.1  	437.887	50.5501
12 	124.817	272.881	424.44 	49.6633
13 	124.817	272.742	449.352	49.4177
14 	124.509	272.434	423.714	49.6591
15 	124.509	272.36 	425.879	51.009 
16 	124.509	272.141	439.454	50.9443
17 	124.509	271.857	459.933	51.5109
18 	124.509	271.567	442.438	50.207 
19 	124.509	271.385	434.258	51.1871
20 	124.509	271.273	452.646	51.6613
21 	124.509	270.97 	435.089	50.7554
22 	124.509	270.801	414.798	50.7015
23 	123.113	270.605	416.797	51.9419
24 	123.113	270.417	414.08 	50.4727
25 	123.113	270.124	445.604	50.6642
26 	122.032	269.782	436.344	51.6861
27 	122.032	269.715	430.977	50.9846
28 	122.032	269.409	419.012	50.4938
29 	118.705	269.2  	419.012	50.6782
30 	118.705	268.902	416.283	50.1332
31 	118.705	268.712	415.077	49.386 
32 	118.705	268.485	405.556	49.856 
33 	118.705	268.028	431.414	49.4237
34 	118.705	267.956	432.685	49.7053
35 	118.705	267.777	425.176	50.0595
36 	118.705	267.609	418.795	49.3267
37 	118.705	267.459	408.574	49.0699
38 	118.705	267.267	408.574	47.3356
39 	118.705	267.054	409.857	48.0251
40 	118.705	267.002	400.144	48.7652
41 	118.705	266.97 	410.342	48.7541
42 	118.705	266.793	410.342	49.6741
43 	118.705	266.788	410.342	50.7319
44 	118.705	266.72 	405.708	49.4513
45 	118.705	266.603	402.245	49.5756
46 	118.705	266.283	409.689	48.8233
47 	118.705	266.185	400.115	49.3978
48 	114.809	266.329	402.564	49.4468
49 	114.809	266.215	401.401	49.3975
50 	114.809	265.977	429.25 	49.3853
51 	114.809	265.735	403.417	48.8943
52 	114.546	265.566	397.538	49.2324
53 	114.546	265.331	404.811	50.0359
54 	114.41 	265.173	423.587	49.768 
55 	113.434	264.918	413.335	49.6612
56 	113.434	264.967	405.954	49.9583
57 	113.434	264.691	412.554	49.8168
58 	113.434	264.454	413.025	50.3783
59 	113.434	264.255	402.831	49.9892
60 	113.434	264.131	405.146	50.3728
61 	107.551	264.076	403.459	49.6338
62 	107.551	263.968	403.13 	49.6249
63 	107.551	263.817	404.467	49.04  
64 	107.551	263.821	398.967	49.3939
65 	107.551	263.572	393.714	48.2413
66 	107.551	263.259	396.652	49.6753
67 	107.551	262.96 	410.935	49.7369
68 	107.551	262.771	410.935	50.2661
69 	107.551	262.612	415.878	50.8931
70 	107.551	262.442	422.145	50.1948
71 	107.551	262.324	422.145	51.034 
72 	107.551	261.999	419.47 	50.948 
73 	107.551	261.886	401.774	51.2142
74 	107.551	261.701	405.333	51.7503
75 	107.551	261.472	419.809	52.3603
76 	105.08 	261.397	394.532	51.9994
77 	105.08 	261.311	400.314	51.4076
78 	105.08 	261.096	394.18 	51.684 
79 	105.08 	260.773	444.193	52.7478
80 	105.08 	260.643	438.884	53.3668
81 	105.08 	260.307	436.028	52.6982
82 	105.08 	259.991	424.985	51.995 
83 	105.08 	259.732	403.048	50.3096
84 	105.08 	259.449	412.907	49.762 
85 	104.814	259.452	396.52 	50.2762
86 	104.814	259.292	407.881	50.274 
87 	104.814	259.091	406.554	50.4904
88 	104.814	258.879	405.13 	50.341 
89 	100.81 	258.644	411.181	49.1236
90 	100.81 	258.519	392.622	48.7577
