gen	min    	avg    	max    	std   
0  	148.531	277.094	407.671	45.394
1  	136.642	276.898	402.11 	46.4983
2  	136.642	276.717	419.599	47.3431
3  	135.598	276.622	417.31 	47.9275
4  	135.598	276.402	438.269	48.4691
5  	135.598	276.186	427.345	47.3344
6  	135.598	275.927	401.276	46.4015
7  	127.796	275.88 	407.976	46.9055
8  	127.796	275.819	402.427	47.3621
9  	126.609	275.656	405.951	47.9839
10 	126.609	275.373	406.79 	47.2424
11 	126.609	275.375	407.157	48.5287
12 	126.609	275.019	411.353	47.7872
13 	126.609	274.85 	412.294	48.167 
14 	126.609	274.733	411.897	49.3257
15 	125.351	274.489	412.049	49.1414
16 	125.351	274.459	405.868	49.2589
17 	124.953	274.182	426.996	49.5673
18 	124.953	274.001	405.186	49.0674
19 	124.953	273.969	398.59 	49.3154
20 	124.953	273.849	400.083	48.4627
21 	124.953	273.6  	416.74 	49.4309
22 	124.953	273.423	412.382	49.5182
23 	112.105	273.255	418.559	49.0501
24 	112.105	273.1  	418.559	49.5118
25 	112.105	273.016	416.35 	49.077 
26 	109.482	272.863	406.502	49.885 
27 	109.482	272.864	406.26 	50.4706
28 	109.482	272.617	408.543	50.5163
29 	109.482	272.43 	404.386	49.8986
30 	109.298	272.169	398.202	50.1824
31 	109.298	272.017	401.512	50.8631
32 	109.298	271.77 	419.665	50.7816
33 	109.298	271.62 	407.981	50.0063
34 	109.298	271.229	406.756	50.0634
35 	109.298	271.071	414.392	50.7911
36 	109.298	270.83 	415.001	51.7384
37 	109.298	270.625	433.911	51.5927
38 	109.298	270.534	426.295	51.4636
39 	109.298	270.394	425.765	50.3418
40 	109.298	270.296	435.608	49.6147
41 	109.298	270.15 	422.248	49.8578
42 	109.298	269.823	420.745	49.857 
43 	108.856	269.783	437.158	50.1887
44 	108.856	269.577	406.263	50.3897
45 	108.765	269.296	402.082	50.9226
46 	105.245	269.046	416.706	51.8804
47 	104.499	268.687	413.139	52.2743
48 	104.499	268.288	409.969	51.7375
49 	104.499	268.225	398.83 	51.4793
50 	104.499	267.835	394.686	50.6879
51 	104.499	267.878	400.986	51.1267
52 	104.499	267.565	413.668	51.2662
53 	104.499	267.416	413.668	50.0985
54 	104.499	267.014	415.939	50.69  
55 	104.499	266.787	446.989	50.0851
56 	104.499	266.725	429.871	49.9876
57 	104.499	266.623	429.871	50.9096
58 	104.499	266.304	417.38 	51.2414
59 	104.499	266.083	413.558	50.5406
60 	104.499	266.127	413.886	50.0078
61 	104.499	266.124	413.886	50.395 
62 	104.499	265.883	413.683	51.6473
63 	104.499	265.651	412.678	52.1451
64 	104.499	265.331	403.619	52.1198
65 	104.499	264.991	417.223	52.0447
66 	104.499	264.722	414.778	51.9027
67 	104.499	264.372	414.778	50.8716
68 	104.164	264.11 	424.56 	50.7712
69 	104.164	263.62 	415.955	50.5037
70 	104.164	263.557	409.113	50.7809
71 	97.5168	263.387	415.603	51.2162
72 	97.5168	263.243	413.371	50.6212
73 	97.5168	262.973	407.925	50.1933
74 	97.5168	262.731	392.459	49.8959
75 	97.5168	262.382	403.753	50.1154
76 	97.5168	262.23 	421.618	49.7109
77 	97.5168	261.961	405.368	49.5167
78 	97.5168	261.635	408.279	50.5112
79 	97.5168	261.302	392.126	49.5192
80 	97.5168	261.114	407.778	49.7793
81 	97.5168	260.85 	412.498	50.0835
82 	97.5168	260.606	423.896	50.7645
83 	97.5168	260.524	421.975	51.2488
84 	97.5168	260.278	425.896	51.5118
85 	97.4008	260.153	418.384	50.6718
86 	97.4008	260    	397.882	50.815 
87 	97.4008	259.975	401.265	50.1135
88 	97.4008	259.652	401.265	49.2218
89 	97.4008	259.324	410.988	49.0826
90 	94.4166	259.27 	449.058	50.5785
91 	94.4166	259.103	426.431	51.5443
92 	94.4166	258.965	411.536	51.4907
93 	94.4166	258.838	399.827	50.3585
94 	94.4166	258.701	411.818	50.3224
95 	94.4166	258.338	411.818	49.6044
96 	94.4166	258.119	398.638	49.9875
97 	94.4166	258.05 	394.333	50.5507
98 	91.7649	257.981	398.652	51.6842
99 	91.7649	257.66 	404.038	51.6242
100	91.7649	257.34 	391.116	49.7625
101	91.7649	257.164	424.36 	50.4187
102	91.7649	257.02 	397.753	49.9143
103	91.7649	256.813	397.753	49.7796
104	91.7649	256.58 	423.933	50.6051
105	91.6082	256.219	420.446	49.8757
106	91.6082	256.096	399.972	49.9446
107	91.6082	255.879	410.203	50.6056
108	91.6082	255.55 	391.785	51.0325
109	91.6082	255.453	400.151	51.5891
110	91.6082	255.361	420.953	51.9345
111	91.6082	255.029	437.807	52.3763
112	91.6082	254.581	399.614	51.5502
113	91.6082	254.235	409.608	51.951 
114	91.6082	253.964	404.66 	50.9632
115	88.4635	253.733	403.844	50.5628
116	88.4635	253.525	414.627	50.5771
117	88.4635	253.214	407.895	50.2759
118	88.2594	253.012	401.757	49.9199
119	88.2594	252.769	402.284	49.5164
120	88.2594	252.47 	417.879	49.5474
121	88.2594	252.445	414.433	49.7344
122	88.2594	252.148	411.819	49.7716
123	88.2594	251.814	390.416	48.8337
124	88.2594	251.503	386.187	48.6922
125	88.2594	251.276	384.289	48.2771
126	88.2594	251.147	405.311	48.8022
127	88.2594	250.77 	412.741	48.9848
128	88.2594	250.609	404.738	49.4   
129	88.2594	250.27 	399.723	50.3351
130	88.2594	250.198	391.044	50.227 
131	88.2594	250.066	397.909	50.5308
