gen	min   	avg    	max   	std    
0  	145.55	277.263	423.82	47.6831
1  	145.55	277.029	406.016	47.7078
2  	145.55	276.999	429.511	49.191 
3  	136.409	276.925	433.492	48.9896
4  	136.35 	276.853	437.494	49.2326
5  	134.55 	276.858	436.511	49.8542
6  	134.55 	276.627	436.511	49.3193
7  	134.55 	276.457	423.044	49.1995
8  	134.55 	276.338	431.463	49.0273
9  	128.864	276.203	444.169	49.0494
10 	128.864	276.238	429.421	50.086 
11 	128.864	275.848	435.727	50.2622
12 	128.864	275.583	419.829	49.7095
13 	128.864	275.353	412.326	49.1958
14 	128.864	275.233	422.911	48.5827
15 	128.864	275.131	415.627	48.5052
16 	128.864	274.963	411.103	49.4428
17 	128.864	274.872	404.514	49.4832
18 	128.864	274.431	406.196	48.7456
19 	128.864	274.132	425.381	49.6911
20 	119.949	273.93 	416.991	49.913 
21 	119.949	273.656	410.878	48.3321
22 	119.949	273.388	408.683	48.5297
23 	119.949	273.306	413.805	48.6723
24 	119.949	273.2  	406.511	49.9047
25 	119.949	273.125	405.016	50.531 
26 	119.949	272.899	425.14 	49.6733
27 	119.949	272.624	425.14 	49.5421
28 	117.182	272.439	425.14 	51.0965
29 	117.182	272.039	418.809	51.5901
30 	117.182	271.881	418.526	51.65  
31 	117.182	271.704	424.161	52.2776
32 	117.182	271.326	431.299	52.5839
33 	117.182	271.15 	436.632	52.3762
34 	117.182	270.878	434.293	52.3736
35 	117.182	270.727	423.64 	51.2424
36 	117.182	270.537	412.523	50.9462
37 	117.182	270.386	405.076	50.1231
38 	116.081	270.193	408.157	49.1981
39 	116.081	269.993	403.034	48.7691
40 	113.566	269.915	414.09 	48.6408
41 	113.566	269.787	402.8  	47.6156
42 	113.566	269.368	394.624	46.1802
43 	113.566	269.172	405.167	46.9274
44 	113.566	268.929	427.243	46.3087
45 	110.245	268.716	396.915	46.7888
46 	110.245	268.44 	395.466	48.1154
47 	110.245	268.115	401.559	48.7382
48 	110.245	268.06 	433.025	48.3957
49 	110.245	267.867	413.21 	48.9042
50 	110.245	267.67 	439.666	49.3268
51 	110.245	267.356	409.633	49.1018
52 	110.245	267.129	412.844	49.2947
53 	110.245	266.935	405.699	49.5648
54 	110.245	266.632	421.834	50.3727
55 	110.245	266.618	417.289	51.7624
56 	110.245	266.447	436.623	53.1379
57 	110.245	266.416	419.825	52.1436
58 	110.245	266.338	413.829	51.8131
59 	110.245	265.908	415.859	51.7186
60 	110.245	265.671	419.201	52.3457
61 	110.245	265.594	418.927	51.5573
62 	110.245	265.451	417.822	50.0698
63 	110.245	265.195	418.714	50.9249
64 	110.245	264.912	434.83 	50.9992
65 	110.245	264.871	406.734	52.2436
66 	110.245	264.768	408.057	52.3465
67 	105.162	264.599	405.423	51.9702
68 	105.162	264.513	433.242	51.7913
69 	105.162	264.15 	413.409	51.7646
70 	105.162	263.965	417.973	52.4221
71 	105.162	263.633	402.795	51.6712
72 	105.162	263.387	405.225	51.463 
73 	105.162	263.143	413.113	52.0195
74 	105.162	262.847	420.665	51.9784
75 	105.162	262.425	428.774	52.4813
76 	105.162	262.213	417.771	53.4337
77 	105.162	261.873	449.217	52.9154
78 	105.162	261.542	435.557	52.9005
79 	105.162	261.245	432.175	51.659 
80 	101.93 	261.082	419.433	51.9963
81 	101.93 	260.89 	411.282	51.847 
82 	101.93 	260.493	409.135	50.9819
83 	101.345	260.4  	424.613	52.6142
84 	100.256	260.294	412.139	51.9375
85 	100.256	260.055	450.084	51.9716
86 	100.256	259.751	427.702	52.1759
87 	100.256	259.462	422.809	51.2769
88 	100.256	259.249	401.2  	51.2852
89 	100.256	259.176	416.741	51.2217
90 	100.256	258.95 	426.635	52.4487
91 	100.256	258.474	421.402	51.1764
92 	100.256	258.162	406.321	50.8303
93 	100.256	257.854	411.857	51.3534
94 	100.256	257.695	420.78 	51.9902
95 	98.9418	257.364	410.093	51.8441
96 	98.3364	257.14 	405.799	52.4586
97 	93.0582	256.915	409.238	52.2901
98 	93.0582	256.648	412.024	52.164 
99 	93.0582	256.354	412.024	52.2684
100	93.0582	256.302	408.71 	52.7248
101	93.0582	256.315	404.715	52.696 
102	93.0582	256.14 	414.029	52.7296
103	93.0582	255.853	414.029	52.3157
104	93.0582	256.018	412.721	51.5474
105	93.0582	255.91 	419.497	52.0232
106	93.0582	255.676	404.275	50.2128
107	93.0582	255.536	405.812	49.8355
108	93.0582	255.3  	395.555	49.2011
109	92.2746	255.121	398.869	49.7839
110	92.2746	254.874	398.869	50.1184
111	92.2746	254.794	403.485	48.86  
112	92.2746	254.447	401.334	48.5502
113	92.2746	254.647	407.69 	50.6371
114	92.2746	254.475	420.449	51.7598
115	92.2746	254.306	402.483	51.9303
116	92.2746	254.092	418.944	51.8633
117	92.2746	253.807	407.893	51.0668
118	92.2746	253.56 	407.469	50.5469
119	92.2746	253.316	421.753	51.9881
120	90.2363	253.209	399.221	51.0065
121	90.2363	252.968	405.652	51.8226
122	90.2363	252.699	416.484	52.5316
123	90.1178	252.465	404.231	53.9636
124	90.1178	252.345	415.891	53.1857
125	90.1178	252.148	404.361	52.8689
126	90.1178	251.742	404.026	52.36  
127	90.1178	251.647	407.556	52.5935
128	90.1178	251.503	419.947	53     
129	90.1178	251.258	413.982	52.6416
130	90.1178	251.158	430.55 	52.0139
131	90.1178	250.925	424.966	52.6754
132	90.1178	250.75 	405.941	51.8563
133	90.1178	250.331	403.776	51.6041
134	90.1178	250.335	393.296	51.4428
135	90.1178	250.372	380.427	49.658 
136	90.1178	250.264	424.015	49.5939
137	90.1178	250.043	419.88 	49.6626
138	88.9649	249.845	411.905	50.4151
139	88.9649	249.73 	403.843	51.0194
140	88.9649	249.508	407.229	52.6669
141	88.9649	249.272	395.872	52.2084
142	88.9649	249.167	403.811	52.2173
143	88.9649	248.939	397.404	52.084 
144	88.9649	248.799	384.968	51.8092
145	88.9649	248.66 	404.624	52.0028
146	88.9649	248.52 	412.107	51.8016
147	88.9649	248.198	395.35 	51.7316
148	88.9649	248.063	390.314	51.0038
149	88.9649	247.876	389.133	51.4905
150	88.9649	247.744	433.828	52.1312
151	88.9649	247.512	403.632	51.9538
152	88.9649	247.355	397.387	51.7476
153	88.9649	247.122	401.561	50.9906
154	88.9649	246.855	394.533	50.283 
155	88.9649	246.66 	408.428	51.1082
156	88.9649	246.45 	422.08 	51.4616
157	88.9649	246.306	411.374	51.3323
158	88.9649	246.162	381.959	51.2349
159	88.9649	246.093	399.206	50.6248
160	88.9649	245.925	391.473	51.5303
161	88.9649	245.769	397.433	50.8139
162	88.9649	245.488	412.08 	50.504 
163	88.9649	245.503	408.366	50.6911
164	88.2942	245.228	383.142	50.4368
165	88.2942	245.153	415.014	50.8504
166	88.2942	244.987	416.117	50.8704
167	88.2942	244.837	398.463	51.1227
168	88.2942	244.621	409.604	52.9799
169	88.2942	244.362	398.624	51.4307
170	88.2942	244.106	378.589	50.7609
171	87.9088	243.959	369.58 	50.7094
172	87.9088	243.901	378.413	49.3133
173	87.9088	243.684	385.131	49.4047
174	87.9088	243.522	380.817	50.1719
175	87.9088	243.398	371.041	49.4548
176	87.9088	243.147	374.807	48.8045
177	87.9088	243.02 	374.807	49.0806
178	87.9088	242.793	383.155	48.5708
179	87.9088	242.557	386.599	49.8542
180	87.9088	242.446	383.172	50.737 
181	87.9088	242.286	393.202	50.3739
182	87.9088	242.119	389.126	49.6793
183	87.9088	241.863	399.121	49.7436
184	87.9088	241.62 	378.33 	48.4672
185	87.9088	241.486	375.965	48.5675
186	87.9088	241.354	384.977	49.3631
187	87.9088	240.889	385.208	49.1015
188	87.9088	240.504	385.208	49.1755
189	87.9088	240.185	403.029	51.3659
190	87.9088	239.916	403.363	51.6852
191	87.9088	239.761	400.74 	51.763 
192	87.9088	239.398	390.464	51.3259
193	87.9088	239.109	390.442	51.9355
194	87.9088	238.821	399.334	52.3073
195	87.9088	238.575	393.734	52.4413
196	85.6645	238.321	390.131	52.711 
197	85.6645	238.024	384.525	52.9421
198	85.6645	237.94 	394.454	52.3733
199	85.6645	237.815	380.236	51.597 
200	85.6645	237.531	420.804	52.2463
201	85.6645	237.323	400.078	52.7756
202	85.6645	237.112	395.448	52.124 
203	85.6645	236.833	411.501	52.2556
204	85.6645	236.594	408.164	51.1597
205	85.6645	236.363	395.058	51.5856
206	85.6645	236.261	377.423	49.7312
207	85.6645	236.086	367.328	48.9418
