gen	min 	avg   	max   	std    
0  	4819	132135	367844	66095.1
1  	4819	131744	364143	65143.6
2  	4818.67	131685	366036	64957.7
3  	4818.67	131090	366036	63311.2
4  	4818.67	130604	357424	64184.7
5  	4818.67	131193	377341	66265.6
6  	4818.67	131568	377341	67683.3
7  	4818.67	130499	345340	67172.1
8  	4818.67	130311	356623	67658.3
9  	4818.67	130950	394161	68592.1
10 	4818.67	129901	362533	68844.9
11 	4818.67	129397	362538	69700.8
12 	4770.3 	129226	372821	69670.9
13 	4121.59	129691	344993	68906.9
14 	4121.59	129261	331383	67245.3
15 	4121.5 	128697	347471	66760.9
16 	4121.5 	128587	347271	66947.3
17 	4121.5 	128314	379124	67714.7
18 	4121.5 	127821	376544	67008.9
19 	4051.57	127536	385422	66185.1
20 	4051.57	127581	340307	66729.8
21 	4051.57	127181	382750	67742.5
22 	4051.57	126789	360506	66609.5
23 	2334.38	126724	397791	67666.2
24 	2334.38	126605	356485	68163.4
25 	2334.38	126081	356485	66985.5
26 	2334.38	126145	349377	66913.8
27 	1947.37	125209	349377	66137.2
28 	1947.37	124904	324698	66300.8
29 	1947.37	124641	324072	68018.3
30 	1947.37	124499	338062	67400.8
31 	1947.37	123900	347544	67183  
32 	1623.84	123741	361696	65783.8
33 	1123.7 	123405	372869	66017.6
34 	1123.7 	123803	370728	68359.3
35 	1123.7 	123107	364979	67539.1
36 	1123.7 	123372	359840	67498.3
37 	1123.7 	122800	348205	67364.7
38 	1123.7 	123439	356539	67852.3
39 	1123.7 	122996	371228	66806.8
40 	435.787	122581	381688	66506.4
41 	435.787	122959	368287	68470.9
42 	435.787	123260	369063	67924.4
43 	435.787	122824	417064	66938.6
44 	435.787	122345	386241	67063.2
45 	435.787	122262	392774	66669.4
46 	435.787	122147	393363	65163  
47 	435.787	122132	378115	66311.5
48 	435.787	122014	389420	66339.6
49 	435.787	121401	364807	64691.1
50 	435.787	120807	364807	64788.3
51 	435.636	120686	362198	66169.3
52 	435.636	121055	353102	65428.7
53 	435.636	120800	355257	64266.2
54 	435.636	120420	319550	64736.9
55 	435.636	120985	393328	65410.5
56 	435.636	120706	393328	66878.9
57 	435.636	120280	380092	66782  
58 	435.636	119773	357976	65473.2
59 	435.577	119650	334699	66148.3
60 	435.577	120141	351705	66399.9
61 	435.577	119932	351167	66214  
62 	435.577	119260	353707	65447.5
63 	435.577	119135	357674	67180.1
64 	435.577	118976	371550	67091.6
65 	435.577	118455	379508	65863.8
66 	435.577	117971	408845	63954.4
67 	19.461 	118324	347738	63323.6
68 	19.461 	118749	377067	63976.9
69 	19.461 	118822	344631	65074.8
70 	19.461 	118320	342835	64566.7
71 	19.461 	118488	346168	63704.3
72 	19.461 	117872	346608	63253  
73 	19.461 	118202	343561	64665.3
74 	19.3944	118501	318069	64271.9
75 	19.3944	118141	314562	64400.7
76 	-136.772	117854	335506	64268.5
77 	-136.772	116685	333228	62967.2
78 	-136.772	116592	327292	63096.4
79 	-136.865	116048	347156	63345.7
80 	-136.865	115869	341936	63331.9
81 	-136.865	115273	343569	63955.8
