gen	min    	avg   	max   	std    
0  	5584.64	137593	391198	71685.3
1  	5584.64	136996	377381	70447.6
2  	5584.64	136632	378122	69987.2
3  	5584.64	136027	436601	70131.3
4  	5584.64	136417	368936	69247.7
5  	5584.64	135576	377064	68361.9
6  	5584.64	135240	370489	69978.1
7  	5584.64	135475	386088	71450.3
8  	4449.51	136116	355484	70102.6
9  	4449.51	136537	353067	71779.1
10 	4449.51	136511	370013	71257.5
11 	4449.51	135552	368620	70583.6
12 	4449.51	135276	368628	69447  
13 	4443.36	134753	361144	69099.5
14 	4443.36	134850	353969	69080.6
15 	4443.36	134451	372136	70029.5
16 	4443.36	133910	425868	69427.2
17 	4443.36	133474	423125	69032.3
18 	4443.36	132724	424797	67041.4
19 	3429.1 	133232	388162	66475.1
20 	2894.41	133197	385456	68370.8
21 	2894.41	133027	369261	68688.7
22 	2894.41	132579	385550	67658.3
23 	2894.41	132686	378775	69384.5
24 	2894.41	132634	363516	67228.6
25 	2894.41	132498	331436	66202.5
26 	2894.41	132639	367230	67385.9
27 	2894.41	131789	359902	65500.7
28 	2894.41	131997	355935	67023.2
29 	2894.41	132048	349482	67026.5
30 	2894.41	131624	367389	66802  
31 	2894.41	131289	367389	66512.7
32 	2894.41	131287	353977	67571.5
33 	2894.41	130785	430315	67082  
34 	2894.41	130442	361634	65895.2
35 	2666.62	130265	345071	66856  
36 	2666.62	129689	341655	66452.5
37 	2666.62	129678	341655	67832.3
38 	2666.62	130239	348069	68200  
39 	2666.62	130197	391704	70506.2
40 	2666.62	129437	401729	68297.4
41 	2666.62	129289	423367	70324.9
42 	2650.88	128462	405239	68583.6
43 	2331.09	128316	357406	68602.3
44 	2265.51	127895	347477	67459.2
45 	2265.51	127861	366893	68327.2
46 	2265.51	127571	370496	67776.4
47 	2265.51	127216	396156	69290.7
48 	2265.51	126536	366073	67567.1
49 	2265.51	126495	365419	68039.5
50 	2265.51	127110	381869	69317.6
51 	1728.34	126242	379903	68247.6
52 	1728.34	126188	384346	68558.3
53 	1728.34	125838	375742	67898.4
54 	1142.08	125673	361503	68336.9
55 	1142.08	125308	412607	68130.5
56 	1142.08	124849	342532	66374.1
57 	1142.08	125434	359993	66281.4
58 	1142.08	125588	348997	67085.9
59 	1142.08	125349	352826	66328.5
60 	1142.08	125004	352826	65555.6
61 	1142.08	124488	362559	66361.2
62 	1142.08	124064	362553	66490  
63 	1142.08	123785	348703	66939.7
64 	896.127	124558	335007	68871.5
65 	896.127	124621	373950	69256.2
66 	896.127	124430	390854	69655.3
67 	503.745	124527	378985	69212.2
68 	503.745	124184	370079	69283  
69 	503.745	123062	356344	67333.1
70 	503.745	122390	374375	67949.7
71 	503.745	122338	399239	66978.3
72 	503.745	121566	359930	66235.3
73 	455.188	121420	355860	65862.4
74 	455.188	121290	399490	66270.1
75 	453.2  	120997	342137	65674.5
76 	92.8176	121200	366377	66267.5
77 	92.8176	121254	366846	67383.5
78 	92.8176	121310	396654	67302.2
79 	92.8176	121467	402743	68895.5
80 	92.8176	121472	404368	70018  
81 	92.8176	121132	424542	71430.4
82 	92.8176	120195	403249	68172.9
83 	92.8176	120302	382111	68141.8
84 	92.8176	119890	373494	66812.1
85 	92.8176	119876	345681	66024.4
86 	92.8176	119693	346684	66721.3
87 	84.0112	119397	341779	66085.9
88 	84.0112	119054	335525	64598.9
89 	84.0112	118985	330177	63514.8
90 	84.0112	118116	342898	62726.7
91 	84.0112	118395	317720	62184.4
92 	84.0112	118274	361738	62897.3
93 	84.0112	118337	357919	62213.2
94 	84.0112	117614	381445	62602.5
95 	84.0112	117634	369942	63964.7
96 	84.0112	116810	405749	63084.4
97 	84.0112	115922	404522	62403.8
98 	84.0112	115207	347598	61488.8
99 	84.0112	115022	383183	62307.6
100	84.0112	115622	328472	63508.5
101	84.0112	115915	330357	63868.5
102	84.0112	115648	355059	63959.3
103	-198.245	115540	356331	63716.1
104	-198.245	115440	319503	63261.6
105	-198.245	115737	361314	64472.7
106	-198.245	115173	340221	63973  
107	-198.245	114998	364819	65183  
108	-198.245	114887	381831	66059.7
109	-198.245	114991	357988	67148.8
110	-198.245	114711	352041	66568.3
111	-198.245	114204	349387	67378.8
112	-198.245	113797	342275	66322.5
113	-198.245	113629	342763	64113  
114	-198.245	113499	339407	63343.3
115	-198.245	112754	327535	62747  
116	-198.245	112989	323329	64518.5
117	-198.245	112757	333630	64026  
118	-198.245	112793	342550	64316.9
119	-198.245	112631	364448	64443.8
120	-198.245	112263	371765	65595.5
121	-198.245	111657	362985	64607.4
122	-198.245	111978	362985	64591.6
123	-198.398	111530	372501	64277.6
124	-198.398	110770	372501	64797.2
125	-198.398	110570	372501	62714.5
126	-198.398	109663	352791	61734.7
127	-198.398	109172	349671	60960.3
128	-198.398	108780	334400	59572.6
129	-198.398	109082	321659	60326.5
130	-198.398	108687	326030	60572.9
131	-198.398	108499	312272	59295.8
132	-198.398	108654	304370	58627  
133	-198.398	109054	362657	59447.1
134	-198.398	108488	336224	58837.5
135	-198.398	107654	344653	60049  
