gen	min    	avg   	max   	std  
0  	13508.8	135277	373893	70494
1  	12607.6	135767	369807	70916.4
2  	6877.44	134768	352068	69565.2
3  	6839.29	134587	379381	69694.3
4  	6839.29	134608	363078	69910.3
5  	6839.29	134058	425727	69350  
6  	5403.13	134274	377849	69795.1
7  	5403.13	133483	420872	69417.1
8  	5403.13	133299	420872	68457.5
9  	5403.13	132583	406669	67256.3
10 	5331.51	132870	351567	68716.1
11 	5331.51	132461	350921	66284.8
12 	4832.57	132645	379843	67143.6
13 	4832.57	132177	356083	67537.6
14 	4832.57	131948	451262	67155.4
15 	2974.46	132042	391593	67156.2
16 	1790.04	131452	387679	65523.8
17 	1790.04	131323	372250	64827.1
18 	1790.04	131437	348199	65038  
19 	1790.04	131138	346955	66171.5
20 	1790.04	130624	346955	67622.5
21 	1790.04	129802	356286	66695.1
22 	1790.04	130059	370217	65532.6
23 	1790.04	129722	371931	66442.5
24 	1355.18	130051	375294	67331.7
25 	1355.18	129650	454394	68142.6
26 	1355.18	129208	419279	68062.8
27 	1355.18	128610	368850	66329.7
28 	1355.18	127979	380587	65864.2
29 	1355.18	128139	387497	67086.5
30 	1355.18	128237	387497	68541.8
31 	1355.18	128371	375549	68564.7
32 	1355.18	128767	361410	70481.7
33 	1355.18	128706	365517	70823.8
34 	1355.18	128695	372280	72043.2
35 	1355.18	127957	358467	70069.6
36 	1355.18	127801	367341	70157.5
37 	1355.18	127358	368002	68800.9
38 	1355.18	127651	378965	68963.4
39 	1355.18	126797	378965	67638.5
40 	1355.18	125909	378221	67407.9
41 	1355.18	125477	378221	65219.7
42 	1355.18	124821	381594	64759.5
43 	1355.18	124156	374589	65438.7
44 	1355.18	124440	371022	66914.3
45 	818.881	124377	373879	67103.6
46 	818.881	123861	372243	66836  
47 	818.881	123797	382659	67334.6
48 	818.881	123697	381252	68349.9
49 	818.881	124032	366129	66937.6
50 	818.881	124109	366129	67893.3
51 	818.881	124250	355286	70191.3
52 	818.881	123698	371571	67869.7
53 	818.881	123532	398236	66074.1
54 	818.881	123059	397412	65751.7
55 	818.881	123147	335218	65457.9
56 	818.881	123009	335218	65080.8
57 	818.881	122662	331878	63448.6
58 	818.881	122592	334998	64483.5
59 	818.881	121552	322243	63383.4
60 	818.881	120978	366965	63441.6
61 	565.056	120606	374641	63741.1
62 	565.056	120313	349131	63528.7
63 	565.056	120556	347463	63285  
64 	565.056	120469	347463	64716  
65 	551.192	119762	349472	63597.9
66 	551.192	118827	354525	63699.6
67 	551.192	118058	346114	62110.6
68 	551.192	118298	343492	62541.6
69 	551.192	118223	369510	63075.5
70 	551.192	117717	353697	62698.8
71 	551.192	117676	318504	61853.5
72 	504.941	117115	351594	62816.5
73 	504.941	116696	333649	61362  
74 	504.941	116596	333649	61382.7
75 	504.941	116552	338273	61851.8
76 	504.941	116752	352651	62511.8
77 	504.941	116104	352651	61844.6
78 	504.941	116113	343128	62025.8
79 	105.395	115245	356031	62008.7
80 	-71.4648	115725	349477	63318.9
81 	-71.4648	115161	346113	63101  
82 	-71.4648	114941	327543	62251.9
