gen	min     	avg    	max     	std    
0  	-928.441	-914.99	-913.498	1.64604
1  	-929.273	-915.054	-913.501	1.87641
2  	-929.273	-915.047	-913.501	1.84937
3  	-931.933	-915.071	-913.481	1.96972
4  	-934.437	-915.152	-913.479	2.06379
5  	-934.437	-915.153	-911.327	1.96055
6  	-934.437	-915.184	-913.27 	2.01008
7  	-934.437	-915.151	-913.442	1.99023
8  	-936.32 	-915.178	-913.508	2.09918
9  	-942.619	-915.205	-913.507	2.31541
10 	-943.141	-915.212	-913.498	2.38254
11 	-947.674	-915.259	-913.359	2.4714 
12 	-947.674	-915.225	-913.267	2.65973
13 	-947.674	-915.183	-912.875	2.47349
14 	-947.674	-915.139	-912.619	2.3213 
15 	-947.674	-915.145	-912.886	2.2921 
16 	-947.674	-915.191	-913.066	2.5649 
17 	-947.674	-915.206	-913.093	2.66047
18 	-947.674	-915.174	-913.256	2.39991
19 	-947.674	-915.146	-913.365	2.5313 
20 	-947.674	-915.209	-913.271	2.58285
21 	-947.674	-915.214	-913.292	2.66001
22 	-947.674	-915.216	-913.378	2.74261
23 	-947.674	-915.161	-911.904	2.53899
24 	-947.674	-915.19 	-912.317	2.72242
25 	-947.674	-915.124	-913.302	2.54439
26 	-947.674	-915.165	-913.114	2.724  
27 	-952.413	-915.194	-912.994	2.79467
28 	-952.413	-915.223	-912.509	2.58363
29 	-952.413	-915.28 	-912.91 	2.61769
30 	-952.413	-915.302	-912.951	2.77011
31 	-952.413	-915.271	-913.002	2.76579
32 	-952.413	-915.205	-912.474	2.7009 
33 	-952.413	-915.264	-912.671	2.96721
34 	-952.413	-915.226	-911.861	2.90796
35 	-952.413	-915.271	-912.734	2.78853
36 	-952.413	-915.258	-913.003	2.94551
37 	-952.413	-915.193	-912.221	2.86664
38 	-955.556	-915.244	-912.232	2.94316
39 	-955.556	-915.139	-912.452	2.54709
40 	-955.556	-915.134	-912.349	2.65723
41 	-955.67 	-915.169	-912.402	2.88187
42 	-955.67 	-915.229	-912.239	3.12994
43 	-955.67 	-915.16 	-912.446	2.76515
44 	-959.176	-915.275	-912.601	3.38198
45 	-964.696	-915.245	-912.52 	3.70698
46 	-964.696	-915.122	-912.551	3.1921 
47 	-964.696	-915.094	-912.698	2.82897
48 	-964.696	-915.11 	-912.967	3.02097
49 	-968.229	-915.192	-912.884	3.33534
50 	-968.229	-915.193	-912.509	3.28049
51 	-968.229	-915.193	-912.491	3.33132
52 	-968.229	-915.18 	-912.502	3.15477
53 	-968.229	-915.183	-912.525	3.15008
54 	-968.229	-915.243	-912.721	3.5716 
55 	-968.229	-915.288	-912.628	3.79374
56 	-968.229	-915.196	-912.464	3.26155
57 	-968.229	-915.195	-908.187	3.03199
58 	-968.229	-915.262	-911.714	3.50307
59 	-968.229	-915.295	-912.324	3.51597
60 	-968.229	-915.294	-912.597	3.65905
61 	-968.229	-915.241	-912.749	3.42914
62 	-968.229	-915.266	-912.798	3.01345
63 	-968.37 	-915.297	-912.821	3.4969 
64 	-968.37 	-915.232	-912.596	3.63388
65 	-968.37 	-915.164	-912.8  	2.94802
66 	-968.37 	-915.204	-910.777	3.00765
67 	-968.37 	-915.198	-911.386	2.94236
68 	-968.37 	-915.227	-911.365	3.31505
69 	-970.41 	-915.294	-911.363	3.5636 
70 	-970.41 	-915.263	-911.715	3.23656
71 	-970.41 	-915.3  	-912.075	3.48273
72 	-970.41 	-915.327	-912.075	3.58047
73 	-970.41 	-915.342	-912.033	3.57834
74 	-970.41 	-915.246	-911.947	3.7061 
75 	-970.41 	-915.27 	-912.313	3.77905
76 	-970.41 	-915.27 	-912.4  	3.46491
77 	-970.41 	-915.349	-912.179	3.64768
78 	-970.41 	-915.322	-911.816	3.81853
79 	-970.41 	-915.311	-911.867	3.73553
80 	-970.41 	-915.327	-912.158	3.73657
81 	-970.41 	-915.355	-912.486	4.06409
82 	-970.41 	-915.302	-912.332	3.78017
83 	-970.41 	-915.308	-912.076	3.6743 
84 	-970.41 	-915.138	-911.34 	3.17144
85 	-970.41 	-915.206	-912.223	3.5385 
86 	-973.8  	-915.218	-912.036	3.70255
87 	-973.8  	-915.174	-911.992	3.51992
88 	-973.8  	-915.18 	-911.868	3.61654
89 	-973.8  	-915.131	-912.24 	3.12333
90 	-973.8  	-915.183	-911.77 	3.63539
91 	-973.8  	-915.23 	-911.962	3.61348
92 	-973.8  	-915.262	-911.566	3.61732
93 	-973.8  	-915.173	-911.756	3.16782
94 	-973.8  	-915.174	-911.658	3.28095
95 	-973.8  	-915.192	-911.002	3.28842
96 	-973.8  	-915.192	-910.734	3.6934 
97 	-973.8  	-915.154	-910.563	3.70806
98 	-973.8  	-915.139	-910.757	3.63928
