gen	min     	avg     	max     	std    
0  	-935.668	-914.993	-913.479	1.75241
1  	-935.668	-915.026	-913.504	1.88014
2  	-935.668	-915.027	-913.227	1.92189
3  	-935.668	-915.102	-913.227	2.08536
4  	-935.668	-915.11 	-912.713	2.08573
5  	-935.668	-915.081	-913.482	2.06246
6  	-935.761	-915.11 	-912.871	2.20123
7  	-935.761	-915.038	-912.935	2.053  
8  	-935.761	-915.036	-913.263	2.18289
9  	-935.761	-914.973	-913.412	1.93783
10 	-935.761	-915.074	-913.007	2.17161
11 	-935.761	-915.021	-912.657	2.0859 
12 	-935.761	-915.083	-912.762	2.19395
13 	-939.112	-915.074	-912.715	2.09418
14 	-939.112	-915.043	-913.163	2.2027 
15 	-939.112	-915.044	-913.191	2.15071
16 	-939.112	-915.023	-913.205	1.95764
17 	-939.451	-915.016	-912.48 	2.21098
18 	-943.682	-915.079	-912.547	2.5422 
19 	-943.682	-915.071	-912.647	2.27124
20 	-943.682	-915.174	-912.883	2.50037
21 	-943.682	-915.1  	-912.928	2.19749
22 	-943.87 	-915.08 	-913.066	2.25865
23 	-943.87 	-915.035	-913.066	2.20568
24 	-958.51 	-915.078	-913.167	2.5444 
25 	-958.51 	-915.138	-913.279	2.69137
26 	-958.51 	-915.221	-913.086	2.98514
27 	-959.703	-915.321	-913.021	3.62105
28 	-959.703	-915.216	-912.939	2.79286
29 	-959.703	-915.274	-913.03 	3.07837
30 	-959.703	-915.264	-912.924	2.89863
31 	-959.703	-915.219	-912.919	2.75407
32 	-959.703	-915.258	-913.032	2.87672
33 	-959.703	-915.282	-913.059	3.23826
34 	-959.703	-915.287	-913.189	3.34812
35 	-959.703	-915.223	-912.803	2.87973
36 	-959.703	-915.229	-912.941	2.63196
37 	-959.703	-915.269	-912.582	3.06883
38 	-964.38 	-915.342	-912.995	3.43304
39 	-964.38 	-915.223	-912.995	2.75836
40 	-964.38 	-915.228	-911.229	3.16714
41 	-964.38 	-915.256	-911.983	3.38696
42 	-964.38 	-915.173	-912.313	2.69665
43 	-964.38 	-915.234	-912.611	2.91869
44 	-964.38 	-915.224	-910.295	3.19558
45 	-964.38 	-915.21 	-912.655	2.85935
46 	-964.38 	-915.215	-912.177	2.86629
47 	-964.38 	-915.307	-912.794	3.3256 
48 	-964.38 	-915.329	-912.678	3.07126
49 	-964.38 	-915.309	-912.221	3.22689
50 	-964.38 	-915.329	-912.666	3.56939
51 	-964.38 	-915.341	-912.676	3.78515
52 	-964.38 	-915.233	-911.984	2.97485
53 	-964.38 	-915.201	-911.358	3.16708
54 	-964.38 	-915.231	-911.535	3.03213
55 	-964.38 	-915.23 	-911.443	2.90358
56 	-964.38 	-915.242	-911.443	3.05901
57 	-964.38 	-915.287	-911.431	3.44395
58 	-965.788	-915.239	-911.874	3.36366
59 	-965.788	-915.232	-911.874	3.67741
60 	-965.788	-915.224	-912.053	3.62622
61 	-965.788	-915.224	-912.148	3.68913
62 	-965.788	-915.211	-911.762	3.69943
63 	-965.788	-915.234	-911.762	3.45825
64 	-965.788	-915.316	-911.889	3.86734
65 	-965.788	-915.321	-912.003	4.16537
66 	-969.11 	-915.359	-912.194	4.37034
67 	-975.733	-915.331	-912.23 	4.06845
68 	-975.733	-915.284	-912.23 	4.06188
69 	-975.733	-915.284	-912.143	3.84111
70 	-975.733	-915.232	-912.219	3.7795 
71 	-975.733	-915.231	-912.267	3.42934
72 	-975.733	-915.264	-912.3  	3.46253
73 	-975.733	-915.217	-912.321	3.46217
74 	-975.733	-915.276	-912.35 	3.82999
75 	-975.733	-915.182	-911.808	3.51263
76 	-975.733	-915.148	-910.365	3.2643 
77 	-975.733	-915.105	-910.577	3.56455
78 	-975.733	-915.106	-911.938	3.05518
79 	-975.733	-915.162	-911.583	3.54756
80 	-975.733	-915.184	-911.4  	3.49706
