gen	min    	avg     	max   	std   
0  	-927.06	-914.985	-913.5	1.5298
1  	-927.06	-914.943	-913.523	1.50657
2  	-927.06	-914.944	-913.333	1.58931
3  	-927.06	-914.885	-913.078	1.52453
4  	-927.928	-914.931	-913.339	1.63298
5  	-928.715	-914.977	-913.339	1.60285
6  	-930.783	-914.957	-913.473	1.72057
7  	-931.477	-915.009	-913.407	1.78835
8  	-931.477	-915.078	-913.371	1.86911
9  	-931.477	-915.083	-913.363	1.91101
10 	-931.477	-915.075	-913.486	1.99521
11 	-931.477	-915.037	-913.136	2.01379
12 	-931.477	-915.084	-913.136	2.01224
13 	-931.477	-915.025	-913.404	1.76223
14 	-931.477	-915.03 	-913.506	1.78275
15 	-933.313	-915.074	-913.442	1.84916
16 	-933.313	-915.04 	-913.494	1.80653
17 	-933.313	-915.074	-913.49 	1.92685
18 	-933.313	-915.031	-913.44 	1.81327
19 	-933.313	-914.996	-913.022	1.76689
20 	-933.313	-915.074	-913.022	1.94965
21 	-933.313	-915.059	-913.142	1.98222
22 	-940.36 	-915.084	-913.138	2.12958
23 	-940.36 	-914.973	-912.502	1.94352
24 	-940.36 	-914.996	-913.119	1.93102
25 	-940.36 	-914.994	-913.273	2.07461
26 	-940.36 	-915.031	-913.176	2.08686
27 	-940.36 	-914.974	-913.358	1.96629
28 	-940.36 	-914.918	-912.751	1.74236
29 	-940.36 	-914.928	-913.372	2.02343
30 	-940.36 	-914.865	-913.342	1.72457
31 	-940.36 	-914.902	-913.199	1.81343
32 	-940.36 	-914.966	-913.338	1.94989
33 	-940.36 	-914.957	-913.252	2.04948
34 	-940.36 	-915    	-913.195	1.9764 
35 	-940.36 	-915.019	-912.705	2.06394
36 	-940.36 	-915.046	-912.858	2.08903
37 	-940.36 	-915.029	-912.932	2.07459
38 	-940.36 	-915.043	-911.391	2.13587
39 	-940.36 	-915.049	-912.479	2.13131
40 	-940.36 	-915.04 	-912.776	2.04807
41 	-940.36 	-915.034	-912.868	2.12994
42 	-940.36 	-914.956	-912.213	2.04149
43 	-940.36 	-914.974	-912.213	2.07253
44 	-940.36 	-915.015	-912.437	2.12256
45 	-940.36 	-915.025	-913.067	2.09241
46 	-940.36 	-914.98 	-912.932	1.8939 
47 	-940.36 	-914.975	-912.801	1.9609 
