gen	min    	avg     	max     	std    
0  	-935.44	-915.157	-913.483	1.89863
1  	-935.44	-915.113	-913.502	1.8903 
2  	-935.44	-915.135	-913.529	1.97416
3  	-935.44	-915.148	-913.521	1.98994
4  	-935.44	-915.134	-913.46 	2.12588
5  	-935.44	-915.083	-913.5  	1.98065
6  	-935.44	-915.122	-913.492	2.17525
7  	-935.44	-915.089	-913.482	2.07276
8  	-938.262	-915.088	-913.495	2.1159 
9  	-938.262	-915.111	-913.401	2.2518 
10 	-938.262	-915.098	-913.049	2.22513
11 	-943.813	-915.167	-913.308	2.50961
12 	-943.813	-915.17 	-913.332	2.29165
13 	-943.813	-915.162	-912.37 	2.31316
14 	-943.813	-915.243	-912.888	2.53008
15 	-943.813	-915.273	-913.299	2.3622 
16 	-943.813	-915.262	-913.299	2.35332
17 	-943.813	-915.232	-913.459	2.3146 
18 	-943.813	-915.243	-913.461	2.43996
19 	-943.813	-915.217	-912.394	2.41758
20 	-947.122	-915.271	-912.808	2.5514 
21 	-947.122	-915.275	-913.071	2.41786
22 	-947.122	-915.272	-913.051	2.4177 
23 	-947.122	-915.248	-913.106	2.38607
24 	-947.122	-915.215	-913.31 	2.28308
25 	-947.122	-915.208	-913.418	2.37032
26 	-947.122	-915.17 	-913.382	2.34895
27 	-947.122	-915.121	-913.466	2.31954
28 	-957.479	-915.138	-913.002	2.71251
29 	-957.479	-915.227	-912.364	3.07824
30 	-957.479	-915.197	-912.851	2.8802 
31 	-957.479	-915.199	-913.081	3.01906
32 	-957.479	-915.243	-913.063	3.07644
33 	-958.914	-915.243	-913.017	3.31549
34 	-958.914	-915.279	-912.732	3.20779
35 	-958.914	-915.194	-913.248	2.68129
36 	-958.914	-915.183	-913.171	2.69921
37 	-958.914	-915.215	-913.171	2.60419
38 	-966.854	-915.323	-913.267	3.44812
39 	-966.854	-915.288	-913.192	3.16312
40 	-966.854	-915.345	-913.082	3.30407
41 	-966.854	-915.293	-912.805	3.30326
42 	-966.854	-915.268	-913.024	3.30986
43 	-966.854	-915.273	-913.024	3.66474
44 	-967.592	-915.262	-912.999	3.84229
45 	-967.592	-915.207	-912.881	3.46078
46 	-967.592	-915.208	-912.731	3.37303
47 	-967.592	-915.249	-912.963	3.43775
48 	-967.592	-915.183	-913.123	2.87791
49 	-967.592	-915.145	-913.247	2.8083 
50 	-967.592	-915.103	-912.707	2.67749
51 	-967.592	-915.172	-913.251	3.31135
52 	-967.917	-915.224	-913.165	3.80998
53 	-967.917	-915.29 	-912.053	3.78013
54 	-967.917	-915.224	-912.236	3.50371
55 	-967.917	-915.218	-910.198	3.61302
56 	-967.917	-915.227	-912.122	3.75581
