gen	min    	avg    	max   	std    
0  	10.4438	22.3273	38.951	5.17531
1  	9.91129	21.8091	42.8762	5.27183
2  	9.91129	22.242 	43.4989	5.3889 
3  	9.91129	22.3723	42.5113	5.57733
4  	9.58239	22.0572	40.7123	5.41837
5  	9.58239	22.2526	40.4153	5.35468
6  	9.58239	22.371 	37.0888	5.13936
7  	9.58239	22.1253	37.4443	5.00184
8  	9.58239	22.0791	38.791 	5.21555
9  	9.58239	22.3733	40.2092	5.25283
10 	9.58239	22.3148	39.9177	5.38058
11 	9.58239	22.5621	39.9177	5.36021
12 	9.58239	22.2215	38.614 	5.11617
13 	9.58239	22.2214	38.8788	5.22345
14 	8.82584	22.2374	38.5114	5.1633 
15 	8.82584	22.1329	36.408 	5.1247 
16 	8.82584	22.3653	40.3813	5.12758
17 	8.82584	22.0689	39.5514	5.12996
18 	8.82584	22.2475	40.1076	5.32408
19 	8.82584	22.2332	40.6264	5.12639
20 	8.82584	21.9769	39.1102	5.12289
21 	8.82584	22.254 	39.963 	5.22007
22 	8.82584	22.6384	38.237 	5.3164 
23 	8.82584	22.3434	38.8013	5.37359
24 	8.82584	22.4002	39.6395	5.31013
25 	8.82584	22.4144	40.759 	5.41183
26 	8.82584	22.1777	39.2383	5.51671
27 	8.82584	22.3979	41.8062	5.26199
28 	8.82584	22.3863	40.612 	5.33941
29 	8.82584	22.4247	38.695 	5.29348
30 	8.82584	22.5827	38.4838	5.32221
31 	8.82584	22.4721	43.0227	5.32178
32 	8.82584	22.3644	40.6905	5.29457
33 	8.82584	22.4073	40.002 	5.24003
34 	8.82584	22.4869	39.9852	5.23952
35 	8.82584	22.6261	40.2557	5.5345 
36 	8.82584	22.2375	37.7262	5.15772
37 	8.82584	21.8241	36.9872	5.16004
38 	8.82584	22.1598	39.9989	5.07671
39 	8.82584	22.4571	40.8887	5.30395
40 	8.82584	21.9543	38.158 	5.12391
41 	8.82584	22.16  	39.9361	5.0883 
42 	8.82584	22.3138	38.4349	5.05745
43 	8.82584	22.2079	41.9442	5.30937
44 	8.82584	21.8012	36.6025	5.05279
45 	8.82584	22.3242	39.6626	5.38976
46 	8.82584	22.1321	41.0034	5.35857
47 	8.82584	22.3721	38.0748	5.23637
48 	8.82584	22.5366	39.1701	5.1579 
49 	8.82584	22.31  	43.0999	5.26165
50 	8.82584	22.4352	39.4923	5.4078 
51 	8.82584	22.3797	37.931 	5.21604
52 	8.82584	22.3269	39.9289	5.39417
53 	8.82584	22.2968	40.0703	5.42297
54 	8.82584	22.1148	39.8077	5.27546
55 	8.82584	22.682 	41.6283	5.47625
56 	8.82584	22.6022	41.6283	5.28558
57 	8.82584	22.2636	41.6765	5.06487
58 	8.82584	22.3894	41.2309	5.21905
59 	8.82584	22.8159	42.498 	5.57118
60 	8.82584	22.6301	42.498 	5.42985
61 	8.82584	22.7128	40.7369	5.53901
62 	8.82584	22.5047	39.4754	5.41366
63 	8.82584	22.4976	40.6398	5.35893
64 	8.82584	22.6228	39.8095	5.45182
65 	8.82584	22.37  	38.7926	5.19328
66 	8.82584	22.453 	40.6858	5.32351
67 	8.82584	22.4332	39.2385	5.03773
68 	8.82584	22.4915	43.1859	5.48053
69 	8.82584	22.1832	38.134 	5.143  
70 	8.82584	22.2781	38.1241	5.05421
71 	8.82584	22.516 	38.8287	5.32294
72 	8.82584	22.4563	39.4728	5.4001 
73 	8.82584	22.5284	37.5409	5.12477
74 	8.82584	22.2882	38.8236	5.19482
75 	8.82584	22.4173	41.8991	5.30739
76 	8.82584	22.4374	41.8991	5.31249
77 	8.82584	21.9008	39.7713	5.01984
78 	8.82584	22.2373	41.6187	5.29951
79 	8.82584	22.2532	40.2564	5.1691 
80 	8.82584	22.2239	40.1497	5.25763
81 	8.82584	22.1918	38.0328	5.1993 
82 	8.82584	22.4878	39.3019	5.47362
83 	8.82584	22.6455	40.7435	5.64684
84 	8.82584	22.4279	40.2236	5.36149
85 	8.82584	22.3312	39.0041	5.33452
86 	8.82584	22.52  	40.7526	5.61029
87 	8.82584	22.4316	41.4384	5.57346
88 	8.82584	22.4357	39.4373	5.32456
89 	8.82584	22.2437	38.4246	5.27716
90 	8.82584	22.3104	39.5077	5.02435
91 	8.82584	22.4992	39.7059	5.13653
92 	8.82584	22.6263	38.7851	5.17094
93 	8.82584	22.4682	40.0159	5.14997
94 	8.82584	22.29  	39.6245	5.26268
95 	8.82584	22.1772	41.7944	5.26929
96 	8.82584	22.3707	39.2069	5.45462
97 	8.82584	22.2899	38.9463	5.41929
98 	8.82584	22.607 	41.3493	5.46247
99 	8.82584	22.4668	39.5367	5.45936
100	8.82584	22.2857	39.989 	5.51249
101	8.82584	22.4566	39.989 	5.35696
102	8.82584	22.3532	40.0916	5.11353
103	8.82584	22.5677	39.4332	5.11506
104	8.82584	22.5422	41.6877	5.38484
105	8.82584	22.703 	41.1273	5.16844
106	8.82584	22.6549	39.1584	5.3547 
107	8.82584	22.5172	41.3115	5.22068
108	8.82584	22.7082	42.7566	5.34658
109	8.82584	22.7365	40.5559	5.43719
110	8.82584	22.6427	42.0906	5.55761
111	8.82584	22.4859	38.041 	5.22106
112	8.82584	22.4825	38.7091	5.30383
113	8.82584	22.7907	39.8219	5.3987 
114	8.82584	22.4378	40.866 	5.37927
115	8.82584	22.8903	38.4792	5.36346
116	8.82584	22.6836	38.5882	5.3139 
117	8.82584	22.9198	40.3476	5.17203
118	8.82584	22.7656	43.354 	5.30665
119	8.82584	22.4319	41.997 	5.35237
120	8.82584	22.6136	43.1826	5.21234
121	8.82584	22.5556	42.7305	5.44838
122	8.82584	22.5009	43.064 	5.29886
123	8.82584	22.5899	41.2555	5.39614
124	8.82584	22.5666	38.8195	5.44457
125	8.82584	22.391 	40.0672	5.30008
126	8.82584	22.736 	41.4244	5.57423
127	8.82584	22.5843	40.531 	5.64247
128	8.82584	22.4514	40.1664	5.32907
129	8.82584	22.5167	38.3241	5.06931
130	8.82584	22.5623	42.901 	5.22491
131	8.82584	22.9992	42.5046	5.28725
132	8.82584	22.8876	40.7695	5.50239
133	8.82584	22.5154	40.1912	5.4408 
134	8.82584	22.7215	38.6614	5.49175
135	8.82584	23.1884	41.3487	5.76918
136	8.82584	22.8881	41.8108	5.49523
137	8.82584	22.4022	38.1756	5.44302
138	8.82584	22.4179	38.4255	5.20105
139	8.82584	22.8286	41.9626	5.34237
140	8.82584	22.9905	42.6565	5.59098
141	8.82584	22.5963	42.29  	5.47809
142	8.82584	22.8996	39.107 	5.30936
143	8.82584	22.7441	39.9589	5.37269
144	8.82584	22.9261	39.9803	5.45531
145	8.82584	22.9063	40.7397	5.56517
146	8.82584	22.9309	40.7397	5.30593
147	8.82584	22.5274	42.0443	5.62308
148	8.82584	22.7864	37.3991	5.30733
149	8.82584	22.617 	38.691 	5.27857
150	8.82584	22.7554	40.1138	5.3209 
151	8.82584	22.8887	40.4107	5.40799
152	8.82584	22.5543	41.8201	5.48405
153	8.82584	23.1103	42.0724	5.76596
154	8.82584	22.7595	41.9892	5.2821 
155	8.82584	22.6354	46.9839	5.60504
156	8.82584	22.7757	43.4754	5.66072
157	8.82584	22.9685	39.5971	5.5325 
158	8.82584	22.861 	39.3624	5.42747
159	8.82584	22.7854	39.2207	5.26149
160	8.82584	22.9636	41.1887	5.50897
161	8.82584	23.0105	40.4031	5.49952
162	8.82584	22.7999	42.0222	5.46636
163	8.82584	22.716 	41.8507	5.35128
164	8.82584	22.7889	42.5417	5.78163
165	8.82584	22.6983	41.1122	5.40045
166	8.82584	22.4996	41.4795	5.1075 
167	8.82584	22.7213	46.2175	5.65939
168	8.82584	22.8458	46.2175	5.61975
169	8.82584	22.8653	44.2946	5.33965
170	8.82584	22.9375	40.0507	5.38919
171	8.82584	22.8858	39.7786	5.48705
172	8.82584	22.7792	39.3189	5.57745
173	8.82584	22.9689	42.2681	5.6429 
174	8.82584	22.857 	41.4958	5.75597
175	8.82584	22.8089	39.5429	5.44624
176	8.82584	22.7272	41.2743	5.48563
177	8.82584	22.6163	41.4665	5.55262
178	8.82584	22.6013	40.0635	5.57501
179	8.82584	22.7143	40.0135	5.45525
180	8.82584	22.7419	41.6511	5.18237
181	8.82584	22.7601	45.5199	5.40974
182	8.82584	22.8989	41.7083	5.41669
183	8.82584	23.1806	44.7382	5.50206
184	8.82584	22.6353	39.894 	5.13637
185	8.82584	22.8024	37.4666	5.06613
186	8.82584	22.8544	39.684 	5.27365
187	8.82584	22.8172	44.4385	5.6586 
188	8.82584	22.8788	40.9397	5.47565
189	8.82584	22.7771	39.5357	5.26654
190	8.82584	22.9303	40.949 	5.24568
191	8.82584	22.7841	41.1531	5.21532
192	8.82584	22.6713	38.8447	5.18622
193	8.82584	22.7282	40.2565	5.25903
194	8.82584	22.9077	42.1013	5.62353
195	8.82584	23.0249	41.8842	5.361  
196	8.82584	22.6718	43.3815	5.45065
197	8.82584	23.0108	44.2787	5.36154
198	8.82584	22.8218	40.9671	5.36844
199	8.82584	22.6731	41.3257	5.53162
200	8.82584	22.6476	44.0476	5.64195
201	8.82584	22.7625	40.0218	5.35335
202	8.82584	22.7652	40.337 	5.40839
203	8.82584	22.7325	40.7582	5.48505
204	8.82584	22.726 	40.7   	5.67135
205	8.82584	22.9028	43.6194	5.45643
206	8.82584	22.9043	39.2278	5.46374
207	8.82584	23.0009	42.0118	5.21688
208	8.82584	22.901 	40.2521	5.40056
209	8.82584	22.7253	40.9832	5.32378
210	8.82584	22.9095	43.1407	5.58344
211	8.82584	23.1813	41.3157	5.56015
212	8.82584	23.1798	38.6084	5.52373
213	8.82584	23.0236	40.366 	5.28701
214	8.82584	22.8751	39.7564	5.47694
215	8.82584	22.9691	39.397 	5.38832
216	8.82584	23.1487	41.981 	5.3007 
217	8.82584	23.085 	41.4437	5.51201
218	8.82584	23.05  	41.6811	5.37746
219	8.82584	23.084 	40.7833	5.58515
220	8.82584	22.7097	39.3759	5.5152 
221	8.82584	22.9863	39.7138	5.47974
222	8.82584	22.9436	39.8494	5.36874
223	8.82584	23.0642	40.9892	5.41016
224	8.82584	22.6714	40.3875	5.45945
225	8.82584	23.1699	43.1755	5.5606 
226	8.82584	22.901 	41.7325	5.55708
227	8.82584	22.9392	40.3022	5.71231
228	8.82584	22.8588	39.6104	5.5874 
229	8.82584	22.6819	42.5575	5.49358
230	8.82584	22.4706	40.0503	5.23302
231	8.82584	22.8317	39.5448	5.39092
232	8.82584	23.037 	42.8261	5.29113
233	8.82584	22.7929	39.9603	5.43895
234	8.82584	23.0022	45.3089	5.81512
235	8.82584	22.8294	42.7441	5.65004
236	8.82584	22.8209	41.5025	5.51602
237	8.82584	22.8933	39.7827	5.34072
238	8.82584	23.2874	43.5087	5.52682
239	8.82584	22.801 	41.3387	5.574  
240	8.82584	22.9103	39.8996	5.54049
241	8.82584	22.9258	40.5059	5.47718
242	8.82584	23.2734	45.2706	5.63512
243	8.82584	23.1285	43.6948	5.60128
244	8.82584	22.8716	39.4366	5.52044
245	8.82584	23.0164	42.8695	5.56402
246	8.82584	23.152 	44.701 	5.87742
247	8.82584	22.8562	40.3049	5.5979 
248	8.82584	22.8546	43.3191	5.37371
249	8.82584	23.0659	41.9494	5.63992
250	8.82584	23.2459	40.6328	5.53667
251	8.82584	22.8711	42.5094	5.64771
252	8.82584	22.8416	42.3952	5.33048
253	8.82584	22.9588	43.8286	5.72327
254	8.82584	22.8901	43.8286	5.62689
255	8.82584	23.2592	42.3869	5.29004
256	8.82584	23.1299	40.512 	5.45591
257	8.82584	23.2272	42.2195	5.55068
258	8.82584	23.1825	40.0663	5.34313
259	8.82584	23.2691	43.5088	5.62302
260	8.82584	23.1529	42.5224	5.6795 
261	8.82584	23.0614	42.1052	5.53178
262	8.82584	23.1416	42.1189	5.7137 
263	8.82584	23.3166	39.8104	5.6012 
264	8.82584	23.0337	42.6096	5.41221
265	8.82584	23.1016	41.4183	5.58656
266	8.82584	23.0417	44.4719	5.60933
267	8.82584	23.082 	41.436 	5.36052
268	8.82584	22.7358	41.9374	5.29843
269	8.82584	23.1628	40.4238	5.49044
270	8.82584	22.8932	41.4403	5.55596
271	8.82584	23.1729	41.6876	5.29183
272	8.82584	23.1832	38.9689	5.62462
273	8.82584	23.3324	47.6026	5.78871
274	8.82584	23.3943	43.7185	5.5512 
275	8.82584	23.5098	43.7185	5.76243
276	8.82584	23.2381	43.5333	5.6912 
277	8.82584	23.3471	44.6326	5.53525
278	8.82584	23.1081	41.8538	5.36816
279	8.82584	22.9486	41.4897	5.44918
280	8.82584	22.9476	41.1263	5.55515
281	8.82584	23.2485	42.6345	5.71943
282	8.82584	23.1626	40.5775	5.41796
283	8.82584	22.9763	41.4603	5.47329
284	8.82584	23.0392	42.6071	5.50314
285	8.82584	22.9935	41.0152	5.31012
286	8.82584	23.3495	43.2214	5.58131
287	8.82584	23.6135	44.5536	5.65831
288	8.82584	23.3517	42.3508	5.70895
289	8.82584	23.412 	44.0575	5.52026
290	8.82584	23.3726	43.4772	5.59545
291	8.82584	23.2488	42.0141	5.5571 
292	8.82584	23.2213	40.6184	5.50616
293	8.82584	23.1233	46.4637	5.57484
294	8.82584	23.5903	42.7067	5.66161
295	8.82584	23.6941	46.477 	5.76322
296	8.82584	23.2428	45.7968	5.45825
297	8.82584	23.2886	43.9445	5.6277 
298	8.82584	23.0573	40.99  	5.52671
299	8.82584	23.5797	45.4472	5.54552
300	8.82584	23.1572	38.5163	5.27477
301	8.82584	23.2382	44.9263	5.61976
302	8.82584	23.4952	38.939 	5.52272
303	8.82584	23.7683	45.627 	5.54197
304	8.82584	23.5683	41.7834	5.49551
305	8.82584	23.426 	45.6269	5.54693
306	8.82584	23.4898	45.1115	5.73837
307	8.82584	23.4781	46.111 	5.76002
308	8.82584	23.1562	40.8131	5.62133
309	8.82584	22.9602	43.739 	5.66083
310	8.82584	23.203 	41.9462	5.6365 
311	8.82584	23.4648	41.3048	5.53158
312	8.82584	23.2758	42.5535	5.61572
313	8.82584	23.2498	42.0309	5.62149
314	8.82584	23.1064	41.2802	5.6474 
315	8.82584	23.606 	41.6667	5.58095
316	8.82584	23.5508	41.6667	5.47841
317	8.82584	23.5166	42.82  	5.45169
318	8.82584	23.3951	46.8883	5.61946
319	8.82584	23.5645	39.0489	5.41496
320	8.82584	23.2952	41.9531	5.62769
321	8.82584	23.5215	43.9684	5.57232
322	8.82584	23.462 	41.9926	5.73257
323	8.82584	23.6026	42.0092	5.88549
324	8.82584	23.5665	40.8389	5.51645
325	8.82584	23.388 	43.6082	5.52512
326	8.82584	23.4819	43.2191	5.45964
327	8.82584	23.5612	44.1812	5.70476
328	8.82584	23.3425	41.2209	5.46619
329	8.82584	23.2296	43.0439	5.65576
330	8.82584	23.086 	43.0439	5.55098
331	8.82584	22.9822	42.0974	5.66991
332	8.82584	23.1286	43.5304	5.51623
