gen	min   	avg   	max   	std    
0  	10.576	21.959	39.125	5.07679
1  	9.14584	22.278	38.173	5.25636
2  	9.14584	22.4275	38.912	5.48773
3  	9.14584	22.2995	36.7042	5.20218
4  	9.14584	22.1836	37.3211	5.18884
5  	9.14584	22.3942	38.6306	5.44664
6  	9.14584	22.1461	38.9798	5.22581
7  	9.14584	22.2381	39.8828	5.16834
8  	9.14584	22.0175	41.5982	5.21448
9  	9.14584	22.3021	41.8306	5.28863
10 	9.14584	22.1672	41.8306	5.19374
11 	9.14584	22.1746	41.4018	5.42819
12 	9.14584	22.6445	40.2789	5.43365
13 	9.14584	22.4126	39.0414	5.26471
14 	9.14584	22.195 	39.0151	5.31395
15 	9.14584	22.3305	39.0151	5.09056
16 	9.14584	22.7127	39.8709	5.54525
17 	9.14584	22.4858	39.8709	5.46119
18 	9.14584	22.2939	39.2463	5.18356
19 	9.14584	22.2988	39.8354	5.51944
20 	9.14584	22.4353	39.5287	5.40235
21 	9.14584	22.181 	39.9317	5.269  
22 	9.14584	22.3973	38.6289	5.17737
23 	9.14584	22.0998	42.0924	5.19772
24 	9.14584	22.2844	40.9414	5.26389
25 	9.14584	22.6109	38.6117	5.28774
26 	9.14584	22.5233	40.4393	5.52806
27 	9.14584	22.6402	38.6761	5.29477
28 	9.14584	22.4292	42.2076	5.13573
29 	9.14584	21.9477	41.5491	5.16168
30 	9.14584	22.0301	37.6552	5.2104 
31 	9.14584	22.1455	39.4597	5.33166
32 	9.14584	22.3926	42.0384	5.45605
33 	9.14584	22.2637	40.3364	5.54978
34 	9.14584	22.2922	37.1974	5.05765
35 	9.14584	22.2261	44.6103	5.46726
36 	9.14584	22.3621	40.785 	5.28982
37 	9.14584	22.2123	38.5456	5.20823
38 	9.14584	22.4711	40.013 	5.29169
39 	9.14584	22.1876	39.5462	5.15532
40 	9.14584	22.3637	39.0881	5.11181
41 	9.14584	22.2749	39.0881	5.36898
42 	9.14584	22.1492	40.1331	5.15072
43 	9.14584	22.4381	42.0397	5.40676
44 	9.14584	22.3692	41.1312	5.48681
45 	9.14584	22.187 	41.0166	5.1931 
46 	9.14584	22.2796	39.6747	5.34646
