gen	min   	avg   	max    	std    
0  	10.792	22.254	37.6842	5.01443
1  	10.792	22.0295	40.166 	5.04728
2  	10.792	22.1069	39.6131	5.25223
3  	10.792	22.2276	38.7792	5.07926
4  	10.6393	22.1743	39.4101	5.28011
5  	10.6393	22.1058	40.5151	5.34713
6  	10.6393	22.1512	39.5242	5.36824
7  	10.6393	22.2239	39.5242	5.19365
8  	9.83166	22.1207	39.1976	5.10177
9  	9.83166	22.3842	39.7041	5.4131 
10 	9.83166	22.0129	38.9239	5.17242
11 	9.83166	22.0241	37.807 	5.16349
12 	9.83166	22.083 	43.8421	5.14124
13 	9.83166	22.1473	42.4905	5.18893
14 	9.81182	22.4563	41.2252	5.36346
15 	9.68839	22.2293	41.4571	5.24977
16 	9.68839	22.0357	41.404 	5.32712
17 	9.68839	22.2445	36.6078	5.2163 
18 	9.68839	22.363 	39.3948	5.19557
19 	9.68839	21.9793	40.1048	5.13704
20 	9.68839	22.388 	39.3249	5.27731
21 	9.68839	22.5527	41.1423	5.48125
22 	9.68839	22.3615	41.1182	5.32329
23 	9.68839	22.4339	39.2036	5.10921
24 	9.31078	21.9431	38.7236	5.32509
25 	9.31078	22.5262	42.9372	5.58558
26 	9.31078	22.3497	39.0852	5.17948
27 	9.31078	22.4865	40.8656	5.33636
28 	9.31078	22.2833	39.0747	5.26724
29 	9.31078	21.9924	37.6536	4.97844
30 	9.31078	21.9253	37.1659	5.17617
31 	9.31078	22.0844	38.889 	5.2698 
32 	9.31078	22.1899	38.8343	5.02761
33 	9.31078	22.2415	38.8343	5.37195
34 	9.31078	22.382 	37.8315	5.04772
35 	9.31078	22.3504	36.9972	5.26085
36 	9.31078	22.4093	38.8116	5.28908
37 	9.31078	22.3042	39.621 	5.40471
38 	9.31078	22.472 	39.8377	5.41368
39 	9.31078	22.157 	38.2469	5.10949
40 	9.31078	22.5006	39.435 	5.29544
41 	9.31078	22.0275	39.0363	5.08051
42 	9.31078	22.0924	39.7006	5.19561
43 	9.31078	22.0226	40.687 	5.25134
44 	9.31078	22.2725	39.577 	5.21235
45 	9.31078	21.9067	37.549 	5.11128
46 	9.31078	22.5013	39.218 	5.27413
47 	9.31078	22.3615	37.3019	5.23854
48 	9.31078	22.7194	41.6939	5.55726
49 	9.31078	22.0918	41.7583	5.12458
50 	9.31078	22.2199	41.7882	5.13463
51 	9.31078	22.2111	41.8225	5.34372
52 	9.31078	22.4196	40.4838	5.21045
53 	9.31078	22.386 	42.6021	5.44703
54 	9.31078	22.0989	40.7639	5.30887
55 	9.31078	22.324 	39.4459	5.16351
56 	9.31078	22.1175	38.683 	5.15918
