gen	min   	avg    	max    	std    
0  	414.67	720.511	2078.07	101.917
1  	414.67	727.101	3555.57	145.717
2  	414.67	739.707	7004.57	286.972
3  	414.67	733.858	3698.69	181.95 
4  	414.67	739.247	3616.73	221.329
5  	414.67	741.554	4016.45	250.69 
6  	414.67	743.118	4090.45	251.764
7  	414.67	743.041	3920.71	254.77 
8  	414.67	747.63 	3920.71	258.283
9  	414.67	744.784	3631.9 	240.059
10 	414.67	750.751	4724.26	278.183
11 	414.67	752.687	4519.22	273.377
12 	414.67	754.407	4306.25	276.81 
13 	414.67	752.187	3578.9 	245.628
14 	414.67	750.32 	3473.55	230.047
15 	414.67	745.785	3410.44	208.642
16 	414.67	742.166	3272.33	190.736
17 	414.67	776.162	18871.6	708.391
18 	414.67	778.085	18821.7	711.231
19 	414.67	802.447	18838.6	809.719
20 	414.67	792.415	8433.83	522.692
21 	414.67	792.852	7159.47	449.479
22 	414.67	786.307	6045.91	403.214
23 	400.662	788.934	5903.62	406.942
24 	366.399	793.923	5903.62	412.591
25 	366.399	815.052	6640.12	508.178
26 	366.399	817.162	6640.12	507.094
27 	366.399	834.229	14909.8	710.556
28 	366.399	829.932	6563.83	546.701
29 	366.399	831.422	6622.67	550.777
30 	366.399	828.096	6022.42	510.865
31 	366.399	843.026	15425.3	723.381
32 	366.399	825.886	6697.6 	512.097
33 	366.399	831.142	6783.07	515.828
34 	366.399	906.395	19348.1	1101.62
35 	366.399	900.234	15368.2	1024.28
36 	366.399	939.505	17401  	1225.53
37 	366.399	944.447	15413.1	1150.04
38 	366.399	934.33 	13604.5	1070.88
39 	366.399	959.427	13436.9	1183.92
40 	366.399	985.886	15304  	1328.88
41 	366.399	967.563	13500.4	1193.33
42 	366.399	957.709	13451.2	1110.7 
43 	366.399	945.347	12499.4	1033.36
44 	366.399	950.976	13154.2	1063.18
45 	366.399	959.209	10885.4	1045.98
46 	366.399	946.972	10093.4	985.366
47 	366.399	953.842	9087.81	987.161
48 	366.399	970.987	12151.1	1059.12
49 	366.399	978.276	9220.5 	1045.74
50 	366.399	980.919	8962.98	1031   
51 	366.399	1003.79	12421.6	1149.36
52 	366.399	994.029	9096.31	1072.93
53 	366.399	1004.34	8724.54	1088.81
54 	366.399	993.776	8473.94	1052.64
55 	366.399	995.859	8226.86	1036.86
56 	366.399	1050.46	41381  	1768.72
57 	366.399	1017.83	14993.5	1150.41
58 	366.399	1032.4 	14307.4	1216.77
59 	366.399	1046.85	12109.8	1207.89
60 	366.399	1069.39	12104.2	1266.53
61 	366.399	1097.32	15603.5	1381.62
62 	366.399	1090.46	15615.8	1336.82
63 	366.399	1126.04	16928.5	1514.28
64 	366.399	1112.37	15519.6	1432.42
65 	366.399	1126.78	15519.6	1463.23
66 	366.399	1129.09	15519.6	1464.36
67 	366.399	1148.68	15479.4	1522.72
68 	366.399	1132.3 	13922.9	1426.99
69 	366.399	1129.97	13947.6	1437.1 
70 	366.399	1146.28	15630.5	1516.14
71 	366.399	1136.18	15588.9	1431.7 
72 	366.399	1123.49	12507.2	1338.76
73 	366.399	1139.11	12507.2	1367.79
74 	366.399	1151.48	12507.2	1416.98
75 	366.399	1184.83	16583.2	1614.41
76 	366.399	1163.81	15563.1	1518.68
77 	366.399	1163.44	15582.8	1506.23
78 	366.399	1167.8 	15609.3	1488.97
79 	366.399	1175.92	12585.6	1447.72
80 	366.399	1206.61	23809.2	1661.63
81 	366.399	1223.57	23798.8	1763.46
82 	366.399	1229.29	19481.6	1696.57
83 	366.399	1231.07	19471.5	1713.36
84 	366.399	1235.95	20060.5	1787.93
85 	366.399	1248.65	20060.5	1887.33
86 	366.399	1245.48	19966.7	1856.71
87 	366.399	1268.85	20070  	1873.65
88 	366.399	1266.55	19464.7	1802.33
89 	366.399	1272.82	19486.1	1782.06
90 	366.399	1260.25	16065.9	1652.33
91 	366.399	1269.8 	16062.7	1647.93
92 	366.399	1273.4 	16006.1	1670.28
93 	366.399	1286.79	16097.5	1718.43
94 	366.399	1308.4 	14705.5	1756.12
95 	366.399	1316.74	14705.5	1752.63
96 	366.399	1310.78	13143.1	1716.64
97 	366.399	1335.13	13100.9	1740.95
98 	366.399	1367.36	19269  	1886.97
99 	366.399	1349.47	13090.3	1779.54
100	366.399	1366.62	12808.7	1796.93
101	366.399	1385.07	12722.6	1805.48
102	366.399	1426.91	23751.6	2116.38
103	366.399	1417.23	18764.3	1924.28
104	366.399	1395.46	13075.9	1840.81
105	366.399	1406.25	13022.6	1859.8 
106	366.399	1407.1 	12763.7	1841.81
107	366.399	1413.05	12060.9	1802.47
108	366.399	1421.8 	13615.9	1835.08
109	366.399	1426.03	12370.3	1821.11
110	366.399	1449.44	12337.5	1883.74
111	366.399	1479.18	16457.4	2042.23
112	366.399	1479.55	16480.7	2010.72
113	366.399	1517.57	17728.3	2130.63
114	366.399	1501.94	16480.7	2074.78
115	366.399	1490.31	15531.3	2037.93
116	366.399	1527.1 	31411.2	2276.58
117	366.399	1540.87	28303.8	2203.19
118	366.399	1498.18	15446.8	1993.66
119	366.399	1487.31	13312  	1960.4 
120	366.399	1492.41	15821.6	1988.69
121	366.399	1577.12	58699.1	2863.92
122	366.399	1563.06	33569.5	2395.53
123	366.399	1617.91	35225.2	2695.89
124	366.399	1626.06	33716.1	2506.39
125	366.399	1664.74	37733  	2809.86
126	366.399	1707.6 	37783.6	2949.67
127	366.399	1672.22	33893.7	2686.3 
128	366.399	1679.56	27233  	2518.66
129	366.399	1652.33	18565.1	2364.17
130	366.399	1630.48	17606.7	2290.78
131	366.399	1635.17	16918.6	2257.54
132	366.399	1775.17	36240.9	2926.73
133	366.399	1884.09	39476.2	3524.83
134	366.399	1859.09	38336.1	3265.94
135	366.399	1840.82	36342.1	3074.67
136	366.399	1789.48	29147.4	2822.17
137	366.399	1827.57	28316.2	2855.28
138	366.399	1811.47	25108.7	2669.71
139	366.399	1898.49	28655.5	3004.61
140	366.399	1900.43	25329.9	2899.9 
141	366.399	1915.19	23998.5	2888.15
142	366.399	1960.33	23998.5	3020.51
143	366.399	2041.98	26588.7	3380.45
144	366.399	2069.03	31161.6	3444.78
145	366.399	2099.33	31340.7	3542.19
146	366.399	2077.92	26443  	3328.06
147	366.399	2103.15	25009.4	3260.47
148	366.399	2119.45	25066.8	3300.33
149	366.399	2122.33	23230.6	3337.65
150	366.399	2145.25	23978.5	3366.35
151	366.399	2188.59	32578.6	3559.62
152	366.399	2170.02	32500.4	3530.35
153	366.399	2160.6 	31427.1	3521.54
154	366.399	2152.99	27309.2	3422.84
155	366.399	2155.59	28092.7	3533.22
156	366.399	2197.84	31295.8	3665.25
157	365.918	2208.68	28574.7	3674.01
158	365.918	2222.59	28574.7	3603.8 
159	365.918	2195.96	26005  	3477.91
160	365.918	2218.55	27989.1	3559.46
161	365.918	2205.33	26108.5	3451.67
162	365.918	2222.29	26166.1	3474.56
163	365.918	2217.72	24909.3	3464.73
164	365.918	2218.36	23468.2	3419.14
165	365.918	2199.37	23381.9	3364.91
166	365.918	2272.65	30174.5	3644.13
167	365.918	2259.18	27601.1	3551.58
168	365.918	2249.56	27639  	3573.56
169	365.918	2310.39	34071.2	3887.75
170	365.918	2360.57	36484.6	4049   
171	365.918	2401.03	33994.6	4053.74
172	365.918	2394.35	29794.1	3998.06
173	365.918	2395.07	31955.8	4022.34
174	365.918	2413.06	28255  	3949.91
175	365.918	2450.23	26621.4	3975.75
176	363.565	2518.33	29163.4	4113.4 
177	363.565	2571.91	26492.8	4167.55
178	363.565	2586.65	26609.3	4226.46
179	363.565	2604.96	26484.7	4260.24
180	363.565	2620.08	26534.4	4258.58
181	363.565	2608.93	25443.2	4107.78
182	363.565	2646   	42929.2	4335.92
183	363.565	2648.79	25806.8	4292.03
184	363.565	2625.17	25736.8	4210.73
185	363.565	2643.56	25744.9	4306.1 
186	363.565	2669.75	25767.9	4325.99
187	363.565	2675.8 	25661  	4321.95
188	363.565	2626.83	24478.3	4231.91
189	363.565	2642.9 	23558.1	4266.28
190	363.565	2629.52	25921.6	4208.2 
191	363.565	2632.22	23679.9	4153.95
192	363.565	2645.82	23470.3	4147.07
