gen	min   	avg       	max        	std       
0  	708129	2.0766e+07	5.90857e+07	1.1967e+07
1  	535958	2.06679e+07	5.41256e+07	1.18532e+07
2  	535958	2.05903e+07	5.35761e+07	1.16843e+07
3  	535958	2.05496e+07	5.2978e+07 	1.18805e+07
4  	535958	2.04789e+07	5.47652e+07	1.18504e+07
5  	535958	2.03982e+07	5.47652e+07	1.17013e+07
6  	535958	2.02995e+07	5.45202e+07	1.16095e+07
7  	535958	2.02572e+07	5.56873e+07	1.13415e+07
8  	535958	2.02271e+07	5.56873e+07	1.13695e+07
9  	535958	2.01453e+07	5.54419e+07	1.15591e+07
10 	535607	2.00999e+07	5.46424e+07	1.15218e+07
11 	399605	2.00664e+07	5.35577e+07	1.14364e+07
12 	399605	2.00003e+07	5.56814e+07	1.14667e+07
13 	399605	1.99271e+07	5.95507e+07	1.14028e+07
14 	399605	1.98665e+07	5.89844e+07	1.14676e+07
15 	399605	1.98073e+07	5.8986e+07 	1.1428e+07 
16 	399605	1.97692e+07	5.8986e+07 	1.15509e+07
17 	399600	1.97497e+07	5.9359e+07 	1.15643e+07
18 	391669	1.96993e+07	5.8986e+07 	1.15024e+07
19 	391669	1.96314e+07	5.47981e+07	1.12582e+07
20 	391669	1.95716e+07	5.46637e+07	1.13715e+07
21 	391669	1.95132e+07	5.37865e+07	1.13321e+07
22 	391669	1.9481e+07 	5.24896e+07	1.12183e+07
23 	391669	1.93784e+07	5.4612e+07 	1.139e+07  
24 	391669	1.93814e+07	5.46115e+07	1.14116e+07
25 	391669	1.93566e+07	5.23748e+07	1.1577e+07 
26 	390127	1.93128e+07	5.05247e+07	1.16132e+07
27 	390127	1.92448e+07	5.10474e+07	1.15435e+07
28 	390127	1.92058e+07	5.15727e+07	1.16328e+07
29 	390127	1.91761e+07	5.09197e+07	1.16295e+07
30 	390127	1.91734e+07	5.14322e+07	1.16809e+07
31 	266413	1.91248e+07	5.59475e+07	1.18752e+07
32 	226754	1.90762e+07	5.59473e+07	1.16675e+07
33 	226754	1.9001e+07 	5.68424e+07	1.16492e+07
34 	225345	1.89411e+07	5.68424e+07	1.16293e+07
35 	225345	1.88776e+07	5.61426e+07	1.16853e+07
36 	224598	1.88246e+07	6.09018e+07	1.16257e+07
37 	203035	1.87534e+07	5.79948e+07	1.15622e+07
38 	203035	1.8695e+07 	5.96984e+07	1.13589e+07
39 	203035	1.8682e+07 	5.80577e+07	1.13443e+07
40 	203035	1.86335e+07	5.59946e+07	1.11481e+07
41 	203035	1.86005e+07	5.60008e+07	1.11995e+07
42 	203035	1.85484e+07	5.51649e+07	1.12729e+07
43 	203035	1.8487e+07 	5.22325e+07	1.1168e+07 
44 	203035	1.84356e+07	4.95932e+07	1.11435e+07
45 	203035	1.83895e+07	4.95932e+07	1.09433e+07
46 	203035	1.83258e+07	4.95932e+07	1.07594e+07
47 	203035	1.82495e+07	4.84925e+07	1.07948e+07
48 	203035	1.82364e+07	5.23925e+07	1.08352e+07
49 	203035	1.8186e+07 	5.32166e+07	1.08681e+07
50 	202658	1.8179e+07 	5.17613e+07	1.07233e+07
51 	202658	1.81069e+07	5.18566e+07	1.08133e+07
52 	202658	1.80413e+07	5.1862e+07 	1.06272e+07
53 	202658	1.79735e+07	5.23875e+07	1.0684e+07 
54 	202658	1.79363e+07	5.2404e+07 	1.08123e+07
55 	202658	1.79024e+07	5.2404e+07 	1.07956e+07
56 	202658	1.78447e+07	5.07112e+07	1.06782e+07
57 	202658	1.78125e+07	5.2425e+07 	1.0775e+07 
58 	202658	1.7781e+07 	4.95794e+07	1.06131e+07
59 	202658	1.7729e+07 	4.79032e+07	1.07426e+07
60 	202658	1.76835e+07	5.27144e+07	1.07225e+07
61 	202658	1.76415e+07	4.87164e+07	1.06695e+07
62 	202658	1.75873e+07	4.84848e+07	1.04463e+07
63 	202658	1.75451e+07	4.93946e+07	1.04668e+07
64 	202658	1.74903e+07	4.94674e+07	1.03708e+07
65 	80240.3	1.74419e+07	4.85739e+07	1.032e+07  
66 	80240.3	1.7379e+07 	5.05137e+07	1.01932e+07
67 	80195.4	1.7316e+07 	5.15907e+07	1.02328e+07
68 	80195.4	1.72592e+07	5.15915e+07	1.01937e+07
69 	80195.4	1.72077e+07	5.8823e+07 	1.01703e+07
70 	80195.4	1.71567e+07	5.47119e+07	1.02532e+07
71 	80195.4	1.70995e+07	5.14101e+07	1.03635e+07
72 	74284  	1.70017e+07	5.14101e+07	1.02191e+07
73 	74284  	1.69638e+07	4.9704e+07 	1.0175e+07 
74 	74284  	1.68984e+07	4.95768e+07	1.0121e+07 
75 	74284  	1.68557e+07	5.34555e+07	1.02877e+07
76 	74284  	1.68112e+07	5.25025e+07	1.03362e+07
77 	74023.1	1.67625e+07	4.93918e+07	1.02196e+07
78 	74023.1	1.67477e+07	4.99056e+07	1.03246e+07
79 	74023.1	1.67015e+07	4.9846e+07 	1.02728e+07
