gen	min        	avg        	max        	std        
0  	1.02232e+06	2.02363e+07	5.83967e+07	1.13348e+07
1  	1.02232e+06	2.01838e+07	5.45056e+07	1.10026e+07
2  	867963     	2.01463e+07	5.84311e+07	1.10116e+07
3  	867963     	2.00827e+07	5.36074e+07	1.10782e+07
4  	867963     	2.00479e+07	5.32109e+07	1.09492e+07
5  	867963     	2.00245e+07	5.21548e+07	1.10675e+07
6  	867963     	1.99803e+07	5.40479e+07	1.09863e+07
7  	867963     	1.99294e+07	5.40313e+07	1.08259e+07
8  	835127     	1.98927e+07	5.34041e+07	1.10292e+07
9  	835127     	1.98358e+07	5.22379e+07	1.12977e+07
10 	793490     	1.97778e+07	5.18261e+07	1.14283e+07
11 	793490     	1.97331e+07	5.18261e+07	1.14978e+07
12 	793490     	1.97002e+07	5.32055e+07	1.1653e+07 
13 	793490     	1.96761e+07	5.44111e+07	1.18102e+07
14 	793490     	1.96493e+07	5.31034e+07	1.16853e+07
15 	792753     	1.9616e+07 	5.17054e+07	1.15566e+07
16 	792753     	1.95551e+07	5.46471e+07	1.15876e+07
17 	792753     	1.9518e+07 	5.40512e+07	1.14632e+07
18 	760625     	1.94954e+07	5.23891e+07	1.13406e+07
19 	760625     	1.94522e+07	5.2288e+07 	1.12651e+07
20 	760625     	1.94387e+07	5.2288e+07 	1.14972e+07
21 	760625     	1.9381e+07 	5.42759e+07	1.13959e+07
22 	760625     	1.93027e+07	5.6108e+07 	1.12105e+07
23 	760625     	1.92659e+07	5.16075e+07	1.11834e+07
24 	508106     	1.92181e+07	5.05133e+07	1.10034e+07
25 	508106     	1.91677e+07	5.31541e+07	1.09837e+07
26 	407553     	1.91028e+07	5.35434e+07	1.12237e+07
27 	407553     	1.90256e+07	5.35443e+07	1.12518e+07
28 	407553     	1.89473e+07	5.36519e+07	1.11903e+07
29 	407553     	1.88919e+07	5.19713e+07	1.10837e+07
30 	407553     	1.88585e+07	5.19713e+07	1.12094e+07
31 	407391     	1.88005e+07	5.17203e+07	1.10807e+07
32 	407391     	1.8748e+07 	5.25926e+07	1.1243e+07 
33 	407391     	1.87112e+07	5.12871e+07	1.11837e+07
34 	407391     	1.86414e+07	5.53092e+07	1.10561e+07
35 	407391     	1.85815e+07	5.46924e+07	1.08873e+07
36 	406680     	1.85529e+07	5.15755e+07	1.075e+07  
37 	369825     	1.84988e+07	5.1563e+07 	1.07508e+07
38 	369825     	1.84576e+07	5.15058e+07	1.06169e+07
39 	369825     	1.84118e+07	5.12896e+07	1.04556e+07
40 	348453     	1.83389e+07	5.03694e+07	1.05043e+07
41 	348453     	1.83042e+07	4.9559e+07 	1.07364e+07
42 	348453     	1.82183e+07	4.9559e+07 	1.05226e+07
43 	348453     	1.81935e+07	4.9559e+07 	1.05174e+07
44 	348453     	1.81344e+07	4.899e+07  	1.05884e+07
45 	348453     	1.80977e+07	4.82013e+07	1.05346e+07
46 	348453     	1.80416e+07	5.41983e+07	1.06049e+07
47 	348453     	1.79968e+07	4.95895e+07	1.04086e+07
48 	348453     	1.79839e+07	4.90677e+07	1.03696e+07
49 	341791     	1.79539e+07	4.88228e+07	1.02647e+07
50 	341791     	1.79076e+07	4.86917e+07	1.02743e+07
51 	341791     	1.78938e+07	5.05324e+07	1.04026e+07
52 	341725     	1.78309e+07	5.25241e+07	1.05888e+07
53 	341634     	1.77742e+07	5.05305e+07	1.06313e+07
54 	341634     	1.77133e+07	5.05305e+07	1.06494e+07
55 	340111     	1.76789e+07	5.05641e+07	1.06449e+07
56 	340111     	1.76228e+07	5.30822e+07	1.06814e+07
57 	340111     	1.75939e+07	5.25022e+07	1.06793e+07
58 	340111     	1.7569e+07 	5.20802e+07	1.08531e+07
59 	340111     	1.75004e+07	5.3671e+07 	1.08294e+07
60 	340111     	1.74567e+07	5.44615e+07	1.07885e+07
61 	340111     	1.7355e+07 	4.97606e+07	1.06158e+07
62 	340111     	1.7324e+07 	4.9404e+07 	1.04809e+07
63 	337357     	1.72661e+07	4.94332e+07	1.0724e+07 
64 	336766     	1.72761e+07	5.11807e+07	1.0613e+07 
65 	336766     	1.72263e+07	5.4644e+07 	1.06032e+07
66 	336503     	1.71382e+07	5.4644e+07 	1.05924e+07
67 	336503     	1.70511e+07	5.43296e+07	1.04383e+07
68 	336503     	1.70024e+07	5.21524e+07	1.05599e+07
69 	336503     	1.69711e+07	5.10819e+07	1.05958e+07
70 	336503     	1.69194e+07	4.90138e+07	1.05623e+07
71 	336503     	1.69141e+07	5.82607e+07	1.05294e+07
72 	336503     	1.68413e+07	5.10393e+07	1.05552e+07
73 	336503     	1.6816e+07 	4.9147e+07 	1.04332e+07
74 	336503     	1.67794e+07	4.90002e+07	1.03102e+07
75 	336503     	1.67199e+07	4.70484e+07	1.01635e+07
76 	334775     	1.67016e+07	4.70487e+07	1.01864e+07
77 	313202     	1.66857e+07	4.88287e+07	1.0321e+07 
78 	313202     	1.66049e+07	4.88966e+07	1.00911e+07
79 	310849     	1.65473e+07	4.82183e+07	1.00544e+07
80 	250896     	1.64944e+07	4.80747e+07	9.91781e+06
81 	106590     	1.63888e+07	5.56233e+07	1.00515e+07
82 	106590     	1.6352e+07 	4.99712e+07	1.00769e+07
83 	106590     	1.63092e+07	4.95763e+07	1.00145e+07
84 	106590     	1.62499e+07	4.95727e+07	9.83015e+06
85 	106590     	1.61723e+07	4.8812e+07 	9.72866e+06
86 	106590     	1.6101e+07 	5.02135e+07	9.62977e+06
87 	106590     	1.60443e+07	4.95767e+07	9.62741e+06
88 	106590     	1.5981e+07 	5.08803e+07	9.67512e+06
89 	106590     	1.59241e+07	5.03299e+07	9.80782e+06
90 	106590     	1.58566e+07	4.95574e+07	9.77706e+06
91 	106590     	1.58105e+07	4.78198e+07	9.72382e+06
92 	106590     	1.57483e+07	4.64143e+07	9.59924e+06
93 	104520     	1.57e+07   	4.64143e+07	9.52214e+06
94 	104520     	1.56494e+07	4.47955e+07	9.49912e+06
95 	104520     	1.55783e+07	4.63228e+07	9.45743e+06
96 	104520     	1.55318e+07	5.01133e+07	9.4757e+06 
97 	104520     	1.54814e+07	4.77247e+07	9.40131e+06
98 	104520     	1.5457e+07 	4.77247e+07	9.41116e+06
99 	104511     	1.5393e+07 	4.47517e+07	9.42344e+06
100	104511     	1.53415e+07	4.66422e+07	9.49193e+06
101	104511     	1.52749e+07	4.75236e+07	9.58733e+06
102	104511     	1.52456e+07	4.7503e+07 	9.53744e+06
103	104511     	1.51975e+07	4.48314e+07	9.55674e+06
104	104511     	1.51409e+07	4.49388e+07	9.46696e+06
105	104511     	1.51205e+07	4.33174e+07	9.31109e+06
106	104511     	1.50458e+07	4.47602e+07	9.09032e+06
107	104511     	1.50057e+07	4.4762e+07 	9.30565e+06
108	104511     	1.49525e+07	4.71102e+07	9.38762e+06
109	104511     	1.49305e+07	4.47748e+07	9.40536e+06
110	104511     	1.48943e+07	4.38146e+07	9.39343e+06
111	104194     	1.48314e+07	5.02942e+07	9.21331e+06
112	104194     	1.47565e+07	4.38146e+07	8.98621e+06
113	104194     	1.471e+07  	4.2997e+07 	8.9016e+06 
114	104194     	1.46683e+07	4.2997e+07 	8.86735e+06
115	104194     	1.46225e+07	4.45789e+07	9.04437e+06
116	104194     	1.45893e+07	4.27941e+07	8.9481e+06 
117	104194     	1.4548e+07 	4.27097e+07	8.86354e+06
118	104177     	1.44862e+07	4.24024e+07	8.9338e+06 
119	104177     	1.4463e+07 	4.22443e+07	8.92461e+06
120	96074      	1.44525e+07	4.13686e+07	8.86009e+06
121	96074      	1.4385e+07 	4.80983e+07	8.83739e+06
122	96074      	1.43391e+07	4.8101e+07 	8.76319e+06
123	96074      	1.43107e+07	4.46899e+07	8.72216e+06
124	96074      	1.42562e+07	4.21663e+07	8.74024e+06
125	96074      	1.42197e+07	4.22595e+07	8.62135e+06
126	96074      	1.41656e+07	4.20126e+07	8.64871e+06
127	96074      	1.41468e+07	4.18454e+07	8.74739e+06
128	96074      	1.40629e+07	4.73057e+07	8.86938e+06
129	96074      	1.40367e+07	4.36234e+07	8.89647e+06
130	96074      	1.40059e+07	4.36234e+07	8.91229e+06
131	96074      	1.39648e+07	4.56995e+07	8.9172e+06 
132	96074      	1.39147e+07	4.30216e+07	8.88423e+06
133	96074      	1.3887e+07 	4.77986e+07	8.76493e+06
134	96074      	1.382e+07  	4.55865e+07	8.84138e+06
135	96074      	1.37842e+07	5.0591e+07 	8.86352e+06
136	96074      	1.37619e+07	4.55893e+07	8.75714e+06
137	96074      	1.37206e+07	4.5588e+07 	8.83024e+06
138	59398.3    	1.364e+07  	4.32668e+07	8.65135e+06
139	59398.3    	1.35993e+07	4.22161e+07	8.51896e+06
140	59398.3    	1.35501e+07	4.19986e+07	8.6425e+06 
141	59398.3    	1.3483e+07 	5.03148e+07	8.71693e+06
142	59398.3    	1.34328e+07	4.71885e+07	8.71226e+06
143	59398.3    	1.33843e+07	4.63919e+07	8.53739e+06
144	59398.3    	1.33441e+07	4.6005e+07 	8.49129e+06
145	59398.3    	1.33038e+07	4.25932e+07	8.40191e+06
146	59398.3    	1.32377e+07	4.24147e+07	8.44141e+06
147	59398.3    	1.31996e+07	4.23664e+07	8.42101e+06
148	59398.3    	1.31587e+07	4.15837e+07	8.412e+06  
149	59398.3    	1.31373e+07	4.21149e+07	8.31519e+06
150	59398.3    	1.30741e+07	4.20625e+07	8.18602e+06
151	59398.3    	1.30182e+07	4.12045e+07	8.20429e+06
152	59398.3    	1.29675e+07	3.87311e+07	8.02241e+06
153	59398.3    	1.2975e+07 	3.8311e+07 	8.13315e+06
154	59398.3    	1.29771e+07	3.75898e+07	8.12801e+06
155	59398.3    	1.29226e+07	3.89159e+07	8.00641e+06
156	59398.3    	1.28794e+07	3.83248e+07	8.00969e+06
157	59398.3    	1.2841e+07 	3.83327e+07	8.12664e+06
158	59398.3    	1.27893e+07	4.1307e+07 	8.10311e+06
159	59398.3    	1.27398e+07	4.02663e+07	8.08425e+06
160	59398.3    	1.27061e+07	3.89874e+07	8.09828e+06
161	59398.3    	1.26788e+07	3.77527e+07	8.03562e+06
162	59398.3    	1.26594e+07	3.78064e+07	8.12204e+06
163	59398.3    	1.26257e+07	4.2089e+07 	8.00644e+06
164	59398.3    	1.25803e+07	4.19465e+07	7.71333e+06
165	59398.3    	1.25599e+07	3.68962e+07	7.76441e+06
166	59398.3    	1.25384e+07	3.65226e+07	7.78364e+06
167	59398.3    	1.25426e+07	4.27279e+07	7.98954e+06
168	59398.3    	1.25103e+07	4.15035e+07	7.99326e+06
169	59398.3    	1.24825e+07	3.71737e+07	7.88069e+06
170	55760.5    	1.24273e+07	3.76072e+07	7.82214e+06
171	55760.5    	1.2363e+07 	3.76072e+07	7.78634e+06
172	55760.5    	1.23463e+07	3.61489e+07	7.69427e+06
173	55760.5    	1.23559e+07	3.93806e+07	7.78078e+06
174	55760.5    	1.22985e+07	3.85424e+07	7.85281e+06
175	55760.5    	1.22935e+07	3.82858e+07	7.87715e+06
176	55760.5    	1.22371e+07	3.83698e+07	7.79451e+06
177	55760.5    	1.22116e+07	3.83247e+07	7.80343e+06
178	55760.5    	1.21542e+07	4.38858e+07	7.86009e+06
179	55760.5    	1.21319e+07	4.36924e+07	7.87348e+06
180	55760.4    	1.21033e+07	4.36933e+07	7.7375e+06 
181	40763.6    	1.20426e+07	4.11121e+07	7.69577e+06
182	40763.6    	1.19854e+07	3.99549e+07	7.6838e+06 
183	40763.6    	1.19638e+07	3.99549e+07	7.58101e+06
184	40763.6    	1.19308e+07	3.82412e+07	7.50971e+06
185	40763.6    	1.18985e+07	3.82412e+07	7.44546e+06
186	40763.6    	1.18525e+07	3.82412e+07	7.38993e+06
187	40763.6    	1.18191e+07	3.61252e+07	7.3448e+06 
188	40763.6    	1.1786e+07 	3.93555e+07	7.33036e+06
189	39303      	1.17711e+07	3.84638e+07	7.41343e+06
190	39166.4    	1.17522e+07	3.63503e+07	7.49542e+06
191	39166.4    	1.17115e+07	3.64748e+07	7.48895e+06
192	39166.4    	1.16736e+07	3.66012e+07	7.38904e+06
193	39166.4    	1.16322e+07	3.5276e+07 	7.29698e+06
194	39166.4    	1.15969e+07	3.97131e+07	7.43229e+06
195	39166.4    	1.15576e+07	3.76501e+07	7.26707e+06
196	39166.4    	1.15329e+07	3.70541e+07	7.19419e+06
197	39166.4    	1.15036e+07	3.56828e+07	7.10083e+06
198	39166.4    	1.14889e+07	3.77338e+07	7.32748e+06
199	39166.4    	1.1471e+07 	3.76957e+07	7.2546e+06 
200	39166.4    	1.14514e+07	3.73525e+07	7.33316e+06
201	39166.4    	1.14264e+07	3.80163e+07	7.3344e+06 
202	39166.4    	1.1391e+07 	3.73298e+07	7.24098e+06
203	39166.4    	1.13567e+07	4.05116e+07	7.28102e+06
204	39166.4    	1.13583e+07	3.33458e+07	7.21011e+06
205	39166.4    	1.13314e+07	3.60369e+07	7.25053e+06
206	39166.4    	1.13157e+07	3.43888e+07	7.18971e+06
207	39166.4    	1.13122e+07	3.40416e+07	7.17008e+06
208	39166.4    	1.12959e+07	3.71211e+07	7.20829e+06
209	39166.4    	1.12472e+07	3.50848e+07	7.15586e+06
210	39166.4    	1.12284e+07	3.41828e+07	7.03271e+06
211	39166.4    	1.1209e+07 	3.52059e+07	7.07454e+06
212	39166.4    	1.11712e+07	3.54439e+07	6.94415e+06
213	39166.4    	1.11436e+07	3.47456e+07	6.84862e+06
214	39166.4    	1.10819e+07	3.6497e+07 	6.8274e+06 
215	39166.4    	1.10227e+07	3.64533e+07	6.85972e+06
216	39166.4    	1.09873e+07	3.55646e+07	6.9294e+06 
217	39144.7    	1.09392e+07	4.09864e+07	6.85256e+06
218	39144.7    	1.09237e+07	3.7667e+07 	6.89184e+06
219	39144.7    	1.08714e+07	3.76667e+07	6.86224e+06
220	39144.7    	1.08563e+07	3.76847e+07	6.82414e+06
221	39144.7    	1.08362e+07	3.77277e+07	6.86825e+06
222	39144.7    	1.08064e+07	3.60661e+07	6.87918e+06
223	39144.7    	1.07493e+07	3.4114e+07 	6.65618e+06
224	39144.7    	1.07065e+07	3.43806e+07	6.66785e+06
225	35111.1    	1.06767e+07	3.25573e+07	6.59195e+06
226	35111.1    	1.0636e+07 	3.49187e+07	6.73907e+06
227	35111.1    	1.06202e+07	3.37864e+07	6.44421e+06
228	35111.1    	1.06005e+07	3.37864e+07	6.39483e+06
229	34473.5    	1.05692e+07	3.37864e+07	6.48601e+06
230	34473.5    	1.05566e+07	3.41005e+07	6.55175e+06
231	34473.5    	1.04953e+07	3.61284e+07	6.48931e+06
232	34473.5    	1.0476e+07 	3.25261e+07	6.42734e+06
233	34473.5    	1.04539e+07	3.25259e+07	6.48171e+06
234	34158      	1.04198e+07	3.25064e+07	6.49504e+06
235	34158      	1.03572e+07	3.24726e+07	6.35336e+06
236	34158      	1.034e+07  	3.3347e+07 	6.35488e+06
237	34158      	1.0318e+07 	3.39633e+07	6.42209e+06
238	33746.9    	1.02997e+07	3.39633e+07	6.48805e+06
239	33746.9    	1.02704e+07	3.39731e+07	6.51022e+06
240	33746.9    	1.02293e+07	3.2887e+07 	6.49981e+06
241	33746.9    	1.01833e+07	3.29024e+07	6.57798e+06
242	33746.9    	1.01535e+07	3.63191e+07	6.51836e+06
243	33746.9    	1.01302e+07	3.47099e+07	6.51383e+06
244	33746.9    	1.00843e+07	3.29644e+07	6.47855e+06
245	33746.9    	1.00516e+07	3.29644e+07	6.47337e+06
246	33681.6    	1.00086e+07	3.22895e+07	6.47586e+06
247	33681.6    	1.00044e+07	3.38753e+07	6.59155e+06
248	33681.6    	9.96276e+06	3.38397e+07	6.57193e+06
249	33681.6    	9.96571e+06	3.28096e+07	6.4577e+06 
250	33681.6    	9.94013e+06	3.34782e+07	6.46334e+06
251	33681.6    	9.90088e+06	3.34775e+07	6.39043e+06
252	33681.6    	9.85862e+06	3.33452e+07	6.26478e+06
253	33587.1    	9.84501e+06	3.48209e+07	6.26222e+06
254	33587.1    	9.80921e+06	3.1147e+07 	6.2736e+06 
255	33582.1    	9.78009e+06	3.16412e+07	6.28454e+06
256	33582.1    	9.75839e+06	3.11667e+07	6.29404e+06
257	33547.3    	9.73513e+06	3.09709e+07	6.25358e+06
258	33547.3    	9.70156e+06	3.52338e+07	6.39687e+06
259	33547.3    	9.66127e+06	3.53361e+07	6.30172e+06
260	33547.3    	9.62948e+06	3.10129e+07	6.11814e+06
261	33547.3    	9.58517e+06	3.10129e+07	6.05655e+06
262	32367      	9.58082e+06	3.33774e+07	6.0384e+06 
263	32367      	9.54778e+06	3.33624e+07	6.00774e+06
264	32367      	9.52339e+06	3.5955e+07 	6.0644e+06 
265	32367      	9.50481e+06	3.59773e+07	6.20129e+06
266	32367      	9.47889e+06	3.33574e+07	6.20918e+06
267	32367      	9.4541e+06 	3.19085e+07	6.12284e+06
268	32172.9    	9.415e+06  	3.15535e+07	5.99368e+06
269	32172.9    	9.3793e+06 	2.80678e+07	5.97397e+06
270	32172.9    	9.35121e+06	2.75459e+07	5.98482e+06
271	32172.9    	9.34473e+06	2.9956e+07 	5.98096e+06
272	32172.9    	9.31669e+06	3.05134e+07	5.90249e+06
273	32172.9    	9.28764e+06	3.1966e+07 	5.9582e+06 
274	32172.9    	9.28633e+06	3.00526e+07	5.95399e+06
275	32172.9    	9.29993e+06	3.00645e+07	6.01703e+06
276	31623.3    	9.25722e+06	3.14871e+07	5.99271e+06
277	31452.5    	9.21478e+06	2.90547e+07	5.91047e+06
278	31452.5    	9.1865e+06 	2.83336e+07	5.82869e+06
279	31452.5    	9.16914e+06	3.03898e+07	5.93577e+06
280	31452.5    	9.13263e+06	3.04862e+07	5.92617e+06
281	31452.5    	9.1189e+06 	2.75273e+07	5.81449e+06
282	31452.5    	9.08825e+06	2.71177e+07	5.73124e+06
283	31452.5    	9.06862e+06	2.70979e+07	5.71373e+06
284	31452.5    	9.07692e+06	2.70404e+07	5.7681e+06 
285	31452.5    	9.03581e+06	2.69052e+07	5.6727e+06 
286	31452.5    	9.04741e+06	2.83175e+07	5.60529e+06
287	29836.3    	9.00094e+06	2.67928e+07	5.49816e+06
288	29836.3    	8.98037e+06	2.66892e+07	5.5342e+06 
289	29836.3    	8.99064e+06	2.66954e+07	5.57275e+06
290	29836.3    	8.94637e+06	2.50681e+07	5.4697e+06 
291	29836.3    	8.91627e+06	2.76806e+07	5.38275e+06
292	29836.3    	8.86454e+06	2.76586e+07	5.36682e+06
293	29836.3    	8.83765e+06	2.80973e+07	5.38789e+06
294	29836.3    	8.80859e+06	2.86516e+07	5.42517e+06
295	29836.3    	8.79196e+06	2.80973e+07	5.36955e+06
296	29836.3    	8.76418e+06	3.21611e+07	5.34068e+06
297	29836.3    	8.72249e+06	2.72122e+07	5.33541e+06
298	29836.3    	8.69518e+06	2.69384e+07	5.23506e+06
299	29836.3    	8.67132e+06	2.77727e+07	5.259e+06  
300	29836.3    	8.66035e+06	2.64827e+07	5.23524e+06
301	29836.3    	8.64966e+06	2.62293e+07	5.28563e+06
302	29836.3    	8.66913e+06	2.57408e+07	5.28106e+06
303	29836.3    	8.6453e+06 	2.53132e+07	5.23377e+06
304	29836.3    	8.62939e+06	2.55036e+07	5.41847e+06
305	29836.3    	8.60714e+06	2.87574e+07	5.35309e+06
306	29836.3    	8.58827e+06	3.13076e+07	5.44429e+06
307	29836.3    	8.58169e+06	2.87581e+07	5.40272e+06
308	29836.3    	8.5571e+06 	2.83043e+07	5.35874e+06
309	29836.3    	8.53676e+06	2.83e+07   	5.30985e+06
310	29836.3    	8.50446e+06	2.80545e+07	5.34951e+06
311	29836.3    	8.46376e+06	2.6963e+07 	5.34346e+06
312	29831.8    	8.46037e+06	2.6963e+07 	5.27209e+06
313	29831.8    	8.4541e+06 	2.61906e+07	5.22978e+06
314	29831.8    	8.44308e+06	2.63621e+07	5.12008e+06
315	29831.8    	8.45432e+06	2.79571e+07	5.20979e+06
316	29831.8    	8.45238e+06	2.65572e+07	5.30234e+06
317	29831.8    	8.4378e+06 	3.0176e+07 	5.34313e+06
318	29831.8    	8.40724e+06	2.94924e+07	5.34949e+06
319	29831.8    	8.40577e+06	2.903e+07  	5.30576e+06
320	29831.8    	8.37915e+06	2.79716e+07	5.17855e+06
321	29831.8    	8.35572e+06	2.79633e+07	5.27929e+06
322	29831.8    	8.33553e+06	2.74618e+07	5.27826e+06
323	29831.8    	8.30938e+06	3.00486e+07	5.34411e+06
324	29831.8    	8.30524e+06	2.88443e+07	5.28594e+06
325	29831.8    	8.27513e+06	2.65515e+07	5.2758e+06 
326	29831.8    	8.28192e+06	2.65626e+07	5.31835e+06
