gen	min   	avg       	max       	std        
0  	771666	1.9754e+07	5.5314e+07	1.14741e+07
1  	500279	1.97392e+07	5.5363e+07	1.15408e+07
2  	500279	1.9704e+07 	5.51273e+07	1.13488e+07
3  	491523	1.96255e+07	5.60372e+07	1.13489e+07
4  	491523	1.95674e+07	5.4976e+07 	1.10887e+07
5  	491523	1.95481e+07	5.44767e+07	1.1132e+07 
6  	491523	1.95106e+07	5.44773e+07	1.12168e+07
7  	491523	1.94476e+07	5.44758e+07	1.12495e+07
8  	459734	1.93825e+07	5.26716e+07	1.10731e+07
9  	459734	1.93232e+07	5.19435e+07	1.11059e+07
10 	459734	1.92697e+07	5.19435e+07	1.11228e+07
11 	459734	1.92134e+07	5.16087e+07	1.10888e+07
12 	459042	1.91736e+07	5.30171e+07	1.08488e+07
13 	450470	1.91055e+07	5.30167e+07	1.08594e+07
14 	450470	1.90062e+07	5.27739e+07	1.07717e+07
15 	450470	1.90035e+07	4.96892e+07	1.08892e+07
16 	450435	1.89701e+07	4.81929e+07	1.07155e+07
17 	449704	1.89044e+07	5.49254e+07	1.07564e+07
18 	449704	1.88521e+07	5.48768e+07	1.08054e+07
19 	251934	1.88045e+07	5.48768e+07	1.08251e+07
20 	251934	1.87689e+07	5.08381e+07	1.07804e+07
21 	251934	1.87331e+07	5.21827e+07	1.08341e+07
22 	243844	1.8664e+07 	5.2222e+07 	1.0816e+07 
23 	243844	1.86079e+07	4.89536e+07	1.06378e+07
24 	243838	1.85671e+07	4.83676e+07	1.07554e+07
25 	243838	1.85085e+07	4.83836e+07	1.0732e+07 
26 	243838	1.8482e+07 	5.16619e+07	1.08075e+07
27 	203906	1.84657e+07	5.1873e+07 	1.05674e+07
28 	203906	1.84338e+07	5.44079e+07	1.06129e+07
29 	203906	1.83848e+07	5.12178e+07	1.07351e+07
30 	203906	1.83208e+07	5.41705e+07	1.08937e+07
31 	182389	1.8242e+07 	5.16518e+07	1.08478e+07
32 	182389	1.82245e+07	5.12354e+07	1.08098e+07
33 	182389	1.81752e+07	5.02337e+07	1.05461e+07
34 	182389	1.81543e+07	4.83812e+07	1.04671e+07
35 	182389	1.80882e+07	4.90926e+07	1.0491e+07 
36 	182389	1.80762e+07	5.20956e+07	1.07379e+07
37 	182389	1.80532e+07	4.83751e+07	1.05211e+07
38 	182389	1.79571e+07	5.14405e+07	1.03775e+07
39 	182338	1.79043e+07	4.79251e+07	1.03374e+07
40 	182338	1.78501e+07	4.75374e+07	1.04242e+07
41 	181994	1.77949e+07	4.74771e+07	1.04306e+07
42 	181994	1.77678e+07	5.16004e+07	1.04599e+07
43 	177209	1.76929e+07	5.22788e+07	1.04722e+07
44 	177209	1.76537e+07	5.15878e+07	1.05649e+07
45 	177209	1.75567e+07	5.15878e+07	1.02849e+07
46 	177209	1.7515e+07 	5.01285e+07	1.02862e+07
47 	177209	1.74704e+07	4.73849e+07	1.02644e+07
48 	177185	1.74474e+07	4.80792e+07	1.03011e+07
49 	177185	1.73844e+07	4.60803e+07	1.04002e+07
50 	177185	1.73459e+07	5.02117e+07	1.03436e+07
51 	177185	1.73321e+07	4.98855e+07	1.04394e+07
52 	177185	1.72744e+07	5.11742e+07	1.028e+07  
53 	177185	1.71973e+07	5.03682e+07	1.03871e+07
54 	177185	1.71309e+07	5.14609e+07	1.03554e+07
55 	177185	1.71095e+07	5.14932e+07	1.0275e+07 
56 	177185	1.70724e+07	4.95519e+07	1.01556e+07
57 	177185	1.70397e+07	5.25039e+07	1.02224e+07
58 	177185	1.70076e+07	5.41421e+07	1.03286e+07
59 	177185	1.69779e+07	5.40828e+07	1.03313e+07
60 	177185	1.69511e+07	5.86627e+07	1.02776e+07
